"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002585","38","Granato, L; Barretto, EHP; Pascalicchio, FF; Tenório, GM",,,"2015","08","04",,,,"Brasil",,"SP","São Paulo","São Paulo","Parque Natural Municipal Varginha, Trilha 1.",,,"-23.540001","-46.630001","53584","0","0",,"De Sordi, S J","2020-12-16",,"Heterocondylus alatus","Asteraceae","Heterocondylus",,"(Vell.) R.M.King & H.Rob.",,,,,"16","12","2020",,,,,,,,"HUFABC002585","Splink","HUFABC",,"Granato, L.","38","2015","Sordi, S.J.","2020","Barretto, E.H.P.; Pascalicchio, F.F.; Tenorio, G.M.","Granato",,"brazil","sao paulo","sao paulo","parque natural municipal varginha",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Heterocondylus alatus","(Vell.) R.M.King & H.Rob.","possibly_ok","Asteraceae","Heterocondylus alatus","(Vell.) R.M.King & H.Rob.","species","name accepted","bfo-16137",,,"Heterocondylus alatus (Vell.) R.M.King & H.Rob.","Heterocondylus","Asteraceae","Heterocondylus alatus",895597,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","HUFABC_2585",,"0","0",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA"
,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99557","3371","Barretto, EHP",,"2023-11-27","2023","11","27",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha OLA",,,,,,,,,"Sordi, SJ","2024-02-19",,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","Asteraceae","Symphyopappus","species","(Hook.) Donnell","ACCEPTED",,,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.",,,,"Symphyopappus itatiayensis","Symphyopappus itatiayensis",,,,,,,"GBIF","UFP",,"Barretto, E.H.P.","3371","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","name_w_authors","Asteraceae","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","species","name accepted","bfo-103488",,,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","Symphyopappus","Asteraceae","Symphyopappus itatiayensis",775580,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UFP_99557","UFP_99557[virtual]","4","1","UFP_99557","UFP_99557","UFP_99557","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA"
,,"https://specieslink.net/col/634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","003222","3405","Barretto, EHP; Garcia, RJF; Gonçalves, AF; Barbosa, RS",,"2023-12-04","2023","12","4",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque Natural Municipal Itaim, Trilha MAT",,,,,,,,,"De Sordi, SJ","2024-04-02",,"Piptocarpha reitziana Cabrera","Asteraceae","Piptocarpha","species","Cabrera","SYNONYM",,,"Piptocarpha oblonga subsp. lepidota (Sch.Bip.) G.Lom.Sm.",,,,"Piptocarpha reitziana","Piptocarpha oblonga",,,,,,,"GBIF","HUFABC",,"Barretto, E.H.P.","3405","2023","Sordi, S.J.","2024","Garcia, R.J.F.; Goncalves, A.F.; Barbosa, R.S.","Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Piptocarpha reitziana","Cabrera","name_w_authors","Asteraceae","Piptocarpha reitziana","Cabrera","species","name accepted","bfo-134253",,,"Piptocarpha reitziana Cabrera","Piptocarpha","Asteraceae","Piptocarpha reitziana",773561,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","HUFABC_3222","HUFABC_3222[virtual]","3","0.75","HUFABC_3222","HUFABC_3222","HUFABC_3222","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA"
,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99555","3184","Barretto, EHP",,"2023-09-04","2023","9","4",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha CEA",,,,,,,,,"Sordi, SJ","2024-02-22",,"Mikania lasiandrae DC.","Asteraceae","Mikania","species","DC.","ACCEPTED",,,"Mikania lasiandrae DC.",,,,"Mikania lasiandrae","Mikania lasiandrae",,,,,,,"GBIF","UFP",,"Barretto, E.H.P.","3184","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Mikania lasiandrae","DC.","name_w_authors","Asteraceae","Mikania lasiandrae","DC.","species","name accepted","bfo-5389",,,"Mikania lasiandrae DC.","Mikania","Asteraceae","Mikania lasiandrae",775585,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UFP_99555","UFP_99555[virtual]","4","1","UFP_99555","UFP_99555","UFP_99555","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA"
,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99554","3383","Barretto, EHP",,"2023-12-04","2023","12","4",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha PES",,,,,,,,,"Sordi, SJ","2024-02-19",,"Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz","Asteraceae","Clibadium","species","(Balb.) Sch.Bip. & O.E.Schulz","ACCEPTED",,,"Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz",,,,"Clibadium armanii","Clibadium armanii",,,,,,,"GBIF","UFP",,"Barretto, E.H.P.","3383","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schulz","name_w_authors","Asteraceae","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schulz","species","name accepted","bfo-16067",,,"Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz","Clibadium","Asteraceae","Clibadium armanii",775584,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UFP_99554","UFP_99554[virtual]","4","1","UFP_99554","UFP_99554","UFP_99554","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA"
,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99573","2961","Barretto, EHP",,"2023-04-03","2023","4","3",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque Natural Municipal Varginha, Trilha SET",,,,,,,,,"Fiaschi, P","2023-04-01",,"Dendropanax monogynus (Vell.) Seem.","Araliaceae","Dendropanax","species","(Vell.) Seem.","ACCEPTED",,,"Dendropanax monogynus (Vell.) Seem.",,,,"Dendropanax monogynus","Dendropanax monogynus",,,,,,,"GBIF","UFP",,"Barretto, E.H.P.","2961","2023","Fiaschi, P.","2023",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal varginha",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Dendropanax monogynus","(Vell.) Seem.","name_w_authors","Araliaceae","Dendropanax monogynus","(Vell.) Seem.","species","name accepted","bfo-5110",,,"Dendropanax monogynus (Vell.) Seem.","Dendropanax","Araliaceae","Dendropanax monogynus",775550,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UFP_99573","UFP_99573[virtual]","3","0.75","UFP_99573","UFP_99573","UFP_99573","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA"
,,"https://specieslink.net/col/204",,"UEFS","HUEFS",,"PRESERVED_SPECIMEN","264320","174","Granato, L.",,"2018-09-25","2018","9","25",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque Natural Municipal Bororé.",,,,,,,,,"S.J.de Sordi","2021-06-01",,"Mikania buddleiaefolia DC.","Asteraceae","Mikania","species","DC.","ACCEPTED",,,"Mikania buddleiaefolia DC.",,,,"Mikania buddleiaefolia","Mikania buddleiaefolia",,"WGS84","https://images.cria.org.br/viewer/HUEFS0264320",,,,"GBIF","HUEFS",,"Granato, L.","174","2018","Sordi, S.J.","2021",,"Granato",,"brazil","sao paulo","sao paulo","parque natural municipal borore",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Mikania buddleiaefolia","DC.","name_w_authors","Asteraceae","Mikania buddleiaefolia","DC.","species","name accepted","bfo-5354",,,"Mikania buddleiaefolia DC.","Mikania","Asteraceae","Mikania buddleiaefolia",689954,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-23.65041685,-46.64802516,"coord_gazet","seconds_centroid","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","HUEFS_264320",,"0","0",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4663474",,,"PMSP","PMSP",,"PRESERVED_SPECIMEN","PMSP013706","548","F.G.Pereira;R.J.F.Garcia,R.J.F. Garcia,F.G. Pereira,P.S.P.Lobão,P.S.P. Lobão",,"2012-05-10","2012","5","10","2012-05-10",,,"Brasil","BR","São Paulo",,"São Paulo","Parque Natural Municipal Itaim. Ponto 53 da trilha próximo a sede.",,,,,,,,,"R.J.F. Garcia",,,"Cestrum bracteatum Link & Otto","Solanaceae","Cestrum","species","Link & Otto","ACCEPTED",,,"Cestrum bracteatum Link & Otto",,,,"Cestrum bracteatum Link & Otto","Cestrum bracteatum",,,"jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/37/6/pmsp00013706.dzi",,,,"GBIF","PMSP",,"Pereira, F.G.","548","2012","Garcia, R.J.F.","2012","Garcia, R.J.F.; Garcia, R.J.F.; Pereira, F.G.; Lobao, P.S.P.; Lobao, P.S.P.","Pereira",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"municipality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Cestrum bracteatum","Link & Otto","name_w_authors","Solanaceae","Cestrum bracteatum","Link & Otto","species","name accepted","bfo-14637",,,"Cestrum bracteatum Link & Otto","Cestrum","Solanaceae","Cestrum bracteatum",341283,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-23.913333,-46.631667,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","PMSP_13706","FURB_HSTM00007872|HSTM_7872|PMSP_13706","2","0.5","FURB_HSTM00007872","HSTM_7872","HSTM_7872","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002359","s.n.","Amaral, GB",,,"2019","10","01",,,,"Brasil",,"SP","São Paulo","São Paulo","Parque Natural Municipal Bororé",,,"-23.540001","-46.630001","53584","0","0",,"Barretto, EHP","2019-11-30",,"Endlicheria paniculata","Lauraceae","Endlicheria",,"(Spreng.) J.F.Macbr.",,,,,"30","11","2019",,,,,,,,"HUFABC002359","Splink","HUFABC",,"Amaral, G.B.",,"2019","Barretto, E.H.P.","2019",,"Amaral",,"brazil","sao paulo","sao paulo","parque natural municipal borore",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Endlicheria paniculata","(Spreng.) J.F.Macbr.","possibly_ok","Lauraceae","Endlicheria paniculata","(Spreng.) J.F.Macbr.","species","name accepted","bfo-8417",,,"Endlicheria paniculata (Spreng.) J.F.Macbr.","Endlicheria","Lauraceae","Endlicheria paniculata",816751,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","medium",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","HUFABC_2359",,"cc","cc",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","50410","3708","R.J.F.Garcia & E.H.P. Barretto",,,"2014","01","08",,,,"Brasil",,"SP","São Paulo","São Paulo","Parque Natural Municipal Bororé",,,"-23.540001","-46.630001","53584",,,,"E.H.P.Barretto","2014-01-15",,"Ocotea bicolor","Lauraceae","Ocotea",,"(Vattimo-Gil)",,,,,"15","01","2014",,,,,,,,"SPSF00050410","Splink","SPSF",,"Garcia, R.J.F.","3708","2014","Barretto, E.H.P.","2014","Barretto, E.H.P.","Garcia",,"brazil","sao paulo","sao paulo","parque natural municipal borore",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","Ocotea bicolor","Vattimo-Gil","possibly_ok","Lauraceae","Ocotea bicolor","Vattimo-Gil","species","author misspelled","bfo-17940",,,"Ocotea bicolor Vattimo-Gil","Ocotea","Lauraceae","Ocotea bicolor",844435,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","medium",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_50410","PMSP_14799|SPSF_50410","4","1","PMSP_14799","SPSF_50410","SPSF_50410","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA"
