"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"259",,"UFRGS","ICN",,,"177572","826","Buzatto, CR",,,"2012","05","19",,,,"Brasil",,"São Paulo","Campinas","Campinas","Souzas.",,,"-22.9","-47.060001","23900","0","0",,"Buzatto, CR","2012-05-19",,"Cyclopogon eugenii","Orchidaceae","Cyclopogon",,"(Rchb. f. & Warm.) Schltr.",,,,,"19","05","2012",,,,,,,,"ICN00038939","Splink","ICN",,"Buzatto, C.R.","826","2012","Buzatto, C.R.","2012",,"Buzatto",,"brazil","sao paulo","campinas","souzas",,"municipality","brazil_sao paulo_campinas","brazil_sao paulo_campinas_souzas",-22.87916667,-46.96444444,"locality","Cyclopogon eugenii","(Rchb.f.) Schltr.","possibly_ok","Orchidaceae","Cyclopogon eugenii","(Rchb.f.) Schltr.","species","author misspelled","bfo-31812",,,"Cyclopogon eugenii (Rchb.f.) Schltr.","Cyclopogon","Orchidaceae","Cyclopogon eugenii",1320020,"brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","high",TRUE,-22.860278,-46.960556,"coord_original","seconds","ok_same_resolution","ok_locality",,FALSE,"ok_dist","full_name_match","ICN_177572","ICN_177572|ICN_38939|RSPF_15274","1","0.25","RSPF_15274","RSPF_15274","RSPF_15274","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS"
,,"399",,"Cenargen","CEN",,"PRESERVED_SPECIMEN","86049","24307","Luís Carlos Bernacci",,,"1991","05","01",,,,,,"SP","CAMPINAS","CAMPINAS","Fazenda São Vicente, Mata",,,"0","0",,,,,"J. F. M. Valls","2016-01-NA",,"Colanthelia cingulata","Poaceae","Colanthelia",,"(McClure & L.B. Sm.) McClure",,,,,,"01","2016",,,,,,,,"CEN00086049","Splink","CEN",,"Bernacci, L.C.","24307","1991","Valls, J.F.M.","2016",,"Bernacci",,"brazil","sao paulo","campinas","fazenda sao vicente",,"no_info","brazil_sao paulo_campinas_fazenda sao vicente","brazil_sao paulo_campinas_fazenda sao vicente",-22.852107,-46.887691,"locality","Colanthelia cingulata","(McClure & L.B.Sm.) McClure","possibly_ok","Poaceae","Colanthelia cingulata","(McClure & L.B.Sm.) McClure","species","author misspelled","bfo-13129",,,"Colanthelia cingulata (McClure & L.B.Sm.) McClure","Colanthelia","Poaceae","Colanthelia cingulata",1341231,"brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","high",FALSE,-22.852107,-46.887691,"coord_gazet","seconds","FALSE","ok_locality_gazet",,,"ok_dist","full_name_match","CEN_86049",,"cc","cc",,,,"Low","coord_gazet","ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","12930","18538","N.Taroda",,,"1986","04","30",,,,"Brasil",,"São Paulo","Campinas","Campinas","Distrito de Cabras Mata próximo ao Observatório Capricórnio. Coordenada calculada.",,,"-22.9","-47.060001","23900",,,,"L.L.Giacomin","2009-08-24",,"Solanum robustum","Solanaceae","Solanum",,"H.L.Wendl.",,,,,"24","08","2009",,,,,,,,"SPSF00012930","Splink","SPSF",,"Taroda, N.","18538","1986","Giacomin, L.L.","2009",,"Taroda",,"brazil","sao paulo","campinas","distrito de cabras mata proximo ao observatorio capricornio",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","Solanum robustum","H.L.Wendl.","possibly_ok","Solanaceae","Solanum robustum","H.L.Wendl.","species","name accepted","bfo-14845",,,"Solanum robustum H.L.Wendl.","Solanum","Solanaceae","Solanum robustum",835484,"brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","high",TRUE,-22.884722,-46.848611,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_12930","IBGE_23029|SPSF_12930","1","0.25","IBGE_23029","IBGE_23029","IBGE_23029","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS"
,,"88",,"MO","MO",,"PRESERVED_SPECIMEN","100549624","25457","Grady L. Webster|et al.",,,"1984","11","29",,,,"Brazil",,"São Paulo","Campinas","Campinas","Sousas.",,,"-22.9","-46.9833333",,,,,"G.L. Webster",,,"Dalechampia stenosepala","Euphorbiaceae","Dalechampia",,"Müll. Arg.",,,,,,,,,,,,,,,,"Splink","MO",,"Webster, G.L.","25457","1984",,,"Al., E.","Webster",,"brazil","sao paulo","campinas","sousas",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","Dalechampia stenosepala","Müll.Arg.","possibly_ok","Euphorbiaceae","Dalechampia stenosepala","Müll.Arg.","species","author misspelled","bfo-36016",,,"Dalechampia stenosepala Müll.Arg.","Dalechampia","Euphorbiaceae","Dalechampia stenosepala",1267322,"brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","high",TRUE,-22.9,-46.9833333,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","MO_100549624","DAV_NA8|FLAS_241486|MICH_1667901|MO_100549624|Tropicos_100549624|UCR_NA|US_3655931","1","0.25",,"MO_100549624","MO_100549624","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS"
,,"88",,"MO","MO",,"PRESERVED_SPECIMEN","3408023","325","M. Sugiyama",,,"1983","11","15",,,,"Brasil",,"São Paulo",,"Campinas","Reserva de Sousas, Fazenda Santa",,,"0","0",,,,,"R. Torres","1997-NA-NA",,"Lacistema hasslerianum","Lacistemataceae","Lacistema",,"Chodat",,,,,,,"1997",,,,"WGS84",,,,,"Splink","MO",,"Sugiyama, M.","325","1983","Torres, R.B.","1997",,"Sugiyama",,"brazil","sao paulo","campinas","reserva de sousas, fazenda santa","campinas","locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","Lacistema hasslerianum","Chodat","possibly_ok","Lacistemataceae","Lacistema hasslerianum","Chodat","species","name accepted","bfo-8097",,,"Lacistema hasslerianum Chodat","Lacistema","Lacistemataceae","Lacistema hasslerianum",1267254,"brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","high",FALSE,-22.87921,-46.96441,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","MO_3408023","IAC_49478|MO_3408023|SP_195967|Tropicos_3408023","1","0.25","IAC_49478","IAC_49478","IAC_49478","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS"
,,"88",,"MO","MO",,"PRESERVED_SPECIMEN","2812949","363","S. Corréa Chiea",,,"1983","9","15",,,,"Brasil",,"São Paulo",,"CAMPINAS","Souzas.",,,"0","0",,,,,"C. Reynel","1995-NA-NA",,"Zanthoxylum hyemale","Rutaceae","Zanthoxylum",,"A. St.-Hil.",,,,,,,"1995",,,,,,,,"MO0100505342","Splink","MO",,"Chiea, S.C.","363","1983","Reynel, C.","1995",,"Chiea",,"brazil","sao paulo","campinas","souzas",,"locality","brazil_sao paulo_souzas","brazil_sao paulo_campinas_souzas",-22.87916667,-46.96444444,"locality","Zanthoxylum fagara subsp. lentiscifolium","(Humb. & Bonpl. ex Willd.) Reynel","name_w_authors","Rutaceae","Zanthoxylum fagara subsp. lentiscifolium","(Humb. & Bonpl. ex Willd.) Reynel","subspecies","author misspelled|replaced synonym","bfo-1108","Zanthoxylum fagara subsp. lentiscifolium","(Humb. & Bonpl. ex Willd.) Reynel","Zanthoxylum fagara subsp. lentiscifolium (Humb. & Bonpl. ex Willd.) Reynel","Zanthoxylum","Rutaceae","Zanthoxylum fagara",24801,"brazil_sao paulo","Brazil","São Paulo",,,"gadm","high",FALSE,-22.87916667,-46.96444444,"coord_gazet","seconds","ok_same_resolution","ok_locality_gazet",,FALSE,"ok_dist","full_name_match","MO_2812949","CEN_52440|MO_1092845|MO_2812949|SP_201229|SPSF_13949|Tropicos_2812949|UFP_38058","4","1","Tropicos_2812949","CEN_52440","CEN_52440","Low","coord_gazet","ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS"
,,"332",,"F","F-SEEDPLANTS",,"PRESERVED_SPECIMEN","V0359313F","2847","I. Sazima",,,"1976","8","8",,,,"Brazil",,"São Paulo",,"Campinas Mun.","Souzas",,,"-22","-49",,,,,"G. P. Lewis","1992-NA-NA",,"Caesalpinia decapetala","Fabaceae","Caesalpinia",,,,,,,,,"1992",,,,"WGS84",,,,"V0359313F","Splink","F-SEEDPLANTS","code not found","Sazima, I.","2847","1976","Lewis, G.P.","1992",,"Sazima",,"brazil","sao paulo","campinas","souzas",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_campinas_souzas",-22.87916667,-46.96444444,"locality","Biancaea decapetala","(Roth) O.Deg.","possibly_ok","Fabaceae","Biancaea decapetala","(Roth) O.Deg.","species","replaced synonym","bfo-605729","Biancaea decapetala","(Roth) O.Deg.","Biancaea decapetala (Roth) O.Deg.","Biancaea","Fabaceae","Biancaea decapetala",1332124,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge","high",TRUE,-22.866176,-46.963459,"coord_original","miliseconds","ok_same_resolution","ok_locality",,FALSE,"bad_dist","full_name_match","F-SEEDPLANTS_V0359313F","F_V0359313F|F-SEEDPLANTS_V0359313F|NY_593299","4","1","F_V0359313F","NY_593299","NY_593299","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS"
,,"728",,"NY","MO-DUPLICATES",,"PRESERVED_SPECIMEN","101884115","2622","SAZIMA",,,"1974","6","2",,,,"Brasil",,"São Paulo",,"Campinas","Distrito de Souzas. Coordenada calculada.",,,"0","0",,,,,"A. Pool","2001-NA-NA",,"Pyrostegia venusta","Bignoniaceae","Pyrostegia",,"(Ker Gawl.) Miers",,,,,,,"2001",,,,,,,,,"Splink","MO-DUPLICATES","code not found","Sazima","2622","1974","Sazima, I.","1974",,"Sazima",,"brazil","sao paulo","campinas","distrito de souzas","municipio de campinas","locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","Pyrostegia venusta","(Ker Gawl.) Miers","possibly_ok","Bignoniaceae","Pyrostegia venusta","(Ker Gawl.) Miers","species","name accepted","bfo-113866",,,"Pyrostegia venusta (Ker Gawl.) Miers","Pyrostegia","Bignoniaceae","Pyrostegia venusta",1372314,"brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","high",FALSE,-22.8866666,-46.9755556,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","MO-DUPLICATES_101884115","IBGE_8391|MO-DUPLICATES_101884115|MO-DUPLICATES_1581634|NY_568993|Tropicos_101884115|Tropicos_1581634|UEC_812|UEC_IBGE00008391","1","0.25","UEC_IBGE00008391","IBGE_8391","IBGE_8391","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS"
,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN","56719","4939","Taroda, N; et al.",,,,,,,,,"Brazil","BR","São Paulo",,"Campinas","Souzas.",,,,,,,,,"Clark, LG",,,"Oplismenus setarius","Poaceae","Oplismenus","species","(Lam.) Roem. & Schult.","SYNONYM",,,"Oplismenus compositus (L.) P.Beauv.",,,,"Oplismenus setarius","Oplismenus compositus",,"WGS84","https://images.cria.org.br/viewer/MBM056719",,,,"GBIF","MBM",,"Taroda, N.","4939",,"Clark, L.G.",,,"Taroda",,"brazil","sao paulo","campinas","souzas",,"locality","brazil_sao paulo_campinas_souzas","brazil_sao paulo_campinas_souzas",-22.87916667,-46.96444444,"locality","Oplismenus setarius","(Lam.) Roem. & Schult.","name_w_authors",,"Oplismenus setarius","(Lam.) Roem. & Schult.","species","not found",,,,"Oplismenus setarius (Lam.) Roem. & Schult.","Oplismenus","Poaceae","Oplismenus setarius",1466687,"brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","high",TRUE,-22.87916667,-46.96444444,"coord_gazet","seconds","ok_same_resolution","ok_locality_gazet",,FALSE,"no_cannot_check","no_match","MBM_56719",,"cc","cc",,,,"Low","coord_gazet","ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","168572","1033","Melis, JV; Sfair, JC; Lopes, C",,,,,,,,,"Brazil","BR","São Paulo",,"Campinas","Ribeirão Cachoeira, Parcela 2.",,,"-22.833333","-46.916667",,,,,"Zuntini, AR",,,"Bignonia campanulata Cham.","Bignoniaceae","Bignonia","species","Cham.","ACCEPTED",,,"Bignonia campanulata Cham.",,,,"Bignonia campanulata","Bignonia campanulata",,"WGS84","https://images.cria.org.br/viewer/UEC035340",,,,"GBIF","UEC",,"Melis, J.V.","1033",,"Zuntini, A.R.",,"Sfair, J.C.; Lopes, C.","Melis",,"brazil","sao paulo","campinas","ribeirao cachoeira",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","Bignonia campanulata","Cham.","name_w_authors","Bignoniaceae","Bignonia campanulata","Cham.","species","name accepted","bfo-112845",,,"Bignonia campanulata Cham.","Bignonia","Bignoniaceae","Bignonia campanulata",114286,"brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge","high",TRUE,-22.833333,-46.916667,"coord_original","minutes","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UEC_168572",,"cc","cc",,,,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS"
