"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"157",,"UFC","EAC",,"PRESERVED_SPECIMEN","53484","810","Staggemeier, V.G.",,,"2012","06","09",,,,"Brasil",,"São Paulo","Cananéia","Cananéia","Na beira da estrada próxima a Resex Mandira, Solo arenoso",,,"-24.952778","-47.954722",,"-24.952778","-47.954722",,"Staggemeier, V.G.","2012-06-09",,"Myrcia hartwegiana","Myrtaceae","Myrcia",,"(O.Berg) Kiaersk.",,,,,"09","06","2012",,,,,,,,"EAC0053484","Splink","EAC",,"Staggemeier, V.G.","810","2012","Staggemeier, V.G.","2012",,"Staggemeier",,"brazil","sao paulo","cananeia","na beira da estrada proxima a resex mandira",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-24.952778,-47.954722,"coord_original","seconds","Myrcia hartwegiana","(O.Berg) Kiaersk.","possibly_ok","Myrtaceae","Myrcia hartwegiana","(O.Berg) Kiaersk.","species","name accepted","bfo-10700",,,"Myrcia hartwegiana (O.Berg) Kiaersk.","Myrcia","Myrtaceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Myrcia hartwegiana",1277580,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"2",,"UNICAMP","UEC",,,"140952","s.n.","Faria, AD",,,,,,,,,"Brazil",,"São Paulo","Cananéia","Cananéia","Ilha do Cardoso",,,"-25.01","-47.919998","37574","0","0",,,,,"Paradisanthus micranthus","Orchidaceae","Paradisanthus",,"(Barb.Rodr.) Schltr.",,,,,,,,,,,,,,,"UEC027327","Splink","UEC",,"Faria, A.D.",,,,,,"Faria",,"brazil","sao paulo","cananeia","ilha do cardoso",,"locality","brazil_sao paulo_cananeia_ilha cardoso","brazil_sao paulo_cananeia_ilha cardoso",-25.133547,-47.961661,"locality","brazil_sao paulo_cananeia_ilha cardoso","Brazil","São Paulo","Cananéia","Ilha do Cardoso","splink_jabot",TRUE,-25.01,-47.919998,"coord_original","miliseconds","Paradisanthus bahiensis subsp. micranthus","(Rchb.f.) Meneguzzo","possibly_ok","Orchidaceae","Paradisanthus bahiensis subsp. micranthus","(Rchb.f.) Meneguzzo","subspecies","replaced synonym","bfo-620989","Paradisanthus bahiensis subsp. micranthus","(Rchb.f.) Meneguzzo","Paradisanthus bahiensis subsp. micranthus (Rchb.f.) Meneguzzo","Paradisanthus","Orchidaceae","high","ok_same_resolution","shore",,FALSE,"ok_dist","full_name_match","Paradisanthus bahiensis",22462,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","215746","159","Grande, DA de; et al.",,,,,"20",,,,"Brazil",,"São Paulo","Cananéia","Cananéia","Ilha da Casca.",,,"-25.01","-47.919998","37574",,,,"Mansano, VF",,,"Zollernia splendens","Fabaceae","Zollernia",,"Maximill. & Nees",,,,,,,,,,,,,,,"MBM215746","Splink","MBM",,"Grande, D.","159",,"Mansano, V.F.",,,"Grande",,"brazil","sao paulo","cananeia","ilha da casca",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.01,-47.919998,"coord_original","miliseconds","Zollernia glabra","(Spreng.) Yakovlev","possibly_ok","Fabaceae","Zollernia glabra","(Spreng.) Yakovlev","species","author misspelled|replaced synonym","bfo-19243","Zollernia glabra","(Spreng.) Yakovlev","Zollernia glabra (Spreng.) Yakovlev","Zollernia","Fabaceae","high","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","Zollernia glabra",1235796,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","240077","838","Kozera, C; et al.",,,,,"10",,,,"Brazil",,"São Paulo","Iguape","Iguape","Estação Ecológica de Chauás.",,,"-24.700001","-47.549999","55628",,,,"Goldenberg, R",,,"Tibouchina multiceps","Melastomataceae","Tibouchina",,"Cogn.",,,,,,,,"Tibouchina multiceps",,,,,,,"MBM240077","Splink","MBM",,"Kozera, C.","838",,"Goldenberg, R.",,,"Kozera",,"brazil","sao paulo","iguape","estacao ecologica de chauas",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","Tibouchina multiceps","Cogn.","possibly_ok",,"Tibouchina multiceps","Cogn.","species","not found",,,,"Tibouchina multiceps Cogn.","Tibouchina","Melastomataceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","canonical_name_match","Tibouchina multiceps",1751071,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","75687","44965","Hatschbach, G",,,,,"11",,,,"Brazil",,"São Paulo","Iguape","Iguape","Icapara.",,,"-24.700001","-47.549999","55628",,,,"Anderson, WR",,,"Stigmaphyllon ciliatum","Malpighiaceae","Stigmaphyllon",,"(Lam.) A.Juss.",,,,,,,,,,,,,,,"MBM075687","Splink","MBM",,"Hatschbach, G.","44965",,"Anderson, W.R.",,,"Hatschbach",,"brazil","sao paulo","iguape","icapara",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","Stigmaphyllon ciliatum","(Lam.) A.Juss.","possibly_ok","Malpighiaceae","Stigmaphyllon ciliatum","(Lam.) A.Juss.","species","name accepted","bfo-8951",,,"Stigmaphyllon ciliatum (Lam.) A.Juss.","Stigmaphyllon","Malpighiaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Stigmaphyllon ciliatum",1235248,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 2464477","4689","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"Ilha Comprida. Southern tip along bay channel ""Barra de Cananeia"". Mun. Cananeia. Sandy slack on sand spit above high tide.",,,"-25.05","-47.9",,,,,,,,"Stenotaphrum secundatum","Poaceae","Stenotaphrum",,"(Walter) Kuntze",,,,,,,,,,,,,,,"US04332897","Splink","US",,"Clayton, W.D.","4689",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","ilha comprida",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.05,-47.9,"coord_original","miliseconds","Stenotaphrum secundatum","(Walter) Kuntze","possibly_ok","Poaceae","Stenotaphrum secundatum","(Walter) Kuntze","species","name accepted","bfo-13635",,,"Stenotaphrum secundatum (Walter) Kuntze","Stenotaphrum","Poaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Stenotaphrum secundatum",1293824,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 2464216","4723","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"City of Cananeia, by oceanographic station. Mun. Cananeia. Salt marsh grassland.",,,"-25.02","-47.92",,,,,,,,"Sporobolus montevidensis","Poaceae","Sporobolus",,"(Arechav.) P.M. Peterson & Saarela",,,,,,,,"Sporobolus montevidensis",,,,,,,"US04390226","Splink","US",,"Clayton, W.D.","4723",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","city of cananeia",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.02,-47.92,"coord_original","miliseconds","Sporobolus montevidensis","(Arechav.) P.M. Peterson & Saarela","possibly_ok",,"Sporobolus montevidensis","(Arechav.) P.M. Peterson & Saarela","species","not found",,,,"Sporobolus montevidensis (Arechav.) P.M. Peterson & Saarela","Sporobolus","Poaceae","high","check_local.2municip.","shore",,,"no_cannot_check","no_match","Sporobolus montevidensis",1757593,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 2464466","4730","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"City of Cananeia, by oceanographic station. Mun. Cananeia. Sandy track along top of low sea wall.",,,"-25.02","-47.92",,,,,,,,"Sporobolus indicus","Poaceae","Sporobolus",,"(L.) R. Br.",,,,,,,,,,,,,,,"US04389800","Splink","US",,"Clayton, W.D.","4730",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","city of cananeia",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.02,-47.92,"coord_original","miliseconds","Sporobolus indicus","(L.) R.Br.","possibly_ok","Poaceae","Sporobolus indicus","(L.) R.Br.","species","author misspelled","bfo-13617",,,"Sporobolus indicus (L.) R.Br.","Sporobolus","Poaceae","high","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","Sporobolus indicus",1293784,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 2464237","4720","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"Ilha Comprida, bay side of road crossing island. Mun. Cananeia.",,,"-25.02","-47.92",,,,,,,,"Sporobolus alterniflorus","Poaceae","Sporobolus",,"(Loisel.) P.M. Peterson & Saarela",,,,,,,,"Sporobolus alterniflorus",,,,,,,"US04389516","Splink","US",,"Clayton, W.D.","4720",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","bay side of road crossing island","ilha comprida","locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.02,-47.92,"coord_original","miliseconds","Sporobolus alterniflorus","(Loisel.) P.M. Peterson & Saarela","possibly_ok",,"Sporobolus alterniflorus","(Loisel.) P.M. Peterson & Saarela","species","not found",,,,"Sporobolus alterniflorus (Loisel.) P.M. Peterson & Saarela","Sporobolus","Poaceae","high","check_local.2municip.","shore",,,"no_cannot_check","no_match","Sporobolus alterniflorus",1757105,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","189310","892","Catharino, ELM",,,,,"5",,,,"Brazil",,"São Paulo","Iguape","Iguape","Fazenda Boa Vista, Peropava.",,,"-24.700001","-47.549999","55628",,,,"Zappi, DC",,,"Spigelia beyrichiana","Loganiaceae","Spigelia",,"Cham. & Schltdl.",,,,,,,,,,,,,,,"MBM189310","Splink","MBM",,"Catharino, E.L.M.","892",,"Zappi, D.C.",,,"Catharino",,"brazil","sao paulo","iguape","fazenda boa vista",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","Spigelia beyrichiana","Cham. & Schltdl.","possibly_ok","Loganiaceae","Spigelia beyrichiana","Cham. & Schltdl.","species","name accepted","bfo-8636",,,"Spigelia beyrichiana Cham. & Schltdl.","Spigelia","Loganiaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Spigelia beyrichiana",1230693,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
