"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"460",,"NHMUK","NHM-LONDON-BOT",,"PRESERVED_SPECIMEN","BM000541518","447","John Weir",,,,,,,,,"Brasil",,"São Paulo","Barão de Antonina","Barão de Antonina","Barão de Antonina",,,"-23.5835","-49.573",,,,"Isotype","Vera Lúcia Gomes-Klein",,,"Cayaponia palmata","Cucurbitaceae","Cayaponia",,"Cogn.",,,,,,,,,,,,,,,"NHM-BOT-BM000541518","Splink","NHM-LONDON-BOT","code not found","Weir, J.","447",,"Gomes-Klein, V.L.",,,"Weir",,"brazil","sao paulo","barao de antonina","barao de antonina",,"locality","brazil_sao paulo_barao antonina","brazil_sao paulo_barao antonina",-23.58306272,-49.57166377,"county","Cayaponia palmata","Cogn.","possibly_ok","Cucurbitaceae","Cayaponia palmata","Cogn.","species","name accepted","bfo-114601",,,"Cayaponia palmata Cogn.","Cayaponia","Cucurbitaceae","Cayaponia palmata",1355078,"brazil_sao paulo_barao antonina","Brazil","São Paulo","Barão de Antonina",,"ibge",TRUE,-23.5835,-49.573,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"460",,"NHMUK","NHM-LONDON-BOT",,"PRESERVED_SPECIMEN","BM000927867","449","John Weir",,,,,,,,,"Brasil",,"São Paulo","Barão de Antonina","Barão de Antonina","Barão de Antonina",,,"-23.5835","-49.573",,,,"Neotype","Kyong-Sook Chung",,,"Agrimonia hirsuta","Rosaceae","Agrimonia",,"Bong. ex C.A.Mey.",,,,,,,,,,,,,,,"NHM-BOT-BM000927867","Splink","NHM-LONDON-BOT","code not found","Weir, J.","449",,"Chung, K.-S.",,,"Weir",,"brazil","sao paulo","barao de antonina","barao de antonina",,"locality","brazil_sao paulo_barao antonina","brazil_sao paulo_barao antonina",-23.58306272,-49.57166377,"county","Agrimonia hirsuta","Bong. ex C.A.Mey.","possibly_ok","Rosaceae","Agrimonia hirsuta","Bong. ex C.A.Mey.","species","name accepted","bfo-116402",,,"Agrimonia hirsuta Bong. ex C.A.Mey.","Agrimonia","Rosaceae","Agrimonia hirsuta",1354915,"brazil_sao paulo_barao antonina","Brazil","São Paulo","Barão de Antonina",,"ibge",TRUE,-23.5835,-49.573,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,,"bad_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"2",,"UNICAMP","UEC",,,"25591","1266","Tamashiro, JY; Belinello, R; Rodrigues, RR; Ivanauskas, NM; Goldenberg, R",,,,,,,,,"Brazil",,"São Paulo","Timburi","Timburi","fazenda Domiciana",,,"-23.231389","-49.634444",,"-23.231389","-49.634444",,"Gaglioti, AL","2010-03-03",,"Urera caracasana","Urticaceae","Urera",,"(Jacq.) Gaudich. ex Griseb.",,,,,"03","03","2010",,,,,,,,"UEC154635","Splink","UEC",,"Tamashiro, J.Y.","1266",,"Gaglioti, A.L.","2010","Belinello, R.; Rodrigues, R.R.; Ivanauskas, N.M.; Goldenberg, R.","Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","Urera caracasana","(Jacq.) Griseb.","possibly_ok","Urticaceae","Urera caracasana","(Jacq.) Griseb.","species","author misspelled","bfo-15077",,,"Urera caracasana (Jacq.) Griseb.","Urera","Urticaceae","Urera caracasana",1072399,"brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231389,-49.634444,"coord_original","seconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","277788","1275","Tamashiro, JY; Rodrigues, RR; Goldenberg, R; Ivanauskas, NM; Belinello, R; Galvão, JC",,,"1995","06","14",,,,"Brasil",,"São Paulo","Timburi","Timburi","Fazenda Domiciana",,,"-23.233056","-49.634444",,"-23.233056","-49.634444",,"Assis, MA",,,"Lundia obliqua","Bignoniaceae","Lundia",,"Sond.",,,,,,,,,,,,,,,"SP059306","Splink","SP",,"Tamashiro, J.Y.","1275","1995","Assis, M.A.",,"Rodrigues, R.R.; Goldenberg, R.; Ivanauskas, N.M.; Belinello, R.; Galvao, J.C.","Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","Lundia obliqua","Sond.","possibly_ok","Bignoniaceae","Lundia obliqua","Sond.","species","name accepted","bfo-113469",,,"Lundia obliqua Sond.","Lundia","Bignoniaceae","Lundia obliqua",1012798,"brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.233056,-49.634444,"coord_original","seconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"2",,"UNICAMP","UEC",,,"71728","1268","Tamashiro, JY; Belinello, R; Rodrigues, RR; Galvão, JC; Ivanauskas, NM; Goldenberg, R",,,"1995","06","14",,,,"Brazil",,"São Paulo","Timburi","Timburi","Fazenda Dominiciana",,,"-23.231639","-49.6345",,"-23.231639","-49.6345",,"Machado, AFP",,,"Ficus guaranitica","Moraceae","Ficus",,"Chodat",,,,,,,,,,,,,,,,"Splink","UEC",,"Tamashiro, J.Y.","1268","1995","Machado, A.F.P.",,"Belinello, R.; Rodrigues, R.R.; Galvao, J.C.; Ivanauskas, N.M.; Goldenberg, R.","Tamashiro",,"brazil","sao paulo","timburi","fazenda dominiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","Ficus guaranitica","Chodat","possibly_ok","Moraceae","Ficus guaranitica","Chodat","species","name accepted","bfo-10163",,,"Ficus guaranitica Chodat","Ficus","Moraceae","Ficus guaranitica",1081121,"brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231639,-49.6345,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","309549","1259","Tamashiro, JY; Rodrigues, RR; Goldenberg, R; Ivanauskas, NM; Belinello, R; Galvão, JC",,,"1995","06","14",,,,"Brasil",,"São Paulo","Timburi","Timburi","Fazenda Domiciana",,,"-23.231639","-49.6345",,"-23.231639","-49.6345",,,,,"Dahlstedtia floribunda","Fabaceae","Dahlstedtia",,"(Vogel) M.J.Silva & A.M.G.Azevedo",,,,,,,,,,,,,,,,"Splink","SP",,"Tamashiro, J.Y.","1259","1995",,,"Rodrigues, R.R.; Goldenberg, R.; Ivanauskas, N.M.; Belinello, R.; Galvao, J.C.","Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","Dahlstedtia floribunda","(Vogel) M.J. Silva & A.M.G. Azevedo","possibly_ok","Fabaceae","Dahlstedtia floribunda","(Vogel) M.J. Silva & A.M.G. Azevedo","species","author misspelled","bfo-135557",,,"Dahlstedtia floribunda (Vogel) M.J. Silva & A.M.G. Azevedo","Dahlstedtia","Fabaceae","Dahlstedtia floribunda",960345,"brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231639,-49.6345,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","303464","1260","Tamashiro, JY; Rodrigues, RR; Goldenberg, R; Ivanauskas, NM; Belinello, R; Galvão, JC",,,"1995","06","14",,,,"Brasil",,"São Paulo","Timburi","Timburi","Fazenda Domiciana",,,"-23.231639","-49.6345",,"-23.231639","-49.6345",,"Stehmann, JR",,,"Cestrum strigilatum","Solanaceae","Cestrum",,"Ruiz & Pav.",,,,,,,,,,,,,,,"SP115547","Splink","SP",,"Tamashiro, J.Y.","1260","1995","Stehmann, J.R.",,"Rodrigues, R.R.; Goldenberg, R.; Ivanauskas, N.M.; Belinello, R.; Galvao, J.C.","Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","Cestrum strigilatum","Ruiz & Pav.","possibly_ok","Solanaceae","Cestrum strigilatum","Ruiz & Pav.","species","name accepted","bfo-24853",,,"Cestrum strigilatum Ruiz & Pav.","Cestrum","Solanaceae","Cestrum strigilatum",1049132,"brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231639,-49.6345,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"15",,"UNESP-RC","HRCB",,"PRESERVED_SPECIMEN","20566","1270","Tamashiro, J.Y.",,,"1995","06","14",,,,"Brasil",,"São Paulo","Timburi","Timburi","Fazenda Domiciana",,,"-23.231389","-49.6345",,"23º13'53,9""S","49º38'04.2""W",,"Profice, S.R.",,,"Aphelandra schottiana","Acanthaceae","Aphelandra",,"(Nees) Profice",,,,,,,,,,,,,,,"HRCB020566","Splink","HRCB",,"Tamashiro, J.Y.","1270","1995","Profice, S.R.",,,"Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","Aphelandra schottiana","(Nees) Profice","possibly_ok","Acanthaceae","Aphelandra schottiana","(Nees) Profice","species","name accepted","bfo-4110",,,"Aphelandra schottiana (Nees) Profice","Aphelandra","Acanthaceae","Aphelandra schottiana",925155,"brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231389,-49.6345,"coord_original","seconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"7",,"USP","SPF",,"PRESERVED_SPECIMEN","101143","1253","Tamashiro, JY",,,"1995","06","14",,,,"Brasil",,"São Paulo","Timburi","Timburi","Fazenda Domiciana.",,,"-23.231414","-49.63445",,"-23.231414","-49.63445",,"Baitello, JB","2016-08-29",,"Ocotea prolifera","Lauraceae","Ocotea",,"(Nees & Mart.) Mez",,,,,"29","08","2016",,,,,,,,"SPF00101143","Splink","SPF",,"Tamashiro, J.Y.","1253","1995","Baitello, J.B.","2016",,"Tamashiro",,"brazil","sao paulo","timburi","fazenda domiciana",,"locality","brazil_sao paulo_timburi","brazil_sao paulo_timburi",-23.19523464,-49.61059905,"county","Ocotea prolifera","(Nees & Mart.) Mez","possibly_ok","Lauraceae","Ocotea prolifera","(Nees & Mart.) Mez","species","name accepted","bfo-25620",,,"Ocotea prolifera (Nees & Mart.) Mez","Ocotea","Lauraceae","Ocotea prolifera",1127542,"brazil_sao paulo_timburi","Brazil","São Paulo","Timburi",,"ibge",TRUE,-23.231414,-49.63445,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
,,"7",,"USP","SPF",,"PRESERVED_SPECIMEN","101451","1232","Tamashiro, JY",,,"1995","06","14",,,,"Brasil",,"São Paulo","Tejupá","Tejupá","Gruta das Águas Virtuosas, Taquaras.",,,"-23.390889","-49.377806",,"-23.390889","-49.377806",,"Carvalho-Silva, M","2011-08-NA",,"Peperomia pereskiifolia","Piperaceae","Peperomia",,"(Jacq.) Kunth",,,,,,"08","2011",,,,,,,,"SPF00101451","Splink","SPF",,"Tamashiro, J.Y.","1232","1995","Carvalho-Silva, M.","2011",,"Tamashiro",,"brazil","sao paulo","tejupa","gruta das aguas virtuosas",,"locality","brazil_sao paulo_tejupa","brazil_sao paulo_tejupa",-23.34200857,-49.30642202,"county","Peperomia pereskiaefolia","(Jacq.) Kunth","possibly_ok","Piperaceae","Peperomia pereskiaefolia","(Jacq.) Kunth","species","replaced orth. variant","bfo-12688","Peperomia pereskiaefolia","(Jacq.) Kunth","Peperomia pereskiaefolia (Jacq.) Kunth","Peperomia","Piperaceae","Peperomia pereskiaefolia",1128172,"brazil_sao paulo_tejupa","Brazil","São Paulo","Tejupá",,"ibge",TRUE,-23.390889,-49.377806,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA"
