"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"501",,"MICH","MICH",,"PRESERVED_SPECIMEN","1229167","427.822","Renato R. Jorge, M.B.B. Barreto",,,"2012","04","19",,,,"Brazil",,"São Paulo",,,"Brasil, SP, Munic. De Santos, Parque Estadual Marinho da Laje de Santos (Laje de Santos).",,,"0","0",,,,"Isotype",,,,"Osmundea sanctarum","Rhodomelaceae","Osmundea",,"M.T.Fujii & R.Rocha-Jorge",,,,,,,,"Osmundea sanctarum",,,,,,,,"Splink","MICH",,"R. Jorge, M.B.B.B.R.","427.822","2012",,,,"Jorge",,"brazil","sao paulo","brasil","parque estadual marinho da laje de santos","brasil","locality","brazil_sao paulo_brasil","brazil_sao paulo",-22.2584562,-48.7420254,"state","Osmundea sanctarum","M.T.Fujii & R.Rocha-Jorge","possibly_ok",,"Osmundea sanctarum","M.T.Fujii & R.Rocha-Jorge","species","not found",,,,"Osmundea sanctarum M.T.Fujii & R.Rocha-Jorge","Osmundea","Osmundaceae","Osmundea sanctarum",1538313,"brazil_sao paulo","Brazil","São Paulo",,,"gadm","high",FALSE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid","check_local.2state","ok_state_gazet",,,"no_cannot_check","no_match","MICH_1229167","Algae_1229167|MICH_1229167","4","1",,"Algae_1229167","Algae_1229167","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO"
"Physical Object",,,,"JBRJ","RB",,,"RB00599473",,"G.M. Amado Filho",,"2001-10-20","2001","10","20",,,,"Brasil","BR","São Paulo",,"Santos","Parque Estadual Marinho da Laje de Santos. Coleta realizada entre 18 e 20m de profundidade.",,,"-24.3186111","-46.1830556",,"24º19´7´´","46º10´59´´W",,"M.Monge & A.M.M. Saavedra","2012-1-21",,"Trixis lessingii DC.","Asteraceae","Trixis","species","DC.",,,,,,,,,,,,,,,,"JABOT","RB",,"Amado Filho, G.M.",,"2001","Monge, M.","2012",,"Amado Filho","Saavedra, A.M.M.","brazil","sao paulo","santos","parque estadual marinho da laje de santos",,"locality","brazil_sao paulo_santos","brazil_sao paulo_santos",-23.84964748,-46.27981485,"county","Trixis lessingii","DC.","name_w_authors","Asteraceae","Trixis lessingii","DC.","species","name accepted","bfo-5534",,,"Trixis lessingii DC.","Trixis","Asteraceae","Trixis lessingii",793376,"brazil_sao paulo_santos","Brazil","São Paulo","Santos",,"ibge","high",TRUE,-24.3186111,-46.1830556,"coord_original","miliseconds","check_local.2municip.","shore",,FALSE,"ok_dist","full_name_match","RB_599473",,"cc","cc",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","41445","281","C.de Moura & L.C.Liborio & R.N.Costa",,"2009-04-08","2009","4","8",,,,"Brasil","BR","São Paulo",,"Itanhaém","RVS das Ilhas do Abrigo e Guararitama",,,"-22.785556","-46.986111",,,,,"G.A.D.C. Franco","2009-04-28",,"Vigna luteola (Jacq.) Benth.","Fabaceae","Vigna","species","(Jacq.) Benth.","ACCEPTED",,,"Vigna luteola (Jacq.) Benth.",,,,"Vigna luteola","Vigna luteola",,,,,,,"GBIF","SPSF",,"Moura, C.","281","2009","Franco, G.A.D.C.","2009","Liborio, L.C.; Costa, R.N.","Moura",,"brazil","sao paulo","itanhaem","rvs das ilhas do abrigo e guararitama",,"locality","brazil_sao paulo_itanhaem","brazil_sao paulo_itanhaem",-24.09121087,-46.8346865,"county","Vigna luteola","(Jacq.) Benth.","name_w_authors","Fabaceae","Vigna luteola","(Jacq.) Benth.","species","name accepted","bfo-83863",,,"Vigna luteola (Jacq.) Benth.","Vigna","Fabaceae","Vigna luteola",48619,"brazil_sao paulo_itanhaem","Brazil","São Paulo","Itanhaém",,"ibge","medium",TRUE,-24.38,-46.986111,"coord_original","seconds","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","SPSF_41445","SPF_191539|SPSF_41445","3","0.75","SPF_191539","SPF_191539","SPF_191539","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO"
,,"31",,"IBt","SP-ALGAE",,"PRESERVED_SPECIMEN","427839",,"R.R. Jorge",,,"2012","04","19",,,,"Brasil",,"São Paulo","Santos","Santos","Parque Estadual Marinho da Laje de Santos (Laje Principal)",,,"-24.298611","-46.176944",,"24°17'55""S","46°10'37""W",,"R.R. Jorge","2013-0-NA",,"Rhizoclonium riparium","Cladophoraceae","Rhizoclonium",,"(Roth) Harvey",,,,,,"0","2013","Rhizoclonium riparium",,,,,,,,"Splink","SP-ALGAE","code not found","Jorge, R.R.",,"2012","Jorge, R.R.","2013",,"Jorge",,"brazil","sao paulo","santos","parque estadual marinho da laje de santos",,"locality","brazil_sao paulo_santos","brazil_sao paulo_santos",-23.84964748,-46.27981485,"county","Rhizoclonium riparium","(Roth) Harvey","possibly_ok",,"Rhizoclonium riparium","(Roth) Harvey","species","not found",,,,"Rhizoclonium riparium (Roth) Harvey","Rhizoclonium","Rhizophoraceae","Rhizoclonium riparium",1520277,"brazil_sao paulo_santos","Brazil","São Paulo","Santos",,"ibge","low",TRUE,-24.298611,-46.176944,"coord_original","seconds","check_local.2municip.","shore",,FALSE,"no_cannot_check","no_match","SP-ALGAE_427839",,"cc","cc",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO"
,,"31",,"IBt","SP-ALGAE",,"PRESERVED_SPECIMEN","427833",,"R.R. Jorge",,,"2012","04","19",,,,"Brasil",,"São Paulo","Santos","Santos","Parque Estadual Marinho da Laje de Santos (Laje Principal)",,,"-24.298611","-46.176944",,"24°17'55""S","46°10'37""W",,"R.R. Jorge","2013-0-NA",,"Cladophora longicellulata","Cladophoraceae","Cladophora",,"C.Hoek",,,,,,"0","2013","Cladophora longicellulata",,,,,,,,"Splink","SP-ALGAE","code not found","Jorge, R.R.",,"2012","Jorge, R.R.","2013",,"Jorge",,"brazil","sao paulo","santos","parque estadual marinho da laje de santos",,"locality","brazil_sao paulo_santos","brazil_sao paulo_santos",-23.84964748,-46.27981485,"county","Cladophora longicellulata","C.Hoek","possibly_ok",,"Cladophora longicellulata","C.Hoek","species","not found",,,,"Cladophora longicellulata C.Hoek","Cladophora","Loasaceae","Cladophora longicellulata",1519601,"brazil_sao paulo_santos","Brazil","São Paulo","Santos",,"ibge","low",TRUE,-24.298611,-46.176944,"coord_original","seconds","check_local.2municip.","shore",,,"no_cannot_check","no_match","SP-ALGAE_427833",,"cc","cc",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO"
,,"31",,"IBt","SP-ALGAE",,"PRESERVED_SPECIMEN","427824",,"R. Rocha-Jorge",,,"2012","11","05",,,,"Brasil",,"São Paulo","Santos","Santos","Parque Estadual Marinho da Laje de Santos (Laje Principal)",,,"-24.298611","-46.176944",,"24°17'55""S","46°10'37""W",,"R. Rocha-Jorge","2013-0-NA",,"Bryopsis hypnoides","Bryopsidaceae","Bryopsis",,"J.V.Lamouroux",,,,,,"0","2013","Bryopsis hypnoides",,,,,,,,"Splink","SP-ALGAE","code not found","Rocha-Jorge, R.",,"2012","Rocha-Jorge, R.","2013",,"Rocha-Jorge",,"brazil","sao paulo","santos","parque estadual marinho da laje de santos",,"locality","brazil_sao paulo_santos","brazil_sao paulo_santos",-23.84964748,-46.27981485,"county","Bryopsis hypnoides","J.V.Lamouroux","possibly_ok",,"Bryopsis hypnoides","J.V.Lamouroux","species","not found",,,,"Bryopsis hypnoides J.V.Lamouroux","Bryopsis","Fabaceae","Bryopsis hypnoides",1523481,"brazil_sao paulo_santos","Brazil","São Paulo","Santos",,"ibge","low",TRUE,-24.298611,-46.176944,"coord_original","seconds","check_local.2municip.","shore",,,"no_cannot_check","no_match","SP-ALGAE_427824",,"cc","cc",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO"
,,"31",,"IBt","SP-ALGAE",,"PRESERVED_SPECIMEN","427814",,"R. Rocha-Jorge",,,"2012","11","05",,,,"Brasil",,"São Paulo","Santos","Santos","Parque Estadual Marinho da Laje de Santos (Laje Principal)",,,"-24.298333","-46.176944",,"24°17'54""S","46°10'37""W",,"R. Rocha-Jorge","2013-0-NA",,"Arthrocardia corymbosa","Corallinaceae","Arthrocardia",,"(Lamarck) Decaisne",,,,,,"0","2013","Arthrocardia corymbosa",,,,,,,,"Splink","SP-ALGAE","code not found","Rocha-Jorge, R.",,"2012","Rocha-Jorge, R.","2013",,"Rocha-Jorge",,"brazil","sao paulo","santos","parque estadual marinho da laje de santos",,"locality","brazil_sao paulo_santos","brazil_sao paulo_santos",-23.84964748,-46.27981485,"county","Arthrocardia corymbosa","(Lamarck) Decaisne","possibly_ok",,"Arthrocardia corymbosa","(Lamarck) Decaisne","species","not found",,,,"Arthrocardia corymbosa (Lamarck) Decaisne","Arthrocardia","Cactaceae","Arthrocardia corymbosa",1519239,"brazil_sao paulo_santos","Brazil","São Paulo","Santos",,"ibge","low",TRUE,-24.298333,-46.176944,"coord_original","seconds","check_local.2municip.","shore",,,"no_cannot_check","no_match","SP-ALGAE_427814",,"cc","cc",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO"
,,"31",,"IBt","SP-ALGAE",,"PRESERVED_SPECIMEN","429277",,"M.T. Fujii",,,"2012","04","19",,,,"Brasil",,"São Paulo",,,"Parque Estadual Marinho Laje de Santos, Laje principal",,,"-24.319722","-46.180556",,"24°19'11""S","46°10'50""W",,"C.H. Kano","2013-0-NA",,"Acrosorium ciliolatum","Delesseriaceae","Acrosorium",,"(Harvey) Kylin",,,,,,"0","2013","Acrosorium ciliolatum",,,,,,,,"Splink","SP-ALGAE","code not found","Fujii, M.T.",,"2012","Kano, C.H.","2013",,"Fujii",,"brazil","sao paulo","parque estadual marinho laje de santos","parque estadual marinho laje de santos",,"locality","brazil_sao paulo_parque estadual marinho laje santos","brazil_sao paulo",-22.2584562,-48.7420254,"state","Acrosorium ciliolatum","(Harvey) Kylin","possibly_ok",,"Acrosorium ciliolatum","(Harvey) Kylin","species","not found",,,,"Acrosorium ciliolatum (Harvey) Kylin","Acrosorium","Pteridaceae","Acrosorium ciliolatum",1519156,"brazil_sao paulo","Brazil","São Paulo",,,"gadm","low",TRUE,-24.319722,-46.180556,"coord_original","seconds","check_local.2state","ok_country",,FALSE,"no_cannot_check","no_match","SP-ALGAE_429277",,"cc","cc",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO"
,,"31",,"IBt","SP-ALGAE",,"PRESERVED_SPECIMEN","427809",,"R. Rocha-Jorge",,,"2012","11","05",,,,"Brasil",,"São Paulo","Santos","Santos","Parque Estadual Marinho da Laje de Santos - Laje Principal",,,"-24.318889","-46.180556",,"24°19'08""S","46°10'50""W",,"R. Rocha-Jorge","2012-0-NA",,"Gelidium microdonticum","Gelidiaceae","Gelidium",,"W.R. Taylor",,,,,,"0","2012","Gelidium microdonticum",,,,,,,,"Splink","SP-ALGAE","code not found","Rocha-Jorge, R.",,"2012","Rocha-Jorge, R.","2012",,"Rocha-Jorge",,"brazil","sao paulo","santos","parque estadual marinho da laje de santos",,"locality","brazil_sao paulo_santos","brazil_sao paulo_santos",-23.84964748,-46.27981485,"county","Gelidium microdonticum","W.R. Taylor","possibly_ok",,"Gelidium microdonticum","W.R. Taylor","species","not found",,,,"Gelidium microdonticum W.R. Taylor","Gelidium","Rubiaceae","Gelidium microdonticum",1522837,"brazil_sao paulo_santos","Brazil","São Paulo","Santos",,"ibge","low",TRUE,-24.318889,-46.180556,"coord_original","seconds","check_local.2municip.","ok_country",,FALSE,"no_cannot_check","no_match","SP-ALGAE_427809",,"cc","cc",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO"
,,"31",,"IBt","SP-ALGAE",,"PRESERVED_SPECIMEN","400562",,"R.R. Jorge",,,"2009","01","16",,,,"Brasil",,"São Paulo","Santos","Santos","Parque Estadual Marinho da Laje de Santos,Parcel do Brilhante",,,"-24.140278","-46.293333",,"24° 08' 25""S","46° 17' 36"" W",,"R.R. Jorge",,,"Phymatolithon cf.calcareum","Corallinaceae","Phymatolithon",,"(Pallas)W.H.Adey & D.L.McKibbin",,,,,,,,"Phymatolithon cf.calcareum",,,,,,,,"Splink","SP-ALGAE","code not found","Jorge, R.R.",,"2009","Jorge, R.R.",,,"Jorge",,"brazil","sao paulo","santos","parque estadual marinho da laje de santos",,"locality","brazil_sao paulo_santos","brazil_sao paulo_santos",-23.84964748,-46.27981485,"county","Phymatolithon calcareum","(Pallas)W.H.Adey & D.L.McKibbin","conferre",,"Phymatolithon calcareum","(Pallas)W.H.Adey & D.L.McKibbin","species","not found",,,,"Phymatolithon calcareum (Pallas)W.H.Adey & D.L.McKibbin","Phymatolithon","Malvaceae","Phymatolithon calcareum",1523160,"brazil_sao paulo_santos","Brazil","São Paulo","Santos",,"ibge","low",TRUE,-24.140278,-46.293333,"coord_original","seconds","check_local.2municip.","shore",,,"no_cannot_check","no_match","SP-ALGAE_400562",,"cc","cc",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO"
