"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","verbatimBasisOfRecord","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","recordID","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC","tax.check","species.new"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN",,,,"248437","918","Robim, MJ; et al.",,,,,,,,,,,,,,,,,,,,,,"São Paulo","Ubatuba","Ubatuba","Parque Estadual da Ilha Anchieta.",,,,"-23.43","-45.07",,"34265",,,,,,,,,,"Anunciação, EA",,,,,"Psychotria hofmannseggiana",,,,,,,"Plantae",,,,,"Rubiaceae",,,,"Psychotria",,,,"hofmannseggiana",,,,,,,,,,,,,,"Psychotria hofmannseggiana",,,,,,,"Brazil",,,,,,,,,"(Roem. & Schult.) Müll.Arg.","Splink","PreservedSpecimen",,,,,,,,,,"MBM248437",,,,,,,,,,,,,,,,,,,"MBM",,"Robim, M.J.","918",,"Anunciacao, E.A.",,,"Robim",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","treeco","ok_same_resolution","Psychotria hoffmansegianna","(Roem. & Schult.) Müll.Arg.","possibly_ok","Rubiaceae","Psychotria hoffmansegianna","(Roem. & Schult.) Müll.Arg.","species","name misspelled|check not resolved","bfo-26083",,,"Psychotria hoffmansegianna (Roem. & Schult.) Müll.Arg.","Psychotria","Rubiaceae",1485436,"TRUE","-23.43",-45.07,"coord_original","miliseconds","ok_county",,0,"no_cannot_check","full_name_match","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","high","Psychotria hoffmansegianna"
"speciesLink",,,"2025-01-15T09:30:16",,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN",,,,"122887",,"Carvalho, M.H.",,,,,,,,,,,,,,,,,,,,,,"São Paulo","Ubatuba","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).",,,,"-23.43","-45.07",,"34265",,,,,,,,,,"Colletta, G.D.",,"2013-NA-NA",,,"Piper mollicomum",,,,,,,"Plantae",,,,,"Piperaceae",,,,"Piper",,,,"mollicomum",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,,"Splink","PreservedSpecimen",,,,,,"2013",,,,"ESA122887",,,,,,,,,,,,,,,,,,,"ESA",,"Carvalho, M.H.",,,"Colletta, G.D.","2013",,"Carvalho",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","treeco","ok_same_resolution","Piper mollicomum","Kunth","possibly_ok","Piperaceae","Piper mollicomum","Kunth","species","name accepted","bfo-12816",,,"Piper mollicomum Kunth","Piper","Piperaceae",1387036,"TRUE","-23.43",-45.07,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","high","Piper mollicomum"
"speciesLink",,,"2024-01-30T15:24:13",,,"7",,"USP","SPF",,"PRESERVED_SPECIMEN",,,,"216188","270","Devecchi, MF",,,,,,,,,,,,"2014","01","30",,,,,,,,"São Paulo","Ubatuba","Ubatuba","Parque Estadual da Ilha Anchieta, Trilha para a praia do Sul, ca. 500m depois da bifurcação da trilha para a Praia das Palmas.",,,,"-23.541528","-45.071917",,,,,,,,,,,,"Devecchi, MF",,"2017-06-NA",,,"Homalolepis insignis",,,,,,,"Plantae",,,,,"Simaroubaceae",,,,"Homalolepis",,,,"insignis",,,,,,,,,,,,,,,,,,,,,"Brasil","5","5",,,,,"-23.541528","-45.071917","(A.St.-Hil. & Tul.) Devecchi & Pirani","Splink","PreservedSpecimen",,,,"06",,"2017",,,,"SPF00216188",,,,,,,,,,,,,,,,,,,"SPF",,"Devecchi, M.F.","270","2014","Devecchi, M.F.","2017",,"Devecchi",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","treeco","ok_same_resolution","Homalolepis insignis","(A.St.-Hil. & Tul.) Devecchi & Pirani","possibly_ok","Simaroubaceae","Homalolepis insignis","(A.St.-Hil. & Tul.) Devecchi & Pirani","species","name accepted","bfo-604266",,,"Homalolepis insignis (A.St.-Hil. & Tul.) Devecchi & Pirani","Homalolepis","Simaroubaceae",1344059,"TRUE","-23.541528",-45.071917,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","high","Homalolepis insignis"
"speciesLink",,,"2023-12-20T16:04:35",,,"7",,"USP","SPF",,"PRESERVED_SPECIMEN",,,,"223653","1450","Giaretta, A",,,,,,,,,,,,"2014","12","15",,,,,,,,"São Paulo","Ubatuba","Ubatuba","Parque Estadual da Ilha Anchieta, Trilha para a Praia do Sul.",,,,"-23.543667","-45.073806",,,,,,,,,,,,"Giaretta, A",,"2016-02-NA",,,"Eugenia pisiformis",,,,,,,"Plantae",,,,,"Myrtaceae",,,,"Eugenia",,,,"pisiformis",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"-23.543667","-45.073806","Cambess.","Splink","PreservedSpecimen",,,,"02",,"2016",,,,"SPF00223653",,,,,,,,,,,,,,,,,,,"SPF",,"Giaretta, A.","1450","2014","Giaretta, A.","2016",,"Giaretta",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","treeco","ok_same_resolution","Eugenia pisiformis","Cambess.","possibly_ok","Myrtaceae","Eugenia pisiformis","Cambess.","species","name accepted","bfo-10498",,,"Eugenia pisiformis Cambess.","Eugenia","Myrtaceae",1348498,"TRUE","-23.543667",-45.073806,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","high","Eugenia pisiformis"
"speciesLink",,,"2025-01-15T09:27:25",,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN",,,,"122958","2357","Zipparro, V.B.",,,,,,,,,,,,"2008","08","21",,,,,,,,"São Paulo","Ubatuba","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).",,,,"-23.43","-45.07",,"34265",,,,,,,,,,"Monge, M.",,"2023-08-NA",,,"Stifftia fruticosa",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Stifftia",,,,"fruticosa",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"(Vell.) D.J.N.Hind & Semir","Splink","PreservedSpecimen",,,,"08",,"2023",,,,"ESA122958",,,,,,,,,,,,,,,,,,,"ESA",,"Zipparro, V.B.","2357","2008","Monge, M.","2023",,"Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","treeco","ok_same_resolution","Stifftia fruticosa","(Vell.) D.J.N.Hind & Semir","possibly_ok","Asteraceae","Stifftia fruticosa","(Vell.) D.J.N.Hind & Semir","species","name accepted","bfo-5508",,,"Stifftia fruticosa (Vell.) D.J.N.Hind & Semir","Stifftia","Asteraceae",1424503,"TRUE","-23.43",-45.07,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","high","Stifftia fruticosa"
"speciesLink",,,"2024-08-06T09:15:16",,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN",,,,"46647","2356","V.B.Zipparro",,,,,,,,,,,,"2008","02","20",,,,,,,,"SP","Ubatuba","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA)",,,,"-23.541667","-45.058333",,,,,,,,,,,,"N.C.Bigio",,"2019-09-05",,,"Pera glabrata",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales",,"Peraceae",,,,"Pera",,,,"glabrata",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"((Schott)) Baill.","Splink","PreservedSpecimen","05",,,"09",,"2019",,,,"SPSF00046647","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Zipparro, V.B.","2356","2008","Bigio, N.C.","2019",,"Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","treeco","ok_same_resolution","Pera glabrata","(Schott) Baill.","possibly_ok","Peraceae","Pera glabrata","(Schott) Baill.","species","author misspelled","bfo-17629",,,"Pera glabrata (Schott) Baill.","Pera","Peraceae",973033,"TRUE","-23.541667",-45.058333,"coord_original","seconds","ok_county",,0,"ok_dist","full_name_match","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","high","Pera glabrata"
"speciesLink",,,"2025-03-13T16:59:35",,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN",,,,"122896","2436","Zipparro, V.B.",,,,,,,,,,,,"2008","06","20",,,,,,,,"São Paulo","Ubatuba","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).",,,,"-23.43","-45.07",,"34265",,,,,,,,,,"Acevedo, P.",,"2018-01-04",,,"Serjania caracasana",,,,,,,"Plantae",,,,,"Sapindaceae",,,,"Serjania",,,,"caracasana",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,,"Splink","PreservedSpecimen","04",,,"01",,"2018",,,,"ESA122896",,,,,,,,,,,,,,,,,,,"ESA",,"Zipparro, V.B.","2436","2008","Acevedo, P.","2018",,"Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","treeco","ok_same_resolution","Serjania caracasana","(Jacq.) Willd.","possibly_ok","Sapindaceae","Serjania caracasana","(Jacq.) Willd.","species","name accepted","bfo-20941",,,"Serjania caracasana (Jacq.) Willd.","Serjania","Sapindaceae",1387120,"TRUE","-23.43",-45.07,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","high","Serjania caracasana"
"speciesLink",,,"2024-08-06T09:15:48",,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN",,,,"46542","2473","V.B.Zipparro",,,,,,,,,,,,"2008","07","27",,,,,,,,"SP","Ubatuba","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA)",,,,"-23.541667","-45.058333",,,,,,,,,,,,"O.T. Aguiar",,"2017-10-10",,,"Eugenia brasiliensis",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales",,"Myrtaceae",,,,"Eugenia",,,,"brasiliensis",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"Lam.","Splink","PreservedSpecimen","10",,,"10",,"2017",,,,"SPSF00046542","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Zipparro, V.B.","2473","2008","Aguiar, O.T.","2017",,"Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","treeco","ok_same_resolution","Eugenia brasiliensis","Lam.","possibly_ok","Myrtaceae","Eugenia brasiliensis","Lam.","species","name accepted","bfo-10359",,,"Eugenia brasiliensis Lam.","Eugenia","Myrtaceae",969833,"TRUE","-23.541667",-45.058333,"coord_original","seconds","ok_county",,0,"ok_dist","full_name_match","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","high","Eugenia brasiliensis"
"speciesLink",,,"2025-02-04T08:00:53",,,"15",,"UNESP-RC","HRCB",,"PRESERVED_SPECIMEN",,,,"51956","2404","Zipparro, V.B.",,,,,,,,,,,,"2008","04","18",,,,,,,,"São Paulo","Ubatuba","Ubatuba","Parque Estadual da Ilha Anchieta Trilha do Sul",,,,"-23.516667","-45.033333",,,,,,,,,,,,"Petrongari, F.S.",,"2017-05-06",,,"Distimake macrocalyx",,,,,,,"Plantae",,,,,"Convolvulaceae",,,,"Distimake",,,,"macrocalyx",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"23º31'S","45º02'W","(Ruiz & Pav.) A.R. Simões & Staples","Splink","PreservedSpecimen","06",,,"05",,"2017",,,,"HRCB051956",,,,,,,,,,,,,,,,,,,"HRCB",,"Zipparro, V.B.","2404","2008","Petrongari, F.S.","2017",,"Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta trilha do sul",,"locality","brazil_sao paulo_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county","brazil_sao paulo_ubatuba","Brazil","São Paulo","Ubatuba",,"ibge","check_local.2municip.","Distimake macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","possibly_ok","Convolvulaceae","Distimake macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","species","name accepted","bfo-604876",,,"Distimake macrocalyx (Ruiz & Pav.) A.R. Simões & Staples","Distimake","Convolvulaceae",1144951,"TRUE","-23.516667",-45.033333,"coord_original","minutes","shore",,0,"ok_dist","full_name_match","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","high","Distimake macrocalyx"
"speciesLink",,,"2025-01-15T09:27:14",,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN",,,,"123107","2360","Zipparro, V.B.",,,,,,,,,,,,"2008","02","21",,,,,,,,"São Paulo","Ubatuba","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).",,,,"-23.43","-45.07",,"34265",,,,,,,,,,"Heiden, G.",,"2015-NA-NA",,,"Baccharis singularis",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Baccharis",,,,"singularis",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"(Vell.) G.M.Barroso","Splink","PreservedSpecimen",,,,,,"2015",,,,"ESA123107",,,,,,,,,,,,,,,,,,,"ESA",,"Zipparro, V.B.","2360","2008","Heiden, G.","2015",,"Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","treeco","ok_same_resolution","Baccharis singularis","(Vell.) G.M.Barroso","possibly_ok","Asteraceae","Baccharis singularis","(Vell.) G.M.Barroso","species","name accepted","bfo-5251",,,"Baccharis singularis (Vell.) G.M.Barroso","Baccharis","Asteraceae",1387104,"TRUE","-23.43",-45.07,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","high","Baccharis singularis"
