"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"389",,"UTFPR","DVPR",,"PRESERVED_SPECIMEN","7422","2417","Brotto, M.L.; Silva, J.M., Voltz, R.R.",,,"2017","2","22",,,,"Brazil",,"São Paulo","Barra do Turvo","Barra do Turvo","próximo ao rio Pardo",,,"-24.756399","-48.5047","38172",,,,"Brotto, M.L.","2017-3-27",,"Nectandra membranacea","Lauraceae","Nectandra",,"(Sw.) Griseb.",,,,,"27","3","2017",,,,"WGS84",,,,"DVPR007422","Splink","DVPR",,"Brotto, M.L.","2417","2017","Brotto, M.L.","2017","Silva, J.M.; Voltz, R.R.","Brotto",,"brazil","sao paulo","barra do turvo","proximo ao rio pardo",,"municipality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county","Nectandra membranacea","(Sw.) Griseb.","possibly_ok","Lauraceae","Nectandra membranacea","(Sw.) Griseb.","species","name accepted","bfo-8432",,,"Nectandra membranacea (Sw.) Griseb.","Nectandra","Lauraceae","Nectandra membranacea",1334017,"brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","high",TRUE,-24.726111,-48.537222,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","DVPR_7422","DVPR_7422|HRCB_79087|MBM_408345|RB_1408806","3","0.75","MBM_408345","MBM_408345","MBM_408345","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","35972","57","A.C.C.Destefani",,,"2005","03","22",,,,"Brazil",,"São Paulo","Eldorado","Eldorado","Parque Estadual de Jacupiranga, Núcleo Caverna do Diabo. Trilha do Rolado.",,,"-24.52","-48.099998","38804",,,,,,,"Triumfetta semitriloba","Malvaceae","Triumfetta",,,,,,,,,,,,,"WGS84",,,,"SPSF00035972","Splink","SPSF",,"Destefani, A.C.C.","57","2005",,,,"Destefani",,"brazil","sao paulo","eldorado","parque estadual de jacupiranga",,"locality","brazil_sao paulo_eldorado_parque estadual jacupiranga","brazil_sao paulo_eldorado_parque estadual jacupiranga",-24.627344,-48.398324,"locality","Triumfetta semitriloba","Jacq.","possibly_ok","Malvaceae","Triumfetta semitriloba","Jacq.","species","name accepted","bfo-9267",,,"Triumfetta semitriloba Jacq.","Triumfetta","Malvaceae","Triumfetta semitriloba",836410,"brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge","high",TRUE,-24.643333,-48.400278,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_35972","ESA_93721|SPSF_35972|UEC_142730","4","1",,"UEC_142730","UEC_142730","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA"
,,"680",,"CNPF","HFC",,"PRESERVED_SPECIMEN","7502","184","Meireles, JE",,,"2005","03","22",,,,"Brazil",,"São Paulo","Eldorado","Eldorado","Parque Estadual de Jacupiranga, Núcleo caverna do Diabo. Trilha do Rolado. Floresta Ombrófila Densa Baixo Montana Ribeirinha Degradada com afloramento de calcário. 400 mmsm",,,"-24.633333","-48.4",,"-24.633333","-48.4",,,,,"Strychnos brasiliensis","Loganiaceae","Strychnos",,"Mart.",,,,,,,,,,,"WGS84",,,,"HFC007502","Splink","HFC","code not found","Meireles, J.E.","184","2005",,,,"Meireles",,"brazil","sao paulo","eldorado","parque estadual de jacupiranga",,"municipality","brazil_sao paulo_eldorado","brazil_sao paulo_eldorado_parque estadual jacupiranga",-24.627344,-48.398324,"locality","Strychnos brasiliensis","(Spreng.) Mart.","possibly_ok","Loganiaceae","Strychnos brasiliensis","(Spreng.) Mart.","species","author misspelled","bfo-8670",,,"Strychnos brasiliensis (Spreng.) Mart.","Strychnos","Loganiaceae","Strychnos brasiliensis",910468,"brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge","high",TRUE,-24.643333,-48.400278,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","HFC_7502","ESA_95356|HFC_7502|SPSF_36065|UEC_142771","4","1",,"SPSF_36065","UEC_142771","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","36454","229","A.C.C.Destefani",,,"2005","04","01",,,,"Brazil",,"São Paulo","Eldorado","Eldorado","Parque Estadual de Jacupiranga, Núcleo Caverna do Diabo. Trilha do Evaristo. Floresta Ombrófila Densa Baixo Montana. Muito Degradada.",,,"-24.52","-48.099998","38804",,,,,,,"Smilax quinquenervia","Smilacaceae","Smilax",,,,,,,,,,,,,"WGS84",,,,"SPSF00036454","Splink","SPSF",,"Destefani, A.C.C.","229","2005",,,,"Destefani",,"brazil","sao paulo","eldorado","parque estadual de jacupiranga",,"locality","brazil_sao paulo_eldorado_parque estadual jacupiranga","brazil_sao paulo_eldorado_parque estadual jacupiranga",-24.627344,-48.398324,"locality","Smilax quinquenervia","Vell.","possibly_ok","Smilacaceae","Smilax quinquenervia","Vell.","species","name accepted","bfo-14563",,,"Smilax quinquenervia Vell.","Smilax","Smilacaceae","Smilax quinquenervia",835279,"brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge","high",TRUE,-24.643333,-48.400278,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_36454","ESA_95316|SPSF_36454|UEC_144184","4","1",,"UEC_144184","UEC_144184","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA"
,,"680",,"CNPF","HFC",,"PRESERVED_SPECIMEN","7481","231","Meireles, JE",,,"2005","03","25",,,,"Brazil",,"São Paulo","Eldorado","Eldorado","Parque Estadual de Jacupiranga",,,"-24.616667","-48.4",,"-24.616667","-48.4",,"Souza, VC","2005-NA-NA",,"Sida planicaulis","Malvaceae","Sida",,"Cav.",,,,,,,"2005",,,,"WGS84",,,,"HFC007481","Splink","HFC","code not found","Meireles, J.E.","231","2005","Souza, V.C.",,,"Meireles",,"brazil","sao paulo","eldorado","parque estadual de jacupiranga",,"municipality","brazil_sao paulo_eldorado","brazil_sao paulo_eldorado_parque estadual jacupiranga",-24.627344,-48.398324,"locality","Sida planicaulis","Cav.","possibly_ok","Malvaceae","Sida planicaulis","Cav.","species","name accepted","bfo-9227",,,"Sida planicaulis Cav.","Sida","Malvaceae","Sida planicaulis",891971,"brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge","high",TRUE,-24.630556,-48.403611,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","HFC_7481","ESA_95404|HFC_7481|SPSF_36000|UEC_142815","4","1","ESA_95404","SPSF_36000","UEC_142815","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","35941","250","J.E.Meireles",,,"2005","03","25",,,,"Brazil",,"São Paulo","Eldorado","Eldorado","Parque Estadual do Jacupiranga, Núcleo Caverna do Diabo. Tilha da Água Grande / Ressurgência. Floresta Ombrófila densa baixo montana pouco degradada sobre afloramento de calcário.",,,"-24.52","-48.099998","38804",,,,,,,"Pleurostachys urvillei","Cyperaceae","Pleurostachys",,,,,,,,,,,,,"WGS84",,,,"SPSF00035941","Splink","SPSF",,"Meireles, J.E.","250","2005",,,,"Meireles",,"brazil","sao paulo","eldorado","parque estadual do jacupiranga",,"locality","brazil_sao paulo_eldorado_parque estadual jacupiranga","brazil_sao paulo_eldorado_parque estadual jacupiranga",-24.627344,-48.398324,"locality","Rhynchospora scalaris","L.B.Sm.","possibly_ok","Cyperaceae","Rhynchospora scalaris","L.B.Sm.","species","replaced synonym","bfo-51821","Rhynchospora scalaris","L.B.Sm.","Rhynchospora scalaris L.B.Sm.","Rhynchospora","Cyperaceae","Rhynchospora scalaris",833981,"brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge","high",TRUE,-24.630556,-48.4,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_35941","ESA_95390|SPSF_35941|UEC_142718","4","1",,"UEC_142718","UEC_142718","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA"
,,"680",,"CNPF","HFC",,"PRESERVED_SPECIMEN","7484","183","Meireles, JE",,,"2005","03","22",,,,"Brasil",,"São Paulo","Eldorado","Eldorado","Parque Estadual de Jacupiranga, Núcleo Caverna do Diabo; trilha do Rolado",,,"-24.633333","-48.4",,"-24.633333","-48.4",,"Jung-Mendaçolli, SL","2005-NA-NA",,"Psychotria carthagenensis","Rubiaceae","Psychotria",,"Jacq.",,,,,,,"2005",,,,"WGS84",,,,"HFC007484","Splink","HFC","code not found","Meireles, J.E.","183","2005","Jung-Mendacolli, S.L.",,,"Meireles",,"brazil","sao paulo","eldorado","parque estadual de jacupiranga",,"municipality","brazil_sao paulo_eldorado","brazil_sao paulo_eldorado_parque estadual jacupiranga",-24.627344,-48.398324,"locality","Psychotria carthagenensis","Jacq.","possibly_ok","Rubiaceae","Psychotria carthagenensis","Jacq.","species","name accepted","bfo-14167",,,"Psychotria carthagenensis Jacq.","Psychotria","Rubiaceae","Psychotria carthagenensis",891954,"brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge","high",TRUE,-24.643333,-48.400278,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","HFC_7484","ESA_95375|HFC_7484|IAC_52816|SPSF_36064|UEC_142770","4","1","ESA_95375","SPSF_36064","IAC_52816","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","35970","59","A.C.C.Destefani",,,"2005","03","22",,,,"Brazil",,"São Paulo","Eldorado","Eldorado","Parque Estadual de Jacupiranga",,,"-24.52","-48.099998","38804",,,,,,,"Ossaea sanguinea","Melastomataceae","Ossaea",,,,,,,,,,,,,"WGS84",,,,"SPSF00035970","Splink","SPSF",,"Destefani, A.C.C.","59","2005",,,,"Destefani",,"brazil","sao paulo","eldorado","parque estadual de jacupiranga",,"locality","brazil_sao paulo_eldorado_parque estadual jacupiranga","brazil_sao paulo_eldorado_parque estadual jacupiranga",-24.627344,-48.398324,"locality","Ossaea sanguinea","Cogn.","possibly_ok","Melastomataceae","Ossaea sanguinea","Cogn.","species","name accepted","bfo-9840",,,"Ossaea sanguinea Cogn.","Ossaea","Melastomataceae","Ossaea sanguinea",844904,"brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge","high",TRUE,-24.643333,-48.400278,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_35970","ESA_93698|SPSF_35970|UEC_142731","4","1",,"UEC_142731","UEC_142731","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","35942","254","J.E.Meireles",,,"2005","03","25",,,,"Brazil",,"São Paulo","Eldorado","Eldorado","Parque Estadual de Jacupiranga, Núcleo Caverna do Diabo. Trilha da Água Grande/Ressurgência.",,,"-24.52","-48.099998","38804",,,,"G.M. Antai","2017-04-17",,"Hyptis radicans","Lamiaceae","Hyptis",,"(J.F.B. Pastore & Pohl) Harley",,,,,"17","04","2017",,,,"WGS84",,,,"SPSF00035942","Splink","SPSF",,"Meireles, J.E.","254","2005","Determinador, S.",,,"Meireles",,"brazil","sao paulo","eldorado","parque estadual de jacupiranga",,"locality","brazil_sao paulo_eldorado_parque estadual jacupiranga","brazil_sao paulo_eldorado_parque estadual jacupiranga",-24.627344,-48.398324,"locality","Hyptis radicans","(Pohl) Harley & J.F.B.Pastore","possibly_ok","Lamiaceae","Hyptis radicans","(Pohl) Harley & J.F.B.Pastore","species","author misspelled","bfo-133004",,,"Hyptis radicans (Pohl) Harley & J.F.B.Pastore","Hyptis","Lamiaceae","Hyptis radicans",878308,"brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge","high",TRUE,-24.630556,-48.402778,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_35942","ESA_95414|SPSF_35942|UEC_142720","4","1","ESA_95414","UEC_142720","UEC_142720","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","35969","60","A.C.C.Destefani",,,"2005","03","22",,,,"Brazil",,"São Paulo","Eldorado","Eldorado","Parque Estadual de Jacupiranga, Núcleo Caverna do Diabo, Trilha do Rolado. Floresta Ombrófila Densa Baixo Montana Ribeirinha Degradada com afloramento de calcário.",,,"-24.52","-48.099998","38804",,,,,,,"Ficus luschnathiana","Moraceae","Ficus",,,,,,,,,,,,,"WGS84",,,,"SPSF00035969","Splink","SPSF",,"Destefani, A.C.C.","60","2005","Determinador, S.",,,"Destefani",,"brazil","sao paulo","eldorado","parque estadual de jacupiranga",,"locality","brazil_sao paulo_eldorado_parque estadual jacupiranga","brazil_sao paulo_eldorado_parque estadual jacupiranga",-24.627344,-48.398324,"locality","Ficus luschnathiana","(Miq.) Miq.","possibly_ok","Moraceae","Ficus luschnathiana","(Miq.) Miq.","species","name accepted","bfo-10168",,,"Ficus luschnathiana (Miq.) Miq.","Ficus","Moraceae","Ficus luschnathiana",877489,"brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge","high",TRUE,-24.643333,-48.400278,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_35969","ESA_93702|SP_408959|SPSF_35969|UEC_142732","3","0.75","ESA_93702","UEC_142732","UEC_142732","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA"
