"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","262183","s.n.","Lorenzi, H",,"1991-10-10","1991","10","10",,,,"Brasil","BR","São Paulo",,"Bauru","Horto Florestal de Bauru",,,,,,,,,"Baitello, JB","2003-01-01",,"Ocotea pulchella (Nees & Mart.) Mez","Lauraceae","Mespilodaphne","species","(Nees & Mart.) Mez","SYNONYM",,,"Mespilodaphne pulchella Meisn.",,,,"Ocotea pulchella","Mespilodaphne pulchella",,"WGS84",,,,,"GBIF","SP","code not found","Lorenzi, H.",,"1991","Baitello, J.B.","2003",,"Lorenzi",,"brazil","sao paulo","bauru","horto florestal de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","Ocotea pulchella","(Nees & Mart.) Mez","name_w_authors","Lauraceae","Ocotea pulchella","(Nees & Mart.) Mez","species","name accepted","bfo-8480",,,"Ocotea pulchella (Nees & Mart.) Mez","Ocotea","Lauraceae","Ocotea pulchella",386056,"brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge","high",TRUE,-22.25370412,-49.12646842,"coord_gazet","seconds_centroid","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","SP_262183",,"cc","cc",,,,"High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA"
,,"https://specieslink.net/col/64",,"IAC","IAC",,"PRESERVED_SPECIMEN","56242","782","G.F. Árbocz",,"1994-09-15","1994","9","15",,,,"Brasil","BR","São Paulo",,"Bauru","Arbusto do horto florestal de Bauru",,,"-22.3147","-49.0606",,,,,"G.F. Árbocz","1994-09-15",,"Alibertia A.Rich. ex DC.","Rubiaceae","Alibertia","genus",,"ACCEPTED",,,"Alibertia A.Rich. ex DC.",,,,"Alibertia",,,"WGS84",,,,,"GBIF","IAC",,"Arbocz, G.F.","782","1994","Arbocz, G.F.","1994",,"Arbocz",,"brazil","sao paulo","bauru","arbusto do horto florestal de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","Alibertia","A.Rich. ex DC.","name_w_authors","Rubiaceae","Alibertia","A.Rich. ex DC.","genus","name accepted","bfo-13822",,,"Alibertia A.Rich. ex DC.","Alibertia","Rubiaceae",,1563737,"brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge","low",TRUE,-22.3147,-49.0606,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","IAC_56242","IAC_56242[virtual]","4","1","IAC_56242","IAC_56242","IAC_56242","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA"
,,"https://specieslink.net/col/391",,"UFSCar","SORO",,"PRESERVED_SPECIMEN","2504","117","Koch, I.;Cavassan, O.",,"1993-06-04","1993","6","4",,,,"Brasil","BR","São Paulo",,"Bauru","Reserva Horto Florestal Bauru",,,,,,,,,"Gaem, P. H.;Mazine, F.F.","2018-11-07",,"Myrciaria glazioviana (Kiaersk.) G.M.Barroso ex Sobral","Myrtaceae","Myrciaria","species","(Kiaersk.) G.M. Barroso ex. Sobral","ACCEPTED",,,"Myrciaria glazioviana (Kiaersk.) G.M.Barroso ex Sobral",,,,"Myrciaria glazioviana","Myrciaria glazioviana",,,,,,,"GBIF","SORO",,"Koch, I.","117","1993","Gaem, P.H.","2018","Cavassan, O.","Koch","Mazine, F.F.","brazil","sao paulo","bauru","reserva horto florestal bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","Myrciaria glazioviana","(Kiaersk.) G.M.Barroso ex Sobral","name_w_authors","Myrtaceae","Myrciaria glazioviana","(Kiaersk.) G.M.Barroso ex Sobral","species","name accepted","bfo-10794",,,"Myrciaria glazioviana (Kiaersk.) G.M.Barroso ex Sobral","Myrciaria","Myrtaceae","Myrciaria glazioviana",70603,"brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge","low",TRUE,-22.309999,-49.060001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","SORO_2504","SORO_2504[virtual]","3","0.75","SORO_2504","SORO_2504","SORO_2504","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA"
,,"https://specieslink.net/col/339",,"IPA/SP","SP-BRYOPHYTA",,"PRESERVED_SPECIMEN","135923","685","Yano, O.",,"1977-05-12","1977","5","12",,,,"BRASIL","BR","São Paulo",,"Bauru","Horto Florestal de Bauru",,,"-22.33","-49.08",,,,,"Yano, O.",,,"Octoblepharum albidum","Octoblepharaceae","Octoblepharum","species","Hedw.","ACCEPTED",,,"Octoblepharum albidum Hedw.",,,,"Octoblepharum albidum","Octoblepharum albidum",,"WGS84",,,,,"GBIF","SP-BRYOPHYTA","code not found","Yano, O.","685","1977","Yano, O.",,,"Yano",,"brazil","sao paulo","bauru","horto florestal de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","Octoblepharum albidum","Hedw.","name_w_authors",,"Octoblepharum albidum","Hedw.","species","not found",,,,"Octoblepharum albidum Hedw.","Octoblepharum","Orchidaceae","Octoblepharum albidum",1476879,"brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge","low",TRUE,-22.33,-49.08,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","no_match","SP-BRYOPHYTA_135923","SP-BRYOPHYTA_135923[virtual]","4","1","SP-BRYOPHYTA_135923","SP-BRYOPHYTA_135923","SP-BRYOPHYTA_135923","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA"
,,"https://specieslink.net/col/391",,"UFSCar","SORO",,"PRESERVED_SPECIMEN","2557","180","Koch, I.",,"1994-03-02","1994","3","2",,,,"Brasil","BR","São Paulo",,"Bauru","Reserva Horto Florestal Bauru",,,,,,,,,,,,"Amphilophium crucigerum (L.) L.G.Lohmann","Bignoniaceae","Amphilophium","species","(L.) L.G.Lohmann","ACCEPTED",,,"Amphilophium crucigerum (L.) L.G.Lohmann",,,,"Amphilophium crucigerum","Amphilophium crucigerum",,,,,,,"GBIF","SORO",,"Koch, I.","180","1994",,,,"Koch",,"brazil","sao paulo","bauru","reserva horto florestal bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","Amphilophium crucigerum","(L.) L.G.Lohmann","name_w_authors","Bignoniaceae","Amphilophium crucigerum","(L.) L.G.Lohmann","species","name accepted","bfo-112461",,,"Amphilophium crucigerum (L.) L.G.Lohmann","Amphilophium","Bignoniaceae","Amphilophium crucigerum",70628,"brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge","unknown",TRUE,-22.309999,-49.060001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SORO_2557","SORO_2557[virtual]","4","1","SORO_2557","SORO_2557","SORO_2557","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA"
,,"https://specieslink.net/col/391",,"UFSCar","SORO",,"PRESERVED_SPECIMEN","2551","94","Koch, I.",,"1993-03-09","1993","3","9",,,,"Brasil","BR","São Paulo",,"Bauru","Reserva Horto Florestal Bauru",,,,,,,,,,,,"Trichilia catigua A.Juss.","Meliaceae","Trichilia","species","A. Juss.","ACCEPTED",,,"Trichilia catigua A.Juss.",,,,"Trichilia catigua","Trichilia catigua",,,,,,,"GBIF","SORO",,"Koch, I.","94","1993",,,,"Koch",,"brazil","sao paulo","bauru","reserva horto florestal bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","Trichilia catigua","A.Juss.","name_w_authors","Meliaceae","Trichilia catigua","A.Juss.","species","name accepted","bfo-10001",,,"Trichilia catigua A.Juss.","Trichilia","Meliaceae","Trichilia catigua",70632,"brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge","unknown",TRUE,-22.309999,-49.060001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SORO_2551","SORO_2551[virtual]","4","1","SORO_2551","SORO_2551","SORO_2551","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA"
,,"https://specieslink.net/col/391",,"UFSCar","SORO",,"PRESERVED_SPECIMEN","2555","107","Koch, I.;Cavassan, O.",,"1993-05-06","1993","5","6",,,,"Brasil","BR","São Paulo",,"Bauru","Reserva Horto Florestal Bauru",,,,,,,,,,,,"Metrodorea nigra A.St.-Hil.","Rutaceae","Metrodorea","species","A. St-Hil.","ACCEPTED",,,"Metrodorea nigra A.St.-Hil.",,,,"Metrodorea nigra","Metrodorea nigra",,,,,,,"GBIF","SORO",,"Koch, I.","107","1993",,,"Cavassan, O.","Koch",,"brazil","sao paulo","bauru","reserva horto florestal bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","Metrodorea nigra","A.St.-Hil.","name_w_authors","Rutaceae","Metrodorea nigra","A.St.-Hil.","species","name accepted","bfo-819",,,"Metrodorea nigra A.St.-Hil.","Metrodorea","Rutaceae","Metrodorea nigra",70631,"brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge","unknown",TRUE,-22.309999,-49.060001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SORO_2555","SORO_2555[virtual]","4","1","SORO_2555","SORO_2555","SORO_2555","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA"
,,"https://specieslink.net/col/391",,"UFSCar","SORO",,"PRESERVED_SPECIMEN","2558","108","Koch, I.;Cavassan, O.",,"1993-05-06","1993","5","6",,,,"Brasil","BR","São Paulo",,"Bauru","Reserva Horto Florestal Bauru",,,,,,,,,,,,"Chrysophyllum gonocarpum (Mart. & Eichler) Engl.","Sapotaceae","Chrysophyllum","species","(Mart. & Eichler ex Miq.) Engl.","ACCEPTED",,,"Chrysophyllum gonocarpum (Mart. & Eichler) Engl.",,,,"Chrysophyllum gonocarpum","Chrysophyllum gonocarpum",,,,,,,"GBIF","SORO",,"Koch, I.","108","1993",,,"Cavassan, O.","Koch",,"brazil","sao paulo","bauru","reserva horto florestal bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","Chloroluma gonocarpa","(Mart. & Eichler ex Miq.) Baill. ex Aubrév.","name_w_authors","Sapotaceae","Chloroluma gonocarpa","(Mart. & Eichler ex Miq.) Baill. ex Aubrév.","species","author misspelled|replaced synonym","bfo-75474","Chloroluma gonocarpa","(Mart. & Eichler ex Miq.) Baill. ex Aubrév.","Chloroluma gonocarpa (Mart. & Eichler ex Miq.) Baill. ex Aubrév.","Chloroluma","Sapotaceae","Chloroluma gonocarpa",70630,"brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge","unknown",TRUE,-22.309999,-49.060001,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","SORO_2558","SORO_2558[virtual]","4","1","SORO_2558","SORO_2558","SORO_2558","High","locality_high","ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA"
,,"726",,"UNESP - BU","UNBA",,"PRESERVED_SPECIMEN","2043",,"Bertoncini, A.P.;Bertoncini, M.P.",,,,,,,,,"Brasil",,"São Paulo","Avaí","Avaí","Aldeia Guarani",,,"-22.166667","-49.316667",,"22°10'","49°19'",,"M.A. Assis",,,"Tanaecium selloi","Bignoniaceae","Tanaecium",,"(Spreng.) L.G.Lohmann",,,,,,,,,,,,,,,,"Splink","UNBA","code not found","Bertoncini, A.P.",,,"Assis, M.A.",,"Bertoncini, M.P.","Bertoncini",,"brazil","sao paulo","avai","aldeia guarani",,"locality","brazil_sao paulo_avai","brazil_sao paulo_avai",-22.18649564,-49.31602143,"county","Tanaecium selloi","(Spreng.) L.G.Lohmann","possibly_ok","Bignoniaceae","Tanaecium selloi","(Spreng.) L.G.Lohmann","species","name accepted","bfo-113954",,,"Tanaecium selloi (Spreng.) L.G.Lohmann","Tanaecium","Bignoniaceae","Tanaecium selloi",870410,"brazil_sao paulo_avai","Brazil","São Paulo","Avaí",,"ibge","high",TRUE,-22.166667,-49.316667,"coord_original","minutes","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UNBA_2043",,"cc","cc",,,,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA"
,,"726",,"UNESP - BU","UNBA",,"PRESERVED_SPECIMEN","5249",,"Genovez, P.R.",,,,,,,,,"Brasil",,"São Paulo","Reginópolis","Reginópolis","Estância Flanboyant, ao lado do rio Batalha",,,"-21.8799991607666","-49.2200012207031","26424",,,,"A. C. Marcato",,,"Syagrus romanzoffiana","Arecaceae","Syagrus",,"(Cham.) Glassman",,,,,,,,,,,,,,,,"Splink","UNBA","code not found","Genovez, P.R.",,,"Marcato, A.C.",,,"Genovez",,"brazil","sao paulo","reginopolis","estancia flanboyant",,"locality","brazil_sao paulo_reginopolis","brazil_sao paulo_reginopolis",-21.88290527,-49.18029091,"county","Syagrus romanzoffiana","(Cham.) Glassman","possibly_ok","Arecaceae","Syagrus romanzoffiana","(Cham.) Glassman","species","name accepted","bfo-15745",,,"Syagrus romanzoffiana (Cham.) Glassman","Syagrus","Arecaceae","Syagrus romanzoffiana",818260,"brazil_sao paulo_reginopolis","Brazil","São Paulo","Reginópolis",,"ibge","high",TRUE,-21.8799991607666,-49.2200012207031,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UNBA_5249",,"cc","cc",,,,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA"
