"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,,,"FURB","FURB",,"PRESERVED_SPECIMEN","FURB00067643","1700","L. Biral",,,"2019","08","05",,,,"Brasil",,"São Paulo",,"São José dos Campos","Trilha do Jorge. APA de São Francisco Xavier",,"1900","-22.8833333333333","-46",,"22º 52' 60"""" S","46º 0' 0"""" W","não","Sem determinador",,,"Cuphea","Lythraceae","Cuphea","genus",,,,,,,,,"LYTHRACEAE ",,,,,,"FURB 67643",,"Reflora","FURB",,"Biral, L.","1700","2019","Determinador, S.",,,"Biral",,"brazil","sao paulo","sao jose dos campos","trilha do jorge",,"locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county","brazil_sao paulo_sao jose campos","Brazil","São Paulo","São José dos Campos",,"ibge",TRUE,-22.8833333333333,-46,"coord_original","miliseconds","Cuphea","P.Browne","indet","Lythraceae","Cuphea","P.Browne","genus","name accepted","bfo-8735",,,"Cuphea P.Browne","Cuphea","Lythraceae","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match",,1605168,"High","locality_exact","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER"
,,"441",,"UFV","VIC",,"PRESERVED_SPECIMEN","57121","1715","Biral, L.",,,"2019","08","05",,,,"Brasil",,"São Paulo","São José dos Campos","São José dos Campos","APA de São Francisco Xavier. Trilha do Jorge, subi, Mata de altitude, bastante úmida, com neblina constante.",,,"-22","-46",,"-22","-46",,"Biral, L et Schwa","2023-09-NA",,"Asplenium harpeodes","Aspleniaceae","Asplenium",,"Sw.",,,,,,"09","2023",,,,,,,,"VIC057121","Splink","VIC",,"Biral, L.","1715","2019","Biral, L.","2023",,"Biral","Schwa","brazil","sao paulo","sao jose dos campos","apa de sao francisco xavier",,"locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county","brazil_sao paulo_sao jose campos","Brazil","São Paulo","São José dos Campos",,"ibge",TRUE,-22,-46,"coord_original","miliseconds","Asplenium harpeodes","Kunze","possibly_ok","Aspleniaceae","Asplenium harpeodes","Kunze","species","author misspelled","bfo-90718",,,"Asplenium harpeodes Kunze","Asplenium","Aspleniaceae","low","check_local.2municip.","ok_country",,FALSE,"ok_dist","full_name_match","Asplenium harpeodes",1345288,"High","locality_exact","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER"
,,"48",,"UEL","FUEL",,"PRESERVED_SPECIMEN","56352","1708","Biral, L",,,"2019","08","05",,,,"Brasil",,"São Paulo","São José dos Campos","São José dos Campos","Área de Proteção Ambiental de São Francisco Xavier, Trilha do Jorge, subida para o Pico da Onça",,,"-22.883333","-46",,"-22.883333","-46",,"Biral, L","2019-08-NA",,"Justicia carnea","Acanthaceae","Justicia",,"Lindl.",,,,,,"08","2019",,,,,,,,"FUEL056352","Splink","FUEL",,"Biral, L.","1708","2019","Biral, L.","2019",,"Biral",,"brazil","sao paulo","sao jose dos campos","area de protecao ambiental de sao francisco xavier",,"locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county","brazil_sao paulo_sao jose campos","Brazil","São Paulo","São José dos Campos",,"ibge",TRUE,-22.883333,-46,"coord_original","minutes","Justicia carnea","Lindl.","possibly_ok","Acanthaceae","Justicia carnea","Lindl.","species","name accepted","bfo-4141",,,"Justicia carnea Lindl.","Justicia","Acanthaceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Justicia carnea",1242582,"High","locality_exact","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER"
,,"48",,"UEL","FUEL",,"PRESERVED_SPECIMEN","56356","1724","Biral, L",,,"2019","08","06",,,,"Brasil",,"São Paulo","São José dos Campos","São José dos Campos","Área de Proteção Ambiental de São Francisco Xavier, Fazenda da Serra",,,"-22.896389","-45.981944",,"-22.896389","-45.981944",,"Biral, L","2019-08-NA",,"Buddleja stachyoides","Scrophulariaceae","Buddleja",,"Cham. & Schltdl.",,,,,,"08","2019",,,,,,,,"FUEL056356","Splink","FUEL",,"Biral, L.","1724","2019","Biral, L.","2019",,"Biral",,"brazil","sao paulo","sao jose dos campos","fazenda da serra","area de protecao ambiental de sao francisco xavier","locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county","brazil_sao paulo_sao jose campos","Brazil","São Paulo","São José dos Campos",,"ibge",TRUE,-22.896389,-45.981944,"coord_original","seconds","Buddleja stachyoides","Cham. & Schltdl.","possibly_ok","Scrophulariaceae","Buddleja stachyoides","Cham. & Schltdl.","species","name accepted","bfo-14541",,,"Buddleja stachyoides Cham. & Schltdl.","Buddleja","Scrophulariaceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Buddleja stachyoides",1241578,"High","locality_exact","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER"
,,"48",,"UEL","FUEL",,"PRESERVED_SPECIMEN","56355","1732","Biral, L",,,"2019","08","06",,,,"Brasil",,"São Paulo","São José dos Campos","São José dos Campos","Área de Proteção Ambiental de São Francisco Xavier, Fazenda da Serra",,,"-22.896389","-45.981944",,"-22.896389","-45.981944",,"Biral, L","2019-08-NA",,"Boehmeria caudata","Urticaceae","Boehmeria",,"Sw.",,,,,,"08","2019",,,,,,,,"FUEL056355","Splink","FUEL",,"Biral, L.","1732","2019","Biral, L.","2019",,"Biral",,"brazil","sao paulo","sao jose dos campos","fazenda da serra","area de protecao ambiental de sao francisco xavier","locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county","brazil_sao paulo_sao jose campos","Brazil","São Paulo","São José dos Campos",,"ibge",TRUE,-22.896389,-45.981944,"coord_original","seconds","Boehmeria caudata","Sw.","possibly_ok","Urticaceae","Boehmeria caudata","Sw.","species","name accepted","bfo-15035",,,"Boehmeria caudata Sw.","Boehmeria","Urticaceae","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Boehmeria caudata",1242067,"High","locality_exact","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER"
,,"2",,"UNICAMP","UEC",,,"33197","643-A","Mimura, I",,,,,,,,,"Brazil",,"São Paulo","São José dos Campos","São José dos Campos","7,5 km da praça principal da cidade.",,,"-22.898333","-45.964722",,"-22.898333","-45.964722",,"Mamede, MCH","1982-04-NA",,"Banisteriopsis campestris","Malpighiaceae","Banisteriopsis",,"(A.Juss.) Little",,,,,,"04","1982",,,,,,,,"UEC023122","Splink","UEC",,"Mimura, I.","643-A",,"Mamede, M.C.H.","1982",,"Mimura",,"brazil","sao paulo","sao jose dos campos","7",,"locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county","brazil_sao paulo_sao jose campos","Brazil","São Paulo","São José dos Campos",,"ibge",TRUE,-22.898333,-45.964722,"coord_original","seconds","Banisteriopsis campestris","(A.Juss.) Little","possibly_ok","Malpighiaceae","Banisteriopsis campestris","(A.Juss.) Little","species","name accepted","bfo-19393",,,"Banisteriopsis campestris (A.Juss.) Little","Banisteriopsis","Malpighiaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Banisteriopsis campestris",1082046,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 3722453","1070","G. M. Antar et al.",,,"2016","6","5",,,,"Brazil",,"São Paulo",,,"São José dox Campos: Distrito de São Francisco Xavier. Propriedade da Sra. Lígia e do Sr. Eduardo. Acessada pela estrada Santa :árbara",,,"-22.8756","-45.9353",,,,,"Acevedo-Rodriguez, P., (US), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,,"Serjania deflexa","Sapindaceae","Serjania",,"Gard.",,,,,,,,,,,,,,,"US01946835","Splink","US",,"Antar, G.M.","1070","2016","Acevedo-Rodriguez, P.",,,"Antar",,"brazil","sao paulo","sao jose dox campos","acessada pela estrada santa","sao jose dox campos","locality","brazil_sao paulo_sao jose dox campos","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.8756,-45.9353,"coord_original","miliseconds","Serjania deflexa","Gardner","possibly_ok","Sapindaceae","Serjania deflexa","Gardner","species","author misspelled","bfo-20948",,,"Serjania deflexa Gardner","Serjania","Sapindaceae","high","check_local.2state","ok_state",,FALSE,"ok_dist","full_name_match","Serjania deflexa",1293580,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER"
,,"7",,"USP","SPF",,"PRESERVED_SPECIMEN","224229","1065","Antar, GM",,,"2016","06","04",,,,"Brasil",,"São Paulo","São José dos Campos","São José dos Campos","Distrito de São Francisco Xavier. Propriedade do Sr. Marcos, acessada pela estrada Santa Bárbara.",,,"-22.861389","-45.915278",,"-22.861389","-45.915278",,"Simão-Bianchini, R","2017-03-NA",,"Ipomoea triloba","Convolvulaceae","Ipomoea",,"L.",,,,,,"03","2017",,,,,,,,"SPF00224229","Splink","SPF",,"Antar, G.M.","1065","2016","Simao-Bianchini, R.","2017",,"Antar",,"brazil","sao paulo","sao jose dos campos","acessada pela estrada santa barbara","distrito de sao francisco xavier","locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county","brazil_sao paulo_sao jose campos","Brazil","São Paulo","São José dos Campos",,"ibge",TRUE,-22.861389,-45.915278,"coord_original","seconds","Ipomoea triloba","L.","possibly_ok","Convolvulaceae","Ipomoea triloba","L.","species","name accepted","bfo-7069",,,"Ipomoea triloba L.","Ipomoea","Convolvulaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Ipomoea triloba",1123756,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","311032","912","Tamashiro, JY; et al.",,,"1996","04","14",,,,"Brasil",,"São Paulo","São José dos Campos","São José dos Campos","distrito de São Francisco Xavier, caminho para Cachoeira dos Couves",,,"-22.898333","-45.964722",,"-22.898333","-45.964722",,"Kiyama, CY","1996-02-05",,"Prunus myrtifolia","Rosaceae","Prunus",,"(L.) Urb.",,,,,"05","02","1996",,,,,,,,,"Splink","SP",,"Tamashiro, J.Y.","912","1996","Kiyama, C.Y.","1996",,"Tamashiro",,"brazil","sao paulo","sao jose dos campos","distrito de sao francisco xavier",,"locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county","brazil_sao paulo_sao jose campos","Brazil","São Paulo","São José dos Campos",,"ibge",TRUE,-22.898333,-45.964722,"coord_original","seconds","Prunus myrtifolia","(L.) Urb.","possibly_ok","Rosaceae","Prunus myrtifolia","(L.) Urb.","species","name accepted","bfo-26058",,,"Prunus myrtifolia (L.) Urb.","Prunus","Rosaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Prunus myrtifolia",1043138,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","310234","913","Tamashiro, JY; Ivanauskas, NM; Souza, JP; Miyagi, PH; Belinello, R; Fernandes, GD",,,"1995","04","14",,,,"Brasil",,"São Paulo","São José dos Campos","São José dos Campos","Distrito de São Francisco Xavier, caminho para Cachoeira das Couves",,,"-22.898333","-45.964722",,"-22.898333","-45.964722",,,,,"Pseudopiptadenia leptostachya","Fabaceae","Pseudopiptadenia",,"(Benth.) Rauschert",,,,,,,,,,,,,,,,"Splink","SP",,"Tamashiro, J.Y.","913","1995",,,"Ivanauskas, N.M.; Souza, J.P.; Miyagi, P.H.; Belinello, R.; Fernandes, G.D.","Tamashiro",,"brazil","sao paulo","sao jose dos campos","distrito de sao francisco xavier",,"locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county","brazil_sao paulo_sao jose campos","Brazil","São Paulo","São José dos Campos",,"ibge",TRUE,-22.898333,-45.964722,"coord_original","seconds","Pityrocarpa leptostachya","(Benth.) L.P.Queiroz & P.G.Ribeiro","possibly_ok","Fabaceae","Pityrocarpa leptostachya","(Benth.) L.P.Queiroz & P.G.Ribeiro","species","replaced synonym","bfo-637693","Pityrocarpa leptostachya","(Benth.) L.P.Queiroz & P.G.Ribeiro","Pityrocarpa leptostachya (Benth.) L.P.Queiroz & P.G.Ribeiro","Pityrocarpa","Fabaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Pityrocarpa leptostachya",990150,"Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER"
