"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","43149","41","R.B.Torres & N.Figueiredo",,,,,,,,,"Brasil",,"SP","Itaberá","Itaberá","Estação Ecológica",,,"-23.860001","-49.130001","29370",,,,"N.Roque","2016-07-04",,"Moquiniastrum polymorphum","Asteraceae","Moquiniastrum",,"(Less.) G. Sancho",,,,,"04","07","2016",,,,,,,,"SPSF00043149","Splink","SPSF",,"Torres, R.B.","41",,"Roque, N.","2016","Figueiredo, N.","Torres",,"brazil","sao paulo","itabera","estacao ecologica",,"locality","brazil_sao paulo_itabera_estacao ecologica","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality","Moquiniastrum polymorphum","(Less.) G. Sancho","possibly_ok","Asteraceae","Moquiniastrum polymorphum","(Less.) G. Sancho","species","name accepted","bfo-130869",,,"Moquiniastrum polymorphum (Less.) G. Sancho","Moquiniastrum","Asteraceae","Moquiniastrum polymorphum",843542,"brazil_sao paulo_itabera","Brazil","São Paulo","Itaberá",,"ibge","high",TRUE,-23.860001,-49.130001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_43149",,"0","0",,,,"High","locality_exact","ESTAÇÃO ECOLÓGICA ITABERÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","45480","284","R.B.Torres & N.Figueiredo & A.R.de Oliveira",,,,,,,,,"Brasil",,"SP","Itaberá","Itaberá","Estação Ecológica",,,"-23.860001","-49.130001","29370",,,,"W.Marcondes Ferreira","1988-04-30",,"Aspidosperma cylindrocarpon","Apocynaceae","Aspidosperma",,"Mart.",,,,,"30","04","1988",,,,,,,,"SPSF00045480","Splink","SPSF",,"Torres, R.B.","284",,"Ferreira, W.M.","1988","Figueiredo, N.; Oliveira, A.R.","Torres",,"brazil","sao paulo","itabera","estacao ecologica",,"locality","brazil_sao paulo_itabera_estacao ecologica","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality","Aspidosperma cylindrocarpon","Müll.Arg.","possibly_ok","Apocynaceae","Aspidosperma cylindrocarpon","Müll.Arg.","species","author misspelled","bfo-4525",,,"Aspidosperma cylindrocarpon Müll.Arg.","Aspidosperma","Apocynaceae","Aspidosperma cylindrocarpon",826284,"brazil_sao paulo_itabera","Brazil","São Paulo","Itaberá",,"ibge","high",TRUE,-23.860001,-49.130001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_45480",,"cc","cc",,,,"High","locality_exact","ESTAÇÃO ECOLÓGICA ITABERÁ"
,,"427",,"UPM","MACK",,"PRESERVED_SPECIMEN","908","60","R. L. R. Santos",,,"2009","07","18",,,,"Brasil",,"SP","Itaberá","Itaberá","Estação Ecológica de Itaberá.",,,"-23.8600006103516","-49.1300010681152","29370",,,,"O. T. Aguiar",,,"Eugenia ligustrina","Myrtaceae","Eugenia",,"(Sw.) Willd",,,,,,,,,,,,,,,,"Splink","MACK",,"Santos, R.L.R.","60","2009","Aguiar, O.T.",,,"Santos",,"brazil","sao paulo","itabera","estacao ecologica de itabera",,"locality","brazil_sao paulo_itabera_estacao ecologica itabera","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality","Eugenia ligustrina","(Sw.) Willd.","possibly_ok","Myrtaceae","Eugenia ligustrina","(Sw.) Willd.","species","author misspelled","bfo-10437",,,"Eugenia ligustrina (Sw.) Willd.","Eugenia","Myrtaceae","Eugenia ligustrina",811985,"brazil_sao paulo_itabera","Brazil","São Paulo","Itaberá",,"ibge","high",TRUE,-23.8600006103516,-49.1300010681152,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","MACK_908","IRATI_3679|MACK_908","3","0.75","MACK_908","MACK_908","MACK_908","High","plantr_exact","ESTAÇÃO ECOLÓGICA ITABERÁ"
,,"204",,"UEFS","HUEFS",,"PRESERVED_SPECIMEN","133883","153","Santos, R.L.R.dos",,,"2009","02","11",,,,"Brasil",,"Sp","Itaberá","Itaberá","Estação Ecológica de Itaberá",,,"-23.841667","-43.143611",,"23Â°50'30''S","43Â°8'37''W",,"A.R.Zuntini","2014-10-NA",,"Adenocalymma paulistarum","Bignoniaceae","Adenocalymma",,"Bureau ex K.Schum.",,,,,,"10","2014",,,,"WGS84",,,,"HUEFS0133883","Splink","HUEFS",,"Santos, R.L.R.","153","2009","Zuntini, A.R.","2014",,"Santos",,"brazil","sao paulo","itabera","estacao ecologica de itabera",,"locality","brazil_sao paulo_itabera_estacao ecologica itabera","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality","Bignonia sciuripabulum","(K.Schum.) L.G.Lohmann","possibly_ok","Bignoniaceae","Adenocalymma paulistarum","Bureau & K.Schum.","species","author misspelled","bfo-113072",,,"Bignonia sciuripabulum (K.Schum.) L.G.Lohmann","Bignonia","Bignoniaceae","Bignonia sciuripabulum",1303768,"brazil_sao paulo_itabera","Brazil","São Paulo","Itaberá",,"ibge","high",TRUE,-23.841667,-49.143611,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","HUEFS_133883","HUEFS_133883|HUEFS_179666|HUEFS_73787|SPSF_44412","4","1","HUEFS_179666","SPSF_44412","SPSF_44412","High","plantr_exact","ESTAÇÃO ECOLÓGICA ITABERÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","46252","2586","J.B.Baitello & O.T.Aguiar",,,"2008","06","24",,,,"Brasil",,"SP","Itaberá","Itaberá","Estação Ecológica de Itaberá",,,"-23.860001","-49.130001","29370",,,,"J.B.Baitello","2012-12-03",,"Ocotea virgultosa","Lauraceae","Ocotea",,"(Nees) Mart. ex Mez",,,,,"03","12","2012",,,,,,,,"SPSF00046252","Splink","SPSF",,"Baitello, J.B.","2586","2008","Baitello, J.B.","2012","Aguiar, O.T.","Baitello",,"brazil","sao paulo","itabera","estacao ecologica de itabera",,"locality","brazil_sao paulo_itabera_estacao ecologica itabera","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality","Ocotea virgultosa","(Nees) Mart.","possibly_ok","Lauraceae","Ocotea virgultosa","(Nees) Mart.","species","author misspelled","bfo-122884",,,"Ocotea virgultosa (Nees) Mart.","Ocotea","Lauraceae","Ocotea virgultosa",832983,"brazil_sao paulo_itabera","Brazil","São Paulo","Itaberá",,"ibge","high",TRUE,-23.860001,-49.130001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_46252",,"0","0",,,,"High","plantr_exact","ESTAÇÃO ECOLÓGICA ITABERÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","46250","2585","J.B.Baitello & O.T.Aguiar",,,"2008","06","24",,,,"Brasil",,"SP","Itaberá","Itaberá","Estação Ecológica de Itaberá",,,"-23.860001","-49.130001","29370",,,,"J.B.Baitello","2012-12-03",,"Ocotea elegans","Lauraceae","Ocotea",,"Mez",,,,,"03","12","2012",,,,,,,,"SPSF00046250","Splink","SPSF",,"Baitello, J.B.","2585","2008","Baitello, J.B.","2012","Aguiar, O.T.","Baitello",,"brazil","sao paulo","itabera","estacao ecologica de itabera",,"locality","brazil_sao paulo_itabera_estacao ecologica itabera","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality","Ocotea indecora","(Schott) Mez","possibly_ok","Lauraceae","Ocotea indecora","(Schott) Mez","species","replaced synonym","bfo-8463","Ocotea indecora","(Schott) Mez","Ocotea indecora (Schott) Mez","Ocotea","Lauraceae","Ocotea indecora",844557,"brazil_sao paulo_itabera","Brazil","São Paulo","Itaberá",,"ibge","high",TRUE,-23.860001,-49.130001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_46250",,"0","0",,,,"High","plantr_exact","ESTAÇÃO ECOLÓGICA ITABERÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","46251","2587","J.B.Baitello & O.T.Aguiar",,,"2008","06","24",,,,"Brasil",,"SP","Itaberá","Itaberá","Estação Ecológica de Itaberá",,,"-23.860001","-49.130001","29370",,,,"J.B.Baitello","2012-12-03",,"Ocotea bicolor","Lauraceae","Ocotea",,"(Vattimo-Gil)",,,,,"03","12","2012",,,,,,,,"SPSF00046251","Splink","SPSF",,"Baitello, J.B.","2587","2008","Baitello, J.B.","2012","Aguiar, O.T.","Baitello",,"brazil","sao paulo","itabera","estacao ecologica de itabera",,"locality","brazil_sao paulo_itabera_estacao ecologica itabera","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality","Ocotea bicolor","Vattimo-Gil","possibly_ok","Lauraceae","Ocotea bicolor","Vattimo-Gil","species","author misspelled","bfo-17940",,,"Ocotea bicolor Vattimo-Gil","Ocotea","Lauraceae","Ocotea bicolor",832531,"brazil_sao paulo_itabera","Brazil","São Paulo","Itaberá",,"ibge","high",TRUE,-23.860001,-49.130001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_46251",,"0","0",,,,"High","plantr_exact","ESTAÇÃO ECOLÓGICA ITABERÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","37059","144A","D.R.Rossatto",,,"2005","11","28",,,,"Brasil",,"SP","Itaberá","Itaberá","Estação Ecológica",,,"-23.860001","-49.130001","29370",,,,"D.Monteiro","2011-06-16",,"Piper fuligineum","Piperaceae","Piper",,"Kunth",,,,,"16","06","2011",,,,,,,,"SPSF00037059","Splink","SPSF",,"Rossatto, D.R.","144-A","2005","Monteiro, D.","2011",,"Rossatto",,"brazil","sao paulo","itabera","estacao ecologica",,"locality","brazil_sao paulo_itabera_estacao ecologica","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality","Piper fuligineum","Kunth","possibly_ok","Piperaceae","Piper fuligineum","Kunth","species","name accepted","bfo-12779",,,"Piper fuligineum Kunth","Piper","Piperaceae","Piper fuligineum",833671,"brazil_sao paulo_itabera","Brazil","São Paulo","Itaberá",,"ibge","high",TRUE,-23.860001,-49.130001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_37059",,"0","0",,,,"High","locality_exact","ESTAÇÃO ECOLÓGICA ITABERÁ"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","292296","1296","Tamashiro, JY; Rodrigues, RR; Goldenberg, R; Ivanauskas, NM; Belinello, R; Galvão, JC",,,"1995","06","15",,,,"Brasil",,"São Paulo","Itaberá","Itaberá","Estação Ecológica de Itaberá",,,"-23.844389","-49.137333",,"-23.844389","-49.137333",,"Guimarães, EF","2012-NA-NA",,"Peperomia tetraphylla","Piperaceae","Peperomia",,"Tenera",,,,,,,"2012","Peperomia tetraphylla tenera",,,"WGS84",,,,,"Splink","SP",,"Tamashiro, J.Y.","1296","1995","Guimaraes, E.F.","2012","Rodrigues, R.R.; Goldenberg, R.; Ivanauskas, N.M.; Belinello, R.; Galvao, J.C.","Tamashiro",,"brazil","sao paulo","itabera","estacao ecologica de itabera",,"locality","brazil_sao paulo_itabera","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality","Peperomia tetraphylla var. tenera","(Miq.) Yunck.","variety","Piperaceae","Peperomia tetraphylla","(G.Forst.) Hook. & Arn.","variety","author misspelled","bfo-102588",,,"Peperomia tetraphylla var. tenera (Miq.) Yunck.","Peperomia","Piperaceae","Peperomia tetraphylla",970446,"brazil_sao paulo_itabera","Brazil","São Paulo","Itaberá",,"ibge","high",TRUE,-23.844389,-49.137333,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SP_292296","ESA_19738|RB_280912|SP_292296|SPF_101347|UEC_71732","4","1","SP_292296","SP_292296","SPF_101347","High","plantr_exact","ESTAÇÃO ECOLÓGICA ITABERÁ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","24595","119","J.V.Godoi",,,"1991","07","28",,,,"Brasil",,"São Paulo","Itapeva","Itaberá","Estação Ecológica de Itaberá, Engenheiro Maia.",,,"-23.98","-48.869999","42926",,,,,,,"Ocotea corymbosa","Lauraceae","Ocotea",,,,,,,,,,,,,,,,,"SPSF00024595","Splink","SPSF",,"Godoi, J.V.","119","1991","Baitello, J.B.","2003",,"Godoi",,"brazil","sao paulo","itabera","estacao ecologica de itabera",,"locality","brazil_sao paulo_itapeva_estacao ecologica","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality","Ocotea corymbosa","(Meisn.) Mez","name_w_authors","Lauraceae","Ocotea corymbosa","(Meisn.) Mez","species","name accepted","bfo-8496",,,"Ocotea corymbosa (Meisn.) Mez","Ocotea","Lauraceae","Ocotea corymbosa",832596,"brazil_sao paulo_itapeva","Brazil","São Paulo","Itapeva",,"gadm","high",TRUE,-23.860001,-49.130001,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_24595","MAC_10734|SP_251351|SPF_143489|SPSF_24595","1","0.25","SP_251351","SPF_143489","SPF_143489","High","plantr_exact","ESTAÇÃO ECOLÓGICA ITABERÁ"
