"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","153620","7221","Sobral, M; et al.",,,,,,,,,"Brazil",,"São Paulo","Peruíbe","Peruíbe","Estação Ecológica Juréia-Itatins.",,,"-24.32","-46.990002","21922",,,,"Barneby, RC",,,"Senna silvestris silvestris","Fabaceae","Senna",,,,,,,,,,"Senna silvestris silvestris",,,,,,,"MBM153620","Splink","MBM",,"Sobral, M.","7221",,"Barneby, R.C.",,,"Sobral",,"brazil","sao paulo","peruibe","estacao ecologica jureia-itatins",,"locality","brazil_sao paulo_peruibe_estacao ecologica jureia itatins","brazil_sao paulo_peruibe_eec jureia itatins",-24.545629,-47.242058,"locality","Senna silvestris subsp. silvestris","(Vell.) H.S.Irwin & Barneby","subspecies","Fabaceae","Senna silvestris subsp. silvestris","(Vell.) H.S.Irwin & Barneby","subspecies","name accepted","bfo-28229",,,"Senna silvestris subsp. silvestris (Vell.) H.S.Irwin & Barneby","Senna","Fabaceae","Senna silvestris",24615,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge",TRUE,-24.545629,-47.242058,"coord_gazet","miliseconds","high","ok_same_resolution","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","318835","1478","Nicolau, SA; Mamede, MCH; Anunciação, EA",,,,,,,,,"Brasil",,"São Paulo","Iguape","Iguape","Estação Ecológica Juréia-Itatins",,,"-24.700001","-47.549999","55628","0","0",,"Cordeiro, I",,,"Sapium glandulosum","Euphorbiaceae","Sapium",,"(L.) Morong",,,,,,,,,,,,,,,"SP0318835","Splink","SP",,"Nicolau, S.A.","1478",,"Cordeiro, I.",,"Mamede, M.C.H.; Anunciacao, E.A.","Nicolau",,"brazil","sao paulo","iguape","estacao ecologica jureia-itatins",,"locality","brazil_sao paulo_iguape_estacao ecologica jureia itatins","brazil_sao paulo_iguape_eec jureia itatins",-24.416667,-47.25,"locality","Sapium glandulosum","(L.) Morong","possibly_ok","Euphorbiaceae","Sapium glandulosum","(L.) Morong","species","name accepted","bfo-17664",,,"Sapium glandulosum (L.) Morong","Sapium","Euphorbiaceae","Sapium glandulosum",996037,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS"
,,"204",,"UEFS","HUEFS",,"PRESERVED_SPECIMEN","176697","216","Silva, S.J.G.da",,,,,,,,,"Brasil",,"São Paulo","Iguape","Iguape","Estação Ecológica Jureia-Itatins, Serra da Jureia, trilha do Imperador, próximo da casa do vigia.",,,"-24.700001","-47.549999","55628",,,,"M.C.Duarte","2006-05-NA",,"Pseudobombax grandiflorum","Malvaceae","Pseudobombax",,"(Cav.) A.Robyns",,,,,,"05","2006",,,,,,,,"HUEFS0176697","Splink","HUEFS",,"Silva, S.J.G.","216",,"Duarte, M.C.","2006",,"Silva",,"brazil","sao paulo","iguape","estacao ecologica jureia-itatins",,"locality","brazil_sao paulo_iguape_estacao ecologica jureia itatins","brazil_sao paulo_iguape_eec jureia itatins",-24.416667,-47.25,"locality","Pseudobombax grandiflorum","(Cav.) A.Robyns","possibly_ok","Malvaceae","Pseudobombax grandiflorum","(Cav.) A.Robyns","species","name accepted","bfo-9195",,,"Pseudobombax grandiflorum (Cav.) A.Robyns","Pseudobombax","Malvaceae","Pseudobombax grandiflorum",1303889,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS"
,,"2",,"UNICAMP","UEC",,,"83458","067","Nicolau, SA",,,,,,,,,"Brazil",,"São Paulo","Iguape","Iguape","Estação Ecológica Juréia-Itatins, Serra da Juréia, mata de planície perto do Rio Verde",,,"-24.700001","-47.549999","55628","0","0",,"Simões, AO","2004-11-NA",,"Temnadenia odorifera","Apocynaceae","Temnadenia",,"(Vell.) J.F.Morales",,,,,,"11","2004",,,,,,,,"UEC164812","Splink","UEC",,"Nicolau, S.A.","067",,"Simoes, A.O.","2004",,"Nicolau",,"brazil","sao paulo","iguape","estacao ecologica jureia-itatins",,"locality","brazil_sao paulo_iguape_estacao ecologica jureia itatins","brazil_sao paulo_iguape_eec jureia itatins",-24.416667,-47.25,"locality","Temnadenia odorifera","(Vell.) J.F.Morales","possibly_ok","Apocynaceae","Temnadenia odorifera","(Vell.) J.F.Morales","species","name accepted","bfo-4874",,,"Temnadenia odorifera (Vell.) J.F.Morales","Temnadenia","Apocynaceae","Temnadenia odorifera",1080558,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS"
,,"259",,"UFRGS","ICN",,,"120709","7238","Sobral, M; Attili, D",,,,,,,,,"Brasil",,"SP","Peruíbe","Peruíbe","Estação Ecológica da Juréia-Itatins",,,"-24.32","-46.990002","21922","0","0",,"Pereira, MS","2004-NA-NA",,"Alibertia","Rubiaceae","Alibertia",,"A. Rich ex DC.",,,,,,,"2004",,,,,,,,,"Splink","ICN",,"Sobral, M.","7238",,"Pereira, M.S.","2004","Attili, D.","Sobral",,"brazil","sao paulo","peruibe","estacao ecologica da jureia-itatins",,"locality","brazil_sao paulo_peruibe_estacao ecologica jureia itatins","brazil_sao paulo_peruibe_eec jureia itatins",-24.545629,-47.242058,"locality","Alibertia","A.Rich. ex DC.","indet","Rubiaceae","Alibertia","A.Rich. ex DC.","genus","author misspelled","bfo-13822",,,"Alibertia A.Rich. ex DC.","Alibertia","Rubiaceae",,1678392,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge",TRUE,-24.545629,-47.242058,"coord_gazet","miliseconds","high","ok_same_resolution","shore",,FALSE,"no_cannot_check","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS"
,,"259",,"UFRGS","ICN",,,"182832","364","Moura, C; Francisco, JNC; Novaes, LL; Camargo, TCC",,,"2011","02","10",,,,"Brasil",,"SP","Peruíbe","Peruíbe","Estação Ecológica Juréia-Itatins Barra do Una 24°26'34""S - 47°4'36""W",,,"-24.442778","-47.076667",,"-24.442778","-47.076667",,"Aguiar, OT",,,"Myrcia brasiliensis","Myrtaceae","Myrcia",,"Kiaersk.",,,,,,,,,,,,,,,,"Splink","ICN",,"Moura, C.","364","2011","Aguiar, O.T.",,"Francisco, J.N.C.; Novaes, L.L.; Camargo, T.C.C.","Moura",,"brazil","sao paulo","peruibe","estacao ecologica jureia-itatins barra do una 24°26'34""s",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county","Myrcia brasiliensis","Kiaersk.","possibly_ok","Myrtaceae","Myrcia brasiliensis","Kiaersk.","species","name accepted","bfo-10672",,,"Myrcia brasiliensis Kiaersk.","Myrcia","Myrtaceae","Myrcia brasiliensis",1322787,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge",TRUE,-24.442778,-47.076667,"coord_original","seconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44508","354","C. de Moura & J.N.C.Francisco & R.S.Ribeiro",,,"2011","02","08",,,,"Brasil",,"SP","Peruíbe","Peruíbe","Estação Ecológica Juréia-Itatins",,,"-24.350278","-47.005278",,,,,"J.R.Stehmann","2011-05-19",,"Solanum torvum","Solanaceae","Solanum",,"Sw.",,,,,"19","05","2011",,,,,,,,"SPSF00044508","Splink","SPSF",,"Moura, C.","354","2011","Stehmann, J.R.","2011","Francisco, J.N.C.; Ribeiro, R.S.","Moura",,"brazil","sao paulo","peruibe","estacao ecologica jureia-itatins",,"locality","brazil_sao paulo_peruibe_estacao ecologica jureia itatins","brazil_sao paulo_peruibe_eec jureia itatins",-24.545629,-47.242058,"locality","Solanum torvum","Sw.","possibly_ok","Solanaceae","Solanum torvum","Sw.","species","name accepted","bfo-14877",,,"Solanum torvum Sw.","Solanum","Solanaceae","Solanum torvum",824826,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge",TRUE,-24.350278,-47.005278,"coord_original","seconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS"
,,"224",,"UNB","UB",,"PRESERVED_SPECIMEN","174552","356","Moura, C; Francisco, JNC; Ribeiro, RS",,,"2011","02","08",,,,"Brasil",,"São Paulo","Peruíbe","Peruíbe","Estação Ecológica Juréia-Itatins, margem da estrada do Guaraú.",,,"-24.3538889","-47.0055556",,"24º21'14''S","47º0'20''W",,"Monteiro, D","2011-6-22",,"Piper gaudichaudianum","Piperaceae","Piper",,"Kunth",,,,,"22","6","2011",,,,,,,,"UB1060723","Splink","UB","code not found","Moura, C.","356","2011","Monteiro, D.","2011","Francisco, J.N.C.; Ribeiro, R.S.","Moura",,"brazil","sao paulo","peruibe","estacao ecologica jureia-itatins, margem da estrada do guarau","estacao ecologica jureia-itatins","locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county","Piper gaudichaudianum","Kunth","possibly_ok","Piperaceae","Piper gaudichaudianum","Kunth","species","name accepted","bfo-12780",,,"Piper gaudichaudianum Kunth","Piper","Piperaceae","Piper gaudichaudianum",1307603,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge",TRUE,-24.3538889,-47.0055556,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS"
,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","118297","349","Moura, C.; Francisco, J.N.C. ; Ribeiro, R.S.",,,"2011",,,,,,"Brasil",,"São Paulo","Peruíbe","Peruíbe","Estação Ecológica Juréia-Itatins",,,"-24.32","-46.990002","21922","-24353889","-47005556",,"Aguiar, O.T.","2011-02-03",,"Myrceugenia myrcioides","Myrtaceae","Myrceugenia",,,,,,,"03","02","2011",,,,,,,,"ESA118297","Splink","ESA",,"Moura, C.","349","2011","Aguiar, O.T.","2011","Francisco, J.N.C.; Ribeiro, R.S.","Moura",,"brazil","sao paulo","peruibe","estacao ecologica jureia-itatins",,"locality","brazil_sao paulo_peruibe_estacao ecologica jureia itatins","brazil_sao paulo_peruibe_eec jureia itatins",-24.545629,-47.242058,"locality","Myrceugenia myrcioides","(Cambess.) O.Berg","possibly_ok","Myrtaceae","Myrceugenia myrcioides","(Cambess.) O.Berg","species","name accepted","bfo-10648",,,"Myrceugenia myrcioides (Cambess.) O.Berg","Myrceugenia","Myrtaceae","Myrceugenia myrcioides",1193839,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"ibge",TRUE,-24.545629,-47.242058,"coord_gazet","miliseconds","high","ok_same_resolution","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","425623","572","Pederneiras, LC; Pelissari, G; Gonçalves, GG; Ferreira, MI",,,"2010","10","11",,,,"Brazil",,"São Paulo","Iguape","Iguape","Estação Ecológica Juréia-Itatins, Praia do Guarauzinho, terreno da casa do Paulo.",,,"-24.700001","-47.549999","55628",,,,,,,"Ficus adhatodifolia","Moraceae","Ficus",,"Schott in Spreng.",,,,,,,,,,,,,,,"MBM425623","Splink","MBM",,"Pederneiras, L.C.","572","2010",,,"Pelissari, G.; Goncalves, G.G.; Ferreira, M.I.","Pederneiras",,"brazil","sao paulo","iguape","estacao ecologica jureia-itatins",,"locality","brazil_sao paulo_iguape_estacao ecologica jureia itatins","brazil_sao paulo_iguape_eec jureia itatins",-24.416667,-47.25,"locality","Ficus adhatodifolia","Schott in Spreng.","possibly_ok","Moraceae","Ficus adhatodifolia","Schott in Spreng.","species","name accepted","bfo-10152",,,"Ficus adhatodifolia Schott in Spreng.","Ficus","Moraceae","Ficus adhatodifolia",1239466,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS"
