"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","class","order","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","recordID","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","species.new","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,,,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","178385","21526",,"<nO>Trepadeira com flores roxas.; Interior da mata.</nO>",,"1988","6","08",,,"<nO>Trepadeira com flores roxas.; Interior da mata.</nO>","Brasil",,"São Paulo","Atibaia","Atibaia","Fazenda Grota Funda.",,,"-23.110001","-46.549999","21675","0","0",,"Santos, FS","2025-08-NA",,"Ancistrotropis arrabidae",,,"Fabaceae","Ancistrotropis",,,,"-23.110001","-46.549999",,,"08","2025",,"arrabidae",,,,,,"UEC031837","Splink","UEC",,,"21526","1988","Santos, F.S.","2025",,,,"brazil","sao paulo","atibaia","fazenda grota funda",,"locality","brazil_sao paulo_atibaia_fazenda grota funda","brazil_sao paulo_atibaia_pm grota funda",-23.179415,-46.531134,"locality",1135385,"Ancistrotropis arrabidae","(Steud.) A. Delgado","possibly_ok","Fabaceae","Ancistrotropis arrabidae","(Steud.) A. Delgado","species","name accepted","bfo-581992",,,"Ancistrotropis arrabidae (Steud.) A. Delgado","Ancistrotropis","Fabaceae","brazil_sao paulo_atibaia","Brazil","São Paulo","Atibaia",,"ibge",TRUE,-23.110001,-46.549999,"coord_original","miliseconds","high","Ancistrotropis arrabidae","ok_same_resolution","ok_county",,FALSE,"bad_dist","full_name_match","UEC_178385","UEC_178385[virtual]","1","0.25","UEC_178385","UEC_178385","UEC_178385","coord_original","Medium","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE"
,,,,"UFMG","BHCB",,"PRESERVED_SPECIMEN","154232","21533",,"<nO>Arbusto com 1,5m , flores lilases com estames amarelos; na trilha</nO>",,"1988","8","18",,,"<nO>Arbusto com 1,5m , flores lilases com estames amarelos; na trilha</nO>","Brasil",,"São Paulo","Atibaia","Atibaia","FAzenda Grota Funda",,,"-23.110001","-46.549999","21675","0","0",,"Giacomin, LL","2011-9-   0",,"Solanum didymum",,,"Solanaceae","Solanum",,,,"-23.110001","-46.549999",,"0","9","2011",,"didymum",,,,,,,"Splink","BHCB",,,"21533","1988","Giacomin, L.L.","2011",,,,"brazil","sao paulo","atibaia","fazenda grota funda",,"locality","brazil_sao paulo_atibaia_fazenda grota funda","brazil_sao paulo_atibaia_pm grota funda",-23.179415,-46.531134,"locality",841778,"Solanum didymum","Dunal","possibly_ok","Solanaceae","Solanum didymum","Dunal","species","name accepted","bfo-88088",,,"Solanum didymum Dunal","Solanum","Solanaceae","brazil_sao paulo_atibaia","Brazil","São Paulo","Atibaia",,"ibge",TRUE,-23.110001,-46.549999,"coord_original","miliseconds","high","Solanum didymum","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","BHCB_154232",,"cc","cc",,,,"coord_original","Medium","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE"
,,,,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","21317","21317",,"<nO>Subarbusto com 2 metros, capítulos verde-amarelados, na beira da mata.</nO>",,"1987","11","16",,,"<nO>Subarbusto com 2 metros, capítulos verde-amarelados, na beira da mata.</nO>","Brasil",,"São Paulo","Atibaia","Atibaia","Fazenda Grota Funda.",,,"-23.110001","-46.549999","21675","0","0",,"Magenta, M","1997-07-  30",,"Ambrosia polystachya",,,"Asteraceae","Ambrosia",,,,"-23.110001","-46.549999",,"30","07","1997",,"polystachya",,,,,,"UEC101421","Splink","UEC",,,"21317","1987","Pereira, R.","2015",,,,"brazil","sao paulo","atibaia","fazenda grota funda",,"locality","brazil_sao paulo_atibaia_fazenda grota funda","brazil_sao paulo_atibaia_pm grota funda",-23.179415,-46.531134,"locality",1164487,"Ambrosia polystachya","DC.","possibly_ok","Asteraceae","Ambrosia polystachya","DC.","species","name accepted","bfo-15949",,,"Ambrosia polystachya DC.","Ambrosia","Asteraceae","brazil_sao paulo_atibaia","Brazil","São Paulo","Atibaia",,"ibge",TRUE,-23.110001,-46.549999,"coord_original","miliseconds","high","Ambrosia polystachya","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","UEC_21317","IPA_88821|UEC_21317","1","0.25","IPA_88821","UEC_21317","UEC_21317","coord_original","Medium","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE"
,,,,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","21145","21145",,"<nO>Àrvore com 5 metros, caule muito fissurado.</nO>",,"1987","6","01",,,"<nO>Àrvore com 5 metros, caule muito fissurado.</nO>","Brasil",,"São Paulo","Atibaia","Atibaia","Faz. Grota Funda.",,,"-23.182744","-46.547375",,"-23.182744","-46.547375",,"Monge, M","2010-06-NA",,"Gochnatia polymorpha",,,"Asteraceae","Gochnatia",,,,"-23.182744","-46.547375",,,"06","2010",,"polymorpha",,,,,,"UEC084067","Splink","UEC",,,"21145","1987","Monge, M.","2010",,,,"brazil","sao paulo","atibaia","fazenda grota funda",,"locality","brazil_sao paulo_atibaia_fazenda grota funda","brazil_sao paulo_atibaia_pm grota funda",-23.179415,-46.531134,"locality",1169300,"Moquiniastrum polymorphum","(Less.) G. Sancho","possibly_ok","Asteraceae","Moquiniastrum polymorphum","(Less.) G. Sancho","species","replaced synonym","bfo-130869","Moquiniastrum polymorphum","(Less.) G. Sancho","Moquiniastrum polymorphum (Less.) G. Sancho","Moquiniastrum","Asteraceae","brazil_sao paulo_atibaia","Brazil","São Paulo","Atibaia",,"ibge",TRUE,-23.182744,-46.547375,"coord_original","miliseconds","high","Moquiniastrum polymorphum","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","UEC_21145",,"0","0",,,,"coord_original","Medium","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE"
,,,,"UFSCar","SORO",,"PRESERVED_SPECIMEN","13426","21236",,"<nO>Notas: Árvore com 3 metros, flores brancas, botões róseos, frutos imaturos verdes. |</nO>",,"1987","7","27",,,"<nO>Notas: Árvore com 3 metros, flores brancas, botões róseos, frutos imaturos verdes. |</nO>","Brasil",,"São Paulo","Atibaia","Atibaia","Faz. Grota Funda",,,"-23.110001","-46.549999","21675",,,,"J.E.R.Faria Júnior","2010-7-NA",,"Eugenia neomyrtifolia",,,"Myrtaceae","Eugenia",,"Sobral",,"-23.110001","-46.549999",,,"7","2010","Eugenia neomyrtifolia sobral","neomyrtifolia sobral",,,,,,"SORO013426","Splink","SORO",,,"21236","1987","Faria Junior, J.E.Q.","2010",,,,"brazil","sao paulo","atibaia","fazenda grota funda",,"locality","brazil_sao paulo_atibaia_fazenda grota funda","brazil_sao paulo_atibaia_pm grota funda",-23.179415,-46.531134,"locality",1144622,"Eugenia neomyrtifolia","Sobral","possibly_ok","Myrtaceae","Eugenia neomyrtifolia","Sobral","species","name accepted","bfo-10472",,,"Eugenia neomyrtifolia Sobral","Eugenia","Myrtaceae","brazil_sao paulo_atibaia","Brazil","São Paulo","Atibaia",,"ibge",TRUE,-23.110001,-46.549999,"coord_original","miliseconds","high","Eugenia neomyrtifolia","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SORO_13426","SORO_13426|UEC_54890","1","0.25","UEC_54890","SORO_13426","SORO_13426","coord_original","Medium","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE"
,,,,"VIC","MO-DUPLICATES",,"PRESERVED_SPECIMEN","102603639","21163",,,,"1987","6","2",,,,"Brasil",,"São Paulo","Atibaia","Atibaia","Faz. Grota Funda",,,"-23.110001","-46.549999","21675",,,,"L. Rossi","1997-NA-NA",,"Daphnopsis brasiliensis",,,"Thymelaeaceae","Daphnopsis",,,,"-23.110001","-46.549999",,,,"1997",,"brasiliensis",,,,,,,"Splink","MO-DUPLICATES","code not found",,"21163","1987","Rossi, L.","1997",,,,"brazil","sao paulo","atibaia","fazenda grota funda",,"locality","brazil_sao paulo_atibaia_fazenda grota funda","brazil_sao paulo_atibaia_pm grota funda",-23.179415,-46.531134,"locality",1046393,"Daphnopsis brasiliensis","Mart.","possibly_ok","Thymelaeaceae","Daphnopsis brasiliensis","Mart.","species","name accepted","bfo-14942",,,"Daphnopsis brasiliensis Mart.","Daphnopsis","Thymelaeaceae","brazil_sao paulo_atibaia","Brazil","São Paulo","Atibaia",,"ibge",TRUE,-23.110001,-46.549999,"coord_original","miliseconds","high","Daphnopsis brasiliensis","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","MO-DUPLICATES_102603639","MO-DUPLICATES_100269765|MO-DUPLICATES_102603639|Tropicos_100269765|Tropicos_102603639","1","0.25","Tropicos_100269765","MO-DUPLICATES_102603639","MO-DUPLICATES_102603639","coord_original","Medium","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE"
,,"https://specieslink.net/col/148",,"IPA","IPA",,"PRESERVED_SPECIMEN","88818","21179","Meira Neto, J.A.A.; Bernacci, L.C.; Grombone, M.T.; Tamashiro, J.Y.; Leitão Filh; Bernacci, L.C.; Grombone, M.T.; Tamashiro, J.Y.; Leitão Filho, H.F.",,"1997-06-02","1997","6","2",,,,"Brasil","BR","São Paulo",,"Atibaia","Fazenda Grota Funda. Na picada, próximo a um lajeado.",,,,,,,,,,,,"Stevia Cav.","Magnoliopsida","Asterales","Asteraceae","Stevia","genus",,"ACCEPTED",,,"Stevia Cav.",,,,"Stevia",,,,,,,,"GBIF","IPA",,"Meira Neto, J.A.A.","21179","1997","Nakajima, J.N.","1997","Bernacci, L.C.; Grombone, M.T.; Tamashiro, J.Y.; Filh, L.; Bernacci, L.C.; Grombone, M.T.; Tamashiro, J.Y.; Leitao Filho, H.F.","Meira Neto",,"brazil","sao paulo","atibaia","fazenda grota funda",,"locality","brazil_sao paulo_atibaia_fazenda grota funda","brazil_sao paulo_atibaia_pm grota funda",-23.179415,-46.531134,"locality",1591667,"Stevia myriadenia","Sch.Bip. ex Baker","name_w_authors","Asteraceae","Stevia","Cav.","species","name accepted","bfo-27403",,,"Stevia myriadenia Sch.Bip. ex Baker","Stevia","Asteraceae","brazil_sao paulo_atibaia","Brazil","São Paulo","Atibaia",,"ibge",TRUE,-23.110001,-46.549999,"coord_original","miliseconds","high","Stevia myriadenia","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","IPA_88818","IPA_88818|UEC_193413","2","0.5","UEC_193413","UEC_193413","UEC_193413","coord_original","Medium","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","58021","21092","Bernacci, LC; Leitão Filho, HF; Tamashiro, JY; Grombone-Guaratini, MT; Meira Neto, JAA",,"1990-05-04","1990","5","4",,,,"Brasil","BR","São Paulo",,"Atibaia","Fazenda Grota Funda",,,,,,,,,"Goldenberg, R","1999-01-01",,"Miconia pusilliflora (DC.) Naudin","Magnoliopsida","Myrtales","Melastomataceae","Miconia","species","(A.DC.) Naudin","ACCEPTED",,,"Miconia pusilliflora (DC.) Naudin",,,,"Miconia pusilliflora","Miconia pusilliflora",,,"https://images.cria.org.br/viewer/UEC170096_01 | https://images.cria.org.br/viewer/UEC170096_02",,,,"GBIF","UEC",,"Bernacci, L.C.","21092","1990","Goldenberg, R.","1999","Leitao Filho, H.F.; Tamashiro, J.Y.; Grombone-Guaratini, M.T.; Meira Neto, J.A.A.","Bernacci",,"brazil","sao paulo","atibaia","fazenda grota funda",,"locality","brazil_sao paulo_atibaia_fazenda grota funda","brazil_sao paulo_atibaia_pm grota funda",-23.179415,-46.531134,"locality",79018,"Miconia pusilliflora","(DC.) Naudin","name_w_authors","Melastomataceae","Miconia pusilliflora","(DC.) Naudin","species","name accepted","bfo-9754",,,"Miconia pusilliflora (DC.) Naudin","Miconia","Melastomataceae","brazil_sao paulo_atibaia","Brazil","São Paulo","Atibaia",,"ibge",TRUE,-23.110001,-46.549999,"coord_original","miliseconds","high","Miconia pusilliflora","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","UEC_58021","UEC_58021[virtual]","1","0.25","UEC_58021","UEC_58021","UEC_58021","coord_original","Medium","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","54956","21220","Bernacci, LC; et al.",,"1990-07-13","1990","7","13",,,,"Brasil","BR","São Paulo",,"Atibaia","faz. grota funda",,,,,,,,,,,,"Emmeorhiza umbellata (Spreng.) K.Schum.","Magnoliopsida","Gentianales","Rubiaceae","Emmeorhiza","species","(Spreng.) K.Schum.","ACCEPTED",,,"Emmeorhiza umbellata (Spreng.) K.Schum.",,,,"Emmeorhiza umbellata","Emmeorhiza umbellata",,,"https://images.cria.org.br/viewer/UEC110061",,,,"GBIF","UEC",,"Bernacci, L.C.","21220","1990","M. Neto, J.A.A.","1998",,"Bernacci",,"brazil","sao paulo","atibaia","fazenda grota funda",,"locality","brazil_sao paulo_atibaia_fazenda grota funda","brazil_sao paulo_atibaia_pm grota funda",-23.179415,-46.531134,"locality",181973,"Emmeorhiza umbellata","(Spreng.) K.Schum.","name_w_authors","Rubiaceae","Emmeorhiza umbellata","(Spreng.) K.Schum.","species","name accepted","bfo-13938",,,"Emmeorhiza umbellata (Spreng.) K.Schum.","Emmeorhiza","Rubiaceae","brazil_sao paulo_atibaia","Brazil","São Paulo","Atibaia",,"ibge",TRUE,-23.110001,-46.549999,"coord_original","miliseconds","high","Emmeorhiza umbellata","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","UEC_54956","UEC_54956|UNOP_7693","1","0.25","UNOP_7693","UEC_54956","UEC_54956","coord_original","Medium","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE"
,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","182485","21095","Bernacci, LC; Grombone-Guaratini, MT; Leitão Filho, HF; Meira Neto, JAA; Tamashiro, JY",,"1990-05-04","1990","5","4",,,,"Brasil","BR","São Paulo",,"Atibaia","Fazenda Grota Funda.",,,,,,,,,"Germano Filho, P","1997-06-16",,"Bathysa australis (A.St.-Hil.) K.Schum.","Magnoliopsida","Gentianales","Rubiaceae","Bathysa","species","(A.St.-Hil.) Benth. & Hook.f.","ACCEPTED",,,"Bathysa australis (A.St.-Hil.) K.Schum.",,,,"Bathysa australis","Bathysa australis",,,"https://images.cria.org.br/viewer/UEC065354",,,,"GBIF","UEC",,"Bernacci, L.C.","21095","1990","Germano Filho, P.","1997","Grombone-Guaratini, M.T.; Leitao Filho, H.F.; Meira Neto, J.A.A.; Tamashiro, J.Y.","Bernacci",,"brazil","sao paulo","atibaia","fazenda grota funda",,"locality","brazil_sao paulo_atibaia_fazenda grota funda","brazil_sao paulo_atibaia_pm grota funda",-23.179415,-46.531134,"locality",115355,"Bathysa australis","(A.St.-Hil.) K.Schum.","name_w_authors","Rubiaceae","Bathysa australis","(A.St.-Hil.) K.Schum.","species","name accepted","bfo-13835",,,"Bathysa australis (A.St.-Hil.) K.Schum.","Bathysa","Rubiaceae","brazil_sao paulo_atibaia","Brazil","São Paulo","Atibaia",,"ibge",TRUE,-23.110001,-46.549999,"coord_original","miliseconds","high","Bathysa australis","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","UEC_182485","UEC_182485[virtual]","1","0.25","UEC_182485","UEC_182485","UEC_182485","coord_original","Medium","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE"
