"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","1872","s.n.","Hoehne, FC",,,"1918","04","27",,,,"Brasil",,"São Paulo","Iguape","Iguape","Ararapira",,,"-24.700001","-47.549999","55628","0","0","Isotype","Hoehne, FC; Schlechtler, R",,,"Maxillaria iguapensis","Orchidaceae","Maxillaria",,"Hoehne & Schltr.",,,,,,,,,,,,,,,"SP001958","Splink","SP",,"Hoehne, F.C.",,"1918","Hoehne, F.C.",,,"Hoehne","Schlechtler, R.","brazil","sao paulo","iguape","ararapira",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","Maxillaria imbricata","Barb.Rodr.","possibly_ok","Orchidaceae","Maxillaria imbricata","Barb.Rodr.","species","replaced synonym","bfo-37791","Maxillaria imbricata","Barb.Rodr.","Maxillaria imbricata Barb.Rodr.","Maxillaria","Orchidaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Maxillaria imbricata",973147,"High","locality_exact","PARQUE ESTADUAL ARA"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 273494","2246","L. Riedel",,,"1834","5",,,,,"Brazil",,"São Paulo",,,"Brasilia (prope Araracoara) [=Araraquara]",,,"0","0",,,,"Isosyntype",,,,"Pavonia sessiliflora obtusifolia","Malvaceae","Pavonia",,"Gurke",,,,,,,,"Pavonia sessiliflora obtusifolia",,,,,,,"US01268959","Splink","US",,"Riedel, L.","2246","1834",,,,"Riedel",,"brazil","sao paulo","brasilia","brasilia",,"locality","brazil_sao paulo_brasilia","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gadm",FALSE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid","Pavonia sessiliflora obtusifolia","Gurke","not_Genus_epithet_format",,"Pavonia sessiliflora obtusifolia","Gurke","subspecies","not found",,,,"Pavonia sessiliflora obtusifolia Gurke","Pavonia","Malvaceae","high","check_local.2state","ok_state_gazet",,,"no_cannot_check","no_match","Pavonia sessiliflora",1757282,"High","locality_exact","PARQUE ESTADUAL ARA"
,,,,"K","K",,"PRESERVED_SPECIMEN","K000632894","1655","Riedel","[in paludosis] Recd. 11/73",,,,,,,"[in paludosis] Recd. 11/73","Brazil",,,,,"[ad Rio Tamanduaté et prope Araracoara]",,,"0","0",,,,"não","Sem determinador",,,"Andropogon hypogynus Hack.","Poaceae","Andropogon","species","Hack.",,,,,,,,"POACEAE Andropogon hypogynus Hack.","hypogynus",,,,,,,"Reflora","K",,"Riedel","1655",,"Determinador, S.",,,"Riedel",,"brazil",,,"[ad rio tamanduate et prope araracoara]",,"country","brazil","brazil",-10.74257447,-53.08032013,"country","brazil","Brazil",,,,"gadm",FALSE,-10.74257447,-53.08032013,"coord_gazet","seconds_centroid","Andropogon hypogynus","Hack.","name_w_authors","Poaceae","Andropogon hypogynus","Hack.","species","name accepted","bfo-12963",,,"Andropogon hypogynus Hack.","Andropogon","Poaceae","high","ok_same_resolution","ok_country_gazet",,TRUE,"no_cannot_check","full_name_match","Andropogon hypogynus",1449205,"High","locality_exact","PARQUE ESTADUAL ARA"
,,,,"CRI","CRI",,"PRESERVED_SPECIMEN","CRI008209","629","A. Stival-Santos",,,"2009","04","20",,,,"Brasil",,,,"São","Parque Estadual das Araucárias.",,"746","-26.4652777777778","-52.5641666666667",,"26º 27' 55"""" S","52º 33' 51"""" W","não","A. L. de Gasper","12/05/2009",,"Asplenium claussenii Hieron.","Aspleniaceae","Asplenium","species","Hieron.",,,,,,,,"ASPLENIACEAE Asplenium claussenii Hieron.","claussenii",,,,,"CRI 9868",,"Reflora","CRI",,"Stival-Santos, A.","629","2009","Gasper, A.L.","2009",,"Stival-Santos",,"brazil",,"sao","parque estadual das araucarias",,"country","brazil","brazil",-10.74257447,-53.08032013,"country","brazil","Brazil",,,,"gadm",TRUE,-26.4652777777778,-52.5641666666667,"coord_original","miliseconds","Asplenium claussenii","Hieron.","name_w_authors","Aspleniaceae","Asplenium claussenii","Hieron.","species","name accepted","bfo-90690",,,"Asplenium claussenii Hieron.","Asplenium","Aspleniaceae","high","ok_same_resolution","ok_country",,FALSE,"no_cannot_check","full_name_match","Asplenium claussenii",1375399,"High","locality_exact","PARQUE ESTADUAL ARA"
,,,,"K","K",,"PRESERVED_SPECIMEN","K000018450","1610","Gardner",,,"1838","10","00",,,,"Brazil",,,,,"Serra do Araripe - Araca de Viada.",,,"-6.88","-39.2",,"6º 52' 48"""" S","39º 12' 0"""" W","sim - Isótipo","Proen  a, P.","00/00/1990",,"Psidium myrsinoides O.Berg","Myrtaceae","Psidium","species","O.Berg",,,,,,,,"MYRTACEAE Psidium myrsinoides O.Berg","myrsinoides",,,,,,,"Reflora","K",,"Gardner","1610","1838","A, P.P.","1990",,"Gardner",,"brazil",,"serra do araripe","serra do araripe",,"country","brazil","brazil",-10.74257447,-53.08032013,"country","brazil","Brazil",,,,"gadm",TRUE,-6.88,-39.2,"coord_original","miliseconds","Psidium myrtoides","O.Berg","name_w_authors","Myrtaceae","Psidium myrtoides","O.Berg","species","replaced synonym","bfo-10874","Psidium myrtoides","O.Berg","Psidium myrtoides O.Berg","Psidium","Myrtaceae","high","ok_same_resolution","ok_country",,TRUE,"no_cannot_check","full_name_match","Psidium myrtoides",1427400,"High","locality_exact","PARQUE ESTADUAL ARA"
,,"urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",,"US","US","NMNH Extant Biology","PRESERVED_SPECIMEN","US 273494","2246","L. Riedel",,"1834-05","1834","5",,,,,"Brazil","BR","São Paulo",,,"Brasilia (prope Araracoara) [=Araraquara]",,,,,,,,"ISOSYNTYPE",,,,"Pavonia sessiliflora var. obtusifolia Gürke","Malvaceae","Peltaea","variety","Gürke","SYNONYM",,,"Peltaea trinervis (J.Presl) Krapov. & Cristóbal",,,,"Pavonia sessiliflora var. obtusifolia Gürke","Peltaea trinervis",,,"https://collections.nmnh.si.edu/media/?i=11262939",,,,"GBIF","US",,"Riedel, L.","2246","1834",,,,"Riedel",,"brazil","sao paulo","brasilia","brasilia",,"locality","brazil_sao paulo_brasilia","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid","Pavonia sessiliflora var. obtusifolia","Gürke","variety|name_w_authors","Malvaceae","Pavonia sessiliflora var. obtusifolia","Gürke","variety","check not resolved","bfo-601887",,,"Pavonia sessiliflora var. obtusifolia Gürke","Pavonia","Malvaceae","high","check_local.2state","ok_state_gazet",,,"no_cannot_check","full_name_match","Pavonia sessiliflora",2609,"High","locality_exact","PARQUE ESTADUAL ARA"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","207684","317","Bertoni, JEA",,,,,"1",,,,"Brazil",,"São Paulo","Campinas","Campinas","Parque Estadual ARA.",,,"-22.9","-47.060001","23900",,,,"Franco, GADC",,,"Maclura tinctoria","Moraceae","Maclura",,"(L.) D.Don ex Steud.",,,,,,,,,,,,,,,"MBM207684","Splink","MBM",,"Bertoni, J.E.A.","317",,"Franco, G.A.D.C.",,,"Bertoni",,"brazil","sao paulo","campinas","parque estadual ara",,"locality","brazil_sao paulo_campinas","brazil_sao paulo_campinas",-22.88389513,-47.04412246,"county","brazil_sao paulo_campinas","Brazil","São Paulo","Campinas",,"ibge",TRUE,-22.9,-47.060001,"coord_original","miliseconds","Maclura tinctoria","(L.) D.Don ex Steud.","possibly_ok","Moraceae","Maclura tinctoria","(L.) D.Don ex Steud.","species","name accepted","bfo-10186",,,"Maclura tinctoria (L.) D.Don ex Steud.","Maclura","Moraceae","medium","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Maclura tinctoria",1228362,"High","locality_exact","PARQUE ESTADUAL ARA"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","207629","316","Bertoni, JEA",,,,,"1",,,,"Brazil",,"São Paulo","Valinhos","Valinhos","Parque Estadual Ara.",,,"-22.969999","-46.990002","12075",,,,"Franco, GADC",,,"Guapira opposita","Nyctaginaceae","Guapira",,"(Vell.) Reitz",,,,,,,,,,,,,,,"MBM207629","Splink","MBM",,"Bertoni, J.E.A.","316",,"Franco, G.A.D.C.",,,"Bertoni",,"brazil","sao paulo","valinhos","parque estadual ara",,"locality","brazil_sao paulo_valinhos","brazil_sao paulo_valinhos",-22.975078,-46.98110903,"county","brazil_sao paulo_valinhos","Brazil","São Paulo","Valinhos",,"ibge",TRUE,-22.969999,-46.990002,"coord_original","miliseconds","Guapira opposita","(Vell.) Reitz","possibly_ok","Nyctaginaceae","Guapira opposita","(Vell.) Reitz","species","name accepted","bfo-10913",,,"Guapira opposita (Vell.) Reitz","Guapira","Nyctaginaceae","medium","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Guapira opposita",1236451,"High","locality_exact","PARQUE ESTADUAL ARA"
,,"370",,"UnB","HBVIRTFLBRAS",,,,"s.n.","Lund, PW",,,,,,,,,"Brazil",,"São Paulo",,,"prope Araracoara",,,"0","0",,"0","0",,,,,"Richardsonia grandiflora","Rubiaceae","Richardsonia",,"Cham. & Schltdl.",,,,,,,,,,,,,,,,"Splink","HBVIRTFLBRAS","code not found","Lund, P.W.",,,,,,"Lund",,"brazil","sao paulo","prope araracoara","prope araracoara",,"locality","brazil_sao paulo_prope araracoara","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gadm",FALSE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid","Richardia grandiflora","(Cham. & Schltdl.) Steud.","possibly_ok","Rubiaceae","Richardia grandiflora","(Cham. & Schltdl.) Steud.","species","replaced synonym","bfo-14236","Richardia grandiflora","(Cham. & Schltdl.) Steud.","Richardia grandiflora (Cham. & Schltdl.) Steud.","Richardia","Rubiaceae","unknown","check_local.2state","ok_state_gazet",,FALSE,"ok_dist","full_name_match","Richardia grandiflora",924646,"High","locality_exact","PARQUE ESTADUAL ARA"
,,"370",,"UnB","HBVIRTFLBRAS",,,,"2272","Riedel, L",,,,,,,,,"Brazil",,"São Paulo","Araraquara","Araraquara","Prope Araraquara.",,,"-21.79","-48.17","29178","0","0",,,,,"Amphistelma aphyllum","Apocynaceae","Amphistelma",,"(Vell.) E.Fourn.",,,,,,,,,,,,,,,,"Splink","HBVIRTFLBRAS","code not found","Riedel, L.","2272",,,,,"Riedel",,"brazil","sao paulo","araraquara","prope araraquara",,"locality","brazil_sao paulo_araraquara","brazil_sao paulo_araraquara",-21.79072857,-48.18132787,"county","brazil_sao paulo_araraquara","Brazil","São Paulo","Araraquara",,"ibge",TRUE,-21.79,-48.17,"coord_original","miliseconds","Orthosia scoparia","(Nutt.) Liede & Meve","possibly_ok","Apocynaceae","Orthosia scoparia","(Nutt.) Liede & Meve","species","replaced synonym","bfo-4737","Orthosia scoparia","(Nutt.) Liede & Meve","Orthosia scoparia (Nutt.) Liede & Meve","Orthosia","Apocynaceae","unknown","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Orthosia scoparia",927329,"High","locality_exact","PARQUE ESTADUAL ARA"
