"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,"685",,"UNIVALI","HBR",,"PRESERVED_SPECIMEN","48102","1310","T. Sendulsky",,,,,,,,,"Brasil",,"São Paulo","Cananéia","Cananéia","Ilha do Cardoso,.",,,"-25.01","-47.919998","37574",,,,,,,"Panicum pilosum","Gramineae","Panicum",,"Swartz",,,,,,,,,,,,,,,"HBR0048102","Splink","HBR","code not found","Sendulsky, T.","1310",,,,,"Sendulsky",,"brazil","sao paulo","cananeia","ilha do cardoso",,"locality","brazil_sao paulo_cananeia_ilha cardoso","brazil_sao paulo_cananeia_ilha cardoso",-25.133547,-47.961661,"locality","Rugoloa pilosa","(Sw.) Zuloaga","possibly_ok","Poaceae","Rugoloa pilosa","(Sw.) Zuloaga","species","author misspelled|replaced synonym","bfo-134539","Rugoloa pilosa","(Sw.) Zuloaga","Rugoloa pilosa (Sw.) Zuloaga","Rugoloa","Poaceae","Rugoloa pilosa",945691,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.01,-47.919998,"coord_original","miliseconds","ok_same_resolution","ok_country",,FALSE,"ok_dist","full_name_match","HBR_48102",,"cc","cc",,,,"plantr_exact","High","PARQUE ESTADUAL ILHA DO CARDOSO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","47034","152","D.Sampaio",,,,,,,,,"Brasil",,"SP","Cananéia","Cananéia","Parque Estadual da Ilha do Cardoso",,,"-25.01","-47.919998","37574",,,,"O.T. Aguiar","2016-07-11",,"Eugenia astringens","Myrtaceae","Eugenia",,"O.Berg",,,,,"11","07","2016","Eugenia astringens",,,,,,,"SPSF00047034","Splink","SPSF",,"Sampaio, D.","152",,"Aguiar, O.T.","2016",,"Sampaio",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","Eugenia astringens","O.Berg","possibly_ok",,"Eugenia astringens","O.Berg","species","not found",,,,"Eugenia astringens O.Berg","Eugenia","Myrtaceae","Eugenia astringens",1510964,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.01,-47.919998,"coord_original","miliseconds","ok_same_resolution","ok_country",,FALSE,"ok_dist","canonical_name_match","SPSF_47034",,"cc","cc",,,,"plantr_exact","High","PARQUE ESTADUAL ILHA DO CARDOSO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","47041","140","D.Sampaio",,,,,,,,,"Brasil",,"SP","Cananéia","Cananéia","Parque Estadual da Ilha do Cardoso",,,"-25.01","-47.919998","37574",,,,"J.B.Baitello","2014-12-10",,"Ocotea dispersa","Lauraceae","Ocotea",,"(Ness) Mez",,,,,"10","12","2014",,,,,,,,"SPSF00047041","Splink","SPSF",,"Sampaio, D.","140",,"Baitello, J.B.","2014",,"Sampaio",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","Ocotea dispersa","(Nees & Mart.) Mez","possibly_ok","Lauraceae","Ocotea dispersa","(Nees & Mart.) Mez","species","author misspelled","bfo-8455",,,"Ocotea dispersa (Nees & Mart.) Mez","Ocotea","Lauraceae","Ocotea dispersa",832657,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.01,-47.919998,"coord_original","miliseconds","ok_same_resolution","ok_country",,FALSE,"ok_dist","full_name_match","SPSF_47041",,"cc","cc",,,,"plantr_exact","High","PARQUE ESTADUAL ILHA DO CARDOSO"
,,"295",,"IFAM","EAFM",,"PRESERVED_SPECIMEN","18517","91","Sampaio, D",,,,,,,,,"Brasil",,"São Paulo","Cananéia","Cananéia","Parque Estadual da ilha do Cardoso, Floresta Alta de Restinga",,,"-25.01225","-47.098694",,"-25.01225","-47.098694",,"Sobral, M","2013-01-NA",,"Myrcia amazonica","Myrtaceae","Myrcia",,"DC.",,,,,,"01","2013",,,,,,,,,"Splink","EAFM",,"Sampaio, D.","91",,"Sobral, M.","2013",,"Sampaio",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","Myrcia amazonica","DC.","possibly_ok","Myrtaceae","Myrcia amazonica","DC.","species","name accepted","bfo-10661",,,"Myrcia amazonica DC.","Myrcia","Myrtaceae","Myrcia amazonica",911052,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.01225,-47.098694,"coord_original","miliseconds","ok_same_resolution","shore",,FALSE,"ok_dist","full_name_match","EAFM_18517",,"cc","cc",,,,"plantr_exact","High","PARQUE ESTADUAL ILHA DO CARDOSO"
,,"609",,"UFRJ","RFA",,"PRESERVED_SPECIMEN","39405","72","V. G. Staggemeier",,,,,,,,,"Brasil",,"São Paulo","Cananéia","Cananéia","Parque Estadual da Ilha do Cardoso",,,"-25.0744445","-47.9208334",,"25º4'28''S","47º55'15''W",,"M. Sobral","2007-11-NA",,"Marlierea obscura","Myrtaceae","Marlierea",,"O.Berg",,,,,,"11","2007",,,,,,,,"RFA46714","Splink","RFA",,"Staggemeier, V.G.","72",,"Sobral, M.","2007",,"Staggemeier",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","Myrcia neoobscura","E.Lucas & C.E.Wilson","possibly_ok","Myrtaceae","Myrcia neoobscura","E.Lucas & C.E.Wilson","species","replaced synonym","bfo-615318","Myrcia neoobscura","E.Lucas & C.E.Wilson","Myrcia neoobscura E.Lucas & C.E.Wilson","Myrcia","Myrtaceae","Myrcia neoobscura",1364296,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.0744445,-47.9208334,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","RFA_39405",,"cc","cc",,,,"plantr_exact","High","PARQUE ESTADUAL ILHA DO CARDOSO"
,,"1",,"IBt","SP",,,"156626a","16285","Mattos, J; Lyra, M",,,,,,,,,"Brasil",,"São Paulo","Cananéia","Cananéia","Ilha do Cardoso, Praia do Marujá.",,,"-25.01","-47.919998","37574","0","0",,"Forzza, RC","2006-NA-NA",,"Dyckia encholirioides","Bromeliaceae","Dyckia",,"Mez",,,,,,,"2006",,,,,,,,"SP051557","Splink","SP",,"Mattos, J.","16285",,"Forzza, R.C.","2006","Lyra, M.","Mattos",,"brazil","sao paulo","cananeia","ilha do cardoso",,"locality","brazil_sao paulo_cananeia_ilha cardoso","brazil_sao paulo_cananeia_ilha cardoso",-25.133547,-47.961661,"locality","Dyckia encholirioides","(Gaudich.) Mez","possibly_ok","Bromeliaceae","Dyckia encholirioides","(Gaudich.) Mez","species","author misspelled","bfo-6061",,,"Dyckia encholirioides (Gaudich.) Mez","Dyckia","Bromeliaceae","Dyckia encholirioides",1019440,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.01,-47.919998,"coord_original","miliseconds","ok_same_resolution","ok_country",,FALSE,"ok_dist","full_name_match","SP_156626a",,"cc","cc",,,,"plantr_exact","High","PARQUE ESTADUAL ILHA DO CARDOSO"
,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","139077","2595","Colletta, G.D",,,"2016",,,,,,"Brasil",,"São Paulo","Cananéia","Cananéia","Ilha do Cardoso.",,,"-25.01","-47.919998","37574",,,,,,,"Schwartzia brasiliensis","Marcgraviaceae","Schwartzia",,"(Choisy) Bedell ex Gir.-Cañas",,,,,,,,,,,"WGS84",,,,"ESA139077","Splink","ESA",,"Colletta, G.D.","2595","2016",,,,"Colletta",,"brazil","sao paulo","cananeia","ilha do cardoso",,"locality","brazil_sao paulo_cananeia_ilha cardoso","brazil_sao paulo_cananeia_ilha cardoso",-25.133547,-47.961661,"locality","Schwartzia brasiliensis","(Choisy) Bedell ex Gir.-Cañas","possibly_ok","Marcgraviaceae","Schwartzia brasiliensis","(Choisy) Bedell ex Gir.-Cañas","species","name accepted","bfo-103323",,,"Schwartzia brasiliensis (Choisy) Bedell ex Gir.-Cañas","Schwartzia","Marcgraviaceae","Schwartzia brasiliensis",1164253,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.133547,-47.961661,"coord_gazet","seconds","ok_same_resolution","ok_locality_gazet",,FALSE,"ok_dist","full_name_match","ESA_139077","ESA_139077|FLOR_76088","1","0.25",,"FLOR_76088","FLOR_76088","plantr_exact","High","PARQUE ESTADUAL ILHA DO CARDOSO"
,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","139113","2632","Colletta, G.D",,,"2016",,,,,,"Brasil",,"São Paulo","Cananéia","Cananéia","Ilha do Cardoso",,,"-25.01","-47.919998","37574",,,,"Santos, M.F.","1905-NA-NA",,"Myrcia eugeniopsoides","Myrtaceae","Myrcia",,"(D.Legrand & Kausel) Mazine",,,,,,,"1905",,,,,,,,"ESA139113","Splink","ESA",,"Colletta, G.D.","2632","2016","Santos, M.F.","1905",,"Colletta",,"brazil","sao paulo","cananeia","ilha do cardoso",,"locality","brazil_sao paulo_cananeia_ilha cardoso","brazil_sao paulo_cananeia_ilha cardoso",-25.133547,-47.961661,"locality","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","possibly_ok","Myrtaceae","Myrcia eugeniopsoides","(D.Legrand & Kausel) Mazine","species","name accepted","bfo-605439",,,"Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","Myrcia","Myrtaceae","Myrcia eugeniopsoides",1195350,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.01,-47.919998,"coord_original","miliseconds","ok_same_resolution","ok_country",,FALSE,"ok_dist","full_name_match","ESA_139113",,"0","0",,,,"plantr_exact","High","PARQUE ESTADUAL ILHA DO CARDOSO"
,,"2",,"UNICAMP","UEC",,,"194461","2454","Monge, M; Vigna, BBZ; Souza, FB",,,"2014","02","07",,,,"Brazil",,"São Paulo","Cananéia","Cananéia","P.E. Ilha do Cardoso. trilha do poço das antas. Estradinha",,,"-24.980833","-48.05",,"-24.980833","-48.05",,,,,"Pluchea macrocephala","Asteraceae","Pluchea",,"DC.",,,,,,,,,,,,,,,"UEC174665","Splink","UEC",,"Monge, M.","2454","2014",,,"Vigna, B.B.Z.; Souza, F.B.","Monge",,"brazil","sao paulo","cananeia","parque estadual ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","Stenachaenium megapotamicum","(Spreng.) Baker","possibly_ok","Asteraceae","Stenachaenium megapotamicum","(Spreng.) Baker","species","replaced synonym","bfo-105290","Stenachaenium megapotamicum","(Spreng.) Baker","Stenachaenium megapotamicum (Spreng.) Baker","Stenachaenium","Asteraceae","Stenachaenium megapotamicum",1075916,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-24.980833,-48.05,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","UEC_194461",,"cc","cc",,,,"plantr_exact","High","PARQUE ESTADUAL ILHA DO CARDOSO"
,,"427",,"UPM","MACK",,"PRESERVED_SPECIMEN","1194",,"D. Sampaio",,,"2010",,,,,,"Brasil",,"SP","Cananéia","Cananéia","Parque Estadual Ilha do Cardoso.",,,"-25.0100002288818","-47.9199981689453","37574",,,,"D. Sampaio","2010-NA-NA",,"Sloanea guianensis","Elaeocarpaceae","Sloanea",,"(Aubl.) Benth.",,,,,,,"2010",,,,,,,,,"Splink","MACK",,"Sampaio, D.",,"2010","Sampaio, D.","2010",,"Sampaio",,"brazil","sao paulo","cananeia","parque estadual ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","Sloanea guianensis","(Aubl.) Benth.","possibly_ok","Elaeocarpaceae","Sloanea guianensis","(Aubl.) Benth.","species","name accepted","bfo-7447",,,"Sloanea guianensis (Aubl.) Benth.","Sloanea","Elaeocarpaceae","Sloanea guianensis",814375,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.0100002288818,-47.9199981689453,"coord_original","miliseconds","ok_same_resolution","ok_country",,FALSE,"ok_dist","full_name_match","MACK_1194",,"cc","cc",,,,"plantr_exact","High","PARQUE ESTADUAL ILHA DO CARDOSO"
