"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","297269","119","?",,,,,,,,,"Brazil",,"São Paulo","Ribeirão Grande","Ribeirão Grande","Parque Estadual Intervales.",,,"-24.09","-48.360001","25028",,,,"Goldenberg, R",,,"Miconia pusilliflora","Melastomataceae","Miconia",,"(DC.) Naudin",,,,,,,,,,,,,,,"MBM297269","Splink","MBM",,,"119",,"Goldenberg, R.",,,,,"brazil","sao paulo","ribeirao grande","parque estadual intervales",,"locality","brazil_sao paulo_ribeirao grande_parque estadual intervales","brazil_sao paulo_ribeirao grande_parque estadual intervales",-24.272589,-48.377465,"locality","brazil_sao paulo_ribeirao grande_parque estadual intervales","Brazil","São Paulo","Ribeirão Grande","parque estadual intervales","splink_jabot",TRUE,-24.09,-48.360001,"coord_original","miliseconds","Miconia pusilliflora","(DC.) Naudin","possibly_ok","Melastomataceae","Miconia pusilliflora","(DC.) Naudin","species","name accepted","bfo-9754",,,"Miconia pusilliflora (DC.) Naudin","Miconia","Melastomataceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Miconia pusilliflora",1237801,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"224",,"UNB","UB",,"PRESERVED_SPECIMEN","186274","1506","Arzolla, FARDP; Moura, C; Vilela, FESP; Ivanauskas, NM",,,"2012","02","02",,,,"Brasil",,"São Paulo","Capão Bonito","Capão Bonito","Entorno do Parque Estadual Intervales, vegetação de campo.",,,"-24.1836111","-48.1455555",,"24º11'1''S","48º8'44''W",,"Filgueiras, TS","2012-NA-NA",,"Saccharum asperum","Poaceae","Saccharum",,"(Nees) Steud.",,,,,,,"2012",,,,,,,,"UB0024025","Splink","UB","code not found","Arzolla, F.A.R.D.P.","1506","2012","Filgueiras, T.S.","2012","Moura, C.; Vilela, F.E.S.P.; Ivanauskas, N.M.","Arzolla",,"brazil","sao paulo","capao bonito","entorno do parque estadual intervales",,"locality","brazil_sao paulo_capao bonito","brazil_sao paulo_capao bonito",-24.03890216,-48.28993485,"county","brazil_sao paulo_capao bonito","Brazil","São Paulo","Capão Bonito",,"ibge",TRUE,-24.1836111,-48.1455555,"coord_original","miliseconds","Saccharum asperum","(Nees) Steud.","possibly_ok","Poaceae","Saccharum asperum","(Nees) Steud.","species","name accepted","bfo-13569",,,"Saccharum asperum (Nees) Steud.","Saccharum","Poaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Saccharum asperum",1305185,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"220",,"UFMG","BHCB",,"PRESERVED_SPECIMEN","161466","622","Bünger, MO; Lucas, S",,,"2012","10","27",,,,"Brasil",,"São Paulo","Sete Barras","Sete Barras","Parque Estadual Intervales, Trilha amarela",,,"-24.379999","-47.919998","34059","0","0",,,"2012-10-27",,"Eugenia cuprea","Myrtaceae","Eugenia",,"(O.Berg) Nied.",,,,,"27","10","2012",,,,,,,,,"Splink","BHCB",,"Bunger, M.O.","622","2012",,"2012","Lucas, S.","Bunger",,"brazil","sao paulo","sete barras","parque estadual intervales",,"locality","brazil_sao paulo_sete barras_parque estadual intervales","brazil_sao paulo_sete barras_pe intervales",-24.232154,-48.082059,"locality","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.379999,-47.919998,"coord_original","miliseconds","Eugenia expansa","Spring ex Mart.","possibly_ok","Myrtaceae","Eugenia expansa","Spring ex Mart.","species","replaced synonym","bfo-10395","Eugenia expansa","Spring ex Mart.","Eugenia expansa Spring ex Mart.","Eugenia","Myrtaceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Eugenia expansa",906672,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44256","89","R.L.Miashike & N.M.Ivanauskas & B.M.Beisiegel & Y.E.Tuermorezow & L.A.Ribeiro & E.T.R.Costa",,,"2010","06","27",,,,"Brasil",,"SP","Iporanga","Iporanga","Parque Estadual de Intervales",,,"-24.308333","-48.410278",,,,,"O.T. Aguiar","2016-06-03",,"Myrcia isaiana","Myrtaceae","Myrcia",,"G.M.Barroso & Peixoto",,,,,"03","06","2016",,,,,,,,"SPSF00044256","Splink","SPSF",,"Miashike, R.L.","89","2010","Aguiar, O.T.","2016","Ivanauskas, N.M.; Beisiegel, B.M.; Tuermorezow, Y.E.; Ribeiro, L.A.; Costa, E.T.R.","Miashike",,"brazil","sao paulo","iporanga","parque estadual de intervales",,"locality","brazil_sao paulo_iporanga","brazil_sao paulo_iporanga",-24.51231726,-48.54624865,"county","brazil_sao paulo_iporanga","Brazil","São Paulo","Iporanga",,"ibge",TRUE,-24.308333,-48.410278,"coord_original","seconds","Myrcia isaiana","G.M.Barroso & Peixoto","possibly_ok","Myrtaceae","Myrcia isaiana","G.M.Barroso & Peixoto","species","name accepted","bfo-10710",,,"Myrcia isaiana G.M.Barroso & Peixoto","Myrcia","Myrtaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Myrcia isaiana",819245,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44263","96","R.L.Miashike & N.M.Ivanauskas & B.M.Beisiegel & Y.E.Tuermorezow & L.A.Ribeiro & E.T.R.Costa",,,"2010","06","27",,,,"Brasil",,"SP","Iporanga","Iporanga","Parque Estadual de Intervales",,,"-24.312222","-48.401667",,,,,"M. Reginato","2014-02-14",,"Leandra brackenridgei","Melastomataceae","Leandra",,"((Cogn.)) (A.Gray)",,,,,"14","02","2014",,,,,,,,"SPSF00044263","Splink","SPSF",,"Miashike, R.L.","96","2010","Reginato, M.","2014","Ivanauskas, N.M.; Beisiegel, B.M.; Tuermorezow, Y.E.; Ribeiro, L.A.; Costa, E.T.R.","Miashike",,"brazil","sao paulo","iporanga","parque estadual de intervales",,"locality","brazil_sao paulo_iporanga","brazil_sao paulo_iporanga",-24.51231726,-48.54624865,"county","brazil_sao paulo_iporanga","Brazil","São Paulo","Iporanga",,"ibge",TRUE,-24.312222,-48.401667,"coord_original","seconds","Leandra brackenridgei","(A.Gray) Cogn.","possibly_ok","Melastomataceae","Leandra brackenridgei","(A.Gray) Cogn.","species","author misspelled","bfo-9512",,,"Leandra brackenridgei (A.Gray) Cogn.","Leandra","Melastomataceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Leandra brackenridgei",818303,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44279","839","R.L.Miashike & N.M.Ivanauskas & Y.E.Tuermorezow & B.Amaral",,,"2010","06","30",,,,"Brasil",,"SP","Eldorado","Eldorado","Parque Estadual Intervales",,,"-24.308056","-48.358611",,,,,"E.J.Lirio","2013-05-22",,"Mollinedia uleana","Monimiaceae","Mollinedia",,"(Perkins)",,,,,"22","05","2013",,,,,,,,"SPSF00044279","Splink","SPSF",,"Miashike, R.L.","839","2010","Lirio, E.J.","2013","Ivanauskas, N.M.; Tuermorezow, Y.E.; Amaral, B.","Miashike",,"brazil","sao paulo","eldorado","parque estadual intervales",,"locality","brazil_sao paulo_eldorado","brazil_sao paulo_eldorado",-24.49490556,-48.23324935,"county","brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge",TRUE,-24.308056,-48.358611,"coord_original","seconds","Mollinedia uleana","Perkins","possibly_ok","Monimiaceae","Mollinedia uleana","Perkins","species","author misspelled","bfo-10105",,,"Mollinedia uleana Perkins","Mollinedia","Monimiaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Mollinedia uleana",819020,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44257","90","R.L.Miashike & N.M.Ivanauskas & B.M.Beisiegel & Y.E.Tuermorezow & L.A.Ribeiro & E.T.R.Costa",,,"2010","06","27",,,,"Brasil",,"SP","Iporanga","Iporanga","Parque Estadual de Intervales",,,"-24.308333","-48.410278",,,,,"A.L.Peixoto","2011-08-08",,"Mollinedia schottiana","Monimiaceae","Mollinedia",,"(Spreng.) Perkins",,,,,"08","08","2011",,,,,,,,"SPSF00044257","Splink","SPSF",,"Miashike, R.L.","90","2010","Peixoto, A.L.","2011","Ivanauskas, N.M.; Beisiegel, B.M.; Tuermorezow, Y.E.; Ribeiro, L.A.; Costa, E.T.R.","Miashike",,"brazil","sao paulo","iporanga","parque estadual de intervales",,"locality","brazil_sao paulo_iporanga","brazil_sao paulo_iporanga",-24.51231726,-48.54624865,"county","brazil_sao paulo_iporanga","Brazil","São Paulo","Iporanga",,"ibge",TRUE,-24.308333,-48.410278,"coord_original","seconds","Mollinedia schottiana","(Spreng.) Perkins","possibly_ok","Monimiaceae","Mollinedia schottiana","(Spreng.) Perkins","species","name accepted","bfo-10101",,,"Mollinedia schottiana (Spreng.) Perkins","Mollinedia","Monimiaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Mollinedia schottiana",819002,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44258","91","R.L.Miashike & N.M.Ivanauskas & B.M.Beisiegel & Y.E.Tuermorezow & L.A.Ribeiro & E.T.R.Costa",,,"2010","06","27",,,,"Brasil",,"SP","Iporanga","Iporanga","Parque Estadual de Intervales",,,"-24.308333","-48.410278",,,,,"J.A.Pastore","2010-10-14",,"Trichilia pallens","Meliaceae","Trichilia",,"C.DC.",,,,,"14","10","2010",,,,,,,,"SPSF00044258","Splink","SPSF",,"Miashike, R.L.","91","2010","Pastore, J.A.","2010","Ivanauskas, N.M.; Beisiegel, B.M.; Tuermorezow, Y.E.; Ribeiro, L.A.; Costa, E.T.R.","Miashike",,"brazil","sao paulo","iporanga","parque estadual de intervales",,"locality","brazil_sao paulo_iporanga","brazil_sao paulo_iporanga",-24.51231726,-48.54624865,"county","brazil_sao paulo_iporanga","Brazil","São Paulo","Iporanga",,"ibge",TRUE,-24.308333,-48.410278,"coord_original","seconds","Trichilia pallens","C.DC.","possibly_ok","Meliaceae","Trichilia pallens","C.DC.","species","name accepted","bfo-10010",,,"Trichilia pallens C.DC.","Trichilia","Meliaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Trichilia pallens",825227,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44273","108","R.L.Miashike & N.M.Ivanauskas & B.M.Beisiegel & Y.E.Tuermorezow & E.T.R.Costa & B.Amaral",,,"2010","06","29",,,,"Brasil",,"SP","Eldorado","Eldorado","Parque Estadual Intervales",,,"-24.290556","-48.364722",,,,,"J.B.Baitello","2010-07-12",,"Ocotea teleiandra","Lauraceae","Ocotea",,"(Meisn.) Mez",,,,,"12","07","2010",,,,,,,,"SPSF00044273","Splink","SPSF",,"Miashike, R.L.","108","2010","Baitello, J.B.","2010","Ivanauskas, N.M.; Beisiegel, B.M.; Tuermorezow, Y.E.; Costa, E.T.R.; Amaral, B.","Miashike",,"brazil","sao paulo","eldorado","parque estadual intervales",,"locality","brazil_sao paulo_eldorado","brazil_sao paulo_eldorado",-24.49490556,-48.23324935,"county","brazil_sao paulo_eldorado","Brazil","São Paulo","Eldorado",,"ibge",TRUE,-24.290556,-48.364722,"coord_original","seconds","Ocotea teleiandra","(Meisn.) Mez","possibly_ok","Lauraceae","Ocotea teleiandra","(Meisn.) Mez","species","name accepted","bfo-8510",,,"Ocotea teleiandra (Meisn.) Mez","Ocotea","Lauraceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Ocotea teleiandra",838596,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44283","106","R.L.Miashike & N.M.Ivanauskas & B.M.Beisiegel & Y.E.Tuermorezow & E.T.R.Costa & B.Amaral",,,"2010","06","29",,,,"Brasil",,"SP","Ribeirão Grande","Ribeirão Grande","Parque Estadual Intervales",,,"-24.290278","-48.368056",,,,,"O.T. Aguiar","2010-09-20",,"Myrcia hatschbachii","Myrtaceae","Myrcia",,"D.Legrand",,,,,"20","09","2010",,,,,,,,"SPSF00044283","Splink","SPSF",,"Miashike, R.L.","106","2010","Aguiar, O.T.","2010","Ivanauskas, N.M.; Beisiegel, B.M.; Tuermorezow, Y.E.; Costa, E.T.R.; Amaral, B.","Miashike",,"brazil","sao paulo","ribeirao grande","parque estadual intervales",,"locality","brazil_sao paulo_ribeirao grande_parque estadual intervales","brazil_sao paulo_ribeirao grande_parque estadual intervales",-24.272589,-48.377465,"locality","brazil_sao paulo_ribeirao grande_parque estadual intervales","Brazil","São Paulo","Ribeirão Grande","parque estadual intervales","splink_jabot",TRUE,-24.290278,-48.368056,"coord_original","seconds","Myrcia hatschbachii","D.Legrand","possibly_ok","Myrtaceae","Myrcia hatschbachii","D.Legrand","species","name accepted","bfo-10701",,,"Myrcia hatschbachii D.Legrand","Myrcia","Myrtaceae","high","ok_same_resolution","ok_county",,FALSE,"bad_dist","full_name_match","Myrcia hatschbachii",838070,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44281","117","R.L.Miashike & N.M.Ivanauskas & Y.E.Tuermorezow & B.Amaral",,,"2010","06","30",,,,"Brasil",,"SP","Iporanga","Iporanga","Parque Estadual de Intervales",,,"-24.310833","-48.366111",,,,,"O.T. Aguiar","2010-09-20",,"Myrcia flagellaris","Myrtaceae","Myrcia",,"(D.Legrand) Sobral",,,,,"20","09","2010",,,,,,,,"SPSF00044281","Splink","SPSF",,"Miashike, R.L.","117","2010","Aguiar, O.T.","2010","Ivanauskas, N.M.; Tuermorezow, Y.E.; Amaral, B.","Miashike",,"brazil","sao paulo","iporanga","parque estadual de intervales",,"locality","brazil_sao paulo_iporanga","brazil_sao paulo_iporanga",-24.51231726,-48.54624865,"county","brazil_sao paulo_iporanga","Brazil","São Paulo","Iporanga",,"ibge",TRUE,-24.310833,-48.366111,"coord_original","seconds","Myrcia flagellaris","(D.Legrand) Sobral","possibly_ok","Myrtaceae","Myrcia flagellaris","(D.Legrand) Sobral","species","name accepted","bfo-109201",,,"Myrcia flagellaris (D.Legrand) Sobral","Myrcia","Myrtaceae","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Myrcia flagellaris",819203,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","44284","107","R.L.Miashike & N.M.Ivanauskas & B.M.Beisiegel & Y.E.Tuermorezow & E.T.R.Costa & B.Amaral",,,"2010","06","29",,,,"Brasil",,"SP","Ribeirão Grande","Ribeirão Grande","Parque Estadual Intervales",,,"-24.290278","-48.368056",,,,,"O.T. Aguiar","2010-09-20",,"Myrceugenia myrcioides","Myrtaceae","Myrceugenia",,"(Camb.) O.Berg",,,,,"20","09","2010",,,,,,,,"SPSF00044284","Splink","SPSF",,"Miashike, R.L.","107","2010","Aguiar, O.T.","2010","Ivanauskas, N.M.; Beisiegel, B.M.; Tuermorezow, Y.E.; Costa, E.T.R.; Amaral, B.","Miashike",,"brazil","sao paulo","ribeirao grande","parque estadual intervales",,"locality","brazil_sao paulo_ribeirao grande_parque estadual intervales","brazil_sao paulo_ribeirao grande_parque estadual intervales",-24.272589,-48.377465,"locality","brazil_sao paulo_ribeirao grande_parque estadual intervales","Brazil","São Paulo","Ribeirão Grande","parque estadual intervales","splink_jabot",TRUE,-24.290278,-48.368056,"coord_original","seconds","Myrceugenia myrcioides","(Cambess.) O.Berg","possibly_ok","Myrtaceae","Myrceugenia myrcioides","(Cambess.) O.Berg","species","author misspelled","bfo-10648",,,"Myrceugenia myrcioides (Cambess.) O.Berg","Myrceugenia","Myrtaceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Myrceugenia myrcioides",819173,"High","locality_exact","PARQUE ESTADUAL INTERVALES"
