"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002104","260","Keller, VC",,,"2018","03","06",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Setor A, estrada à esquerda após a torre de observação. Campo nativo",,,"-23.343497","-46.6728",,"-23.343497","-46.6728",,"Shimizu, G","2018-05-06",,"Vochysia cinnamomea","Vochysiaceae","Vochysia",,"Pohl",,,,,"06","05","2018",,,,,,,,"HUFABC002104","Splink","HUFABC",,"Keller, V.C.","260","2018","Shimizu, G.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery, estrada a esquerda apos a torre de observacao","parque estadual do juquery","locality","brazil_sao paulo_franco rocha","brazil_sao paulo_franco rocha",-23.31425638,-46.73543782,"county","Vochysia cinnamomea","Pohl","possibly_ok","Vochysiaceae","Vochysia cinnamomea","Pohl","species","name accepted","bfo-15300",,,"Vochysia cinnamomea Pohl","Vochysia","Vochysiaceae","Vochysia cinnamomea",816656,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.343497,-46.6728,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002081","237","Keller, VC",,,"2018","03","06",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Setor A, próximo à torre de observação",,,"-23.342508","-46.678408",,"-23.342508","-46.678408",,"Monge, M","2018-05-06",,"Solidago chilensis","Asteraceae","Solidago",,"Meyen",,,,,"06","05","2018",,,,,,,,"HUFABC002081","Splink","HUFABC",,"Keller, V.C.","237","2018","Monge, M.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality","Solidago chilensis","Meyen","possibly_ok","Asteraceae","Solidago chilensis","Meyen","species","name accepted","bfo-5503",,,"Solidago chilensis Meyen","Solidago","Asteraceae","Solidago chilensis",816631,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.342508,-46.678408,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002080","236","Keller, VC",,,"2018","03","06",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Setor A, estrada à esquerda após a torre de observação. Campo nativo",,,"-23.343497","-46.6728",,"-23.343497","-46.6728",,"Monge, M","2018-05-06",,"Richterago radiata","Asteraceae","Richterago",,"(Vell.) Roque",,,,,"06","05","2018",,,,,,,,"HUFABC002080","Splink","HUFABC",,"Keller, V.C.","236","2018","Monge, M.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery, estrada a esquerda apos a torre de observacao","parque estadual do juquery","locality","brazil_sao paulo_franco rocha","brazil_sao paulo_franco rocha",-23.31425638,-46.73543782,"county","Richterago radiata","(Vell.) Roque","possibly_ok","Asteraceae","Richterago radiata","(Vell.) Roque","species","name accepted","bfo-25260",,,"Richterago radiata (Vell.) Roque","Richterago","Asteraceae","Richterago radiata",816595,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.343497,-46.6728,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002055","213","Keller, VC; Pereira-Silva, E",,,"2018","03","05",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Setor A, estrada a esquerda antes da torre de observação",,,"-23.341711","-46.676675",,"-23.341711","-46.676675",,"Monge, M","2018-05-06",,"Pterocaulon alopecuroides","Asteraceae","Pterocaulon",,"(Lam.) DC.",,,,,"06","05","2018",,,,,,,,"HUFABC002055","Splink","HUFABC",,"Keller, V.C.","213","2018","Monge, M.","2018","Pereira-Silva, E.","Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery, estrada a esquerda antes da torre de observacao","parque estadual do juquery","locality","brazil_sao paulo_franco rocha","brazil_sao paulo_franco rocha",-23.31425638,-46.73543782,"county","Pterocaulon alopecuroides","(Lam.) DC.","possibly_ok","Asteraceae","Pterocaulon alopecuroides","(Lam.) DC.","species","name accepted","bfo-16278",,,"Pterocaulon alopecuroides (Lam.) DC.","Pterocaulon","Asteraceae","Pterocaulon alopecuroides",816589,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.341711,-46.676675,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002155","297","Keller, VC",,,"2018","05","12",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Próximo à torre de observação do setor B",,,"-23.345083","-46.701828",,"-23.345083","-46.701828",,"Aguiar, OT","2018-08-31",,"Psidium grandifolium","Myrtaceae","Psidium",,"Mart. ex DC.",,,,,"31","08","2018",,,,,,,,"HUFABC002155","Splink","HUFABC",,"Keller, V.C.","297","2018","Aguiar, O.T.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality","Psidium grandifolium","Mart. ex DC.","possibly_ok","Myrtaceae","Psidium grandifolium","Mart. ex DC.","species","name accepted","bfo-10866",,,"Psidium grandifolium Mart. ex DC.","Psidium","Myrtaceae","Psidium grandifolium",816573,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.345083,-46.701828,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002083","239","Keller, VC",,,"2018","03","06",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Setor A",,,"-23.349081","-46.681969",,"-23.349081","-46.681969",,"Monge, M","2018-05-06",,"Orthopappus angustifolius","Asteraceae","Orthopappus",,"(Sw.) Gleason",,,,,"06","05","2018",,,,,,,,"HUFABC002083","Splink","HUFABC",,"Keller, V.C.","239","2018","Monge, M.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality","Orthopappus angustifolius","(Sw.) Gleason","possibly_ok","Asteraceae","Orthopappus angustifolius","(Sw.) Gleason","species","name accepted","bfo-80711",,,"Orthopappus angustifolius (Sw.) Gleason","Orthopappus","Asteraceae","Orthopappus angustifolius",816529,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.349081,-46.681969,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","415174","667","Fernandes, U.G.; Souza-Buturi, F.O.;Lozano, E.D.;Ribeiro, W.",,,"2018","8","22",,,,"Brazil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery",,,"-23.32","-46.720001","12135",,,,"Brotto, M.L.","2018-11-1",,"Nectandra nitidula","Lauraceae","Nectandra",,"Nees & Mart.",,,,,"1","11","2018",,,,,,,,"MBM415174","Splink","MBM",,"Fernandes, U.G.","667","2018","Brotto, M.L.","2018","Souza-Buturi, F.O.; Lozano, E.D.; Ribeiro, W.","Fernandes",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality","Nectandra nitidula","Nees & Mart.","possibly_ok","Lauraceae","Nectandra nitidula","Nees & Mart.","species","name accepted","bfo-8433",,,"Nectandra nitidula Nees & Mart.","Nectandra","Lauraceae","Nectandra nitidula",1231051,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.32,-46.720001,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002126","150","Keller, VC",,,"2018","01","10",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Estrada para o Ovo da Pata, próximo à torre do linhão de energia",,,"-23.349339","-46.701892",,"-23.349339","-46.701892",,"Semir, J; Monge, M","2018-05-06",,"Lessingianthus argyrophyllus","Asteraceae","Lessingianthus",,"(Less.) H.Rob.",,,,,"06","05","2018",,,,,,,,"HUFABC002126","Splink","HUFABC",,"Keller, V.C.","150","2018","Semir, J.","2018",,"Keller","Monge, M.","brazil","sao paulo","franco da rocha","parque estadual do juquery, estrada para o ovo da pata","parque estadual do juquery","locality","brazil_sao paulo_franco rocha","brazil_sao paulo_franco rocha",-23.31425638,-46.73543782,"county","Lessingianthus argyrophyllus","(Less.) H.Rob.","possibly_ok","Asteraceae","Lessingianthus argyrophyllus","(Less.) H.Rob.","species","name accepted","bfo-27163",,,"Lessingianthus argyrophyllus (Less.) H.Rob.","Lessingianthus","Asteraceae","Lessingianthus argyrophyllus",895273,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.349339,-46.701892,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002127","151","Keller, VC",,,"2018","01","10",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Estrada para o Ovo da Pata, próximo à torre do linhão de energia",,,"-23.349339","-46.701892",,"-23.349339","-46.701892",,"Monge, M","2018-05-06",,"Chrysolaena desertorum","Asteraceae","Chrysolaena",,"(Mart. ex DC.) Dematt.",,,,,"06","05","2018",,,,,,,,"HUFABC002127","Splink","HUFABC",,"Keller, V.C.","151","2018","Monge, M.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery, estrada para o ovo da pata","parque estadual do juquery","locality","brazil_sao paulo_franco rocha","brazil_sao paulo_franco rocha",-23.31425638,-46.73543782,"county","Chrysolaena desertorum","(Mart. ex DC.) Dematt.","possibly_ok","Asteraceae","Chrysolaena desertorum","(Mart. ex DC.) Dematt.","species","name accepted","bfo-101586",,,"Chrysolaena desertorum (Mart. ex DC.) Dematt.","Chrysolaena","Asteraceae","Chrysolaena desertorum",816343,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.349339,-46.701892,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002125","149","Keller, VC",,,"2018","01","10",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Estrada para o Ovo da Pata, próximo à torre do linhão de energia",,,"-23.349339","-46.701892",,"-23.349339","-46.701892",,"Monge, M","2018-05-06",,"Baccharis tridentata","Asteraceae","Baccharis",,"Vahl.",,,,,"06","05","2018",,,,,,,,"HUFABC002125","Splink","HUFABC",,"Keller, V.C.","149","2018","Monge, M.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery, estrada para o ovo da pata","parque estadual do juquery","locality","brazil_sao paulo_franco rocha","brazil_sao paulo_franco rocha",-23.31425638,-46.73543782,"county","Baccharis tridentata","Vahl","possibly_ok","Asteraceae","Baccharis tridentata","Vahl","species","author misspelled","bfo-5257",,,"Baccharis tridentata Vahl","Baccharis","Asteraceae","Baccharis tridentata",816287,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.349339,-46.701892,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002210","290","Keller, VC",,,"2018","04","24",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Próximo à torre de observação do setor B",,,"-23.345083","-46.701828",,"-23.345083","-46.701828",,"Monge, M","2018-05-06",,"Ageratum fastigiatum","Asteraceae","Ageratum",,"(Gardner) R.M.King & H.Rob.",,,,,"06","05","2018",,,,,,,,"HUFABC002210","Splink","HUFABC",,"Keller, V.C.","290","2018","Monge, M.","2018",,"Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality","Ageratum fastigiatum","(Gardner) R.M.King & H.Rob.","possibly_ok","Asteraceae","Ageratum fastigiatum","(Gardner) R.M.King & H.Rob.","species","name accepted","bfo-15936",,,"Ageratum fastigiatum (Gardner) R.M.King & H.Rob.","Ageratum","Asteraceae","Ageratum fastigiatum",895083,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.345083,-46.701828,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","002056","214","Keller, VC; Pereira-Silva, E",,,"2018","03","05",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery, Setor A, estrada à esquerda antes da torre de observação",,,"-23.341711","-46.676675",,"-23.341711","-46.676675",,"Monge, M","2018-05-06",,"Acanthospermum australe","Asteraceae","Acanthospermum",,"(Loefl.) Kuntze",,,,,"06","05","2018",,,,,,,,"HUFABC002056","Splink","HUFABC",,"Keller, V.C.","214","2018","Monge, M.","2018","Pereira-Silva, E.","Keller",,"brazil","sao paulo","franco da rocha","parque estadual do juquery, estrada a esquerda antes da torre de observacao","parque estadual do juquery","locality","brazil_sao paulo_franco rocha","brazil_sao paulo_franco rocha",-23.31425638,-46.73543782,"county","Acanthospermum australe","(Loefl.) Kuntze","possibly_ok","Asteraceae","Acanthospermum australe","(Loefl.) Kuntze","species","name accepted","bfo-103231",,,"Acanthospermum australe (Loefl.) Kuntze","Acanthospermum","Asteraceae","Acanthospermum australe",895073,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.341711,-46.676675,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
,,"620",,"UFSC","CTBS",,"PRESERVED_SPECIMEN","7929","1924","Antar, G.M.; Drew, B.T. & Keller, V.C.",,,"2017","10","21",,,,"Brasil",,"São Paulo","Franco da Rocha","Franco da Rocha","Parque Estadual do Juquery. Trilha para o mirante. Campo sujo recém queimado.",,,"-23.344722","-46.700278",,"23°20'41'' S","46°42'01'' W",,"J.F.B.Pastore","2020-09-NA",,"Asemeia hebeclada","Polygalaceae","Asemeia",,"(DC.) J.F.B.Pastore & J.R.Abbott",,,,,,"09","2020",,,,,,,,,"Splink","CTBS",,"Antar, G.M.","1924","2017","Pastore, J.F.B.","2020","Drew, B.T.; Keller, V.C.","Antar",,"brazil","sao paulo","franco da rocha","parque estadual do juquery",,"locality","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.348245,-46.691991,"locality","Asemeia hebeclada","(DC.) J.F.B.Pastore & J.R.Abbott","possibly_ok","Polygalaceae","Asemeia hebeclada","(DC.) J.F.B.Pastore & J.R.Abbott","species","name accepted","bfo-127257",,,"Asemeia hebeclada (DC.) J.F.B.Pastore & J.R.Abbott","Asemeia","Polygalaceae","Asemeia hebeclada",1364487,"brazil_sao paulo_franco rocha","Brazil","São Paulo","Franco da Rocha",,"ibge",TRUE,-23.344722,-46.700278,"coord_original","seconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL JUQUERY"
