"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","18110","811","M.J.Robim",,,"1994","09","09",,,,"Brasil",,"SP","Campos do Jordão","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão",,,"-22.73","-45.59","21048",,,,"G. Heiden",,,"Baccharis dentata","Asteraceae","Baccharis",,"(Vell.) G.M.Barroso",,,,,,,,,,,,,,,"SPSF00018110","Splink","SPSF",,"Robim, M.J.","811","1994","Heiden, G.",,,"Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","Baccharis dentata","(Vell.) G.M.Barroso","possibly_ok","Asteraceae","Baccharis dentata","(Vell.) G.M.Barroso","species","name accepted","bfo-5176",,,"Baccharis dentata (Vell.) G.M.Barroso","Baccharis","Asteraceae","Baccharis dentata",829634,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"ibge","high",TRUE,-22.73,-45.59,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_18110",,"0","0",,,,"High","plantr_exact","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","18108","800","M.J.Robim & R.Evangelista",,,"1994","09","06",,,,"Brasil",,"SP","Campos do Jordão","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão",,,"-22.73","-45.59","21048",,,,"G. Heiden",,,"Baccharis crispa","Asteraceae","Baccharis",,"Spreng.",,,,,,,,,,,,,,,"SPSF00018108","Splink","SPSF",,"Robim, M.J.","800","1994",,,"Evangelista, R.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","Baccharis crispa","Spreng.","possibly_ok","Asteraceae","Baccharis crispa","Spreng.","species","name accepted","bfo-26875",,,"Baccharis crispa Spreng.","Baccharis","Asteraceae","Baccharis crispa",826441,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"ibge","high",TRUE,-22.73,-45.59,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","SPSF_18108","SPSF_18108[virtual]","4","1",,"SPSF_18108","SPSF_18108","High","plantr_exact","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","18116","827","M.J.Robim & S.Aragaki",,,"1994","09","09",,,,"Brasil",,"SP","Campos do Jordão","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão",,,"-22.73","-45.59","21048",,,,"A.P.Savassi-Coutinho","2010-09-25",,"Mimosa scabrella","Fabaceae","Mimosa",,,,,,,"25","09","2010",,,,,,,,"SPSF00018116","Splink","SPSF",,"Robim, M.J.","827","1994","Savassi-Coutinho, A.P.","2010","Aragaki, S.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","Mimosa scabrella","Benth.","possibly_ok","Fabaceae","Mimosa scabrella","Benth.","species","name accepted","bfo-100978",,,"Mimosa scabrella Benth.","Mimosa","Fabaceae","Mimosa scabrella",843377,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"ibge","high",TRUE,-22.73,-45.59,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_18116","RB_164618|SPSF_18116","4","1","SPSF_18116","SPSF_18116","SPSF_18116","High","plantr_exact","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","18140","802","M.J.Robim & R.Evangelista",,,"1994","09","06",,,,"Brasil",,"SP","Campos do Jordão","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão",,,"-22.73","-45.59","21048",,,,"G.O.Romão","2010-08-13",,"Gaylussacia jordanensis","Ericaceae","Gaylussacia",,"Sleumer",,,,,"13","08","2010",,,,,,,,"SPSF00018140","Splink","SPSF",,"Robim, M.J.","802","1994","Romao, G.O.","2010","Evangelista, R.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","Gaylussacia jordanensis","Sleumer","possibly_ok","Ericaceae","Gaylussacia jordanensis","Sleumer","species","name accepted","bfo-7492",,,"Gaylussacia jordanensis Sleumer","Gaylussacia","Ericaceae","Gaylussacia jordanensis",903291,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"ibge","high",TRUE,-22.73,-45.59,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_18140",,"0","0",,,,"High","plantr_exact","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","18117","813","M.J.Robim & S.Aragaki",,,"1994","09","09",,,,"Brasil",,"SP","Campos do Jordão","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão",,,"-22.73","-45.59","21048",,,,"G.O.Romão","2010-08-13",,"Gaylussacia amoena","Ericaceae","Gaylussacia",,"Cham.",,,,,"13","08","2010",,,,,,,,"SPSF00018117","Splink","SPSF",,"Robim, M.J.","813","1994","Romao, G.O.","2010","Aragaki, S.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","Gaylussacia amoena","Cham.","possibly_ok","Ericaceae","Gaylussacia amoena","Cham.","species","name accepted","bfo-7479",,,"Gaylussacia amoena Cham.","Gaylussacia","Ericaceae","Gaylussacia amoena",903282,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"ibge","high",TRUE,-22.73,-45.59,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_18117",,"0","0",,,,"High","plantr_exact","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","18097","801","M.J.Robim & R.Evangelista",,,"1994","09","06",,,,"Brasil",,"SP","Campos do Jordão","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão",,,"-22.73","-45.59","21048",,,,"G.O.Romão","2006-03-30",,"Agarista hispidula","Ericaceae","Agarista",,"(DC.) Hooker ex Nied.",,,,,"30","03","2006",,,,,,,,"SPSF00018097","Splink","SPSF",,"Robim, M.J.","801","1994","Romao, G.O.","2006","Evangelista, R.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","Agarista hispidula","(DC.) J.D. Hook. ex Nied.","possibly_ok","Ericaceae","Agarista hispidula","(DC.) J.D. Hook. ex Nied.","species","author misspelled","bfo-7458",,,"Agarista hispidula (DC.) J.D. Hook. ex Nied.","Agarista","Ericaceae","Agarista hispidula",825805,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"ibge","high",TRUE,-22.73,-45.59,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_18097",,"0","0",,,,"High","plantr_exact","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","47859","177","T.E.Barreto",,"2013-01-13","2013","1","13",,,,"Brasil","BR","Sp",,"Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão",,,"-23.266667","-45.95",,,,,"R.T.Shirasuna",,,"Dichanthelium sabulorum var. polycladum (Ekman) Zuloaga","Poaceae","Dichanthelium","variety","(Lam.) Gould & C.A. Clark","SYNONYM",,,"Dichanthelium sabulorum (Lam.) Gould & C.A.Clark",,,,"Dichanthelium sabulorum var. polycladum","Dichanthelium sabulorum",,"WGS84","https://images.cria.org.br/viewer/SPSF00047859",,,,"GBIF","SPSF",,"Barreto, T.E.","177","2013","Shirasuna, R.T.",,,"Barreto",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","Dichanthelium sabulorum var. polycladum","(Ekman) Zuloaga","variety|name_w_authors","Poaceae","Dichanthelium sabulorum var. polycladum","(Ekman) Zuloaga","variety","name accepted","bfo-123741",,,"Dichanthelium sabulorum var. polycladum (Ekman) Zuloaga","Dichanthelium","Poaceae","Dichanthelium sabulorum",335,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"ibge","high",TRUE,-23.266667,-45.95,"coord_original","minutes","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","SPSF_47859","SPSF_47859[virtual]","3","0.75",,"SPSF_47859","SPSF_47859","High","plantr_exact","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","47856","174","T.E.Barreto",,"2013-01-13","2013","1","13",,,,"Brasil","BR","Sp",,"Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão",,,"-23.266667","-45.95",,,,,"R.T.Shirasuna",,,"Agrostis montevidensis var. submutica Döll","Poaceae","Agrostis","variety","Spreng. ex Nees","SYNONYM",,,"Agrostis montevidensis Spreng. ex Nees",,,,"Agrostis montevidensis var. submutica","Agrostis montevidensis",,"WGS84","https://images.cria.org.br/viewer/SPSF00047856",,,,"GBIF","SPSF",,"Barreto, T.E.","174","2013",,,,"Barreto",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","Agrostis montevidensis var. submutica","Döll","variety|name_w_authors","Poaceae","Agrostis montevidensis var. submutica","Döll","variety","name accepted","bfo-130259",,,"Agrostis montevidensis var. submutica Döll","Agrostis","Poaceae","Agrostis montevidensis",333,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"ibge","high",TRUE,-23.266667,-45.95,"coord_original","minutes","check_local.2municip.","ok_state",,,"bad_dist","full_name_match","SPSF_47856","SPSF_47856[virtual]","4","1",,"SPSF_47856","SPSF_47856","High","plantr_exact","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO"
,,"https://specieslink.net/col/13",,"IF","SPSF",,"PRESERVED_SPECIMEN","47857","175","T.E.Barreto",,"2013-01-13","2013","1","13",,,,"Brasil","BR","Sp",,"Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão",,,"-23.266667","-45.95",,,,,"R.T.Shirasuna",,,"Axonopus siccus (Nees) Kuhlm.","Poaceae","Axonopus","species","(Nees) Kuhlm.","ACCEPTED",,,"Axonopus siccus (Nees) Kuhlm.",,,,"Axonopus siccus","Axonopus siccus",,"WGS84","https://images.cria.org.br/viewer/SPSF00047857",,,,"GBIF","SPSF",,"Barreto, T.E.","175","2013",,,,"Barreto",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","Axonopus siccus","(Nees) Kuhlm.","name_w_authors","Poaceae","Axonopus siccus","(Nees) Kuhlm.","species","name accepted","bfo-13053",,,"Axonopus siccus (Nees) Kuhlm.","Axonopus","Poaceae","Axonopus siccus",51490,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"ibge","high",TRUE,-23.266667,-45.95,"coord_original","minutes","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","SPSF_47857","SPSF_47857[virtual]","4","1",,"SPSF_47857","SPSF_47857","High","plantr_exact","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","18106","808","M.J.Robim & S.Aragaki",,,"1994","09","09",,,,"Brasil",,"SP","Campos do Jordão","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão",,,"-22.73","-45.59","21048",,,,"G.A.D.C. Franco","1997-07-02",,"Senecio brasiliensis","Asteraceae","Senecio",,,,,,,"02","07","1997",,,,,,,,"SPSF00018106","Splink","SPSF",,"Robim, M.J.","808","1994","Franco, G.A.D.C.","1997","Aragaki, S.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","Senecio brasiliensis","(Spreng.) Less.","possibly_ok","Asteraceae","Senecio brasiliensis","(Spreng.) Less.","species","name accepted","bfo-27354",,,"Senecio brasiliensis (Spreng.) Less.","Senecio","Asteraceae","Senecio brasiliensis",834949,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"ibge","medium",TRUE,-22.73,-45.59,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SPSF_18106",,"0","0",,,,"High","plantr_exact","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO"
