"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"437",,"UNISANTA","HUSC",,"PRESERVED_SPECIMEN","11429","31","O.J.G. Almeida",,,"2016","06","15",,,,"Brasil",,"São Paulo","São vicente","São vicente","Parque Estadual Xixová-Japuí.",,,"-23.959999","-46.389999","25482","0","0",,"Ludovic Kollmann","2016-09-NA",,"Begonia cucullata","Begoniaceae","Begonia",,"Willd.",,,,,,"09","2016",,,,,,,,"HUSC011429","Splink","HUSC",,"Almeida, O.J.G.","31","2016","Kollmann, L.","2016",,"Almeida",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","Begonia cucullata","Willd.","possibly_ok","Begoniaceae","Begonia cucullata","Willd.","species","name accepted","bfo-5597",,,"Begonia cucullata Willd.","Begonia","Begoniaceae","Begonia cucullata",1344229,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-23.959999,-46.389999,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","35306","54","C.Moura",,,"2003","11","27",,,,"Brasil",,"SP","São Vicente","São Vicente","Parque Estadual Xixová-Japuí",,,"-23.962778","-46.391944",,,,,"O.T. Aguiar","2018-10-10",,"Calyptranthes brasiliensis","Myrtaceae","Calyptranthes",,"Spreng.",,,,,"10","10","2018",,,,,,,,"SPSF00035306","Splink","SPSF",,"Moura, C.","54","2003","Aguiar, O.T.","2018",,"Moura",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","Myrcia loranthifolia","(DC.) G.P.Burton & E.Lucas","possibly_ok","Myrtaceae","Myrcia loranthifolia","(DC.) G.P.Burton & E.Lucas","species","replaced synonym","bfo-616160","Myrcia loranthifolia","(DC.) G.P.Burton & E.Lucas","Myrcia loranthifolia (DC.) G.P.Burton & E.Lucas","Myrcia","Myrtaceae","Myrcia loranthifolia",837868,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-23.962778,-46.391944,"coord_original","seconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","367190","1274","Pastore, JA; Moura, C",,,"2003","10","31",,,,"Brasil",,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, Paranapuã",,,"-23.959999","-46.389999","25482","0","0",,"Pederneiras, LC","2011-06-24",,"Ficus adhatodifolia","Moraceae","Ficus",,"Schott ex Spreng.",,,,,"24","06","2011",,,,,,,,,"Splink","SP",,"Pastore, J.A.","1274","2003","Pederneiras, L.C.","2011","Moura, C.","Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","Ficus adhatodifolia","Schott in Spreng.","possibly_ok","Moraceae","Ficus adhatodifolia","Schott in Spreng.","species","author misspelled","bfo-10152",,,"Ficus adhatodifolia Schott in Spreng.","Ficus","Moraceae","Ficus adhatodifolia",992233,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-23.959999,-46.389999,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","32353","1243","J.A.Pastore & C.Moura",,,"2003","08","15",,,,"Brasil",,"SP","São Vicente","São Vicente","Parque Estadual Xixová-Japuí",,,"-23.976944","-46.371944",,,,,"J.O.Mendonça","2006-08-31",,"Erythroxylum catharinense","Erythroxylaceae","Erythroxylum",,,,,,,"31","08","2006",,,,,,,,"SPSF00032353","Splink","SPSF",,"Pastore, J.A.","1243","2003","Mendonca, J.O.","2006","Moura, C.","Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","Erythroxylum catharinense","Amaral","possibly_ok","Erythroxylaceae","Erythroxylum catharinense","Amaral","species","name accepted","bfo-7687",,,"Erythroxylum catharinense Amaral","Erythroxylum","Erythroxylaceae","Erythroxylum catharinense",820365,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-24.000969,-46.397091,"coord_gazet","seconds","high","ok_same_resolution","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
,,"281",,"JBP","HPL",,,"11021","31","C. Mouta, M. Fachada & J. Cardoso",,,"2003","11","17",,,,"Brasil",,"SP","São Vicente","São Vicente","Coletado no Parque Estadual Xixová-Japuí, no morro do Japuí; em área de mata de encosta. S 23° 58' 37"" - 24° 02' 06""; W 46° 22' 19"" - 46° 24' 42""",,,"-23.96","-46.39","25482",,,,"J.R. Stehmann","2005-10-03",,"Solanum diploconos","Solanaceae","Solanum",,"(Mart.) Bohs",,,,,"03","10","2005",,,,,,,,"HPL011021","Splink","HPL",,"Mouta, C.","31","2003","Stehmann, J.R.","2005","Fachada, M.; Cardoso, J.","Mouta",,"brazil","sao paulo","sao vicente","coletado no parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente","brazil_sao paulo_sao vicente",-23.96902814,-46.49274094,"county","Solanum diploconos","(Mart.) Bohs","possibly_ok","Solanaceae","Solanum diploconos","(Mart.) Bohs","species","name accepted","bfo-14762",,,"Solanum diploconos (Mart.) Bohs","Solanum","Solanaceae","Solanum diploconos",1327199,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-23.96,-46.39,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","366448","1284","Pastore, JA; Moura, C",,,"2003","10","31",,,,"Brasil",,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, região de Paranapuã",,,"-23.976944","-46.371944",,"-23.976944","-46.371944",,"Esteves, GL","2004-10-NA",,"Triumfetta semitriloba","Malvaceae","Triumfetta",,"Jacq.",,,,,,"10","2004",,,,,,,,,"Splink","SP",,"Pastore, J.A.","1284","2003","Esteves, G.L.","2004","Moura, C.","Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","Triumfetta semitriloba","Jacq.","possibly_ok","Malvaceae","Triumfetta semitriloba","Jacq.","species","name accepted","bfo-9267",,,"Triumfetta semitriloba Jacq.","Triumfetta","Malvaceae","Triumfetta semitriloba",1011996,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-24.000969,-46.397091,"coord_gazet","seconds","high","ok_same_resolution","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","366435","1277","Pastore, JA; Moura, C",,,"2003","10","31",,,,"Brasil",,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, Região de Paranapuã, costão próximo da praia",,,"-23.976944","-46.371944",,"-23.976944","-46.371944",,"Mamede, MCH","2004-NA-NA",,"Stigmaphyllon ciliatum","Malpighiaceae","Stigmaphyllon",,"(Lam.) A.Juss.",,,,,,,"2004",,,,,,,,"SP021137","Splink","SP",,"Pastore, J.A.","1277","2003","Mamede, M.C.H.","2004","Moura, C.","Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","Stigmaphyllon ciliatum","(Lam.) A.Juss.","possibly_ok","Malpighiaceae","Stigmaphyllon ciliatum","(Lam.) A.Juss.","species","name accepted","bfo-8951",,,"Stigmaphyllon ciliatum (Lam.) A.Juss.","Stigmaphyllon","Malpighiaceae","Stigmaphyllon ciliatum",1041279,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-24.000969,-46.397091,"coord_gazet","seconds","high","ok_same_resolution","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","307720","1157","Pastore, JA; et al.",,,"2002","6",,,,,"Brazil",,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí.",,,"-23.959999","-46.389999","25482",,,,"Goldenberg, R",,,"Leandra reversa","Melastomataceae","Leandra",,"(DC.) Cogn.",,,,,,,,,,,,,,,"MBM307720","Splink","MBM",,"Pastore, J.A.","1157","2002","Goldenberg, R.",,,"Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","Leandra reversa","(DC.) Cogn.","possibly_ok","Melastomataceae","Leandra reversa","(DC.) Cogn.","species","name accepted","bfo-9606",,,"Leandra reversa (DC.) Cogn.","Leandra","Melastomataceae","Leandra reversa",1234198,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-23.959999,-46.389999,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","29195","1104","J.A.Pastore & C.Moura",,,"2002","02","01",,,,"Brasil",,"SP","São Vicente","São Vicente","Parque Estadual Xixová-Japuí",,,"-23.976944","-46.371944",,,,,"P.Fiaschi",,,"Dendropanax exilis","Araliaceae","Dendropanax",,,,,,,,,,,,,,,,,"SPSF00029195","Splink","SPSF",,"Pastore, J.A.","1104","2002","Fiaschi, P.",,"Moura, C.","Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","Dendropanax exilis","(Toledo) S.L.Jung","possibly_ok","Araliaceae","Dendropanax exilis","(Toledo) S.L.Jung","species","name accepted","bfo-5107",,,"Dendropanax exilis (Toledo) S.L.Jung","Dendropanax","Araliaceae","Dendropanax exilis",838871,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-24.000969,-46.397091,"coord_gazet","seconds","high","ok_same_resolution","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","396860","1121","Pastore, JA; Moura, C",,,"2002","02","15",,,,"Brasil",,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, região de Paranapuã, início da trilha da caixa d#?#água",,,"-23.959999","-46.389999","25482","0","0",,"Pelissari, G","2015-01-09",,"Ficus arpazusa","Moraceae","Ficus",,"Casar.",,,,,"09","01","2015",,,,,,,,,"Splink","SP",,"Pastore, J.A.","1121","2002","Pelissari, G.","2015","Moura, C.","Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","Ficus arpazusa","Casar.","possibly_ok","Moraceae","Ficus arpazusa","Casar.","species","name accepted","bfo-10138",,,"Ficus arpazusa Casar.","Ficus","Moraceae","Ficus arpazusa",1020738,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-23.959999,-46.389999,"coord_original","miliseconds","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN","360432","1155","Pastore, JA; Moura, C",,,"2002","03","01",,,,"Brasil",,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, Praia de Paranapuã, baixa encosta",,,"-23.976944","-46.371944",,"-23.976944","-46.371944",,"Mamede, MCH","2013-04-05",,"Bunchosia maritima","Malpighiaceae","Bunchosia",,"(Vell.) J.F.Macbr.",,,,,"05","04","2013",,,,,,,,"SP013773","Splink","SP",,"Pastore, J.A.","1155","2002","Mamede, M.C.H.","2013","Moura, C.","Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","Bunchosia maritima","(Vell.) J.F.Macbr.","possibly_ok","Malpighiaceae","Bunchosia maritima","(Vell.) J.F.Macbr.","species","name accepted","bfo-8825",,,"Bunchosia maritima (Vell.) J.F.Macbr.","Bunchosia","Malpighiaceae","Bunchosia maritima",1014829,"brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gadm",TRUE,-24.000969,-46.397091,"coord_gazet","seconds","high","ok_same_resolution","shore",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE ESTADUAL XIXOVÁ-JAPUÍ"
