"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","class","order","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","recordID","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","species.new","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,,,"UFPEL","PEL",,"PRESERVED_SPECIMEN","26697","1284",,"<nO>Árvore, 14m alt., 20cm de DAP, ritidoma estriado; frutos. Vistoria com DEPAVE-8/DUC. Mata secundária.</nO>",,"2014","9","16",,,"<nO>Árvore, 14m alt., 20cm de DAP, ritidoma estriado; frutos. Vistoria com DEPAVE-8/DUC. Mata secundária.</nO>","Brasil",,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal Itaim. Trilha do Tatu, sede nova",,,"-23.540001","-46.630001","53584",,,,"E.H.P. Barretto","2014-10-NA",,"Myrcia pubipetala",,,"Myrtaceae","Myrcia",,,,"-23.540001","-46.630001",,,"10","2014",,"pubipetala",,,,,,"PEL0015478","Splink","PEL",,,"1284","2014","Barretto, E.H.P.","2014",,,,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",1015555,"Myrcia pubipetala","Miq.","possibly_ok","Myrtaceae","Myrcia pubipetala","Miq.","species","name accepted","bfo-10743",,,"Myrcia pubipetala Miq.","Myrcia","Myrtaceae","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","high","Myrcia pubipetala","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","PEL_26697","PEL_26697|PMSP_15420","1","0.25","PMSP_15420","PEL_26697","PEL_26697","plantr_exact","High","PARQUE NATURAL MUNICIPAL ITAIM"
,,,,"UNIVILLE","JOI",,"PRESERVED_SPECIMEN","20694","1285",,"<nO>Casca Lisa, Frutos Verdes</nO>",,"2014","9","16",,,"<nO>Casca Lisa, Frutos Verdes</nO>","Brasil",,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal do Itaim, Trilha do Tatu, sede nova.",,,"-23.540001","-46.630001","53584",,,,"E.H.P.Barretto","2014-10-NA",,"Eugenia verticillata",,,"Myrtaceae","Eugenia",,,,"-23.540001","-46.630001",,,"10","2014",,"verticillata",,,,,,"JOI023741","Splink","JOI",,,"1285","2014","Barretto, E.H.P.","2014",,,,"brazil","sao paulo","sao paulo","parque natural municipal do itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",1316045,"Eugenia verticillata","(Vell.) Angely","possibly_ok","Myrtaceae","Eugenia verticillata","(Vell.) Angely","species","name accepted","bfo-36996",,,"Eugenia verticillata (Vell.) Angely","Eugenia","Myrtaceae","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","high","Eugenia verticillata","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","JOI_20694","EAC_66396|HUEFS_264362|HUFABC_3206|JOI_20694|PMSP_15419","1","0.25","EAC_66396","HUFABC_3206","HUFABC_3206","plantr_exact","High","PARQUE NATURAL MUNICIPAL ITAIM"
,,,,"UNIVILLE","JOI",,"PRESERVED_SPECIMEN","20771","555",,"<nO>Árvore, 5 metros de altura, 7+5+5+4 centímetros de DAP. Frutos imaturos verdes.</nO>",,"2012","5","23",,,"<nO>Árvore, 5 metros de altura, 7+5+5+4 centímetros de DAP. Frutos imaturos verdes.</nO>","Brasil",,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal Itaim, ponto 2 da trilha próxima á futura sede. Sub-bosque.",,,"-23.8002778","-46.7080556",,"23º48'1''S","46º42'29''W",,"R.J.F.Garcia",,,"Sloanea hirsuta",,,"Elaeocarpaceae","Sloanea",,,,"-23.8002778","-46.7080556",,,,,,"hirsuta",,,,,,"JOI023852","Splink","JOI",,,"555","2012",,,,,,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",1225380,"Sloanea hirsuta","(Schott) Planch. ex Benth.","possibly_ok","Elaeocarpaceae","Sloanea hirsuta","(Schott) Planch. ex Benth.","species","name accepted","bfo-103503",,,"Sloanea hirsuta (Schott) Planch. ex Benth.","Sloanea","Elaeocarpaceae","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.8002778,-46.7080556,"coord_original","miliseconds","high","Sloanea hirsuta","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","JOI_20771","JOI_20771|PMSP_14085","1","0.25",,"JOI_20771","JOI_20771","plantr_exact","High","PARQUE NATURAL MUNICIPAL ITAIM"
,,,,"UPM","MACK",,"PRESERVED_SPECIMEN","2832","536",,,,"2012","5","10",,,,"Brasil",,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal Itaim",,,"-23.5400009155273","-46.6300010681152","53584",,,,"R. J. F. Garcia","2012-07-NA",,"Nectandra oppositifolia",,,"Lauraceae","Nectandra",,,,"-23.5400009155273","-46.6300010681152",,,"07","2012",,"oppositifolia",,,,,,,"Splink","MACK",,,"536","2012","Garcia, R.J.F.","2012",,,,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",810528,"Nectandra oppositifolia","Nees & Mart.","possibly_ok","Lauraceae","Nectandra oppositifolia","Nees & Mart.","species","name accepted","bfo-8434",,,"Nectandra oppositifolia Nees & Mart.","Nectandra","Lauraceae","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.5400009155273,-46.6300010681152,"coord_original","miliseconds","high","Nectandra oppositifolia","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","MACK_2832","MACK_2832|PMSP_13591","1","0.25","PMSP_13591","MACK_2832","MACK_2832","plantr_exact","High","PARQUE NATURAL MUNICIPAL ITAIM"
,,,,"UFPEL","PEL",,"PRESERVED_SPECIMEN","26674","535",,"<nO>Árvore, 8m de altura, 55cm DAP, caule com fissuras longitudinais. Cones masculinos esverdeados. Estróbilos femininos marrons.</nO>",,"2012","5","10",,,"<nO>Árvore, 8m de altura, 55cm DAP, caule com fissuras longitudinais. Cones masculinos esverdeados. Estróbilos femininos marrons.</nO>","Brasil",,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal Itaim. Trilha próxima à sede. Ponto 43",,,"-23.540001","-46.630001","53584",,,,"R.J.F. Garcia","2012-7-NA",,"Cupressus lusitanica",,,"Cupressaceae","Cupressus",,,,"-23.540001","-46.630001",,,"7","2012",,"lusitanica",,,,,,"PEL1024683","Splink","PEL",,,"535","2012","Garcia., R.J.F.","2012",,,,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",1321898,"Cupressus lusitanica","Mill.","possibly_ok","Cupressaceae","Cupressus lusitanica","Mill.","species","name accepted","bfo-597083",,,"Cupressus lusitanica Mill.","Cupressus","Cupressaceae","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","high","Cupressus lusitanica","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","PEL_26674","PEL_26674|PMSP_13661","1","0.25","PMSP_13661","PEL_26674","PEL_26674","plantr_exact","High","PARQUE NATURAL MUNICIPAL ITAIM"
,,,,"UFBA","HVC",,"PRESERVED_SPECIMEN","5126","558",,"<nO>Pétalas lilases claras. Anteras amarelas Habitat: Sub-bosque de eucaliptal Habito: erva estolonífera</nO>",,"2012","5","23",,,"<nO>Pétalas lilases claras. Anteras amarelas Habitat: Sub-bosque de eucaliptal Habito: erva estolonífera</nO>","Brasil",,"São Paulo","São Paulo","São Paulo","Ponto 4 da trilha próxima à futura sede. Coord. SAD. 69. Parque Natural Municipal Itaim",,,"-23.8005556","-46.7091667",,"23º48'2''S","46º42'33''W",,"Garcia,R.J.F.","2012-5-NA",,"Chaetogastra clinopodifolia",,,"Melastomataceae","Chaetogastra",,,,"-23.8005556","-46.7091667",,,"5","2012",,"clinopodifolia",,,,,,"HVC00005126","Splink","HVC",,,"558","2012","Garcia, R.J.F.","2012",,,,"brazil","sao paulo","sao paulo","parque natural municipal itaim","ponto 4 da trilha proxima a futura sede","locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",1038429,"Chaetogastra clinopodifolia","DC.","possibly_ok","Melastomataceae","Chaetogastra clinopodifolia","DC.","species","name accepted","bfo-603375",,,"Chaetogastra clinopodifolia DC.","Chaetogastra","Melastomataceae","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.8005556,-46.7091667,"coord_original","miliseconds","high","Chaetogastra clinopodifolia","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","HVC_5126","HVC_5126|HVC_7318|PMSP_13532","1","0.25","PMSP_13532","HVC_5126","HVC_5126","plantr_exact","High","PARQUE NATURAL MUNICIPAL ITAIM"
,,,,"UNIRIO","HUNI",,"PRESERVED_SPECIMEN","7165","549",,"<nO>Árvore com ca. de 7 m de altura. Caule com ranhuras longitudinais. Fruto castanho avermelhado. Habito: Árvore</nO>",,"2012","5","10",,,"<nO>Árvore com ca. de 7 m de altura. Caule com ranhuras longitudinais. Fruto castanho avermelhado. Habito: Árvore</nO>","Brasil",,"São Paulo","São Paulo","São Paulo","Parque Natural Municipal Itaim, Parelheiros, Zona Sul de São Paulo. Ponto 53 da trilha próxima à futura sede.",,,"-23.8108333","-46.7172223",,"23º48'39''S","46º43'2''W",,"R.J.F. Garcia; S. Honda","2012-5-  17",,"Amaioua intermedia",,,"Rubiaceae","Amaioua",,,,"-23.8108333","-46.7172223",,"17","5","2012",,"intermedia",,,,,,"HUNI00007165","Splink","HUNI",,,"549","2012","Garcia, R.J.F.","2012",,,"Honda, S.","brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",811442,"Amaioua intermedia","Mart. ex Schult. & Schult.f.","possibly_ok","Rubiaceae","Amaioua intermedia","Mart. ex Schult. & Schult.f.","species","name accepted","bfo-13830",,,"Amaioua intermedia Mart. ex Schult. & Schult.f.","Amaioua","Rubiaceae","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.8108333,-46.7172223,"coord_original","miliseconds","high","Amaioua intermedia","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","HUNI_7165","HUNI_7165|PMSP_13450","1","0.25","PMSP_13450","HUNI_7165","HUNI_7165","plantr_exact","High","PARQUE NATURAL MUNICIPAL ITAIM"
,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99557","3371","Barretto, EHP",,"2023-11-27","2023","11","27",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha OLA",,,,,,,,,"Sordi, SJ","2024-02-19",,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","Magnoliopsida","Asterales","Asteraceae","Symphyopappus","species","(Hook.) Donnell","ACCEPTED",,,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.",,,,"Symphyopappus itatiayensis","Symphyopappus itatiayensis",,,,,,,"GBIF","UFP",,"Barretto, E.H.P.","3371","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",773068,"Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","name_w_authors","Asteraceae","Symphyopappus itatiayensis","(Hieron.) R.M.King & H.Rob.","species","name accepted","bfo-103488",,,"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.","Symphyopappus","Asteraceae","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","high","Symphyopappus itatiayensis","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UFP_99557","UFP_99557[virtual]","1","0.25","UFP_99557","UFP_99557","UFP_99557","plantr_exact","High","PARQUE NATURAL MUNICIPAL ITAIM"
,,"https://specieslink.net/col/634",,"UFABC","HUFABC",,"PRESERVED_SPECIMEN","003222","3405","Barretto, EHP; Garcia, RJF; Gonçalves, AF; Barbosa, RS",,"2023-12-04","2023","12","4",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque Natural Municipal Itaim, Trilha MAT",,,,,,,,,"De Sordi, SJ","2024-04-02",,"Piptocarpha reitziana Cabrera","Magnoliopsida","Asterales","Asteraceae","Piptocarpha","species","Cabrera","SYNONYM",,,"Piptocarpha oblonga subsp. lepidota (Sch.Bip.) G.Lom.Sm.",,,,"Piptocarpha reitziana","Piptocarpha oblonga",,,,,,,"GBIF","HUFABC",,"Barretto, E.H.P.","3405","2023","Sordi, S.J.","2024","Garcia, R.J.F.; Goncalves, A.F.; Barbosa, R.S.","Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",771048,"Piptocarpha reitziana","Cabrera","name_w_authors","Asteraceae","Piptocarpha reitziana","Cabrera","species","name accepted","bfo-134253",,,"Piptocarpha reitziana Cabrera","Piptocarpha","Asteraceae","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","high","Piptocarpha reitziana","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","HUFABC_3222","HUFABC_3222[virtual]","1","0.25","HUFABC_3222","HUFABC_3222","HUFABC_3222","plantr_exact","High","PARQUE NATURAL MUNICIPAL ITAIM"
,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN","99555","3184","Barretto, EHP",,"2023-09-04","2023","9","4",,,,"Brasil","BR","São Paulo",,"São Paulo","Parque natural Municipal Itaim, Trilha CEA",,,,,,,,,"Sordi, SJ","2024-02-22",,"Mikania lasiandrae DC.","Magnoliopsida","Asterales","Asteraceae","Mikania","species","DC.","ACCEPTED",,,"Mikania lasiandrae DC.",,,,"Mikania lasiandrae","Mikania lasiandrae",,,,,,,"GBIF","UFP",,"Barretto, E.H.P.","3184","2023","Sordi, S.J.","2024",,"Barretto",,"brazil","sao paulo","sao paulo","parque natural municipal itaim",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",773073,"Mikania lasiandrae","DC.","name_w_authors","Asteraceae","Mikania lasiandrae","DC.","species","name accepted","bfo-5389",,,"Mikania lasiandrae DC.","Mikania","Asteraceae","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"ibge",TRUE,-23.540001,-46.630001,"coord_original","miliseconds","high","Mikania lasiandrae","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UFP_99555","UFP_99555[virtual]","1","0.25","UFP_99555","UFP_99555","UFP_99555","plantr_exact","High","PARQUE NATURAL MUNICIPAL ITAIM"
