"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"381",,"UFSJ","HUFSJ",,,"6624","3035","Faria, JEQ; Lima, MEL",,,"2012","11","21",,,,"Brasil",,"São Paulo",,,"Paranapiacaba, parcela H3 do Marcos Enoque, árvore 1885, Parque Natural Municipal Nascentes de Paranapiacaba",,,"-23.769722","-46.283056",,"-23.769722","-46.283056",,,,,"Calyptranthes fusiformis","Myrtaceae","Calyptranthes",,"M.L.Kawas.",,,,,,,,,,,,,,,"HUFSJ006624","Splink","HUFSJ",,"Faria, J.E.Q.","3035","2012",,,"Lima, M.E.L.","Faria",,"brazil","sao paulo","paranapiacaba","parque natural municipal nascentes de paranapiacaba","paranapiacaba","locality","brazil_sao paulo_paranapiacaba","brazil_sao paulo",-22.2584562,-48.7420254,"state","Myrcia fusiformis","(M.L.Kawas.) A.R.Lourenço & E.Lucas","possibly_ok","Myrtaceae","Myrcia fusiformis","(M.L.Kawas.) A.R.Lourenço & E.Lucas","species","replaced synonym","bfo-611799","Myrcia fusiformis","(M.L.Kawas.) A.R.Lourenço & E.Lucas","Myrcia fusiformis (M.L.Kawas.) A.R.Lourenço & E.Lucas","Myrcia","Myrtaceae","Myrcia fusiformis",1333764,"brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.2584562,-48.7420254,"coord_gazet","seconds","high","check_local.2state","ok_state",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA"
,,"381",,"UFSJ","HUFSJ",,,"6622","3029","Faria, JEQ; Lima, MEL",,,"2012","11","21",,,,"Brasil",,"São Paulo",,,"Paranapiacaba, estrada do Taquaruçu, entrada da trilha da Água Fria, Parque Natural Municipal Nascentes de Paranapiacaba",,,"-23.7675","-46.288611",,"-23.7675","-46.288611",,,,,"Myrcia eriopus","Myrtaceae","Myrcia",,"DC.",,,,,,,,,,,,,,,"HUFSJ006622","Splink","HUFSJ",,"Faria, J.E.Q.","3029","2012",,,"Lima, M.E.L.","Faria",,"brazil","sao paulo","paranapiacaba","estrada do taquarucu, parque natural municipal nascentes de paranapiacaba","paranapiacaba","locality","brazil_sao paulo_paranapiacaba","brazil_sao paulo",-22.2584562,-48.7420254,"state","Myrcia eriopus","DC.","possibly_ok","Myrtaceae","Myrcia eriopus","DC.","species","name accepted","bfo-10685",,,"Myrcia eriopus DC.","Myrcia","Myrtaceae","Myrcia eriopus",1333756,"brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.2584562,-48.7420254,"coord_gazet","seconds","high","check_local.2state","ok_state",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA"
,,"381",,"UFSJ","HUFSJ",,,"6603","2990","Faria, JEQ; Lima, MEL",,,"2012","10","26",,,,"Brasil",,"São Paulo",,,"Parque Natural Municipal Nascentes de Paranapiacaba (PNMNP), trilha da Água Fria, em frente á cachoeira da Água Fria",,,"-23.768056","-46.286944",,"-23.768056","-46.286944",,,,,"Myrceugenia scutellata","Myrtaceae","Myrceugenia",,"D.Legrand",,,,,,,,,,,,,,,"HUFSJ006603","Splink","HUFSJ",,"Faria, J.E.Q.","2990","2012",,,"Lima, M.E.L.","Faria",,"brazil","sao paulo","parque natural municipal nascentes de paranapiacaba","parque natural municipal nascentes de paranapiacaba",,"locality","brazil_sao paulo_parque natural municipal nascentes paranapiacaba","brazil_sao paulo",-22.2584562,-48.7420254,"state","Myrceugenia scutellata","D.Legrand","possibly_ok","Myrtaceae","Myrceugenia scutellata","D.Legrand","species","name accepted","bfo-10656",,,"Myrceugenia scutellata D.Legrand","Myrceugenia","Myrtaceae","Myrceugenia scutellata",1333751,"brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.2584562,-48.7420254,"coord_gazet","seconds","high","check_local.2state","ok_state",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA"
,,"381",,"UFSJ","HUFSJ",,,"6623","3034","Faria, JEQ; Lima, MEL",,,"2012","11","21",,,,"Brasil",,"São Paulo",,,"Paranapiacaba, parcela I4 do Marcos Enoque, árvore 4617, Parque Natural Municipal Nascentes de Paranapiacaba",,,"-23.77","-46.282778",,"-23.77","-46.282778",,,,,"Eugenia subavenia","Myrtaceae","Eugenia",,"O.Berg",,,,,,,,,,,,,,,"HUFSJ006623","Splink","HUFSJ",,"Faria, J.E.Q.","3034","2012",,,"Lima, M.E.L.","Faria",,"brazil","sao paulo","paranapiacaba","parque natural municipal nascentes de paranapiacaba","paranapiacaba","locality","brazil_sao paulo_paranapiacaba","brazil_sao paulo",-22.2584562,-48.7420254,"state","Eugenia subavenia","O.Berg","possibly_ok","Myrtaceae","Eugenia subavenia","O.Berg","species","name accepted","bfo-10546",,,"Eugenia subavenia O.Berg","Eugenia","Myrtaceae","Eugenia subavenia",1333778,"brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.2584562,-48.7420254,"coord_gazet","seconds","high","check_local.2state","ok_state",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA"
,,"224",,"UNB","UB",,"PRESERVED_SPECIMEN","191144","3037","Faria, JEQ; Lima, MEL",,,"2012","11","21",,,,"Brasil",,"São Paulo","Santo André","Santo André","Parque Natural Municipal Nascentes de Paranapiacaba, borda da trilha da comunidade, parcela F3, indivíduo 1539 do estudo de doutorado de Marcos Enoc.",,,"-23.7697223","-46.2830556",,"23º46'11''S","46º16'59''W",,"Faria, JEQ",,,"Eugenia malacantha","Myrtaceae","Eugenia",,"D.Legrand",,,,,,,,,,,,,,,"UB1034301","Splink","UB","code not found","Faria, J.E.Q.","3037","2012","Faria, J.E.Q.",,"Lima, M.E.L.","Faria",,"brazil","sao paulo","santo andre","parque natural municipal nascentes de paranapiacaba",,"locality","brazil_sao paulo_santo andre","brazil_sao paulo_santo andre",-7.24178,-36.6146,"county","Eugenia malacantha","D.Legrand","possibly_ok","Myrtaceae","Eugenia malacantha","D.Legrand","species","name accepted","bfo-10453",,,"Eugenia malacantha D.Legrand","Eugenia","Myrtaceae","Eugenia malacantha",1311002,"brazil_sao paulo_santo andre","Brazil","São Paulo","Santo André",,"gadm",TRUE,-23.7697223,-46.2830556,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA"
,,"381",,"UFSJ","HUFSJ",,,"6604","2991","Faria, JEQ; Lima, MEL",,,"2012","10","26",,,,"Brasil",,"São Paulo",,,"Parque Natural Municipal Nascentes de Paranapiacaba (PNMNP), trilha da Água Fria, em frente á cachoeira da Água Fria",,,"-23.768056","-46.286944",,"-23.768056","-46.286944",,"Bunger, MO","2016-07-05",,"Eugenia membranifolia","Myrtaceae","Eugenia",,"Nied.",,,,,"05","07","2016",,,,,,,,"HUFSJ006604","Splink","HUFSJ",,"Faria, J.E.Q.","2991","2012","Bunger, M.O.","2016","Lima, M.E.L.","Faria",,"brazil","sao paulo","parque natural municipal nascentes de paranapiacaba","parque natural municipal nascentes de paranapiacaba",,"locality","brazil_sao paulo_parque natural municipal nascentes paranapiacaba","brazil_sao paulo",-22.2584562,-48.7420254,"state","Eugenia membranifolia","Nied.","possibly_ok","Myrtaceae","Eugenia membranifolia","Nied.","species","name accepted","bfo-10459",,,"Eugenia membranifolia Nied.","Eugenia","Myrtaceae","Eugenia membranifolia",1333738,"brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.2584562,-48.7420254,"coord_gazet","seconds","high","check_local.2state","ok_state",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA"
,,"224",,"UNB","UB",,"PRESERVED_SPECIMEN","199050","2986","Faria, JEQ; Lima, MEL",,,"2012","10","26",,,,"Brasil",,"São Paulo","Santo André","Santo André","Parque Natural Municipal Nascentes de Paranapiacaba (PNMNP), trilha da Água Fria, a 5 m do córrego.",,,"-23.7686111","-46.2855555",,"23º46'7''S","46º17'8''W",,"Carvalho-Silva, M","2015-4-NA",,"Peperomia urocarpa","Piperaceae","Peperomia",,"Fisch. & C.A.Mey.",,,,,,"4","2015",,,,,,,,"UB1212832","Splink","UB","code not found","Faria, J.E.Q.","2986","2012","Carvalho-Silva, M.","2015","Lima, M.E.L.","Faria",,"brazil","sao paulo","santo andre","parque natural municipal nascentes de paranapiacaba",,"locality","brazil_sao paulo_santo andre","brazil_sao paulo_santo andre",-7.24178,-36.6146,"county","Peperomia urocarpa","Fisch. & C.A.Mey.","possibly_ok","Piperaceae","Peperomia urocarpa","Fisch. & C.A.Mey.","species","name accepted","bfo-12732",,,"Peperomia urocarpa Fisch. & C.A.Mey.","Peperomia","Piperaceae","Peperomia urocarpa",1307312,"brazil_sao paulo_santo andre","Brazil","São Paulo","Santo André",,"gadm",TRUE,-23.7686111,-46.2855555,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA"
,,"485",,"ASU","ASU-PLANTS",,"PRESERVED_SPECIMEN","ASU0082744","2989","J.E.Q. Faria; M.E.L. Lima",,,"2012","10","26",,,,"Brazil",,"Sao Paulo","Santo André","Santo André","Santo André, Parque Natural Municipal Nascentes de Paranapiacaba (PNMNP), trilha da Agua Fria, vértice externo da parcela permanente 2, 54, sobre estudo de Marcos Enoque Lima.",,,"-23.77","-46.282778",,,,,"L.R. Landrum","2015-NA-NA",,"Myrceugenia myrcioides","Myrtaceae","Myrceugenia",,"(O.Berg) Legr. & Kaus.",,,,,,,"2015",,,,,,,,,"Splink","ASU",,"Faria, J.E.Q.","2989","2012","Landrum, L.R.","2015","Lima, M.E.L.","Faria",,"brazil","sao paulo","santo andre","parque natural municipal nascentes de paranapiacaba","santo andre","locality","brazil_sao paulo_santo andre","brazil_sao paulo_santo andre",-7.24178,-36.6146,"county","Myrceugenia myrcioides","(Cambess.) O.Berg","possibly_ok","Myrtaceae","Myrceugenia myrcioides","(Cambess.) O.Berg","species","author misspelled","bfo-10648",,,"Myrceugenia myrcioides (Cambess.) O.Berg","Myrceugenia","Myrtaceae","Myrceugenia myrcioides",1355563,"brazil_sao paulo_santo andre","Brazil","São Paulo","Santo André",,"gadm",TRUE,-23.77,-46.282778,"coord_original","seconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA"
,,"224",,"UNB","UB",,"PRESERVED_SPECIMEN","199051","2987","Faria, JEQ; Lima, MEL",,,"2012","10","26",,,,"Brasil",,"São Paulo","Santo André","Santo André","Parque Natural Municipal Nascentes de Paranapiacaba (PNMNP), trilha da Água Fria, na parcela permanente 2GL sobre estudo de Marcos Enoque Lima.",,,"-23.77","-46.2836111",,"23º46'12''S","46º17'1''W",,"Carvalho-Silva, M","2014-4-NA",,"Peperomia glabella","Piperaceae","Peperomia",,"(Sw.) A.Dietr.",,,,,,"4","2014",,,,,,,,"UB1059406","Splink","UB","code not found","Faria, J.E.Q.","2987","2012","Carvalho-Silva, M.","2014","Lima, M.E.L.","Faria",,"brazil","sao paulo","santo andre","parque natural municipal nascentes de paranapiacaba",,"locality","brazil_sao paulo_santo andre","brazil_sao paulo_santo andre",-7.24178,-36.6146,"county","Peperomia glabella","(Sw.) A.Dietr.","possibly_ok","Piperaceae","Peperomia glabella","(Sw.) A.Dietr.","species","name accepted","bfo-12653",,,"Peperomia glabella (Sw.) A.Dietr.","Peperomia","Piperaceae","Peperomia glabella",1310545,"brazil_sao paulo_santo andre","Brazil","São Paulo","Santo André",,"gadm",TRUE,-23.77,-46.2836111,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA"
,,"224",,"UNB","UB",,"PRESERVED_SPECIMEN","199052","2988","Faria, JEQ; Lima, MEL",,,"2012","10","26",,,,"Brasil",,"São Paulo","Santo André","Santo André","Parque Natural Municipal Nascentes de Paranapiacaba (PNMNP), trilha da Água Fria, na parcela permanente 2GL sobre estudo de Marcos Enoque Lima.",,,"-23.77","-46.2836111",,"23º46'12''S","46º17'1''W",,"Carvalho-Silva, M","2014-4-NA",,"Peperomia corcovadensis","Piperaceae","Peperomia",,"Gardner",,,,,,"4","2014",,,,,,,,"UB1059378","Splink","UB","code not found","Faria, J.E.Q.","2988","2012","Carvalho-Silva, M.","2014","Lima, M.E.L.","Faria",,"brazil","sao paulo","santo andre","parque natural municipal nascentes de paranapiacaba",,"locality","brazil_sao paulo_santo andre","brazil_sao paulo_santo andre",-7.24178,-36.6146,"county","Peperomia corcovadensis","Gardner","possibly_ok","Piperaceae","Peperomia corcovadensis","Gardner","species","name accepted","bfo-12636",,,"Peperomia corcovadensis Gardner","Peperomia","Piperaceae","Peperomia corcovadensis",1307305,"brazil_sao paulo_santo andre","Brazil","São Paulo","Santo André",,"gadm",TRUE,-23.77,-46.2836111,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","High","locality_exact","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA"
