"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB01305417","3539","S.A. Nicolau; W. Lima; L.s. Nagahashi; J.L.M. Carvalho",,"2008-12-16","2008","12","16",,,,"Brasil","BR","São Paulo",,"Pindamonhangaba","Parque Natural Municipal Trabiju, margem do rio",,,,,,,,,"E.J. Lírio",,,"Mollinedia uleana Perkins","Monimiaceae","Mollinedia","species","Perkins","ACCEPTED",,,"Mollinedia uleana Perkins",,,,"Mollinedia uleana Perkins","Mollinedia uleana",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/30/54/17/01305417.jpg",,,,"GBIF","RB",,"Nicolau, S.A.","3539","2008","Lirio, E.J.",,"Lima, W.; Nagahashi, L.S.; Carvalho, J.L.M.","Nicolau",,"brazil","sao paulo","pindamonhangaba","parque natural municipal trabiju",,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county","Mollinedia uleana","Perkins","name_w_authors","Monimiaceae","Mollinedia uleana","Perkins","species","name accepted","bfo-10105",,,"Mollinedia uleana Perkins","Mollinedia","Monimiaceae","Mollinedia uleana",269456,"brazil_sao paulo_pindamonhangaba","Brazil","São Paulo","Pindamonhangaba",,"ibge","high",TRUE,-22.92,-45.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","RB_1305417","RB_1305417|SP_447585","3","0.75","RB_1305417","SP_447585","SP_447585","High","plantr_exact","PARQUE NATURAL MUNICIPAL TRABIJU"
,,"https://specieslink.net/col/45",,"UFPR","UPCB",,"PRESERVED_SPECIMEN","84123","3566","Nicolau, S.A.",,"2008-12-23","2008","12","23",,,,"Brasil","BR","São Paulo",,"Pindamonhangaba","Parque Natural Municipal Trabiju",,,,,,,,,"Goldenberg, R.","2014-08-04",,"Miconia latecrenata (DC.) Naudin","Melastomataceae","Miconia","species","(DC.) Naudin","ACCEPTED",,,"Miconia latecrenata (DC.) Naudin",,,,"Miconia latecrenata","Miconia latecrenata",,,"https://images.cria.org.br/viewer/UPCB0023194",,,,"GBIF","UPCB",,"Nicolau, S.A.","3566","2008","Goldenberg, R.",,,"Nicolau",,"brazil","sao paulo","pindamonhangaba","parque natural municipal trabiju",,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county","Miconia latecrenata","(DC.) Naudin","name_w_authors","Melastomataceae","Miconia latecrenata","(DC.) Naudin","species","name accepted","bfo-9724",,,"Miconia latecrenata (DC.) Naudin","Miconia","Melastomataceae","Miconia latecrenata",196440,"brazil_sao paulo_pindamonhangaba","Brazil","São Paulo","Pindamonhangaba",,"ibge","high",TRUE,-22.92,-45.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UPCB_84123","NY_2591411|SP_447646|UPCB_23194|UPCB_84123","3","0.75","UPCB_23194","SP_447646","SP_447646","High","plantr_exact","PARQUE NATURAL MUNICIPAL TRABIJU"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB01194733","3596","S.A. Nicolau; L.S. Nagahashi; P.P.R. Caetano; R.A. Alves",,"2008-12-23","2008","12","23",,,,"Brasil","BR","São Paulo",,"Pindamonhangaba","Parque Natural Municipal Trabiju",,,,,,,,,"R. Goldenberg",,,"Miconia corcovadensis (Raddi) R.Goldenb.","Melastomataceae","Miconia","species","(Raddi) R.Goldenb.","ACCEPTED",,,"Miconia corcovadensis (Raddi) R.Goldenb.",,,,"Miconia corcovadensis (Raddi) R.Goldenb.","Miconia corcovadensis",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/19/47/33/01194733.jpg",,,,"GBIF","RB",,"Nicolau, S.A.","3596","2008","Goldenberg, R.",,"Nagahashi, L.S.; Caetano, P.P.R.; Alves, R.A.","Nicolau",,"brazil","sao paulo","pindamonhangaba","parque natural municipal trabiju",,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county","Leandra angustifolia","DC.","name_w_authors","Melastomataceae","Leandra angustifolia","DC.","species","replaced synonym","bfo-111916","Leandra angustifolia","DC.","Leandra angustifolia DC.","Leandra","Melastomataceae","Leandra angustifolia",236635,"brazil_sao paulo_pindamonhangaba","Brazil","São Paulo","Pindamonhangaba",,"ibge","high",TRUE,-22.92,-45.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","RB_1194733","RB_1194733|SP_447649","4","1",,"SP_447649","SP_447649","High","plantr_exact","PARQUE NATURAL MUNICIPAL TRABIJU"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","447626","3537","Nicolau, SA; et al.",,"2008-12-16","2008","12","16",,,,"Brasil","BR","São Paulo",,"Pindamonhangaba","Parque Natural Municipal Trabiju, Trabiju margem do rio.",,,,,,,,,"Mazine, FF","2024-05-27",,"Eugenia kleinii D.Legrand","Myrtaceae","Eugenia","species","D.Legrand","ACCEPTED",,,"Eugenia kleinii D.Legrand",,,,"Eugenia kleinii","Eugenia kleinii",,"WGS84",,,,,"GBIF","SP","code not found","Nicolau, S.A.","3537","2008","Mazine, F.F.","2024",,"Nicolau",,"brazil","sao paulo","pindamonhangaba","parque natural municipal trabiju",,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county","Eugenia kleinii","D.Legrand","name_w_authors","Myrtaceae","Eugenia kleinii","D.Legrand","species","name accepted","bfo-10429",,,"Eugenia kleinii D.Legrand","Eugenia","Myrtaceae","Eugenia kleinii",419955,"brazil_sao paulo_pindamonhangaba","Brazil","São Paulo","Pindamonhangaba",,"ibge","high",TRUE,-22.87953976,-45.4589989,"coord_gazet","seconds_centroid","check_local.2municip.","ok_county_gazet",,FALSE,"ok_dist","full_name_match","SP_447626",,"0","0",,,,"High","plantr_exact","PARQUE NATURAL MUNICIPAL TRABIJU"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","447637","3601","Nicolau, SA; Caetano, PPR; Alves, RA; Nagahashi, LS",,"2008-12-24","2008","12","24",,,,"Brasil","BR","São Paulo",,"Pindamonhangaba","Parque Natural Municipal Trabiju, Trilha Encosta, paralela a da caixa d'água(captação).",,,,,,,,,"Jacques, EL","2024-07-18",,"Begonia hugelii (Klotzsch) A.DC.","Begoniaceae","Begonia","species","(Klotzsch) A.DC.","SYNONYM",,,"Begonia huegelii (Klotzsch) A.DC.",,,,"Begonia hugelii","Begonia huegelii",,,,,,,"GBIF","SP","code not found","Nicolau, S.A.","3601","2008","Jacques, E.L.","2024","Caetano, P.P.R.; Alves, R.A.; Nagahashi, L.S.","Nicolau",,"brazil","sao paulo","pindamonhangaba","parque natural municipal trabiju",,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county","Begonia huegelii","(Klotzsch) A.DC.","name_w_authors","Begoniaceae","Begonia huegelii","(Klotzsch) A.DC.","species","replaced orth. variant","bfo-5635","Begonia huegelii","(Klotzsch) A.DC.","Begonia huegelii (Klotzsch) A.DC.","Begonia","Begoniaceae","Begonia huegelii",419186,"brazil_sao paulo_pindamonhangaba","Brazil","São Paulo","Pindamonhangaba",,"ibge","high",TRUE,-22.92,-45.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SP_447637","SP_447637[virtual]","4","1","SP_447637","SP_447637","SP_447637","High","plantr_exact","PARQUE NATURAL MUNICIPAL TRABIJU"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","447650","3595","Nicolau, SA; et al.",,"2008-12-23","2008","12","23",,,,"Brasil","BR","São Paulo",,"Pindamonhangaba","Parque Natural Municipal, Trabiju, encosta",,,,,,,,,"Stehmann, JR","2019-09-18",,"Athenaea fasciculata (Vell.) I.M.C.Rodrigues & Stehmann","Solanaceae","Athenaea","species","(Vell.) I.M.C.Rodrigues & Stehmann","ACCEPTED",,,"Athenaea fasciculata (Vell.) I.M.C.Rodrigues & Stehmann",,,,"Athenaea fasciculata","Athenaea fasciculata",,,,,,,"GBIF","SP","code not found","Nicolau, S.A.","3595","2008","Stehmann, J.R.","2019",,"Nicolau",,"brazil","sao paulo","pindamonhangaba","parque natural municipal",,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county","Athenaea fasciculata","(Vell.) I.M.C. Rodrigues & Stehmann","name_w_authors","Solanaceae","Athenaea fasciculata","(Vell.) I.M.C. Rodrigues & Stehmann","species","author misspelled","bfo-606397",,,"Athenaea fasciculata (Vell.) I.M.C. Rodrigues & Stehmann","Athenaea","Solanaceae","Athenaea fasciculata",419552,"brazil_sao paulo_pindamonhangaba","Brazil","São Paulo","Pindamonhangaba",,"ibge","high",TRUE,-22.92,-45.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SP_447650","SP_447650[virtual]","1","0.25","SP_447650","SP_447650","SP_447650","High","plantr_exact","PARQUE NATURAL MUNICIPAL TRABIJU"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","447659","3624","Nicolau, SA; Caetano, PPR; Alves, RA; Nagahashi, LS",,"2008-12-24","2008","12","24",,,,"Brasil","BR","São Paulo",,"Pindamonhangaba","Parque Natural Municipal Trabiju, Trilha Encosta, paralela a da caixa d'água(captação).",,,,,,,,,"Ribeiro, HL","2018-09-18",,"Nectandra membranacea (Sw.) Griseb.","Lauraceae","Nectandra","species","(Sw.) Griseb.","ACCEPTED",,,"Nectandra membranacea (Sw.) Griseb.",,,,"Nectandra membranacea","Nectandra membranacea",,,,,,,"GBIF","SP","code not found","Nicolau, S.A.","3624","2008","Ribeiro, H.L.","2018","Caetano, P.P.R.; Alves, R.A.; Nagahashi, L.S.","Nicolau",,"brazil","sao paulo","pindamonhangaba","parque natural municipal trabiju",,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county","Nectandra membranacea","(Sw.) Griseb.","name_w_authors","Lauraceae","Nectandra membranacea","(Sw.) Griseb.","species","name accepted","bfo-8432",,,"Nectandra membranacea (Sw.) Griseb.","Nectandra","Lauraceae","Nectandra membranacea",419339,"brazil_sao paulo_pindamonhangaba","Brazil","São Paulo","Pindamonhangaba",,"ibge","high",TRUE,-22.92,-45.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SP_447659","SP_447659[virtual]","3","0.75","SP_447659","SP_447659","SP_447659","High","plantr_exact","PARQUE NATURAL MUNICIPAL TRABIJU"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","447632","3570","Nicolau, SA; et al.",,"2008-12-23","2008","12","23",,,,"Brasil","BR","São Paulo",,"Pindamonhangaba","Parque Natural Municipal Trabiju",,,,,,,,,"Santos, MF","2018-11-08",,"Myrcia eriopus Mart. ex DC.","Myrtaceae","Myrcia","species","DC.","ACCEPTED",,,"Myrcia eriopus Mart. ex DC.",,,,"Myrcia eriopus","Myrcia eriopus",,,,,,,"GBIF","SP","code not found","Nicolau, S.A.","3570","2008","Santos, M.F.","2018",,"Nicolau",,"brazil","sao paulo","pindamonhangaba","parque natural municipal trabiju",,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county","Myrcia eriopus","DC.","name_w_authors","Myrtaceae","Myrcia eriopus","DC.","species","author misspelled","bfo-10685",,,"Myrcia eriopus DC.","Myrcia","Myrtaceae","Myrcia eriopus",419222,"brazil_sao paulo_pindamonhangaba","Brazil","São Paulo","Pindamonhangaba",,"ibge","high",TRUE,-22.92,-45.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SP_447632","SP_447632[virtual]","4","1","SP_447632","SP_447632","SP_447632","High","plantr_exact","PARQUE NATURAL MUNICIPAL TRABIJU"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","488514","3527","Nicolau, SA; et al.",,"2008-12-16","2008","12","16",,,,"Brasil","BR","São Paulo",,"Pindamonhangaba","Parque Natural Municipal Trabiju, trilha da Ponte Pencil, margem do rio",,,,,,,,,"Pastore, JA","2017-03-14",,"Guarea macrophylla subsp. tuberculata (Vell.) T.D.Penn.","Meliaceae","Guarea","subspecies","(Vell.) T.D.Penn.","ACCEPTED",,,"Guarea macrophylla subsp. tuberculata (Vell.) T.D.Penn.",,,,"Guarea macrophylla tuberculata","Guarea macrophylla",,,,,,,"GBIF","SP","code not found","Nicolau, S.A.","3527","2008","Pastore, J.A.","2017",,"Nicolau",,"brazil","sao paulo","pindamonhangaba","parque natural municipal trabiju",,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county","Guarea macrophylla subsp. tuberculata","(Vell.) T.D.Penn.","subspecies","Meliaceae","Guarea macrophylla subsp. tuberculata","(Vell.) T.D.Penn.","subspecies","name accepted","bfo-19739",,,"Guarea macrophylla subsp. tuberculata (Vell.) T.D.Penn.","Guarea","Meliaceae","Guarea macrophylla",21252,"brazil_sao paulo_pindamonhangaba","Brazil","São Paulo","Pindamonhangaba",,"ibge","high",TRUE,-22.92,-45.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","SP_488514","SP_488514[virtual]","3","0.75","SP_488514","SP_488514","SP_488514","High","plantr_exact","PARQUE NATURAL MUNICIPAL TRABIJU"
,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN","409572","3542","Nicolau, S.A.; Lima, W; Nagahashi, L.S.; Carvalho, J.L.M.",,"2008-12-16","2008","12","16",,,,"Brasil","BR","São Paulo",,"Pindamonhangaba","Parque Natural Municipal Trabiju, Margem do rio.",,,,,,,,,"Brotto, M.L.","2017-06-06",,"Licaria armeniaca (Nees) Kosterm.","Lauraceae","Licaria","species","(Nees) Kosterm.","ACCEPTED",,,"Licaria armeniaca (Nees) Kosterm.",,,,"Licaria armeniaca","Licaria armeniaca",,,"https://images.cria.org.br/viewer/MBM409572",,,,"GBIF","MBM",,"Nicolau, S.A.","3542","2008","Brotto, M.L.","2017","Lima, W.; Nagahashi, L.S.; Carvalho, J.L.M.","Nicolau",,"brazil","sao paulo","pindamonhangaba","parque natural municipal trabiju",,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county","Licaria armeniaca","(Nees) Kosterm.","name_w_authors","Lauraceae","Licaria armeniaca","(Nees) Kosterm.","species","name accepted","bfo-8419",,,"Licaria armeniaca (Nees) Kosterm.","Licaria","Lauraceae","Licaria armeniaca",336097,"brazil_sao paulo_pindamonhangaba","Brazil","São Paulo","Pindamonhangaba",,"ibge","high",TRUE,-22.92,-45.459999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","MBM_409572","MBM_409572|SP_447589","4","1","MBM_409572","SP_447589","SP_447589","High","plantr_exact","PARQUE NATURAL MUNICIPAL TRABIJU"
