"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","class","order","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","recordID","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","species.new","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,,,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","209062","s.n.",,,,"2016","10","15",,,,"Brasil",,"São Paulo","Mogi Guaçu","Mogi Guaçu","Reserva Biológica de Mogi-Guaçu Fazenda Campininha.",,,"-22.584811","-47.617286",,"-22.584811","-47.617286",,"Faria, JEQ","2025-06-NA",,"Psidium guajava",,,"Myrtaceae","Psidium",,,,"-22.584811","-47.617286",,,"06","2025",,"guajava",,,,,,"UEC178939","Splink","UEC",,,,"2016","Faria, J.E.Q.","2025",,,,"brazil","sao paulo","mogi guacu","reserva biologica de mogi-guacu fazenda campininha",,"locality","brazil_sao paulo_mogi guacu","brazil_sao paulo_mogi guacu",-22.23151266,-47.02913769,"county",1137291,"Psidium guajava","L.","possibly_ok","Myrtaceae","Psidium guajava","L.","species","name accepted","bfo-24034",,,"Psidium guajava L.","Psidium","Myrtaceae","brazil_sao paulo_mogi guacu","Brazil","São Paulo","Mogi Guaçu",,"ibge",TRUE,-22.584811,-47.617286,"coord_original","miliseconds","high","Psidium guajava","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","UEC_209062",,"cc","cc",,,,"plantr_exact","High","RESERVA BIOLÓGICA MOGI-GUAÇU"
,,,,"UNICAMP","UEC",,"PRESERVED_SPECIMEN","209133","1",,"<nO>Arbusto, pétalas amarelas, frutos pretos escuros.; Área de cerrado. Borda da trilha.</nO>",,"2016","10","22",,,"<nO>Arbusto, pétalas amarelas, frutos pretos escuros.; Área de cerrado. Borda da trilha.</nO>","Brazil",,"São Paulo","Mogi Guaçu","Mogi Guaçu","Martinho Prado, Reserva Biológica da Fazenda Campininha. Trilha 4.",,,"-22.584811","-47.617286",,"-22.584811","-47.617286",,"Maruyama, A","2025-06-NA",,"Eugenia pitanga",,,"Myrtaceae","Eugenia",,,,"-22.584811","-47.617286",,,"06","2025",,"pitanga",,,,,,"UEC178941","Splink","UEC",,,"1","2016","Faria, J.E.Q.","2025",,,,"brazil","sao paulo","mogi guacu","reserva biologica da fazenda campininha","martinho prado","locality","brazil_sao paulo_mogi guacu","brazil_sao paulo_mogi guacu_rebio mogi guacu",-22.2532567289199,-47.1696129314737,"locality",1151877,"Myrcia bella","Cambess.","possibly_ok","Myrtaceae","Eugenia pitanga","(O.Berg) Nied.","species","name accepted","bfo-31542",,,"Myrcia bella Cambess.","Myrcia","Myrtaceae","brazil_sao paulo_mogi guacu","Brazil","São Paulo","Mogi Guaçu",,"ibge",TRUE,-22.584811,-47.617286,"coord_original","miliseconds","high","Myrcia bella","ok_same_resolution","ok_state",,FALSE,"ok_dist","full_name_match","UEC_209133","UEC_209063|UEC_209131|UEC_209133","1","0.25","UEC_209063","UEC_209063","UEC_209131","locality_exact","High","RESERVA BIOLÓGICA MOGI-GUAÇU"
,,,,"CETI","HJBOP",,"PRESERVED_SPECIMEN","457","381",,"<nO>Altura 50 cm. Flor branca.| <ll>dwc_commonname:</ll> Catuaba.| Habitat: Cerrado.| Informações: HPMU 656. Indivíduo 41.</nO>",,"2002","12","17",,,"<nO>Altura 50 cm. Flor branca.| <ll>dwc_commonname:</ll> Catuaba.| Habitat: Cerrado.| Informações: HPMU 656. Indivíduo 41.</nO>","Brasil",,"São Paulo","Mogi Guaçu","Mogi Guaçu","Reserva Biológica Mogi Guaçu.",,,"-22.265833","-47.146889",,"22º15'57.0'' S","47º08'48.8'' W",,"Lohmann, L.G.",,,"Anemopaegma arvense",,,"Bignoniaceae","Anemopaegma",,,,"-22.265833","-47.146889",,,,,,"arvense",,,,,,"HJBOP0000457","Splink","HJBOP","code partially found",,"381","2002","Lohmann, L.G.",,,,,"brazil","sao paulo","mogi guacu","reserva biologica mogi guacu",,"locality","brazil_sao paulo_mogi guacu_reserva biologica mogi guacu","brazil_sao paulo_mogi guacu_rebio mogi guacu",-22.2532567289199,-47.1696129314737,"locality",1226341,"Anemopaegma arvense","(Vell.) Stellfeld ex de Souza","possibly_ok","Bignoniaceae","Anemopaegma arvense","(Vell.) Stellfeld ex de Souza","species","name accepted","bfo-112500",,,"Anemopaegma arvense (Vell.) Stellfeld ex de Souza","Anemopaegma","Bignoniaceae","brazil_sao paulo_mogi guacu","Brazil","São Paulo","Mogi Guaçu",,"ibge",TRUE,-22.265833,-47.146889,"coord_original","seconds","high","Anemopaegma arvense","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","HJBOP_457",,"0","0",,,,"plantr_exact","High","RESERVA BIOLÓGICA MOGI-GUAÇU"
,,,,"IBt","SP",,,"345833b","907",,,,"2000","2",,,,,"Brasil",,"São Paulo","Mogi Guaçu","Mogi Guaçu","Reserva Biológica de Mogi Guaçu",,,"-22.3722","-46.9422","39309","0","0",,"Wanderley, MGL","2007-10-NA",,"Billbergia porteana",,,"Bromeliaceae","Billbergia",,,,"-22.3722","-46.9422",,,"10","2007",,"porteana",,,,,,"SP051153","Splink","SP",,,"907","2000","Wanderley, M.G.L.","2007",,,,"brazil","sao paulo","mogi guacu","reserva biologica de mogi guacu",,"locality","brazil_sao paulo_mogi guacu_reserva biologica mogi guacu","brazil_sao paulo_mogi guacu_rebio mogi guacu",-22.2532567289199,-47.1696129314737,"locality",1242537,"Billbergia porteana","Brong. ex Beer","possibly_ok","Bromeliaceae","Billbergia porteana","Brong. ex Beer","species","name accepted","bfo-5946",,,"Billbergia porteana Brong. ex Beer","Billbergia","Bromeliaceae","brazil_sao paulo_mogi guacu","Brazil","São Paulo","Mogi Guaçu",,"ibge",TRUE,-22.3722,-46.9422,"coord_original","miliseconds","high","Billbergia porteana","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SP_345833b","SP_345833|SP_345833a|SP_345833b","1","0.25","SP_345833","SP_345833","SP_345833","plantr_exact","High","RESERVA BIOLÓGICA MOGI-GUAÇU"
,,,,"UEFS","HUEFS",,"PRESERVED_SPECIMEN","33927","5094",,"<nO>Arbusto ramificado de ca. 1,8m alt. Folhas cartáceas, seme-suculentas. Flores com cálice verde-amarelado, corola verde-esbranquiçada. Ocasional.</nO>",,"1998","5","27",,,"<nO>Arbusto ramificado de ca. 1,8m alt. Folhas cartáceas, seme-suculentas. Flores com cálice verde-amarelado, corola verde-esbranquiçada. Ocasional.</nO>","Brasil",,"São Paulo","Mogi Guaçu","Mogi Guaçu","Distrito de Martinho Prado, Reserva Biológica da Fazenda Campininha (área do Instituto de Botânica).",,,"-22.3722","-46.9422","39309",,,,"M.Vignoli-Silva","2009-08-NA",,"Cestrum pedicellatum",,,"Solanaceae","Cestrum",,,,"-22.3722","-46.9422",,,"08","2009",,"pedicellatum",,,,,,"HUEFS0033927","Splink","HUEFS",,,"5094","1998","Vignoli-Silva, M.","2009",,,,"brazil","sao paulo","mogi guacu","reserva biologica da fazenda campininha","distrito de martinho prado","locality","brazil_sao paulo_mogi guacu_reserva biologica fazenda campininha","brazil_sao paulo_mogi guacu_rebio mogi guacu",-22.2532567289199,-47.1696129314737,"locality",1339967,"Cestrum pedicellatum","Sendtn.","possibly_ok","Solanaceae","Cestrum pedicellatum","Sendtn.","species","name accepted","bfo-32825",,,"Cestrum pedicellatum Sendtn.","Cestrum","Solanaceae","brazil_sao paulo_mogi guacu","Brazil","São Paulo","Mogi Guaçu",,"ibge",TRUE,-22.3722,-46.9422,"coord_original","miliseconds","high","Cestrum pedicellatum","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","HUEFS_33927",,"cc","cc",,,,"locality_exact","High","RESERVA BIOLÓGICA MOGI-GUAÇU"
,,,,"UNIVALI","HBR",,"PRESERVED_SPECIMEN","66788","32454",,"<nO>flor branca Habito: árvore</nO>",,"1998","11","10",,,"<nO>flor branca Habito: árvore</nO>","Brasil",,"São Paulo","Mogi Guaçu","Mogi Guaçu","Fazenda Campininha ( Reserva Biológica )",,,"-22.3722","-46.9422","39309",,,,"J. Mattos","1998-NA-NA",,"Campomanesia schlechtendaliana",,,"Myrtaceae","Campomanesia",,,,"-22.3722","-46.9422",,,,"1998",,"schlechtendaliana",,,,,,"HBR0066788","Splink","HBR",,,"32454","1998","Mattos, J.","1998",,,,"brazil","sao paulo","mogi guacu","fazenda campininha, reserva biologica","fazenda campininha","locality","brazil_sao paulo_mogi guacu_fazenda campininha, reserva biologica","brazil_sao paulo_mogi guacu_rebio mogi guacu",-22.2894005840803,-47.1523069282519,"locality",1177860,"Campomanesia schlechtendaliana","(O.Berg) Nied.","possibly_ok","Myrtaceae","Campomanesia schlechtendaliana","(O.Berg) Nied.","species","name accepted","bfo-10330",,,"Campomanesia schlechtendaliana (O.Berg) Nied.","Campomanesia","Myrtaceae","brazil_sao paulo_mogi guacu","Brazil","São Paulo","Mogi Guaçu",,"ibge",TRUE,-22.3722,-46.9422,"coord_original","miliseconds","high","Campomanesia schlechtendaliana","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","HBR_66788","HBR_66775|HBR_66788","1","0.25","HBR_66788","HBR_66788","HBR_66788","locality_exact","High","RESERVA BIOLÓGICA MOGI-GUAÇU"
,,,,"UFRRJ","RBR",,"PRESERVED_SPECIMEN","32033","1339",,,,"1992","12","17",,,,"Brasil",,"São Paulo","Mogi Guaçu","Mogi Guaçu","Reserva Biológica de Mogi-Guaçu, Mata da Figueira.",,,"-22.3722","-46.9422","39309","0","0",,,,,"Paullinia elegans",,,"Sapindaceae","Paullinia",,,,"-22.3722","-46.9422",,,,,,"elegans",,,,,,"RBR00032033","Splink","RBR",,,"1339","1992","Godoi, J.V.","1993",,,,"brazil","sao paulo","mogi guacu","reserva biologica de mogi-guacu",,"locality","brazil_sao paulo_mogi guacu","brazil_sao paulo_mogi guacu_rebio mogi guacu",-22.2532567289199,-47.1696129314737,"locality",1179286,"Paullinia elegans","Cambess.","name_w_authors","Sapindaceae","Paullinia elegans","Cambess.","species","name accepted","bfo-20917",,,"Paullinia elegans Cambess.","Paullinia","Sapindaceae","brazil_sao paulo_mogi guacu","Brazil","São Paulo","Mogi Guaçu",,"ibge",TRUE,-22.3722,-46.9422,"coord_original","miliseconds","high","Paullinia elegans","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","RBR_32033","NY_448425|RBR_32033|SP_259172|US_3341713|US_726534","1","0.25","NY_448425","RBR_32033","SP_259172","plantr_exact","High","RESERVA BIOLÓGICA MOGI-GUAÇU"
,,,,"UFRRJ","RBR",,"PRESERVED_SPECIMEN","31461","1169",,,,"1991","6","4",,,,"Brasil",,"São Paulo","Mogi Guaçu","Mogi Guaçu","Fazenda Campininha, Reserva Biologica, Margitinho Prado",,,"-22.3722","-46.9422","39309","0","0",,"M.S. Ferrucci","1993-6-NA",,"Cardiospermum grandiflorum",,,"Sapindaceae","Cardiospermum",,,,"-22.3722","-46.9422",,,"6","1993",,"grandiflorum",,,,,,"RBR00031461","Splink","RBR",,,"1169","1991","Ferrucci, M.S.",,,,,"brazil","sao paulo","mogi guacu","fazenda campininha, reserva biologica","fazenda campininha","locality","brazil_sao paulo_mogi guacu_fazenda campininha, reserva biologica","brazil_sao paulo_mogi guacu_rebio mogi guacu",-22.2894005840803,-47.1523069282519,"locality",1181201,"Cardiospermum grandiflorum","Sw.","possibly_ok","Sapindaceae","Cardiospermum grandiflorum","Sw.","species","name accepted","bfo-20884",,,"Cardiospermum grandiflorum Sw.","Cardiospermum","Sapindaceae","brazil_sao paulo_mogi guacu","Brazil","São Paulo","Mogi Guaçu",,"ibge",TRUE,-22.3722,-46.9422,"coord_original","miliseconds","high","Cardiospermum grandiflorum","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","RBR_31461","NY_447824|RBR_31461|SP_248449","1","0.25","NY_447824","RBR_31461","RBR_31461","locality_exact","High","RESERVA BIOLÓGICA MOGI-GUAÇU"
,,,,"F","MO-DUPLICATES",,"PRESERVED_SPECIMEN","100442526","1178",,,,"1991","6","4",,,,"Brasil",,"São Paulo",,,"Mogi-Guaçu, Martinho Prado, Fazenda Campininha, Reserva Biologica. Mata da Figueira. Corrego da Divisa",,,"-22.3666667","-46.9333333",,,,,"A. Pool","2012-NA-NA",,"Gouania latifolia",,,"Rhamnaceae","Gouania",,,,"-22.3666667","-46.9333333",,,,"2012",,"latifolia",,,,,,,"Splink","MO-DUPLICATES","code not found",,"1178","1991","Pool, A.","2012",,,,"brazil","sao paulo","mogi-guacu","fazenda campininha, reserva biologica","mogi-guacu","locality","brazil_sao paulo_mogi guacu_fazenda campininha, reserva biologica","brazil_sao paulo_mogi guacu_rebio mogi guacu",-22.2894005840803,-47.1523069282519,"locality",1069436,"Gouania latifolia","Reissek","possibly_ok","Rhamnaceae","Gouania latifolia","Reissek","species","name accepted","bfo-20660",,,"Gouania latifolia Reissek","Gouania","Rhamnaceae","brazil_sao paulo_mogi guacu","Brazil","São Paulo","Mogi Guaçu",,"ibge",TRUE,-22.3666667,-46.9333333,"coord_original","miliseconds","high","Gouania latifolia","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","MO-DUPLICATES_100442526",,"cc","cc",,,,"locality_exact","High","RESERVA BIOLÓGICA MOGI-GUAÇU"
,,,,"NY","MO-DUPLICATES",,"PRESERVED_SPECIMEN","102726779","1165",,,,"1991","6","4",,,,"Brasil",,"São Paulo",,,"Mogi-Guaçu, Martinho Prado, Fazenda Campininha, Reserva Biologica. Mata da Figueira. Corrego da Divisa",,,"-22.3666667","-46.9333333",,,,,"A. Pool","2011-NA-NA",,"Gouania polygama",,,"Rhamnaceae","Gouania",,,,"-22.3666667","-46.9333333",,,,"2011",,"polygama",,,,,,,"Splink","MO-DUPLICATES","code not found",,"1165","1991","Pool, A.","2011",,,,"brazil","sao paulo","mogi-guacu","fazenda campininha, reserva biologica","mogi-guacu","locality","brazil_sao paulo_mogi guacu_fazenda campininha, reserva biologica","brazil_sao paulo_mogi guacu_rebio mogi guacu",-22.2894005840803,-47.1523069282519,"locality",1069439,"Gouania polygama","(Jacq.) Urb.","possibly_ok","Rhamnaceae","Gouania polygama","(Jacq.) Urb.","species","name accepted","bfo-87416",,,"Gouania polygama (Jacq.) Urb.","Gouania","Rhamnaceae","brazil_sao paulo_mogi guacu","Brazil","São Paulo","Mogi Guaçu",,"ibge",TRUE,-22.3666667,-46.9333333,"coord_original","miliseconds","high","Gouania polygama","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","MO-DUPLICATES_102726779",,"cc","cc",,,,"locality_exact","High","RESERVA BIOLÓGICA MOGI-GUAÇU"
