"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","class","order","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","recordID","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","species.new","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4644227",,,"NY","NY",,"PRESERVED_SPECIMEN","NY02425722","1645","J. Prado",,"2006-03-30","2006","3","30","2006-03-30",,,"Brazil","BR","São Paulo",,"Baurú Mun.","Jardim Botânico Municipal de Baurú, mata de brejo junto ao córrego Varge,Limpa (Paliteiro)",,,"-22.341389","-49.0025",,,,,,,,"Pleopeltis pleopeltifolia (Raddi) Alston","Polypodiopsida","Polypodiales","Polypodiaceae","Pleopeltis","species","(Raddi) Alston","ACCEPTED",,,"Pleopeltis pleopeltifolia (Raddi) Alston",,,,"Pleopeltis pleopeltifolia (Raddi) Alston","Pleopeltis pleopeltifolia",,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/2/42/57/22/ny_02425722.dzi",,,,"GBIF","NY",,"Prado, J.","1645","2006",,,,"Prado",,"brazil","sao paulo","bauru","jardim botanico municipal de bauru",,"locality","brazil_sao paulo_jardim botanico municipal bauru","brazil_sao paulo_bauru_jardim botanico municipal bauru",-22.343709,-49.014262,"locality",525111,"Pleopeltis pleopeltifolia","(Raddi) Alston","name_w_authors","Polypodiaceae","Pleopeltis pleopeltifolia","(Raddi) Alston","species","name accepted","bfo-91722",,,"Pleopeltis pleopeltifolia (Raddi) Alston","Pleopeltis","Polypodiaceae","brazil_sao paulo","Brazil","São Paulo",,,"gadm",TRUE,-22.3414,-49.0025,"coord_original","miliseconds","high","Pleopeltis pleopeltifolia","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","NY_2425722","NY_2425722[virtual]","4","1",,"NY_2425722","NY_2425722","coords_both","High","REFÚGIO DE VIDA SILVESTRE AIMORÉS"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5847621",,,"IBGE","IBGE",,"PRESERVED_SPECIMEN","IBGE00059089","736","Pinheiro, MHO",,"1998-02-24","1998","2","24","1998-2-24",,,"Brasil","BR","São Paulo",,"Bauru","Jardim Botânico Municipal de Bauru. Coordenada calculada.",,,"-22.345","-49.017778",,,,,,,,"Urochloa P.Beauv.","Liliopsida","Poales","Poaceae","Urochloa","genus",,"ACCEPTED",,,"Urochloa P.Beauv.",,,,"Urochloa",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/5/90/89/ibge00059089.dzi",,,,"GBIF","IBGE",,"Pinheiro, M.H.O.","736","1998",,,,"Pinheiro",,"brazil","sao paulo","bauru","jardim botanico municipal de bauru",,"locality","brazil_sao paulo_bauru_jardim botanico municipal bauru","brazil_sao paulo_bauru_jardim botanico municipal bauru",-22.343709,-49.014262,"locality",1659203,"Urochloa","P.Beauv.","name_w_authors","Poaceae","Urochloa","P.Beauv.","genus","name accepted","bfo-20516",,,"Urochloa P.Beauv.","Urochloa","Poaceae","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.345,-49.017778,"coord_original","seconds","high",,"ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","IBGE_59089","IBGE_59089[virtual]","4","1",,"IBGE_59089","IBGE_59089","coords_both","High","REFÚGIO DE VIDA SILVESTRE AIMORÉS"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5847612",,,"IBGE","IBGE",,"PRESERVED_SPECIMEN","IBGE00059070","450","Pinheiro, MHO",,"1997-09-22","1997","9","22","1997-9-22",,,"Brasil","BR","São Paulo",,"Bauru","Jardim Botânico Municipal de Bauru. Coordenada calculada.",,,"-22.345278","-49.019722",,,,,"Filgueiras, TS",,,"Taquara micrantha (Kunth) I.L.C.Oliveira & R.P.Oliveira","Liliopsida","Poales","Poaceae","Taquara","species","(Kunth) I.L.C.Oliveira & R.P.Oliveira","ACCEPTED",,,"Taquara micrantha (Kunth) I.L.C.Oliveira & R.P.Oliveira",,,,"Taquara micrantha (Kunth) I.L.C.Oliveira & R.P.Oliveira","Taquara micrantha",,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/5/90/70/ibge00059070.dzi",,,,"GBIF","IBGE",,"Pinheiro, M.H.O.","450","1997","Filgueiras, T.S.",,,"Pinheiro",,"brazil","sao paulo","bauru","jardim botanico municipal de bauru",,"locality","brazil_sao paulo_bauru_jardim botanico municipal bauru","brazil_sao paulo_bauru_jardim botanico municipal bauru",-22.343709,-49.014262,"locality",661167,"Taquara micrantha","(Kunth) I.L.C.Oliveira & R.P.Oliveira","name_w_authors","Poaceae","Taquara micrantha","(Kunth) I.L.C.Oliveira & R.P.Oliveira","species","name accepted","bfo-616634",,,"Taquara micrantha (Kunth) I.L.C.Oliveira & R.P.Oliveira","Taquara","Poaceae","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.345278,-49.019722,"coord_original","seconds","high","Taquara micrantha","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","IBGE_59070","IBGE_59070[virtual]","4","1","IBGE_59070","IBGE_59070","IBGE_59070","coords_both","High","REFÚGIO DE VIDA SILVESTRE AIMORÉS"
,,"https://specieslink.net/col/16",,"UNESP-FCA","BOTU",,"PRESERVED_SPECIMEN","27093","295","Pinheiro, M.H.O.",,"1997-05-18","1997","5","18",,,,"Brasil","BR","São Paulo",,"Bauru","Jardim Botânico Municipal",,,"-22.347222","-49.013333",,,,,,,,"Plathymenia reticulata Benth.","Magnoliopsida","Fabales","Fabaceae","Plathymenia","species","Benth.","ACCEPTED",,,"Plathymenia reticulata Benth.",,,,"Plathymenia reticulata","Plathymenia reticulata",,"WGS84",,,,,"GBIF","BOTU",,"Pinheiro, M.H.O.","295","1997","Tamashiro, J.Y.","1998",,"Pinheiro",,"brazil","sao paulo","bauru","jardim botanico municipal",,"municipality","brazil_sao paulo_bauru","brazil_sao paulo_bauru_jardim botanico municipal bauru",-22.343709,-49.014262,"locality",61480,"Plathymenia reticulata","Benth.","name_w_authors","Fabaceae","Plathymenia reticulata","Benth.","species","name accepted","bfo-83636",,,"Plathymenia reticulata Benth.","Plathymenia","Fabaceae","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.347222,-49.013333,"coord_original","seconds","high","Plathymenia reticulata","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","BOTU_27093","BOTU_27093|IAC_37833|SPFR_5000|UEC_104744","4","1","UEC_104744","BOTU_27093","IAC_37833","coords_both","High","REFÚGIO DE VIDA SILVESTRE AIMORÉS"
,,"https://specieslink.net/col/441",,"UFV","VIC",,"PRESERVED_SPECIMEN","22895","217","Pinheiro, M.H.O.",,"1997-10-10","1997","10","10",,,,"Brasil","BR","São Paulo",,"Bauru","Jardim Botânico Municipal de Bauru",,,,,,,,,"Tamashiro, J.Y.","1997-10-10",,"Stryphnodendron rotundifolium Mart.","Magnoliopsida","Fabales","Fabaceae","Stryphnodendron","species","Mart.","ACCEPTED",,,"Stryphnodendron rotundifolium Mart.",,,,"Stryphnodendron rotundifolium","Stryphnodendron rotundifolium",,"WGS84","https://images.cria.org.br/viewer/VIC022895",,,,"GBIF","VIC",,"Pinheiro, M.H.O.","217","1997","Tamashiro, J.Y.","1997",,"Pinheiro",,"brazil","sao paulo","bauru","jardim botanico municipal de bauru",,"locality","brazil_sao paulo_bauru_jardim botanico bauru","brazil_sao paulo_bauru_jardim botanico municipal bauru",-22.343709,-49.014262,"locality",158976,"Stryphnodendron rotundifolium","Mart.","name_w_authors","Fabaceae","Stryphnodendron rotundifolium","Mart.","species","name accepted","bfo-83743",,,"Stryphnodendron rotundifolium Mart.","Stryphnodendron","Fabaceae","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.347222,-49.013333,"coord_original","seconds","high","Stryphnodendron rotundifolium","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","VIC_22895","BOTU_27092|HISA_6714|SPFR_5001|UEC_104826|VIC_22895","2","0.5","BOTU_27092","BOTU_27092","HISA_6714","coords_both","High","REFÚGIO DE VIDA SILVESTRE AIMORÉS"
,,,,"UNESP - BU","UNBA",,"PRESERVED_SPECIMEN","6154",,,"<nO>Habitat: Cerradão Trepadeira com 1,15 m de altura, planta latescente, com flor de cor amarelo claro.</nO>",,,,,,,"<nO>Habitat: Cerradão Trepadeira com 1,15 m de altura, planta latescente, com flor de cor amarelo claro.</nO>","Brasil",,"São Paulo","Bauru","Bauru","Gleba II do Refúgio de Vida Silvestre Aimorés",,,"-22.3099994659424","-49.060001373291","29186",,,,"S. dos S. Silva",,,"Blepharodon pictum",,,"Apocynaceae","Blepharodon",,,,"-22.3099994659424","-49.060001373291",,,,,,"pictum",,,,,,,"Splink","UNBA","code not found",,,,"Silva, S.S.",,,,,"brazil","sao paulo","bauru","gleba ii do refugio de vida silvestre aimores",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county",1067489,"Vailia picta","(Vahl) Morillo","possibly_ok","Apocynaceae","Vailia picta","(Vahl) Morillo","species","replaced synonym","bfo-638051","Vailia picta","(Vahl) Morillo","Vailia picta (Vahl) Morillo","Vailia","Apocynaceae","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.3099994659424,-49.060001373291,"coord_original","miliseconds","low","Vailia picta","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UNBA_6154",,"cc","cc",,,,"plantr_exact","High","REFÚGIO DE VIDA SILVESTRE AIMORÉS"
,,,,"UNESP - BU","UNBA",,"PRESERVED_SPECIMEN","6192",,,"<nO>Habitat: Cerradão perturbado Arbusto de 78 cm de altura. Inflorescência com flores rosa.</nO>",,,,,,,"<nO>Habitat: Cerradão perturbado Arbusto de 78 cm de altura. Inflorescência com flores rosa.</nO>","Brasil",,"São Paulo","Bauru","Bauru","Gleba II do Refúgio de Vida Silvestre Aimorés",,,"-22.3099994659424","-49.060001373291","29186",,,,"S. dos S. Silva",,,"Trichogonia salviifolia",,,"Asteraceae","Trichogonia",,,,"-22.3099994659424","-49.060001373291",,,,,,"salviifolia",,,,,,,"Splink","UNBA","code not found",,,,"Silva, S.S.",,,,,"brazil","sao paulo","bauru","gleba ii do refugio de vida silvestre aimores",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county",1020695,"Trichogonia salviifolia","Gardner","possibly_ok","Asteraceae","Trichogonia salviifolia","Gardner","species","name accepted","bfo-5526",,,"Trichogonia salviifolia Gardner","Trichogonia","Asteraceae","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.3099994659424,-49.060001373291,"coord_original","miliseconds","low","Trichogonia salviifolia","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UNBA_6192",,"cc","cc",,,,"plantr_exact","High","REFÚGIO DE VIDA SILVESTRE AIMORÉS"
,,,,"UNESP - BU","UNBA",,"PRESERVED_SPECIMEN","6179",,,"<nO>Habitat: Cerradão Erva com 1,32 m de altura. Flores amarelas.</nO>",,,,,,,"<nO>Habitat: Cerradão Erva com 1,32 m de altura. Flores amarelas.</nO>","Brasil",,"São Paulo","Bauru","Bauru","Gleba II do Refúgio de Vida Silvestre Aimorés",,,"-22.3099994659424","-49.060001373291","29186",,,,"S. dos S. Silva",,,"Stylosanthes guianensis",,,"Fabaceae","Stylosanthes",,,,"-22.3099994659424","-49.060001373291",,,,,,"guianensis",,,,,,,"Splink","UNBA","code not found",,,,"Silva, S.S.",,,,,"brazil","sao paulo","bauru","gleba ii do refugio de vida silvestre aimores",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county",1068249,"Stylosanthes guianensis","(Aubl.) Sw.","possibly_ok","Fabaceae","Stylosanthes guianensis","(Aubl.) Sw.","species","name accepted","bfo-29865",,,"Stylosanthes guianensis (Aubl.) Sw.","Stylosanthes","Fabaceae","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.3099994659424,-49.060001373291,"coord_original","miliseconds","low","Stylosanthes guianensis","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UNBA_6179",,"cc","cc",,,,"plantr_exact","High","REFÚGIO DE VIDA SILVESTRE AIMORÉS"
,,,,"UNESP - BU","UNBA",,"PRESERVED_SPECIMEN","6160",,,"<nO>Habitat: Cerradão perturbado Erva com 44 cm de altura, flores com pétala alva e base vermelha.</nO>",,,,,,,"<nO>Habitat: Cerradão perturbado Erva com 44 cm de altura, flores com pétala alva e base vermelha.</nO>","Brasil",,"São Paulo","Bauru","Bauru","Gleba II do Refúgio de Vida Silvestre Aimorés",,,"-22.3099994659424","-49.060001373291","29186",,,,"S. dos S. Silva",,,"Sida linifolia",,,"Malvaceae","Sida",,,,"-22.3099994659424","-49.060001373291",,,,,,"linifolia",,,,,,,"Splink","UNBA","code not found",,,,"Silva, S.S.",,,,,"brazil","sao paulo","bauru","gleba ii do refugio de vida silvestre aimores",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county",1068198,"Sida linifolia","Cav.","possibly_ok","Malvaceae","Sida linifolia","Cav.","species","name accepted","bfo-9220",,,"Sida linifolia Cav.","Sida","Malvaceae","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.3099994659424,-49.060001373291,"coord_original","miliseconds","low","Sida linifolia","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","UNBA_6160",,"cc","cc",,,,"plantr_exact","High","REFÚGIO DE VIDA SILVESTRE AIMORÉS"
,,,,"UNESP - BU","UNBA",,"PRESERVED_SPECIMEN","6168",,,"<nO>Habitat: Cerradão perturbado Erva com 46 cm de altura, presença de estípulas. Flor com pétalas alvas, com a base vermelha.</nO>",,,,,,,"<nO>Habitat: Cerradão perturbado Erva com 46 cm de altura, presença de estípulas. Flor com pétalas alvas, com a base vermelha.</nO>","Brasil",,"São Paulo","Bauru","Bauru","Gleba II do Refúgio de Vida Silvestre Aimorés",,,"-22.3099994659424","-49.060001373291","29186",,,,"S. dos S. Silva",,,"Sida ciliaris",,,"Malvaceae","Sida",,,,"-22.3099994659424","-49.060001373291",,,,,,"ciliaris",,,,,,,"Splink","UNBA","code not found",,,,"Silva, S.S.",,,,,"brazil","sao paulo","bauru","gleba ii do refugio de vida silvestre aimores",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county",1020599,"Sida ciliaris","L.","possibly_ok","Malvaceae","Sida ciliaris","L.","species","name accepted","bfo-595690",,,"Sida ciliaris L.","Sida","Malvaceae","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.3099994659424,-49.060001373291,"coord_original","miliseconds","low","Sida ciliaris","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","UNBA_6168",,"cc","cc",,,,"plantr_exact","High","REFÚGIO DE VIDA SILVESTRE AIMORÉS"
