"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,,,,,"Levantamento de flora no estado de São Paulo para o projeto Conexão Mata Atlântica","HUMAN_OBSERVATION",,,"Marcos Rafael",,,,,,,"Floresta Atlântica",,"Brasil","BR","São Paulo","São Luiz do Paraitinga","São Luiz do Paraitinga","Propriedade de João",,,"-23.312488","-45.225883",,,,,"Marcos Rafael",,,"Zanthoxylum riedelianum Engl.","Rutaceae","Zanthoxylum","species","Engl.","ACCEPTED",,,"Zanthoxylum riedelianum Engl.",,,,"Zanthoxylum riedelianum Engl.","Zanthoxylum riedelianum",,"Sirgas 2000",,,,,"GBIF",,"code not found","Rafael, M.",,,"Rafael, M.",,,"Rafael",,"brazil","sao paulo","sao luiz do paraitinga","propriedade de joao",,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county","Zanthoxylum riedelianum","Engl.","name_w_authors","Rutaceae","Zanthoxylum riedelianum","Engl.","species","name accepted","bfo-1169",,,"Zanthoxylum riedelianum Engl.","Zanthoxylum","Rutaceae","Zanthoxylum riedelianum",678628,"brazil_sao paulo_sao luis paraitinga","Brazil","São Paulo","São Luís do Paraitinga",,"ibge",TRUE,-23.312488,-45.225883,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS"
,,,,,,"Levantamento de flora no estado de São Paulo para o projeto Conexão Mata Atlântica","HUMAN_OBSERVATION",,,"Marcos Rafael",,,,,,,"Floresta Atlântica",,"Brasil","BR","São Paulo","São Luiz do Paraitinga","São Luiz do Paraitinga","Propriedade de João",,,"-23.312488","-45.225883",,,,,"Marcos Rafael",,,"Psychotria leiocarpa Cham. & Schltdl.","Rubiaceae","Psychotria","species","Cham. & Schltdl.","ACCEPTED",,,"Psychotria leiocarpa Cham. & Schltdl.",,,,"Psychotria leiocarpa Cham. & Schltdl.","Psychotria leiocarpa",,"Sirgas 2000",,,,,"GBIF",,"code not found","Rafael, M.",,,"Rafael, M.",,,"Rafael",,"brazil","sao paulo","sao luiz do paraitinga","propriedade de joao",,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county","Psychotria leiocarpa","Cham. & Schltdl.","name_w_authors","Rubiaceae","Psychotria leiocarpa","Cham. & Schltdl.","species","name accepted","bfo-14188",,,"Psychotria leiocarpa Cham. & Schltdl.","Psychotria","Rubiaceae","Psychotria leiocarpa",678627,"brazil_sao paulo_sao luis paraitinga","Brazil","São Paulo","São Luís do Paraitinga",,"ibge",TRUE,-23.312488,-45.225883,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS"
,,,,,,"Levantamento de flora no estado de São Paulo para o projeto Conexão Mata Atlântica","HUMAN_OBSERVATION",,,"Marcos Rafael",,,,,,,"Floresta Atlântica",,"Brasil","BR","São Paulo","São Luiz do Paraitinga","São Luiz do Paraitinga","Propriedade de João",,,"-23.312488","-45.225883",,,,,"Marcos Rafael",,,"Pera glabrata (Schott) Poepp. ex Baill.","Peraceae","Pera","species","(Schott) Baill.","ACCEPTED",,,"Pera glabrata (Schott) Poepp. ex Baill.",,,,"Pera glabrata (Schott) Baill.","Pera glabrata",,"Sirgas 2000",,,,,"GBIF",,"code not found","Rafael, M.",,,"Rafael, M.",,,"Rafael",,"brazil","sao paulo","sao luiz do paraitinga","propriedade de joao",,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county","Pera glabrata","(Schott) Baill.","name_w_authors","Peraceae","Pera glabrata","(Schott) Baill.","species","author misspelled","bfo-17629",,,"Pera glabrata (Schott) Baill.","Pera","Peraceae","Pera glabrata",678625,"brazil_sao paulo_sao luis paraitinga","Brazil","São Paulo","São Luís do Paraitinga",,"ibge",TRUE,-23.312488,-45.225883,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS"
,,,,,,"Levantamento de flora no estado de São Paulo para o projeto Conexão Mata Atlântica","HUMAN_OBSERVATION",,,"Marcos Rafael",,,,,,,"Floresta Atlântica",,"Brasil","BR","São Paulo","São Luiz do Paraitinga","São Luiz do Paraitinga","Propriedade de João",,,"-23.312488","-45.225883",,,,,"Marcos Rafael",,,"Ocotea odorifera (Vell.) Rohwer","Lauraceae","Mespilodaphne","species","(Vell.) Rohwer","SYNONYM",,,"Mespilodaphne quixos (Lam.) Rohwer",,,,"Ocotea odorifera (Vell.) Rohwer","Mespilodaphne quixos",,"Sirgas 2000",,,,,"GBIF",,"code not found","Rafael, M.",,,"Rafael, M.",,,"Rafael",,"brazil","sao paulo","sao luiz do paraitinga","propriedade de joao",,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county","Ocotea odorifera","(Vell.) Rohwer","name_w_authors","Lauraceae","Ocotea odorifera","(Vell.) Rohwer","species","name accepted","bfo-8476",,,"Ocotea odorifera (Vell.) Rohwer","Ocotea","Lauraceae","Ocotea odorifera",678624,"brazil_sao paulo_sao luis paraitinga","Brazil","São Paulo","São Luís do Paraitinga",,"ibge",TRUE,-23.312488,-45.225883,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS"
,,,,,,"Levantamento de flora no estado de São Paulo para o projeto Conexão Mata Atlântica","HUMAN_OBSERVATION",,,"Marcos Rafael",,"2022-02-11","2022","2","11",,"Floresta Atlântica",,"Brasil","BR","São Paulo","São Luiz do Paraitinga","São Luiz do Paraitinga","Propriedade de João",,,"-23.312488","-45.225883",,,,,"Marcos Rafael",,,"Cybistax antisyphilitica (Mart.) Mart.","Bignoniaceae","Cybistax","species","(Mart.) Mart.","ACCEPTED",,,"Cybistax antisyphilitica (Mart.) Mart.",,,,"Cybistax antisyphilitica (Mart.) Mart.","Cybistax antisyphilitica",,"Sirgas 2000",,,,,"GBIF",,"code not found","Rafael, M.",,"2022","Rafael, M.",,,"Rafael",,"brazil","sao paulo","sao luiz do paraitinga","propriedade de joao",,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county","Cybistax antisyphilitica","(Mart.) Mart.","name_w_authors","Bignoniaceae","Cybistax antisyphilitica","(Mart.) Mart.","species","name accepted","bfo-114028",,,"Cybistax antisyphilitica (Mart.) Mart.","Cybistax","Bignoniaceae","Cybistax antisyphilitica",678622,"brazil_sao paulo_sao luis paraitinga","Brazil","São Paulo","São Luís do Paraitinga",,"ibge",TRUE,-23.312488,-45.225883,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS"
,,,,,,"Levantamento de flora no estado de São Paulo para o projeto Conexão Mata Atlântica","HUMAN_OBSERVATION",,,"Marcos Rafael",,"2022-02-11","2022","2","11",,"Floresta Atlântica",,"Brasil","BR","São Paulo","São Luiz do Paraitinga","São Luiz do Paraitinga","Propriedade de João",,,"-23.312488","-45.225883",,,,,"Marcos Rafael",,,"Prunus L.","Rosaceae","Prunus","genus",,"ACCEPTED",,,"Prunus L.",,,,"Prunus",,,"Sirgas 2000",,,,,"GBIF",,"code not found","Rafael, M.",,"2022","Rafael, M.",,,"Rafael",,"brazil","sao paulo","sao luiz do paraitinga","propriedade de joao",,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county","Prunus","L.","name_w_authors","Rosaceae","Prunus","L.","genus","name accepted","bfo-26057",,,"Prunus L.","Prunus","Rosaceae",,1613242,"brazil_sao paulo_sao luis paraitinga","Brazil","São Paulo","São Luís do Paraitinga",,"ibge",TRUE,-23.312488,-45.225883,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS"
,,,,,,"Levantamento de flora no estado de São Paulo para o projeto Conexão Mata Atlântica","HUMAN_OBSERVATION",,,"Marcos Rafael",,"2022-02-11","2022","2","11",,"Floresta Atlântica",,"Brasil","BR","São Paulo","São Luiz do Paraitinga","São Luiz do Paraitinga","Propriedade de João",,,"-23.312488","-45.225883",,,,,"Marcos Rafael",,,"Cinnamomum Schaeff.","Lauraceae","Cinnamomum","genus","Schaeff.","ACCEPTED",,,"Cinnamomum Schaeff.",,,,"Cinnamomum  Schaeff.",,,"Sirgas 2000",,,,,"GBIF",,"code not found","Rafael, M.",,"2022","Rafael, M.",,,"Rafael",,"brazil","sao paulo","sao luiz do paraitinga","propriedade de joao",,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county","Cinnamomum","Schaeff.","name_w_authors","Lauraceae","Cinnamomum","Schaeff.","genus","name accepted","bfo-8395",,,"Cinnamomum Schaeff.","Cinnamomum","Lauraceae",,1613239,"brazil_sao paulo_sao luis paraitinga","Brazil","São Paulo","São Luís do Paraitinga",,"ibge",TRUE,-23.312488,-45.225883,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5878625",,,"MBM","MBM",,"PRESERVED_SPECIMEN","MBM00389792","7","Portela, O",,"2022-02-09","2022","2","9","2022-2-9",,,"Brazil","BR","São Paulo",,"São Luíz da Paraitinga","Área particular - Projeto Conexão Mata Atlântica.",,,"-23.313889","-45.229167",,,,,"Marinero, F","2022-07-18",,"Cordiera concolor (Cham.) Kuntze","Rubiaceae","Cordiera","species","(Cham.) Kuntze","ACCEPTED",,,"Cordiera concolor (Cham.) Kuntze",,,,"Cordiera concolor (Cham.) Kuntze","Cordiera concolor",,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/38/97/92/mbm00389792.dzi",,,,"GBIF","MBM",,"Portela, O.","7","2022","Marinero, F.","2022",,"Portela",,"brazil","sao paulo","sao luiz da paraitinga","area particular",,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county","Cordiera concolor","(Cham.) Kuntze","name_w_authors","Rubiaceae","Cordiera concolor","(Cham.) Kuntze","species","name accepted","bfo-13891",,,"Cordiera concolor (Cham.) Kuntze","Cordiera","Rubiaceae","Cordiera concolor",657659,"brazil_sao paulo_sao luis paraitinga","Brazil","São Paulo","São Luís do Paraitinga",,"ibge",TRUE,-23.313889,-45.229167,"coord_original","seconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS"
,,,,,,"Levantamento de flora no estado de São Paulo para o projeto Conexão Mata Atlântica","HUMAN_OBSERVATION",,,"Marcos Rafael",,"2021-10-01","2021","10","1",,"Floresta Atlântica",,"Brasil","BR","São Paulo","São Luiz do Paraitinga","São Luiz do Paraitinga","Propriedade de João",,,"-23.312488","-45.225883",,,,,"Marcos Rafael",,,"Tovomitopsis paniculata (Spreng.) Planch. & Triana","Clusiaceae","Chrysochlamys","species","(Spreng.) Planch. & Triana","SYNONYM",,,"Chrysochlamys paniculata (Spreng.)",,,,"Tovomitopsis paniculata (Spreng.) Planch. & Triana","Chrysochlamys paniculata",,"Sirgas 2000",,,,,"GBIF",,"code not found","Rafael, M.",,"2021","Rafael, M.",,,"Rafael",,"brazil","sao paulo","sao luiz do paraitinga","propriedade de joao",,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","name_w_authors","Clusiaceae","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","species","name accepted","bfo-6890",,,"Tovomitopsis paniculata (Spreng.) Planch. & Triana","Tovomitopsis","Clusiaceae","Tovomitopsis paniculata",677910,"brazil_sao paulo_sao luis paraitinga","Brazil","São Paulo","São Luís do Paraitinga",,"ibge",TRUE,-23.312488,-45.225883,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS"
,,,,,,"Levantamento de flora no estado de São Paulo para o projeto Conexão Mata Atlântica","HUMAN_OBSERVATION",,,"Marcos Rafael",,"2021-10-01","2021","10","1",,"Floresta Atlântica",,"Brasil","BR","São Paulo","São Luiz do Paraitinga","São Luiz do Paraitinga","Propriedade de João",,,"-23.312488","-45.225883",,,,,"Marcos Rafael",,,"Tillandsia stricta Sol.","Bromeliaceae","Tillandsia","species","Sol.","DOUBTFUL",,,"Tillandsia stricta Sol.",,,,"Tillandsia stricta Sol.","Tillandsia stricta",,"Sirgas 2000",,,,,"GBIF",,"code not found","Rafael, M.",,"2021","Rafael, M.",,,"Rafael",,"brazil","sao paulo","sao luiz do paraitinga","propriedade de joao",,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county","Tillandsia stricta","Sol.","name_w_authors","Bromeliaceae","Tillandsia stricta","Sol.","species","name accepted","bfo-6407",,,"Tillandsia stricta Sol.","Tillandsia","Bromeliaceae","Tillandsia stricta",677602,"brazil_sao paulo_sao luis paraitinga","Brazil","São Paulo","São Luís do Paraitinga",,"ibge",TRUE,-23.312488,-45.225883,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS"
