"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
"Dataset",,,,"Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","SinBIOTA","OCCURRENCE","11871",,"Luis Vicente Brandolise Bufo",,,,,,,"Cerradão (Savana Arbórea Densa ou Florestada)",,"Brazil","BR","Sp",,"Narandiba","_","_",,"-22.6604628","-51.4840289",,,,,,,,"Rhamnidium elaeocarpum Reissek","Rhamnaceae","Rhamnidium","species",,"ACCEPTED",,,"Rhamnidium elaeocarpum Reissek",,,,"Rhamnidium elaeocarpum","Rhamnidium elaeocarpum","9401829","EPSG:4291",,,,,"GBIF","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","code not found","Bufo, L.V.B.",,,,,,"Bufo",,"brazil","sao paulo","narandiba","",,"locality","brazil_sao paulo_narandiba","brazil_sao paulo_narandiba",-22.56382885,-51.52153849,"county","Rhamnidium elaeocarpum","Reissek","name_w_authors","Rhamnaceae","Rhamnidium elaeocarpum","Reissek","species","name accepted","bfo-20666",,,"Rhamnidium elaeocarpum Reissek","Rhamnidium","Rhamnaceae","Rhamnidium elaeocarpum",635089,"brazil_sao paulo_narandiba","Brazil","São Paulo","Narandiba",,"ibge","unknown",TRUE,-22.6604628,-51.4840289,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP_11871",,"cc","cc",,,,"Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO"
"Dataset",,,,"Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","SinBIOTA","OCCURRENCE","11874",,"Luis Vicente Brandolise Bufo",,,,,,,"Cerradão (Savana Arbórea Densa ou Florestada)",,"Brazil","BR","Sp",,"Narandiba","_","_",,"-22.6607617","-51.4873279",,,,,,,,"Peltophorum dubium (Spreng.) Taub.","Fabaceae","Peltophorum","species",,"ACCEPTED",,,"Peltophorum dubium (Spreng.) Taub.",,,,"Peltophorum dubium","Peltophorum dubium","621598","EPSG:4291",,,,,"GBIF","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","code not found","Bufo, L.V.B.",,,,,,"Bufo",,"brazil","sao paulo","narandiba","",,"locality","brazil_sao paulo_narandiba","brazil_sao paulo_narandiba",-22.56382885,-51.52153849,"county","Peltophorum dubium","(Spreng.) Taub.","name_w_authors","Fabaceae","Peltophorum dubium","(Spreng.) Taub.","species","name accepted","bfo-83567",,,"Peltophorum dubium (Spreng.) Taub.","Peltophorum","Fabaceae","Peltophorum dubium",635403,"brazil_sao paulo_narandiba","Brazil","São Paulo","Narandiba",,"ibge","unknown",TRUE,-22.6607617,-51.4873279,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP_11874",,"cc","cc",,,,"Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO"
"Dataset",,,,"Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","SinBIOTA","OCCURRENCE","11876",,"Luis Vicente Brandolise Bufo",,,,,,,"Cerradão (Savana Arbórea Densa ou Florestada)",,"Brazil","BR","Sp",,"Narandiba","_","_",,"-22.6612637","-51.4907269",,,,,,,,"Parapiptadenia rigida (Benth.) Brenan","Fabaceae","Parapiptadenia","species",,"ACCEPTED",,,"Parapiptadenia rigida (Benth.) Brenan",,,,"Parapiptadenia rigida","Parapiptadenia rigida","621543","EPSG:4291",,,,,"GBIF","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","code not found","Bufo, L.V.B.",,,,,,"Bufo",,"brazil","sao paulo","narandiba","",,"locality","brazil_sao paulo_narandiba","brazil_sao paulo_narandiba",-22.56382885,-51.52153849,"county","Parapiptadenia rigida","(Benth.) Brenan","name_w_authors","Fabaceae","Parapiptadenia rigida","(Benth.) Brenan","species","name accepted","bfo-31381",,,"Parapiptadenia rigida (Benth.) Brenan","Parapiptadenia","Fabaceae","Parapiptadenia rigida",635091,"brazil_sao paulo_narandiba","Brazil","São Paulo","Narandiba",,"ibge","unknown",TRUE,-22.6612637,-51.4907269,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP_11876",,"cc","cc",,,,"Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO"
"Dataset",,,,"Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","SinBIOTA","OCCURRENCE","11930",,"Luis Vicente Brandolise Bufo",,,,,,,"Cerradão (Savana Arbórea Densa ou Florestada)",,"Brazil","BR","Sp",,"Narandiba","_","_",,"-22.6657627","-51.5243271",,,,,,,,"Pachystroma longifolium (Nees) I.M.Johnst.","Euphorbiaceae","Pachystroma","species",,"ACCEPTED",,,"Pachystroma longifolium (Nees) I.M.Johnst.",,,,"Pachystroma longifolium","Pachystroma longifolium","8162478","EPSG:4291",,,,,"GBIF","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","code not found","Bufo, L.V.B.",,,,,,"Bufo",,"brazil","sao paulo","narandiba","",,"locality","brazil_sao paulo_narandiba","brazil_sao paulo_narandiba",-22.56382885,-51.52153849,"county","Pachystroma longifolium","(Nees) I.M.Johnst.","name_w_authors","Euphorbiaceae","Pachystroma longifolium","(Nees) I.M.Johnst.","species","name accepted","bfo-17624",,,"Pachystroma longifolium (Nees) I.M.Johnst.","Pachystroma","Euphorbiaceae","Pachystroma longifolium",619477,"brazil_sao paulo_narandiba","Brazil","São Paulo","Narandiba",,"ibge","unknown",TRUE,-22.6657627,-51.5243271,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP_11930",,"cc","cc",,,,"Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO"
"Dataset",,,,"Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","SinBIOTA","OCCURRENCE","11877",,"Luis Vicente Brandolise Bufo",,,,,,,"Cerradão (Savana Arbórea Densa ou Florestada)",,"Brazil","BR","Sp",,"Narandiba","_","_",,"-22.6612637","-51.4912269",,,,,,,,"Machaerium aculeatum Raddi","Fabaceae","Machaerium","species",,"ACCEPTED",,,"Machaerium aculeatum Raddi",,,,"Machaerium aculeatum","Machaerium aculeatum","582571","EPSG:4291",,,,,"GBIF","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","code not found","Bufo, L.V.B.",,,,,,"Bufo",,"brazil","sao paulo","narandiba","",,"locality","brazil_sao paulo_narandiba","brazil_sao paulo_narandiba",-22.56382885,-51.52153849,"county","Machaerium aculeatum","Raddi","name_w_authors","Fabaceae","Machaerium aculeatum","Raddi","species","name accepted","bfo-29758",,,"Machaerium aculeatum Raddi","Machaerium","Fabaceae","Machaerium aculeatum",634787,"brazil_sao paulo_narandiba","Brazil","São Paulo","Narandiba",,"ibge","unknown",TRUE,-22.6612637,-51.4912269,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP_11877",,"cc","cc",,,,"Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO"
"Dataset",,,,"Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","SinBIOTA","OCCURRENCE","11875",,"Luis Vicente Brandolise Bufo",,,,,,,"Cerradão (Savana Arbórea Densa ou Florestada)",,"Brazil","BR","Sp",,"Narandiba","_","_",,"-22.6610637","-51.4882289",,,,,,,,"Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima","Fabaceae","Lonchocarpus","species",,"ACCEPTED",,,"Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima",,,,"Lonchocarpus cultratus","Lonchocarpus cultratus","9400897","EPSG:4291",,,,,"GBIF","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","code not found","Bufo, L.V.B.",,,,,,"Bufo",,"brazil","sao paulo","narandiba","",,"locality","brazil_sao paulo_narandiba","brazil_sao paulo_narandiba",-22.56382885,-51.52153849,"county","Lonchocarpus cultratus","(Vell.) A.M.G.Azevedo & H.C.Lima","name_w_authors","Fabaceae","Lonchocarpus cultratus","(Vell.) A.M.G.Azevedo & H.C.Lima","species","name accepted","bfo-23052",,,"Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima","Lonchocarpus","Fabaceae","Lonchocarpus cultratus",634786,"brazil_sao paulo_narandiba","Brazil","São Paulo","Narandiba",,"ibge","unknown",TRUE,-22.6610637,-51.4882289,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP_11875",,"cc","cc",,,,"Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO"
"Dataset",,,,"Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","SinBIOTA","OCCURRENCE","11873",,"Luis Vicente Brandolise Bufo",,,,,,,"Cerradão (Savana Arbórea Densa ou Florestada)",,"Brazil","BR","Sp",,"Narandiba","_","_",,"-22.6607618","-51.4857259",,,,,,,,"Guarea kunthiana A.Juss.","Meliaceae","Guarea","species",,"ACCEPTED",,,"Guarea kunthiana A.Juss.",,,,"Guarea kunthiana","Guarea kunthiana","9400500","EPSG:4291",,,,,"GBIF","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","code not found","Bufo, L.V.B.",,,,,,"Bufo",,"brazil","sao paulo","narandiba","",,"locality","brazil_sao paulo_narandiba","brazil_sao paulo_narandiba",-22.56382885,-51.52153849,"county","Guarea kunthiana","A.Juss.","name_w_authors","Meliaceae","Guarea kunthiana","A.Juss.","species","name accepted","bfo-9996",,,"Guarea kunthiana A.Juss.","Guarea","Meliaceae","Guarea kunthiana",635402,"brazil_sao paulo_narandiba","Brazil","São Paulo","Narandiba",,"ibge","unknown",TRUE,-22.6607618,-51.4857259,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP_11873",,"cc","cc",,,,"Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO"
"Dataset",,,,"Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","SinBIOTA","OCCURRENCE","11881",,"Luis Vicente Brandolise Bufo",,,,,,,"Cerradão (Savana Arbórea Densa ou Florestada)",,"Brazil","BR","Sp",,"Narandiba","_","_",,"-22.6618627","-51.496827",,,,,,,,"Guarea guidonia (L.) Sleumer","Meliaceae","Guarea","species",,"ACCEPTED",,,"Guarea guidonia (L.) Sleumer",,,,"Guarea guidonia","Guarea guidonia","7042654","EPSG:4291",,,,,"GBIF","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","code not found","Bufo, L.V.B.",,,,,,"Bufo",,"brazil","sao paulo","narandiba","",,"locality","brazil_sao paulo_narandiba","brazil_sao paulo_narandiba",-22.56382885,-51.52153849,"county","Guarea guidonia","(L.) Sleumer","name_w_authors","Meliaceae","Guarea guidonia","(L.) Sleumer","species","name accepted","bfo-9995",,,"Guarea guidonia (L.) Sleumer","Guarea","Meliaceae","Guarea guidonia",634790,"brazil_sao paulo_narandiba","Brazil","São Paulo","Narandiba",,"ibge","unknown",TRUE,-22.6618627,-51.496827,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP_11881",,"cc","cc",,,,"Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO"
"Dataset",,,,"Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","SinBIOTA","OCCURRENCE","11880",,"Luis Vicente Brandolise Bufo",,,,,,,"Cerradão (Savana Arbórea Densa ou Florestada)",,"Brazil","BR","Sp",,"Narandiba","_","_",,"-22.6618627","-51.49603",,,,,,,,"Patagonula americana L.","Cordiaceae","Cordia","species",,"SYNONYM",,,"Cordia americana (L.) Gottschling & J.S.Mill.",,,,"Patagonula americana","Cordia americana","9401419","EPSG:4291",,,,,"GBIF","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","code not found","Bufo, L.V.B.",,,,,,"Bufo",,"brazil","sao paulo","narandiba","",,"locality","brazil_sao paulo_narandiba","brazil_sao paulo_narandiba",-22.56382885,-51.52153849,"county","Cordia americana","(L.) Gottschling & J.S.Mill.","name_w_authors","Cordiaceae","Cordia americana","(L.) Gottschling & J.S.Mill.","species","replaced synonym","bfo-116137","Cordia americana","(L.) Gottschling & J.S.Mill.","Cordia americana (L.) Gottschling & J.S.Mill.","Cordia","Cordiaceae","Cordia americana",634789,"brazil_sao paulo_narandiba","Brazil","São Paulo","Narandiba",,"ibge","unknown",TRUE,-22.6618627,-51.49603,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP_11880",,"cc","cc",,,,"Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO"
"Dataset",,,,"Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","SinBIOTA","OCCURRENCE","11870",,"Luis Vicente Brandolise Bufo",,,,,,,"Cerradão (Savana Arbórea Densa ou Florestada)",,"Brazil","BR","Sp",,"Narandiba","_","_",,"-22.6610638","-51.4837269",,,,,,,,"Chrysophyllum gonocarpum (Mart. & Eichler) Engl.","Sapotaceae","Chrysophyllum","species",,"ACCEPTED",,,"Chrysophyllum gonocarpum (Mart. & Eichler) Engl.",,,,"Chrysophyllum gonocarpum","Chrysophyllum gonocarpum","8108875","EPSG:4291",,,,,"GBIF","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP","code not found","Bufo, L.V.B.",,,,,,"Bufo",,"brazil","sao paulo","narandiba","",,"locality","brazil_sao paulo_narandiba","brazil_sao paulo_narandiba",-22.56382885,-51.52153849,"county","Chloroluma gonocarpa","(Mart. & Eichler ex Miq.) Baill. ex Aubrév.","name_w_authors","Sapotaceae","Chloroluma gonocarpa","(Mart. & Eichler ex Miq.) Baill. ex Aubrév.","species","author misspelled|replaced synonym","bfo-75474","Chloroluma gonocarpa","(Mart. & Eichler ex Miq.) Baill. ex Aubrév.","Chloroluma gonocarpa (Mart. & Eichler ex Miq.) Baill. ex Aubrév.","Chloroluma","Sapotaceae","Chloroluma gonocarpa",634785,"brazil_sao paulo_narandiba","Brazil","São Paulo","Narandiba",,"ibge","unknown",TRUE,-22.6610638,-51.4837269,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","Escola Superior de Agricultura ''Luiz de Queiroz'' - ESALQ/USP_11870",,"cc","cc",,,,"Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO"
