"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","recordID","confidenceLocality","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"gbif","1.29439243693705e-314",,"2020-05-04 17:43:40",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/38121513","38121513",,"Rosa Leticia Pinto",,,,,"PRESENT",,,,,,"2020-01-22T15:51:08","2020","1","22","2020-01-22 3:51:08 PM GMT-03:00",,,,,,"BR","São Paulo",,,"Silveiras - SP, 12690-000, Brasil","Silveiras - SP, 12690-000, Brasil",,,"-22.823942","-44.902097","78",,,,,,,,"85421043",,,"Rosa Leticia Pinto",,"2020-01-30 18:19:31",,"873955","Achyrocline satureioides",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Asterales",,"Asteraceae",,,,"Achyrocline","Achyrocline",,,"satureioides",,,"species",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Achyrocline satureioides","Achyrocline satureioides (Lam.) DC.","Achyrocline satureioides (Lam.) DC.","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"BR",,,,,"EPSG:4326",,,,"(Lam.) DC.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Pinto, R.L.",,"2020","Pinto, R.L.","2020",,"Pinto",,"brazil","sao paulo","silveiras - sp","silveiras - sp",,"locality","brazil_sao paulo_silveiras sp","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-22.823942,-44.902097,"coord_original","miliseconds",515047,"Low","check_local.2state","Achyrocline satureioides","(Lam.) DC.","name_w_authors","Asteraceae","Achyrocline satureioides","(Lam.) DC.","species","name accepted","bfo-108826",,,"Achyrocline satureioides (Lam.) DC.","Achyrocline","Asteraceae","low","Achyrocline satureioides"
"speciesLink",,,"2025-03-21T08:58:50",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"347221","1076","Prado, J; Yano, O",,,,,,,,,,,,"2000","02","17",,,,,,,,"São Paulo",,,"Estrada Bairro dos Macacos-Campos de Cunha.",,,,"-22.816667","-44.833333",,,,,,,,,,,,"Prado, J",,"2000-02-17",,,"Adiantopsis radiata",,,,,,,"Plantae",,,"Pteridophyta",,"Pteridaceae",,,,"Adiantopsis",,,,"radiata",,,,,,,,,,,,,,"Adiantopsis radiata",,,,,,,"Brasil","558","558",,,,,"-22.816667","-44.833333","(L.) Fée","Splink","17",,,"02",,"2000",,,,"SP0347221",,,,,,,,,,,,,,,,,,,"SP",,"Prado, J.","1076","2000","Prado, J.","2000","Yano, O.","Prado",,"brazil","sao paulo","estrada bairro dos macacos-campos de cunha","estrada bairro dos macacos-campos de cunha",,"locality","brazil_sao paulo_estrada bairro macacos campos cunha","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-22.816667,-44.833333,"coord_original","minutes",1200770,"Low","check_local.2state","Adiantopsis radiata","(L.) Fée","possibly_ok","Pteridaceae","Adiantopsis radiata","(L.) Fée","species","name accepted","bfo-91803",,,"Adiantopsis radiata (L.) Fée","Adiantopsis","Pteridaceae","low","Adiantopsis radiata"
"speciesLink",,,"2023-09-06T19:47:53",,,"301",,"UCS","HUCS",,"PreservedSpecimen",,,,"52943","5308","Gonzatti, F; Kulkamp, J; Coelho, GP; Botura, B",,,,,,,,,,,,"2019","12","09",,,,,,,,"São Paulo","Cachoeira Paulista","Cachoeira Paulista","Cachoeirão da Bocaína",,,,"-22.741389","-44.912778",,,,,,,,,,,,"Gonzatti, F",,"2022-01-NA",,,"Adiantum intermedium",,,,,,,"Plantae","Pteridophyta",,"Polypodiales",,"Pteridaceae",,,,"Adiantum",,,,"intermedium",,,,,,,,,,,,,,"Adiantum intermedium",,,,,,,"Brasil","521","521",,,,,"-22.741389","-44.912778","Sw.","Splink",,,,"01",,"2022",,,,"HUCS009424",,,,,,,,,,,,,,,,,,,"HUCS",,"Gonzatti, F.","5308","2019","Gonzatti, F.","2022","Kulkamp, J.; Coelho, G.P.; Botura, B.","Gonzatti",,"brazil","sao paulo","cachoeira paulista","cachoeirao da bocaina",,"locality","brazil_sao paulo_cachoeira paulista","brazil_sao paulo_cachoeira paulista",-22.70199999,-44.99168636,"county","brazil_sao paulo_cachoeira paulista","Brazil","São Paulo","Cachoeira Paulista",,"ibge",TRUE,-22.741389,-44.912778,"coord_original","seconds",1599284,"Low","check_local.2municip.","Adiantum intermedium","Sw.","possibly_ok","Pteridaceae","Adiantum intermedium","Sw.","species","name accepted","bfo-91828",,,"Adiantum intermedium Sw.","Adiantum","Pteridaceae","low","Adiantum intermedium"
"user",,,,,,,,"FURB","FURB",,,,,,"FURB00070226","5306","F. Gonzatti",,,,,,,,,,,,"2019","12","09",,,,,,,,"São Paulo",,"Silveiras","Cachoeirão da Bocaína.",,"521",,"-22.7413888888889","-44.9127777777778",,,,,,,,,,,"não","F. Gonzatti",,"--/01/2022",,,"Adiantum serratodentatum Willd.",,,,,,,,,,,,"Pteridaceae",,,,"Adiantum",,,,,,,"species",,,,,,,,,"serratodentatum",,"Adiantum serratodentatum Willd.",,,,,,,"Brasil",,,,,,,"22º 44' 29"""" S","44º 54' 46"""" W","Willd.","Reflora",,,,,,,,,,,,,,,,"FURB",,"FURB 70226",,"J. Kulkamp,G.P. Coelho,B. Botura","09/12/2019",,,"METRO",,,,,"FURB",,"Gonzatti, F.","5306","2019","Gonzatti, F.","2022",,"Gonzatti",,"brazil","sao paulo","silveiras","cachoeirao da bocaina",,"locality","brazil_sao paulo_silveiras","brazil_sao paulo_silveiras",-22.73445083,-44.8407973,"county","brazil_sao paulo_silveiras","Brazil","São Paulo","Silveiras",,"ibge",TRUE,-22.7413888888889,-44.9127777777778,"coord_original","miliseconds",1702460,"Low","check_local.2municip.","Adiantum serratodentatum","Willd.","name_w_authors","Pteridaceae","Adiantum serratodentatum","Willd.","species","name accepted","bfo-91855",,,"Adiantum serratodentatum Willd.","Adiantum","Pteridaceae","high","Adiantum serratodentatum"
"speciesLink",,,"2021-12-09T10:58:34",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"312839","97-85","Shepherd, GJ; et al.",,,,,,,,,,,,"1997","02","19",,,,,,,,"São Paulo","Queluz","Queluz","Pedra da Mina",,,,"-22.761389","-44.842778",,,,,,,,,,,,"Assis, MC",,"2004-12-09",,,"Alstroemeria foliosa",,,,,,,"Plantae",,,,,"Alstroemeriaceae",,,,"Alstroemeria",,,,"foliosa",,,,,,,,,,,,,,"Alstroemeria foliosa",,,,,,,"Brasil","2770","2770",,,,,"-22.761389","-44.842778","Mart. ex Schult. & Schult.f.","Splink","09",,,"12",,"2004",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Shepherd, G.J.","97-85","1997","Assis, M.C.","2004",,"Shepherd",,"brazil","sao paulo","queluz","pedra da mina",,"locality","brazil_sao paulo_queluz","brazil_sao paulo_queluz",-22.5039562,-44.78513434,"county","brazil_sao paulo_queluz","Brazil","São Paulo","Queluz",,"ibge",TRUE,-22.761389,-44.842778,"coord_original","seconds",1201610,"Low","check_local.2municip.","Alstroemeria foliosa","Mart. ex Schult. & Schult.f.","possibly_ok","Alstroemeriaceae","Alstroemeria foliosa","Mart. ex Schult. & Schult.f.","species","name accepted","bfo-4283",,,"Alstroemeria foliosa Mart. ex Schult. & Schult.f.","Alstroemeria","Alstroemeriaceae","low","Alstroemeria foliosa"
"speciesLink",,,"2025-04-07T10:42:41",,,"2",,"UNICAMP","UEC",,"S",,,,"25032","12855","Shepherd, GJ; Kinoshita, LS; Shepherd, GJ",,,,,,,,,,,,"1981","01","02",,,,,,,,"São Paulo","Silveiras","Silveiras","Estrada para S.J. Barreiro",,,,"-22.66","-44.849998",,"26704",,,,,,,,,,"Assis, MC",,"2001-09-NA",,,"Alstroemeria inodora",,,,,,,"Plantae","Liliopsida",,,,"Alstroemeriaceae",,,,"Alstroemeria",,,,"inodora",,,,,,,,,,,,,,"Alstroemeria inodora",,,,,,,"Brazil","1500","1500",,,,,"0","0","Herb.","Splink",,,,"09",,"2001",,,,"UEC090513",,,,,,,,,,,,,,,,,,,"UEC",,"Shepherd, G.J.","12855","1981","Assis, M.C.","2001","Kinoshita, L.S.; Shepherd, G.J.","Shepherd",,"brazil","sao paulo","silveiras","estrada para s",,"locality","brazil_sao paulo_silveiras","brazil_sao paulo_silveiras",-22.73445083,-44.8407973,"county","brazil_sao paulo_silveiras","Brazil","São Paulo","Silveiras",,"ibge",TRUE,-22.66,-44.849998,"coord_original","miliseconds",1271371,"Low","check_local.2municip.","Alstroemeria inodora","Herb.","possibly_ok","Alstroemeriaceae","Alstroemeria inodora","Herb.","species","name accepted","bfo-4286",,,"Alstroemeria inodora Herb.","Alstroemeria","Alstroemeriaceae","low","Alstroemeria inodora"
"speciesLink",,,"2023-09-06T19:48:18",,,"301",,"UCS","HUCS",,"PreservedSpecimen",,,,"53645","5305","Gonzatti, F; Kulkamp, J; Coelho, GP; Botura, B",,,,,,,,,,,,"2019","12","09",,,,,,,,"São Paulo","Cachoeira Paulista","Cachoeira Paulista","Cachoeirão da Bocaína",,,,"-22.741389","-44.912778",,,,,,,,,,,,"Jiménez, M",,"2022-NA-NA",,,"Anemia tomentosa",,,,,,,"Plantae","Pteridophyta",,"Schizaeales",,"Anemiaceae",,,,"Anemia",,,,"tomentosa",,,,,,,,,,,,,,"Anemia tomentosa",,,,,,,"Brasil","521","521",,,,,"-22.741389","-44.912778","(Sav.) Sw.","Splink",,,,,,"2022",,,,"HUCS009226",,,,,,,,,,,,,,,,,,,"HUCS",,"Gonzatti, F.","5305","2019","Jimenez, M.","2022","Kulkamp, J.; Coelho, G.P.; Botura, B.","Gonzatti",,"brazil","sao paulo","cachoeira paulista","cachoeirao da bocaina",,"locality","brazil_sao paulo_cachoeira paulista","brazil_sao paulo_cachoeira paulista",-22.70199999,-44.99168636,"county","brazil_sao paulo_cachoeira paulista","Brazil","São Paulo","Cachoeira Paulista",,"ibge",TRUE,-22.741389,-44.912778,"coord_original","seconds",1599787,"Low","check_local.2municip.","Anemia tomentosa","(Sav.) Sw.","possibly_ok","Anemiaceae","Anemia tomentosa","(Sav.) Sw.","species","name accepted","bfo-90658",,,"Anemia tomentosa (Sav.) Sw.","Anemia","Anemiaceae","low","Anemia tomentosa"
"speciesLink",,,"2025-05-25T00:08:00",,,"67",,"NY","NY",,"PreservedSpecimen",,,,"1017135","4328","P. H. Labiak E.",,,,,,,,,,,,"2008","01","07",,,,,,,,"São Paulo","Silveiras Mun.","Silveiras Mun.","Estrada do Parque Nacional da Serra da Bocaina para Campos Novos.",,,,"-22.66","-44.8497",,,,,,,,,,,,"P. H. Labiak E.",,"2008-NA-NA",,,"Anemia villosa",,,,,,,"Plantae","Pteridophyta",,"Schizaeales",,"Anemiaceae",,,,"Anemia",,,,"villosa",,,,,,,,,,,,,,"Anemia villosa",,,,,,,"Brazil","1400","1400",,,,,,,"Humb. & Bonpl. ex Willd.","Splink",,,,,,"2008",,,,"NY01017135","South America","sheet",,,,,,,,,,,,,,,,,"NY",,"P., H.L.E.","4328","2008","P., H.L.E.","2008",,",",,"brazil","sao paulo","silveiras","estrada do parque nacional da serra da bocaina para campos novos",,"locality","brazil_sao paulo_silveiras","brazil_sao paulo_silveiras",-22.73445083,-44.8407973,"county","brazil_sao paulo_silveiras","Brazil","São Paulo","Silveiras",,"ibge",TRUE,-22.66,-44.8497,"coord_original","miliseconds",1501565,"Low","check_local.2municip.","Anemia villosa","Humb. & Bonpl. ex Willd.","possibly_ok","Anemiaceae","Anemia villosa","Humb. & Bonpl. ex Willd.","species","name accepted","bfo-90668",,,"Anemia villosa Humb. & Bonpl. ex Willd.","Anemia","Anemiaceae","low","Anemia villosa"
"gbif","8.90810135528702e-315",,"2019-05-02 10:53:51",,,"https://specieslink.net/col/339",,"IPA/SP","SP-BRYOPHYTA",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/339/132707","132707","7364","Vital, D.M.",,,,,"PRESENT",,,,,,"1977-07-21","1977","7","21",,,,,,,"BR","São Paulo",,"Silveiras",,,,,"-22.664444","-44.852778",,,,,,,,,,,,,,,,,"Archilejeunea",,,,,,,"Plantae","Marchantiophyta","Jungermanniopsida","Porellales",,"Lejeuneaceae",,,,"Archilejeunea","Archilejeunea",,,,,,"genus",,"ACCEPTED",,"f2f31bf8-abd3-4bbc-b55e-8fa88c5c8222",,,TRUE,FALSE,,"Archilejeunea (Spruce) Steph.","Archilejeunea (Spruce) Steph.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,"BRASIL","1600","1600",,,"WGS84",,,,"(Spruce) Steph.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SP-BRYOPHYTA","code not found","Vital, D.M.","7364","1977",,,,"Vital",,"brazil","sao paulo","silveiras",,,"municipality","brazil_sao paulo_silveiras","brazil_sao paulo_silveiras",-22.73445083,-44.8407973,"county","brazil_sao paulo_silveiras","Brazil","São Paulo","Silveiras",,"ibge",TRUE,-22.664444,-44.852778,"coord_original","seconds",317503,"Low","ok_same_resolution","Archilejeunea","(Spruce) Steph.","name_w_authors",,"Archilejeunea","(Spruce) Steph.","genus","not found",,,,"Archilejeunea (Spruce) Steph.","Archilejeunea","Orchidaceae","unknown",
"speciesLink",,,"2019-05-02T10:53:51",,,"339",,"IBt","SP-BRYOPHYTA",,"S",,,,"132707","7364","Vital, D.M.",,,,,,,,,,,,"1977","07","21",,,,,,,,"São Paulo","Silveiras","Silveiras",,,,,"-22.664444","-44.852778",,,,,,,,,,,,,,,,,"Archilejeunea sp.",,,,,,,"Plantae",,,,,"Lejeuneaceae",,,,"Archilejeunea",,,,"sp.",,,,,,,,,,,,,,"Archilejeunea sp.",,,,,,,"BRASIL","1600","1600",,,,,"-22.664444","-44.852778",,"Splink",,,,,,,,,,"SP069332","Southern America",,,,,,,,,,,,,,,,,,"SP-BRYOPHYTA","code not found","Vital, D.M.","7364","1977",,,,"Vital",,"brazil","sao paulo","silveiras",,,"municipality","brazil_sao paulo_silveiras","brazil_sao paulo_silveiras",-22.73445083,-44.8407973,"county","brazil_sao paulo_silveiras","Brazil","São Paulo","Silveiras",,"ibge",TRUE,-22.664444,-44.852778,"coord_original","seconds",1028285,"Low","ok_same_resolution","Archilejeunea sp.",,"indet",,"Archilejeunea sp.",,"genus","not found",,,,"Archilejeunea sp.","Archilejeunea","Orchidaceae","unknown",
