"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","recordID","confidenceLocality","selectionCategory","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,,"2013-02-07T10:17:50",,,"145",,"UMC","HUMC",,"S",,,,"4345",,"Honda, E. T.; Inácio",,,,,,,,,,,,"2007","03","24",,,,,,,,"São Paulo","Mogi das Cruzes","Mogi das Cruzes","Distrito de César de Souza APA da várzea do Rio Tietê. Próximo ao café solúvel.&nf;Mata ciliar.",,,,"-23.5228","-46.1883",,"28666",,,,,,,,,,,,,,,"Achyrocline satureoides",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Achyrocline",,,,"satureoides",,,,,,,,,,,,,,"Achyrocline satureoides",,,,,,,"Brazil","720","720",,,,,,,,"Splink",,,,,,,,,,,"Southern America",,,,,,,,,,,,,,,,,,"HUMC",,"Honda, E.T.",,"2007",,,"Inacio","Honda",,"brazil","sao paulo","mogi das cruzes","mata ciliar",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.5228,-46.1883,"coord_original","miliseconds",1005573,"High","locality_exact","check_local.2municip.","Achyrocline satureioides","(Lam.) DC.","possibly_ok","Asteraceae","Achyrocline satureioides","(Lam.) DC.","species","name misspelled","bfo-108826",,,"Achyrocline satureioides (Lam.) DC.","Achyrocline","Asteraceae","unknown","Achyrocline satureioides"
"gbif","1.95966337932896e-314",,"2024-08-04 21:54:04",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/141616666","141616666",,"Luciano Bernardes",,,,,"PRESENT",,,,,,"2022-11-09","2022","11","9","2022/11/09",,,,,,"BR","São Paulo",,,"Vila Santo Henrique, São Paulo - SP, Brasil","Vila Santo Henrique, São Paulo - SP, Brasil",,,"-23.496243","-46.529829","1",,,,,,,,"312708221",,,"Luciano Bernardes",,"2022-11-10 15:37:42",,"244459","Acrocomia aculeata",,,,,,,"Plantae","Tracheophyta","Liliopsida","Arecales",,"Arecaceae",,,,"Acrocomia","Acrocomia",,,"aculeata",,,"species",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Acrocomia aculeata","Acrocomia aculeata (Jacq.) Lodd. ex R.Keith","Acrocomia aculeata (Jacq.) Lodd. ex R.Keith","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","LC",,"BR",,,,,"EPSG:4326",,,,"(Jacq.) Lodd. ex R.Keith","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Bernardes, L.",,"2022","Bernardes, L.","2022",,"Bernardes",,"brazil","sao paulo","vila santo henrique","vila santo henrique",,"locality","brazil_sao paulo_vila santo henrique","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-23.496243,-46.529829,"coord_original","miliseconds",711317,"Low","coord_original","check_local.2state","Acrocomia aculeata","(Jacq.) Lodd. ex Mart.","name_w_authors","Arecaceae","Acrocomia aculeata","(Jacq.) Lodd. ex Mart.","species","author misspelled","bfo-15663",,,"Acrocomia aculeata (Jacq.) Lodd. ex Mart.","Acrocomia","Arecaceae","low","Acrocomia aculeata"
"speciesLink",,,"2024-08-06T09:13:44",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"2309",,"D.Bento Pickel",,,,,,,,,,,,"1945","10","11",,,,,,,,"SP","Carapicuiba","Carapicuiba","Sítio Santo Estevão",,,,"-23.52","-46.830002",,"7241",,,,,,,,,,,,,,,"Aeschynomene",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Fabales",,"Fabaceae",,,,"Aeschynomene",,,,,,,,,,,,,,,,,,"Aeschynomene",,,,,,,"Brasil",,,,,,,,,,"Splink",,,,,,,,,,"SPSF00002309","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Pickel, D.B.",,"1945",,,,"Pickel",,"brazil","sao paulo","carapicuiba","sitio santo estevao",,"locality","brazil_sao paulo_carapicuiba","brazil_sao paulo_carapicuiba",-23.54907649,-46.84233217,"county","brazil_sao paulo_carapicuiba","Brazil","São Paulo","Carapicuíba",,"ibge",TRUE,-23.52,-46.830002,"coord_original","miliseconds",975980,"Low","coord_original","check_local.2municip.","Aeschynomene","L.","indet","Fabaceae","Aeschynomene","L.","genus","name accepted","bfo-22777",,,"Aeschynomene L.","Aeschynomene","Fabaceae","unknown",
"gbif","1.90659970032093e-314",,"2024-08-06 16:12:02",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/122880352","122880352",,"Enéas V. Gouvêa Junior",,,,,"PRESENT",,,,,,"2022-06-21T14:08","2022","6","21","2022/06/21 14:08",,,,,,"BR","São Paulo",,,"Parque Ecológico do Tietê, SP","Parque Ecológico do Tietê, SP",,,"-23.495176","-46.519442","200",,,,,,,,"272239891",,,"Enéas V. Gouvêa Junior",,"2022-06-22 00:08:43",,"143422","Ageratum conyzoides",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Asterales",,"Asteraceae",,,,"Ageratum","Ageratum",,,"conyzoides",,,"species",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Ageratum conyzoides","Ageratum conyzoides L.","Ageratum conyzoides L.","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"BR",,,,,"EPSG:4326",,,,"L.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Gouvea Junior, E.V.",,"2022","Gouvea Junior, E.V.","2022",,"Gouvea Junior",,"brazil","sao paulo","parque ecologico do tiete","parque ecologico do tiete",,"locality","brazil_sao paulo_parque ecologico tiete","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-23.495176,-46.519442,"coord_original","miliseconds",685379,"Low","coord_original","check_local.2state","Ageratum conyzoides","L.","name_w_authors","Asteraceae","Ageratum conyzoides","L.","species","name accepted","bfo-15934",,,"Ageratum conyzoides L.","Ageratum","Asteraceae","low","Ageratum conyzoides"
"speciesLink",,,"2013-02-07T10:17:53",,,"145",,"UMC","HUMC",,"S",,,,"3324","086","Castrisana, A.S; Lei",,,,,,,,,,,,"2006","05","13",,,,,,,,"São Paulo","Mogi das Cruzes","Mogi das Cruzes","Distrito César de Souza prox. da Indústria Café S Locla ensolrado, solo úmido, várzea.",,,,"-23.533611","-46.146667",,,,,,,,,,,,,,,,,"Eupatorium sp.",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Eupatorium",,,,"sp.",,,,,,,,,,,,,,"Eupatorium sp.",,,,,,,"Brazil","740","740",,,,,"23S32'01""","46W08'48""",,"Splink",,,,,,,,,,,"Southern America",,,,,,,,,,,,,,,,,,"HUMC",,"Castrisana, A.S.","086","2006",,,"Lei","Castrisana",,"brazil","sao paulo","mogi das cruzes","distrito cesar de souza prox",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.533611,-46.146667,"coord_original","seconds",1003344,"Low","coord_original","check_local.2municip.","Agrimonia","L.","indet","Asteraceae|Rosaceae","Agrimonia","L.","genus","+1 name, but 1 accepted","bfo-116397","Agrimonia","L.","Agrimonia L.","Agrimonia","Asteraceae|Rosaceae","unknown",
"speciesLink",,,"2013-02-07T10:18:23",,,"145",,"UMC","HUMC",,"S",,,,"2214","indet","indet.",,,,,,,,,,,,,,,,,,,,,,"São Paulo","Mogi das Cruzes","Mogi das Cruzes","Cesár de Souza. B. Rio Acima. APA da Várzea",,,,"-23.533889","-46.145278",,,,,,,,,,,,,,,,,"Alchornea triplinervia",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Alchornea",,,,"triplinervia",,,,,,,,,,,,,,"Alchornea triplinervia",,,,,,,"Brazil",,,,,,,"23S32'02""","46W08'43""",,"Splink",,,,,,,,,,,"Southern America",,,,,,,,,,,,,,,,,,"HUMC",,"Indet.",,,,,,"Indet.",,"brazil","sao paulo","mogi das cruzes","cesar de souza",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge",TRUE,-23.533889,-46.145278,"coord_original","seconds",1078671,"Low","coord_original","check_local.2municip.","Alchornea triplinervia","(Spreng.) Müll.Arg.","possibly_ok","Euphorbiaceae","Alchornea triplinervia","(Spreng.) Müll.Arg.","species","name accepted","bfo-17458",,,"Alchornea triplinervia (Spreng.) Müll.Arg.","Alchornea","Euphorbiaceae","unknown","Alchornea triplinervia"
"gbif","1.67570881725826e-314",,"2024-08-04 21:54:04",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/74087600","74087600",,"Luciano Bernardes",,,,,"PRESENT",,,,,,"2015-11-11","2015","11","11","2015/11/11",,,,,,"BR","São Paulo",,,"Parque Ecológico do Tietê, São Paulo - SP, Brasil","Parque Ecológico do Tietê, São Paulo - SP, Brasil",,,"-23.496074","-46.527264","121",,,,,,,,"212521660",,,"inatural156",,"2021-10-08 19:19:23",,"338131","Allamanda blanchetii",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Gentianales",,"Apocynaceae",,,,"Allamanda","Allamanda",,,"blanchetii",,,"species",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Allamanda blanchetii","Allamanda blanchetii A.DC.","Allamanda blanchetii A.DC.","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"BR",,,,,"EPSG:4326",,,,"A.DC.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Bernardes, L.",,"2015","Inatural","2021",,"Bernardes",,"brazil","sao paulo","parque ecologico do tiete","parque ecologico do tiete",,"locality","brazil_sao paulo_parque ecologico tiete","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-23.496074,-46.527264,"coord_original","miliseconds",674516,"Low","coord_original","check_local.2state","Allamanda blanchetii","A.DC.","name_w_authors","Apocynaceae","Allamanda blanchetii","A.DC.","species","name accepted","bfo-15539",,,"Allamanda blanchetii A.DC.","Allamanda","Apocynaceae","low","Allamanda blanchetii"
"speciesLink",,,"2025-01-10T15:22:08",,,"16",,"UNESP-IBB","BOTU",,"PreservedSpecimen",,,,"1993","16","Tajiri, N.S.",,,,,,,,,,,,"1971","09","11",,,,,,,,"São Paulo","Itaquaquecetuba","Itaquaquecetuba",,,,,"-23.48","-46.34",,"8753",,,,,,,,,,,,,,,"Allium neapolitanum",,,,,,,"Plantae",,,,,"Liliaceae",,,,"Allium",,,,"neapolitanum",,,,,,,,,,,,,,"Allium neapolitanum",,,,,,,"Brasil",,,,,,,,,"Cirillo","Splink",,,,,,,,,,"BOTU001993","América",,,,,,,,,,,,,,,,,,"BOTU",,"Tajiri, N.S.","16","1971",,,,"Tajiri",,"brazil","sao paulo","itaquaquecetuba",,,"municipality","brazil_sao paulo_itaquaquecetuba","brazil_sao paulo_itaquaquecetuba",-23.46138962,-46.3344174,"county","brazil_sao paulo_itaquaquecetuba","Brazil","São Paulo","Itaquaquecetuba",,"ibge",TRUE,-23.48,-46.34,"coord_original","miliseconds",1457700,"Low","coord_original","ok_same_resolution","Allium neapolitanum","Cirillo","possibly_ok","Amaryllidaceae","Allium neapolitanum","Cirillo","species","name accepted","bfo-611755",,,"Allium neapolitanum Cirillo","Allium","Amaryllidaceae","unknown","Allium neapolitanum"
"gbif","2.05637266284805e-314",,"2023-07-19 10:06:00",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/168122330","168122330",,"biazoli",,,,,"PRESENT",,,,,,"2023-06-18T14:01:51","2023","6","18","2023-06-18 14:01:51-03:00",,,,,,"BR","São Paulo",,,"Alameda Araraquara, Santana De Parnaíba, SP, BR","Alameda Araraquara, Santana De Parnaíba, SP, BR",,,"-23.476807","-46.871804","10",,,,,,,,"376171463",,,"Daniel Arai Lyons",,"2023-06-18 18:12:29",,"154466","Alpinia purpurata",,,,,,,"Plantae","Tracheophyta","Liliopsida","Zingiberales",,"Zingiberaceae",,,,"Alpinia","Alpinia",,,"purpurata",,,"species",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Alpinia purpurata","Alpinia purpurata (Vieill.) K.Schum.","Alpinia purpurata (Vieill.) K.Schum.","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"BR",,,,,"EPSG:4326",,,,"(Vieill.) K.Schum.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Biazoli",,"2023","Lyons, D.A.","2023",,"Biazoli",,"brazil","sao paulo","alameda araraquara","santana de parnaiba",,"locality","brazil_sao paulo_alameda araraquara","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-23.476807,-46.871804,"coord_original","miliseconds",761655,"Low","coord_original","check_local.2state","Alpinia purpurata","(Vieill.) K.Schum.","name_w_authors","Zingiberaceae","Alpinia purpurata","(Vieill.) K.Schum.","species","name accepted","bfo-110702",,,"Alpinia purpurata (Vieill.) K.Schum.","Alpinia","Zingiberaceae","low","Alpinia purpurata"
"gbif","1.13753298116906e-314","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4986605",,"PhysicalObject",,,,"UFRN","UFRN",,"PRESERVED_SPECIMEN",,,"4986605","UFRN00024909","15","Oliveira, M.V.M.",,,,,"PRESENT",,,,,,"2017-06-02","2017","6","2","2017-06-02",,,,,,"BR","São Paulo",,"Guarulhos","Várze do Tietê.",,,,"-23.478611","-46.515556",,,,,,,,,,,,"Francener, A.",,"2017-07-15",,,"Alternanthera tenella Colla",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales",,"Amaranthaceae",,,,"Alternanthera","Alternanthera",,,"tenella",,,"species",,"SYNONYM",,"15e887a4-973c-4b84-b421-ca65584a4c75",,,TRUE,FALSE,"Alternanthera ficoidea","Alternanthera ficoidea (L.) R.Br.","Alternanthera tenella Colla","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/2/49/9/ufrn00024909.dzi","Brasil",,,,,,,,,"Colla","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UFRN",,"Oliveira, M.V.M.","15","2017","Francener, A.","2017",,"Oliveira",,"brazil","sao paulo","guarulhos","varze do tiete",,"locality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county","brazil_sao paulo_guarulhos","Brazil","São Paulo","Guarulhos",,"ibge",TRUE,-23.478611,-46.515556,"coord_original","seconds",404821,"Low","coord_original","check_local.2municip.","Alternanthera tenella","Colla","name_w_authors","Amaranthaceae","Alternanthera tenella","Colla","species","name accepted","bfo-4304",,,"Alternanthera tenella Colla","Alternanthera","Amaranthaceae","low","Alternanthera tenella"
