"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","recordID","confidenceLocality","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,,"2024-08-06T09:15:06",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"39887","977","F.M.Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza",,,,,,,,,,,,"2007","11","28",,,,,,,,"SP","Bauru","Bauru","Estação Ecológica de Bauru",,,,"-22.238889","-49.079444",,,,,,,,,,,,"G.A.D.C. Franco",,"2008-01-11",,,"Actinostemon concepcionis",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales",,"Euphorbiaceae",,,,"Actinostemon",,,,"concepcionis",,,,,,,,,,,,,,"Actinostemon concepcionis",,,,,,,"Brasil","495","495",,,,,,,"(Chodat & Hassl.) Hochr.","Splink","11",,,"01",,"2008",,,,"SPSF00039887","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","977","2007","Franco, G.A.D.C.","2008","Ivanauskas, N.M.; Guerin, N.; Dario, A.; Souza, D.","Souza",,"brazil","sao paulo","bauru","estacao ecologica de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.238889,-49.079444,"coord_original","seconds",1002138,"High","check_local.2municip.","Actinostemon concepcionis","(Chodat & Hassl.) Hochr.","possibly_ok","Euphorbiaceae","Actinostemon concepcionis","(Chodat & Hassl.) Hochr.","species","name accepted","bfo-29144",,,"Actinostemon concepcionis (Chodat & Hassl.) Hochr.","Actinostemon","Euphorbiaceae","medium","Actinostemon concepcionis"
"speciesLink",,,"2024-08-06T09:15:06",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"39886","976","F.M de Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza",,,,,,,,,,,,"2007","11","28",,,,,,,,"SP","Bauru","Bauru","Estação Ecológica de Bauru",,,,"-22.238889","-49.079444",,,,,,,,,,,,"G.A.D.C.Franco",,"2008-01-11",,,"Actinostemon concolor",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales",,"Euphorbiaceae",,,,"Actinostemon",,,,"concolor",,,,,,,,,,,,,,"Actinostemon concolor",,,,,,,"Brasil","495","495",,,,,,,"((Spreng.)) Müll.Arg.","Splink","11",,,"01",,"2008",,,,"SPSF00039886","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","976","2007","Franco, G.A.D.C.","2008","Ivanauskas, N.M.; Guerin, N.; Dario, A.; Souza, D.","Souza",,"brazil","sao paulo","bauru","estacao ecologica de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.238889,-49.079444,"coord_original","seconds",988794,"High","check_local.2municip.","Actinostemon concolor","(Spreng.) Müll.Arg.","possibly_ok","Euphorbiaceae","Actinostemon concolor","(Spreng.) Müll.Arg.","species","author misspelled","bfo-17448",,,"Actinostemon concolor (Spreng.) Müll.Arg.","Actinostemon","Euphorbiaceae","medium","Actinostemon concolor"
"speciesLink",,,"2024-08-06T09:13:44",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"39910","1000","F.M.Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza",,,,,,,,,,,,"2007","11","28",,,,,,,,"SP","Bauru","Bauru","Estação Ecológica de Bauru",,,,"-22.228889","-49.080278",,,,,,,,,,,,"G.A.D.C. Franco",,"2008-01-11",,,"Albizia hassleri",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Fabales",,"Fabaceae",,,,"Albizia",,,,"hassleri",,,,,,,,,,,,,,"Albizia hassleri",,,,,,,"Brasil","573","573",,,,,,,"Chodat","Splink","11",,,"01",,"2008",,,,"SPSF00039910","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","1000","2007","Franco, G.A.D.C.","2008","Ivanauskas, N.M.; Guerin, N.; Dario, A.; Souza, D.","Souza",,"brazil","sao paulo","bauru","estacao ecologica de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.228889,-49.080278,"coord_original","seconds",988890,"High","check_local.2municip.","Albizia niopoides","(Spruce ex Benth.) Burkart","possibly_ok","Fabaceae","Albizia niopoides","(Spruce ex Benth.) Burkart","species","author misspelled|replaced synonym","bfo-82616","Albizia niopoides","(Spruce ex Benth.) Burkart","Albizia niopoides (Spruce ex Benth.) Burkart","Albizia","Fabaceae","medium","Albizia niopoides"
"speciesLink",,,"2024-08-06T09:13:01",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"39895","985","F.M.Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza",,,,,,,,,,,,"2007","11","28",,,,,,,,"SP","Bauru","Bauru","Estação Ecológica de Bauru",,,,"-22.238889","-49.079444",,,,,,,,,,,,"A.V.Suzuki",,"2024-06-03",,,"Aristolochia triangularis",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Aristolochiales",,"Aristolochiaceae",,,,"Aristolochia",,,,"triangularis",,,,,,,,,,,,,,"Aristolochia triangularis",,,,,,,"Brasil","573","573",,,,,,,"Cham. & Schltdl.","Splink","03",,,"06",,"2024",,,,"SPSF00039895","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","985","2007","Suzuki, A.V.","2024","Ivanauskas, N.M.; Guerin, N.; Dario, A.; Souza, D.","Souza",,"brazil","sao paulo","bauru","estacao ecologica de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.238889,-49.079444,"coord_original","seconds",989206,"High","check_local.2municip.","Aristolochia triangularis","Cham. & Schltdl.","possibly_ok","Aristolochiaceae","Aristolochia triangularis","Cham. & Schltdl.","species","name accepted","bfo-80586",,,"Aristolochia triangularis Cham. & Schltdl.","Aristolochia","Aristolochiaceae","low","Aristolochia triangularis"
"speciesLink",,,"2024-08-06T09:13:06",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"39914","1004","F.M.Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza",,,,,,,,,,,,"2007","11","28",,,,,,,,"SP","Bauru","Bauru","Estação Ecológica de Bauru",,,,"-22.235278","-49.085",,,,,,,,,,,,"N.M.Ivanauskas",,"2008-01-11",,,"Baccharis dracunculifolia",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Asterales",,"Asteraceae",,,,"Baccharis",,,,"dracunculifolia",,,,,,,,,,,,,,"Baccharis dracunculifolia",,,,,,,"Brasil","530","530",,,,,,,"DC.","Splink","11",,,"01",,"2008",,,,"SPSF00039914","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","1004","2007","Ivanauskas, N.M.","2008","Ivanauskas, N.M.; Guerin, N.; Dario, A.; Souza, D.","Souza",,"brazil","sao paulo","bauru","estacao ecologica de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.235278,-49.085,"coord_original","miliseconds",1002719,"High","check_local.2municip.","Baccharis dracunculifolia","DC.","possibly_ok","Asteraceae","Baccharis dracunculifolia","DC.","species","name accepted","bfo-5177",,,"Baccharis dracunculifolia DC.","Baccharis","Asteraceae","medium","Baccharis dracunculifolia"
"speciesLink",,,"2024-08-06T09:13:45",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"39905","995","F.M.Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza",,,,,,,,,,,,"2007","11","28",,,,,,,,"SP","Bauru","Bauru","Estação Ecológica de Bauru",,,,"-22.234444","-49.073889",,,,,,,,,,,,"G.A.D.C. Franco",,"2008-01-11",,,"Bauhinia bongardii",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Fabales",,"Fabaceae",,,,"Bauhinia",,,,"bongardii",,,,,,,,,,,,,,"Bauhinia bongardii",,,,,,,"Brasil","613","613",,,,,,,,"Splink","11",,,"01",,"2008",,,,"SPSF00039905","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","995","2007","Franco, G.A.D.C.","2008","Ivanauskas, N.M.; Guerin, N.; Dario, A.; Souza, D.","Souza",,"brazil","sao paulo","bauru","estacao ecologica de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.234444,-49.073889,"coord_original","seconds",1002841,"High","check_local.2municip.","Bauhinia brevipes","Vogel","possibly_ok","Fabaceae","Bauhinia brevipes","Vogel","species","replaced synonym","bfo-82657","Bauhinia brevipes","Vogel","Bauhinia brevipes Vogel","Bauhinia","Fabaceae","medium","Bauhinia brevipes"
"speciesLink",,,"2025-06-01T12:04:39",,,"224",,"UNB","UB",,"PreservedSpecimen",,,,,"988","Souza, FM; Ivanauskas, NM; Guerin, N; Dário, A; Souza, D",,,,,,,,,,,,"2007","11","28",,,,,,,,"São Paulo","Bauru","Bauru","Estação Ecológica de Bauru. Seguindo pela estrada após o experimento de peroba (sentido leste). SAD69, Zona 22K.",,,,"-49.0794445","-22.2388889",,,,,,,,,,,,"Toledo, CAP",,"2017-5-13",,,"Bernardinia fluminensis",,,,,,,"Plantae",,,,,"Connaraceae",,,,"Bernardinia",,,,"fluminensis",,,,,,,,,,,,,,"Bernardinia fluminensis",,,,,,,"Brasil","573","573",,,,,"49º4'46''S","22º14'20''W","(Gardner) Planch.","Splink","13",,,"5",,"2017",,,,"UB1172437",,,,,,,,,,,,,,,,,,,"UB","code not found","Souza, F.M.","988","2007","Toledo, C.A.P.","2017","Ivanauskas, N.M.; Guerin, N.; Dario, A.; Souza, D.","Souza",,"brazil","sao paulo","bauru","estacao ecologica de bauru, seguindo pela estrada apos o experimento de peroba",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-49.0794445,-22.2388889,"coord_original","miliseconds",1576608,"High","check_local.2municip.","Bernardinia fluminensis","(Gardner) Planch.","possibly_ok","Connaraceae","Bernardinia fluminensis","(Gardner) Planch.","species","name accepted","bfo-6945",,,"Bernardinia fluminensis (Gardner) Planch.","Bernardinia","Connaraceae","high","Bernardinia fluminensis"
"speciesLink",,,"2024-08-06T09:13:46",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"39896","986","F.M.Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza",,,,,,,,,,,,"2007","11","28",,,,,,,,"SP","Bauru","Bauru","Estação Ecológica de Bauru",,,,"-22.238889","-49.079444",,,,,,,,,,,,"G.A.D.C. Franco",,"2008-04-23",,,"Calliandra foliolosa",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Fabales",,"Fabaceae",,,,"Calliandra",,,,"foliolosa",,,,,,,,,,,,,,"Calliandra foliolosa",,,,,,,"Brasil","573","573",,,,,,,"Benth.","Splink","23",,,"04",,"2008",,,,"SPSF00039896","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","986","2007","Franco, G.A.D.C.","2008","Ivanauskas, N.M.; Guerin, N.; Dario, A.; Souza, D.","Souza",,"brazil","sao paulo","bauru","estacao ecologica de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.238889,-49.079444,"coord_original","seconds",968254,"High","check_local.2municip.","Calliandra foliolosa","Benth.","possibly_ok","Fabaceae","Calliandra foliolosa","Benth.","species","name accepted","bfo-30945",,,"Calliandra foliolosa Benth.","Calliandra","Fabaceae","medium","Calliandra foliolosa"
"speciesLink",,,"2024-08-06T09:15:42",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"39900","990","F.M.Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza",,,,,,,,,,,,"2007","11","28",,,,,,,,"SP","Bauru","Bauru","Estação Ecológica de Bauru",,,,"-22.238889","-49.079444",,,,,,,,,,,,"G.A.D.C. Franco",,"2008-01-11",,,"Campomanesia guazumifolia",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales",,"Myrtaceae",,,,"Campomanesia",,,,"guazumifolia",,,,,,,,,,,,,,"Campomanesia guazumifolia",,,,,,,"Brasil","573","573",,,,,,,"(Camb.) O.Berg","Splink","11",,,"01",,"2008",,,,"SPSF00039900","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","990","2007","Franco, G.A.D.C.","2008","Ivanauskas, N.M.; Guerin, N.; Dario, A.; Souza, D.","Souza",,"brazil","sao paulo","bauru","estacao ecologica de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.238889,-49.079444,"coord_original","seconds",990013,"High","check_local.2municip.","Campomanesia guazumifolia","(Cambess.) O.Berg","possibly_ok","Myrtaceae","Campomanesia guazumifolia","(Cambess.) O.Berg","species","author misspelled","bfo-10316",,,"Campomanesia guazumifolia (Cambess.) O.Berg","Campomanesia","Myrtaceae","medium","Campomanesia guazumifolia"
"speciesLink",,,"2024-08-06T09:13:39",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"39892","982","F.M.Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza",,,,,,,,,,,,"2007","11","28",,,,,,,,"SP","Bauru","Bauru","Estação Ecológica de Bauru",,,,"-22.236667","-49.076667",,,,,,,,,,,,"G.A.D.C. Franco",,"2008-01-11",,,"Celtis iguanaea",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Fabales",,"Cannabaceae",,,,"Celtis",,,,"iguanaea",,,,,,,,,,,,,,"Celtis iguanaea",,,,,,,"Brasil","554","554",,,,,,,"(Jacq.) Sarg.","Splink","11",,,"01",,"2008",,,,"SPSF00039892","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","982","2007","Franco, G.A.D.C.","2008","Ivanauskas, N.M.; Guerin, N.; Dario, A.; Souza, D.","Souza",,"brazil","sao paulo","bauru","estacao ecologica de bauru",,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county","brazil_sao paulo_bauru","Brazil","São Paulo","Bauru",,"ibge",TRUE,-22.236667,-49.076667,"coord_original","seconds",968509,"High","check_local.2municip.","Celtis iguanaea","(Jacq.) Sarg.","possibly_ok","Cannabaceae","Celtis iguanaea","(Jacq.) Sarg.","species","name accepted","bfo-106890",,,"Celtis iguanaea (Jacq.) Sarg.","Celtis","Cannabaceae","medium","Celtis iguanaea"
