"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","verbatimBasisOfRecord","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","recordID","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","tax.check","species.new"
"speciesLink",,,"2024-07-19T09:10:07",,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN",,,,"397009","54","Mendonça Souza, LR; et al.",,,,,,,,,,,,"2005","07","11",,,,,,,,"São Paulo","Paulo de Faria","Paulo de Faria","estrada de acesso à Estação Ecológica Paulo de Faria",,,,"-20.030001","-49.380001",,"29574",,,,,,,,,,"Pederneiras, LC",,"2024-06-28",,,"Ficus crocata",,,,,,,"Plantae",,,,,"Moraceae",,,,"Ficus",,,,"crocata",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0","(Miq.) Miq.","Splink","PreservedSpecimen","28",,,"06",,"2024",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Souza, L.R.M.","54","2005","Pederneiras, L.C.","2024",,"Souza",,"brazil","sao paulo","paulo de faria","estrada de acesso a estacao ecologica paulo de faria",,"locality","brazil_sao paulo_paulo faria","brazil_sao paulo_paulo faria",-20.0664665,-49.46368847,"county","brazil_sao paulo_paulo faria","Brazil","São Paulo","Paulo de Faria",,"ibge","check_local.2municip.","Ficus crocata","(Miq.) Miq.","possibly_ok","Moraceae","Ficus crocata","(Miq.) Miq.","species","name accepted","bfo-127834",,,"Ficus crocata (Miq.) Miq.","Ficus","Moraceae",1221054,"TRUE","-20.030001",-49.380001,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Ficus crocata"
"speciesLink",,,"2025-02-04T08:01:34",,,"15",,"UNESP-RC","HRCB",,"PRESERVED_SPECIMEN",,,,"39307","212","Tomasetto, F.",,,,,,,,,,,,"2002","01","17",,,,,,,,"São Paulo","Paulo de Faria","Paulo de Faria","Estação Ecológica de Paulo de Faria Abrangendo uma área de 435,73 há",,,,"-19.916667","-49.516667",,,,,,,,,,,,"O.L.M. Silva",,"2018-NA-NA",,,"Astraea gracilis",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Astraea",,,,"gracilis",,,,,,,,,,,,,,,,,,,,,"Brasil","500","500",,,,,"19º55'S","49º31'W","(Müll. Arg.) O.L.M. Silva & Cordeiro","Splink","PreservedSpecimen",,,,,,"2018",,,,"HRCB039307",,,,,,,,,,,,,,,,,,,"HRCB",,"Tomasetto, F.","212","2002","Silva, O.L.M.","2018",,"Tomasetto",,"brazil","sao paulo","paulo de faria","estacao ecologica de paulo de faria abrangendo uma area de 435",,"locality","brazil_sao paulo_paulo faria","brazil_sao paulo_paulo faria",-20.0664665,-49.46368847,"county","brazil_sao paulo_paulo faria","Brazil","São Paulo","Paulo de Faria",,"ibge","check_local.2municip.","Astraea gracilis","(Müll.Arg.) O.L.M. Silva & Cordeiro","possibly_ok","Euphorbiaceae","Astraea gracilis","(Müll.Arg.) O.L.M. Silva & Cordeiro","species","author misspelled","bfo-604906",,,"Astraea gracilis (Müll.Arg.) O.L.M. Silva & Cordeiro","Astraea","Euphorbiaceae",1112551,"TRUE","-19.916667",-49.516667,"coord_original","minutes","ok_county",,,"ok_dist","full_name_match","High","locality_exact","high","Astraea gracilis"
"speciesLink",,,"2024-08-06T09:15:42",,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN",,,,"33797","229","F.Tomasetto & A.A. Rezende",,,,,,,,,,,,"2002","01","23",,,,,,,,"SP","Paulo de Faria","Paulo de Faria","Estação Ecológica",,,,"-20.030001","-49.380001",,"29574",,,,,,,,,,"O.T. Aguiar",,"2016-06-30",,,"Campomanesia guazumifolia",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales",,"Myrtaceae",,,,"Campomanesia",,,,"guazumifolia",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,,,"(Cambess.) O.Berg","Splink","PreservedSpecimen","30",,,"06",,"2016",,,,"SPSF00033797","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Tomasetto, F.","229","2002","Aguiar, O.T.","2016","Rezende, A.A.","Tomasetto",,"brazil","sao paulo","paulo de faria","estacao ecologica",,"locality","brazil_sao paulo_paulo faria_estacao ecologica","brazil_sao paulo_paulo faria_eec paulo faria",-19.9573,-49.535873,"locality","brazil_sao paulo_paulo faria_eec paulo faria","Brazil","São Paulo","Paulo de Faria","EEc de Paulo de Faria","treeco","ok_same_resolution","Campomanesia guazumifolia","(Cambess.) O.Berg","possibly_ok","Myrtaceae","Campomanesia guazumifolia","(Cambess.) O.Berg","species","name accepted","bfo-10316",,,"Campomanesia guazumifolia (Cambess.) O.Berg","Campomanesia","Myrtaceae",1082298,"TRUE","-20.030001",-49.380001,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Campomanesia guazumifolia"
"speciesLink",,,"2024-12-05T15:05:59",,,"48",,"UEL","FUEL",,"PRESERVED_SPECIMEN",,,,"43823","207","Tomasetto, F; Rezende, AA",,,,,,,,,,,,"2002","01","17",,,,,,,,"São Paulo","Paulo de Faria","Paulo de Faria","Estação Ecológica de Paulo de Faria, interior da mata",,,,"-19.916667","-49.516667",,,,,,,,,,,,"Guimarães, EF",,"2009-08-11",,,"Piper arboreum arboreum",,,,,,,"Plantae","Tracheophyta",,"Piperales",,"Piperaceae",,,,"Piper",,,,"arboreum","arboreum",,,,,,,,,,,,,,,,,,,,"Brasil","500","500",,,,,"-19.916667","-49.516667","Aubl.","Splink","PreservedSpecimen","11",,,"08",,"2009",,,,"FUEL021962",,,,,,,,,,,,,,,,,,,"FUEL",,"Tomasetto, F.","207","2002","Guimaraes, E.F.","2009","Rezende, A.A.","Tomasetto",,"brazil","sao paulo","paulo de faria","estacao ecologica de paulo de faria",,"locality","brazil_sao paulo_paulo faria_estacao ecologica paulo faria","brazil_sao paulo_paulo faria_eec paulo faria",-19.9573,-49.535873,"locality","brazil_sao paulo_paulo faria_eec paulo faria","Brazil","São Paulo","Paulo de Faria","EEc de Paulo de Faria","treeco","ok_same_resolution","Piper arboreum var. arboreum","Aubl.","not_Genus_epithet_format","Piperaceae","Piper arboreum var. arboreum","Aubl.","variety","name misspelled","bfo-120632",,,"Piper arboreum var. arboreum Aubl.","Piper","Piperaceae",1493498,"TRUE","-19.916667",-49.516667,"coord_original","minutes","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Piper arboreum"
"speciesLink",,,"2021-12-09T11:05:40",,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN",,,,"357786","224","Tomasetto, F; et al.",,,,,,,,,,,,"2002","12","05",,,,,,,,"São Paulo","Paulo de Faria","Paulo de Faria","Estação Ecológica de Paulo de Faria, Interior da mata",,,,"-20.030001","-49.380001",,"29574",,,,,,,,,,"Cordeiro, I",,"2005-04-NA",,,"Manihot anomala",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Manihot",,,,"anomala",,,,,,,,,,,,,,,,,,,,,"Brasil","500","500",,,,,"0","0","Pohl","Splink","PreservedSpecimen",,,,"04",,"2005",,,,"SP0357786",,,,,,,,,,,,,,,,,,,"SP",,"Tomasetto, F.","224","2002","Cordeiro, I.","2005",,"Tomasetto",,"brazil","sao paulo","paulo de faria","estacao ecologica de paulo de faria",,"locality","brazil_sao paulo_paulo faria_estacao ecologica paulo faria","brazil_sao paulo_paulo faria_eec paulo faria",-19.9573,-49.535873,"locality","brazil_sao paulo_paulo faria_eec paulo faria","Brazil","São Paulo","Paulo de Faria","EEc de Paulo de Faria","treeco","ok_same_resolution","Manihot anomala","Pohl","possibly_ok","Euphorbiaceae","Manihot anomala","Pohl","species","name accepted","bfo-17593",,,"Manihot anomala Pohl","Manihot","Euphorbiaceae",1213308,"TRUE","-20.030001",-49.380001,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Manihot anomala"
"speciesLink",,,"2023-09-15T15:18:51",,,"64",,"IAC","IAC",,"PRESERVED_SPECIMEN",,,,"42111","204","Tomasetto & Rezende",,,,,,,,,,,,"2002","01","17",,,,,,,,"São Paulo","Paulo de Faria","Paulo de Faria","Estação Ecológica de Paulo de Faria",,,,"-20.0308","-49.3833",,,,,,,,,,,,"R.B. Torres",,"2005-04-17",,,"Casearia mariquitensis",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales",,"Salicaceae",,,,"Casearia",,,,"mariquitensis",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"-20.0308","-49.3833","Kunth","Splink","PreservedSpecimen","17",,,"04",,"2005",,,,,,,,,,,,,,,,,,,,,,,"IAC",,"Tomasetto","204","2002","Torres, R.B.","2005","Rezende","Tomasetto",,"brazil","sao paulo","paulo de faria","estacao ecologica de paulo de faria",,"locality","brazil_sao paulo_paulo faria_estacao ecologica paulo faria","brazil_sao paulo_paulo faria_eec paulo faria",-19.9573,-49.535873,"locality","brazil_sao paulo_paulo faria_eec paulo faria","Brazil","São Paulo","Paulo de Faria","EEc de Paulo de Faria","treeco","ok_same_resolution","Casearia mariquitensis","Kunth","possibly_ok","Salicaceae","Casearia mariquitensis","Kunth","species","name accepted","bfo-14375",,,"Casearia mariquitensis Kunth","Casearia","Salicaceae",1010417,"TRUE","-20.0308",-49.3833,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Casearia mariquitensis"
"speciesLink",,,"2021-12-09T11:05:54",,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN",,,,"357842","225","Tomasetto, F; Rezende, AA; Taroda, N",,,,,,,,,,,,"2002","12","05",,,,,,,,"São Paulo","Paulo de Faria","Paulo de Faria","Estação Ecológica de Paulo de Faria, abrangendo uma área de 435,73 ha; interior da mata",,,,"-19.916667","-49.516667",,,,,,,,,,,,"Cordeiro, I",,"2002-07-NA",,,"Sapium haematospermum",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Sapium",,,,"haematospermum",,,,,,,,,,,,,,,,,,,,,"Brasil","500","500",,,,,"-19.916667","-49.516667","Müll.Arg.","Splink","PreservedSpecimen",,,,"07",,"2002",,,,"SP0357842",,,,,,,,,,,,,,,,,,,"SP",,"Tomasetto, F.","225","2002","Cordeiro, I.","2002","Rezende, A.A.; Taroda, N.","Tomasetto",,"brazil","sao paulo","paulo de faria","estacao ecologica de paulo de faria",,"locality","brazil_sao paulo_paulo faria_estacao ecologica paulo faria","brazil_sao paulo_paulo faria_eec paulo faria",-19.9573,-49.535873,"locality","brazil_sao paulo_paulo faria_eec paulo faria","Brazil","São Paulo","Paulo de Faria","EEc de Paulo de Faria","treeco","ok_same_resolution","Sapium haematospermum","Müll.Arg.","possibly_ok","Euphorbiaceae","Sapium haematospermum","Müll.Arg.","species","name accepted","bfo-36210",,,"Sapium haematospermum Müll.Arg.","Sapium","Euphorbiaceae",1194387,"TRUE","-19.916667",-49.516667,"coord_original","minutes","ok_county",,0,"bad_dist","full_name_match","High","locality_exact","high","Sapium haematospermum"
"speciesLink",,,"2025-02-04T08:01:43",,,"15",,"UNESP-RC","HRCB",,"PRESERVED_SPECIMEN",,,,"39311","225","Tomasetto, F.",,,,,,,,,,,,"2002","12","05",,,,,,,,"São Paulo","Paulo de Faria","Paulo de Faria","Estação Ecológica de Paulo de Faria Abrangendo uma área de 435,73 há",,,,"-19.916667","-49.516667",,,,,,,,,,,,"Cordeiro, I.",,"2002-07-16",,,"Sapium glandulosum",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Sapium",,,,"glandulosum",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"19º55'S","49º31'W","(L.) Morong","Splink","PreservedSpecimen","16",,,"07",,"2002",,,,"HRCB039311",,,,,,,,,,,,,,,,,,,"HRCB",,"Tomasetto, F.","225","2002","Cordeiro, I.","2002",,"Tomasetto",,"brazil","sao paulo","paulo de faria","estacao ecologica de paulo de faria abrangendo uma area de 435",,"locality","brazil_sao paulo_paulo faria","brazil_sao paulo_paulo faria",-20.0664665,-49.46368847,"county","brazil_sao paulo_paulo faria","Brazil","São Paulo","Paulo de Faria",,"ibge","check_local.2municip.","Sapium glandulosum","(L.) Morong","possibly_ok","Euphorbiaceae","Sapium glandulosum","(L.) Morong","species","name accepted","bfo-17664",,,"Sapium glandulosum (L.) Morong","Sapium","Euphorbiaceae",1139162,"TRUE","-19.916667",-49.516667,"coord_original","minutes","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Sapium glandulosum"
"speciesLink",,,"2024-12-05T15:04:52",,,"48",,"UEL","FUEL",,"PRESERVED_SPECIMEN",,,,"43816","230","Tomasetto, F; Rezende, AA",,,,,,,,,,,,"2002","01","23",,,,,,,,"São Paulo","Paulo de Faria","Paulo de Faria","Estação Ecológica de Paulo de Faria, abrangendo um, Interior da mata",,,,"-19.916667","-49.516667",,,,,,,,,,,,"Jung-Mendaçolli, SL",,"2002-04-25",,,"Hamelia patens",,,,,,,"Plantae","Tracheophyta",,"Gentianales",,"Rubiaceae",,,,"Hamelia",,,,"patens",,,,,,,,,,,,,,,,,,,,,"Brasil","500","500",,,,,"-19.916667","-49.516667","Jacq.","Splink","PreservedSpecimen","25",,,"04",,"2002",,,,,,,,,,,,,,,,,,,,,,,"FUEL",,"Tomasetto, F.","230","2002","Jung-Mendacolli, S.L.","2002","Rezende, A.A.","Tomasetto",,"brazil","sao paulo","paulo de faria","estacao ecologica de paulo de faria",,"locality","brazil_sao paulo_paulo faria_estacao ecologica paulo faria","brazil_sao paulo_paulo faria_eec paulo faria",-19.9573,-49.535873,"locality","brazil_sao paulo_paulo faria_eec paulo faria","Brazil","São Paulo","Paulo de Faria","EEc de Paulo de Faria","treeco","ok_same_resolution","Hamelia patens","Jacq.","possibly_ok","Rubiaceae","Hamelia patens","Jacq.","species","name accepted","bfo-14059",,,"Hamelia patens Jacq.","Hamelia","Rubiaceae",1493047,"TRUE","-19.916667",-49.516667,"coord_original","minutes","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Hamelia patens"
"speciesLink",,,"2024-12-05T15:05:28",,,"48",,"UEL","FUEL",,"PRESERVED_SPECIMEN",,,,"43824","219","Tomasetto, F; Rezende, AA; Taroda, N",,,,,,,,,,,,"2002","12","05",,,,,,,,"São Paulo","Paulo de Faria","Paulo de Faria","Estação Ecológica de Paulo de Faria, abrangendo um, Interior da mata",,,,"-19.916667","-49.516667",,,,,,,,,,,,"Torres, RB",,"2002-03-20",,,"Casearia aculeata",,,,,,,"Plantae","Tracheophyta",,"Malpighiales",,"Salicaceae",,,,"Casearia",,,,"aculeata",,,,,,,,,,,,,,,,,,,,,"Brasil","500","500",,,,,"-19.916667","-49.516667","Jacq.","Splink","PreservedSpecimen","20",,,"03",,"2002",,,,,,,,,,,,,,,,,,,,,,,"FUEL",,"Tomasetto, F.","219","2002","Torres, R.B.","2002","Rezende, A.A.; Taroda, N.","Tomasetto",,"brazil","sao paulo","paulo de faria","estacao ecologica de paulo de faria",,"locality","brazil_sao paulo_paulo faria_estacao ecologica paulo faria","brazil_sao paulo_paulo faria_eec paulo faria",-19.9573,-49.535873,"locality","brazil_sao paulo_paulo faria_eec paulo faria","Brazil","São Paulo","Paulo de Faria","EEc de Paulo de Faria","treeco","ok_same_resolution","Casearia aculeata","Jacq.","possibly_ok","Salicaceae","Casearia aculeata","Jacq.","species","name accepted","bfo-14362",,,"Casearia aculeata Jacq.","Casearia","Salicaceae",1496312,"TRUE","-19.916667",-49.516667,"coord_original","minutes","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Casearia aculeata"
