"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","recordID","confidenceLocality","selectionCategory","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"user",,,,,,,,"K","K",,,,,,"K000632894","1655","Riedel",,,,,,,,,,,,,,,,,,"[in paludosis] Recd. 11/73",,,,,,,"[ad Rio Tamanduaté et prope Araracoara]",,,,"0","0",,,,,,,,,,,"não","Sem determinador",,,,,"Andropogon hypogynus Hack.",,,,,,,,,,,,"Poaceae",,,,"Andropogon",,,,,,,"species",,,,,,,,,"hypogynus",,"Andropogon hypogynus Hack.",,,,,,,"Brazil",,,,,,,,,"Hack.","Reflora",,,,,,,,,,,,,,,,"K",,,,,,,,"METRO",,,,,"K",,"Riedel","1655",,"Determinador, S.",,,"Riedel",,"brazil",,,"[ad rio tamanduate et prope araracoara]",,"country","brazil","brazil",-10.74257447,-53.08032013,"country","brazil","Brazil",,,,"gdam",TRUE,-10.74257447,-53.08032013,"coord_gazet","seconds_centroid",1757713,"High","locality_exact","ok_same_resolution","Andropogon hypogynus","Hack.","name_w_authors","Poaceae","Andropogon hypogynus","Hack.","species","name accepted","bfo-12963",,,"Andropogon hypogynus Hack.","Andropogon","Poaceae","high","Andropogon hypogynus"
"user",,,,,,,,"CRI","CRI",,,,,,"CRI008209","629","A. Stival-Santos",,,,,,,,,,,,"2009","04","20",,,,,,,,,,"São","Parque Estadual das Araucárias.",,"746",,"-26.4652777777778","-52.5641666666667",,,,,,,,,,,"não","A. L. de Gasper",,"12/05/2009",,,"Asplenium claussenii Hieron.",,,,,,,,,,,,"Aspleniaceae",,,,"Asplenium",,,,,,,"species",,,,,,,,,"claussenii",,"Asplenium claussenii Hieron.",,,,,,,"Brasil",,,,,,,"26º 27' 55"""" S","52º 33' 51"""" W","Hieron.","Reflora",,,,,,,,,,,,,,,,"CRI",,"CRI 9868",,"S. Silveira","20/04/2009",,,"METRO",,,,,"CRI",,"Stival-Santos, A.","629","2009","Gasper, A.L.","2009",,"Stival-Santos",,"brazil",,"sao","parque estadual das araucarias",,"country","brazil","brazil",-10.74257447,-53.08032013,"country","brazil","Brazil",,,,"gdam",TRUE,-26.4652777777778,-52.5641666666667,"coord_original","miliseconds",1659077,"High","locality_exact","ok_same_resolution","Asplenium claussenii","Hieron.","name_w_authors","Aspleniaceae","Asplenium claussenii","Hieron.","species","name accepted","bfo-90690",,,"Asplenium claussenii Hieron.","Asplenium","Aspleniaceae","high","Asplenium claussenii"
"speciesLink",,,"2017-09-11T17:07:44",,,"370",,"UnB","HBVIRTFLBRAS",,"O",,,,,"s.n.","Lund, PW",,,,,,,,,,,,,,,,,,,,,,"São Paulo","Araraquara","Araraquara","In S. Paulo in fruticetis palustribus camporum prope Araracoara",,,,"-21.79","-48.17",,"29178",,,,,,,,,,,,,,,"Baccharis vernonioides",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Baccharis",,,,"vernonioides",,,,,,,,,,,,,,"Baccharis vernonioides",,,,,,,"Brazil",,,,,,,"0","0","DC.","Splink",,,,,,,,,,,"Southern America",,,,,,,,,,,,,,,,,,"HBVIRTFLBRAS","code not found","Lund, P.W.",,,,,,"Lund",,"brazil","sao paulo","araraquara","in s",,"locality","brazil_sao paulo_araraquara","brazil_sao paulo_araraquara",-21.79072857,-48.18132787,"county","brazil_sao paulo_araraquara","Brazil","São Paulo","Araraquara",,"ibge",TRUE,-21.79,-48.17,"coord_original","miliseconds",1117472,"High","locality_exact","check_local.2municip.","Baccharis rufidula","(Spreng.) Joch.Müll.","possibly_ok","Asteraceae","Baccharis rufidula","(Spreng.) Joch.Müll.","species","replaced synonym","bfo-5244","Baccharis rufidula","(Spreng.) Joch.Müll.","Baccharis rufidula (Spreng.) Joch.Müll.","Baccharis","Asteraceae","unknown","Baccharis rufidula"
"speciesLink",,,"2017-09-11T17:13:17",,,"370",,"UnB","HBVIRTFLBRAS",,"O",,,,,"s.n.","Lund, PW",,,,,,,,,,,,,,,,,,,,,,"São Paulo",,,"inter Mugy et S. Paulo prope Araracoara",,,,"0","0",,,,,,,,,,,,,,,,,"Borreria poaya genuina",,,,,,,"Plantae",,,,,"Rubiaceae",,,,"Borreria",,,,"poaya","genuina",,,,,,,,,,,,,"Borreria poaya genuina",,,,,,,"Brazil",,,,,,,"0","0","K.Schum.","Splink",,,,,,,,,,,"Southern America",,,,,,,,,,,,,,,,,,"HBVIRTFLBRAS","code not found","Lund, P.W.",,,,,,"Lund",,"brazil","sao paulo","inter mugy et s","inter mugy et s",,"locality","brazil_sao paulo_inter mugy et s","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",FALSE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid",1117885,"High","locality_exact","check_local.2state","Borreria poaya","(A.St.-Hil.) DC.","not_Genus_epithet_format","Rubiaceae","Borreria poaya","(A.St.-Hil.) DC.","species","name misspelled|replaced synonym","bfo-32539","Borreria poaya","(A.St.-Hil.) DC.","Borreria poaya (A.St.-Hil.) DC.","Borreria","Rubiaceae","unknown","Borreria poaya"
"gbif","1.86990933112467e-314",,"2024-12-05 12:25:52",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/116845155","116845155",,"Nelson Wisnik",,,,,"PRESENT",,,,,,"2022-05-12T08:16","2022","5","12","2022/05/12 8:16 AM",,,,,,"BR","São Paulo",,,"Valinhos, SP, 13274-465, Brasil","Valinhos, SP, 13274-465, Brasil",,,"-23.013282","-47.072112",,,,,,,,,"259923840",,,"Victor Farjalla Pontes",,"2022-05-13 18:07:22",,"83966","Cecropia glaziovii",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Rosales",,"Urticaceae",,,,"Cecropia","Cecropia",,,"glaziovii",,,"species",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage;StillImage;StillImage",TRUE,FALSE,"Cecropia glaziovii","Cecropia glaziovii Snethl.","Cecropia glaziovii Snethl.","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","LC",,"BR",,,,,"EPSG:4326",,,,"Snethl.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Wisnik, N.",,"2022","Pontes, V.F.","2022",,"Wisnik",,"brazil","sao paulo","valinhos","valinhos",,"locality","brazil_sao paulo_valinhos","brazil_sao paulo_valinhos",-22.975078,-46.98110903,"county","brazil_sao paulo_valinhos","Brazil","São Paulo","Valinhos",,"ibge",TRUE,-23.013282,-47.072112,"coord_original","miliseconds",682838,"Low","coord_original","check_local.2municip.","Cecropia glaziovii","Snethl.","name_w_authors","Urticaceae","Cecropia glaziovii","Snethl.","species","name accepted","bfo-15039",,,"Cecropia glaziovii Snethl.","Cecropia","Urticaceae","low","Cecropia glaziovii"
"speciesLink",,,"2022-10-26T19:20:00",,,"201",,"US","US",,"PreservedSpecimen",,,,"US 3411083","2412","F. de Barros",,,,,,,,,,,,"1992","1","22",,,,,,,,"São Paulo",,,"Segipe, Aracaju, Praia de Atalaia Velha.",,,,"0","0",,,,,,,,,,,,,,,,,"Chamaecrista ramosa ramosa",,,,,,,"Plantae",,"Dicotyledonae","Fabales",,"Fabaceae",,,,"Chamaecrista",,,,"ramosa","ramosa",,,,,,,,,,,,,"Chamaecrista ramosa ramosa",,,,,,,"Brazil",,,,,,,,,"(Vogel) H.S. Irwin & Barneby","Splink",,,,,,,,,,"US00673343","South America - Neotropics",,,,,,,,,,,,,,,,,,"US",,"Barros, F.","2412","1992",,,,"Barros",,"brazil","sao paulo","segipe","segipe",,"locality","brazil_sao paulo_segipe","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid",1548275,"High","locality_exact","check_local.2state","Chamaecrista ramosa var. ramosa","(Vogel) H.S.Irwin & Barneby","variety","Fabaceae","Chamaecrista ramosa var. ramosa","(Vogel) H.S.Irwin & Barneby","variety","author misspelled","bfo-82922",,,"Chamaecrista ramosa var. ramosa (Vogel) H.S.Irwin & Barneby","Chamaecrista","Fabaceae","unknown","Chamaecrista ramosa"
"speciesLink",,,"2025-02-07T11:45:44",,,"176",,"UEM","HUEM",,"PreservedSpecimen",,,,"1835","s.n.","N. Taroda; N. Figueredo; L.S.K. Gouvea; J.Y. Tamshiro",,,,,,,,,,,,"1985","05","16",,,,,,,,"São Paulo","Valinhos","Valinhos","Reserva ARA Inst. Florestal",,,,"-23.010222","-47.066222",,,,,,,,,,,,"Dora",,"2021-06-NA",,,"Chamissoa altissima",,,,,,,"Plantae",,,,,"Amaranthaceae",,,,"Chamissoa",,,,"altissima",,,,,,,,,,,,,,"Chamissoa altissima",,,,,,,"Brasil",,,,,,,"-23.010222","-47.066222","(Jacq.) Kunth","Splink",,,,"06",,"2021",,,,"HUEM000000266",,,,,,,,,,,,,,,,,,,"HUEM",,"Taroda, N.",,"1985","Dora","2021","Figueredo, N.; Gouvea, L.S.K.; Tamshiro, J.Y.","Taroda",,"brazil","sao paulo","valinhos","reserva ara inst",,"locality","brazil_sao paulo_valinhos","brazil_sao paulo_valinhos",-22.975078,-46.98110903,"county","brazil_sao paulo_valinhos","Brazil","São Paulo","Valinhos",,"ibge",TRUE,-23.010222,-47.066222,"coord_original","miliseconds",1543135,"Low","coord_original","check_local.2municip.","Chamissoa altissima","(Jacq.) Kunth","possibly_ok","Amaranthaceae","Chamissoa altissima","(Jacq.) Kunth","species","name accepted","bfo-4310",,,"Chamissoa altissima (Jacq.) Kunth","Chamissoa","Amaranthaceae","low","Chamissoa altissima"
"gbif","2.45954524500355e-314",,"2024-11-02 20:21:33",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/244068568","244068568",,"Juliana A. de Oliveira",,,,,"PRESENT",,,,,,"2024-04-27T14:26:22","2024","4","27","2024-04-27 14:26:22",,,,,,"BR","São Paulo",,,"Estrada Padre Modesto Nunes, 13, Valinhos - SP, 13279-471, Brasil","Estrada Padre Modesto Nunes, 13, Valinhos - SP, 13279-471, Brasil",,,"-23.00875","-47.0669","219",,,,,,,,"559603077",,,"G.O. Paschoalini",,"2024-11-01 18:41:15",,"1419321","Conchocarpus ruber",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Sapindales",,"Rutaceae",,,,"Conchocarpus","Conchocarpus",,,"ruber",,,"species",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage;StillImage;StillImage;StillImage",TRUE,FALSE,"Conchocarpus ruber","Conchocarpus ruber (A.St.-Hil.) Bruniera & Groppo","Conchocarpus ruber (A.St.-Hil.) Bruniera & Groppo","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"BR",,,,,"EPSG:4326",,,,"(A.St.-Hil.) Bruniera & Groppo","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Oliveira, J.A.",,"2024","Paschoalini, G.O.","2024",,"Oliveira",,"brazil","sao paulo","estrada padre modesto nunes","estrada padre modesto nunes",,"locality","brazil_sao paulo_estrada padre modesto nunes","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",TRUE,-23.00875,-47.0669,"coord_original","miliseconds",895184,"Low","coord_original","check_local.2state","Conchocarpus ruber","(A.St.Hil.) Bruniera & Groppo","name_w_authors","Rutaceae","Conchocarpus ruber","(A.St.Hil.) Bruniera & Groppo","species","author misspelled","bfo-605146",,,"Conchocarpus ruber (A.St.Hil.) Bruniera & Groppo","Conchocarpus","Rutaceae","low","Conchocarpus ruber"
"gbif","1.86987570501682e-314",,"2022-05-26 11:35:02",,,,,"iNaturalist","Observations","iNaturalist research-grade observations","HUMAN_OBSERVATION",,,"https://www.inaturalist.org/observations/116844982","116844982",,"Nelson Wisnik",,,,,"PRESENT",,,,,,"2022-05-12T08:15","2022","5","12","2022/05/12 8:15 AM",,,,,,"BR","São Paulo",,,"Valinhos, SP, 13274-465, Brasil","Valinhos, SP, 13274-465, Brasil",,,"-23.01328","-47.072065",,,,,,,,,"259893703",,,"Nelson Wisnik",,"2022-05-13 16:00:23",,"191896","Epiphyllum phyllanthus",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales",,"Cactaceae",,,,"Epiphyllum","Epiphyllum",,,"phyllanthus",,,"species",,"ACCEPTED",,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage;StillImage",TRUE,FALSE,"Epiphyllum phyllanthus","Epiphyllum phyllanthus (L.) Haw.","Epiphyllum phyllanthus (L.) Haw.","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","LC",,"BR",,,,,"EPSG:4326",,,,"(L.) Haw.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observations","code not found","Wisnik, N.",,"2022","Wisnik, N.","2022",,"Wisnik",,"brazil","sao paulo","valinhos","valinhos",,"locality","brazil_sao paulo_valinhos","brazil_sao paulo_valinhos",-22.975078,-46.98110903,"county","brazil_sao paulo_valinhos","Brazil","São Paulo","Valinhos",,"ibge",TRUE,-23.01328,-47.072065,"coord_original","miliseconds",682816,"Low","coord_original","check_local.2municip.","Epiphyllum phyllanthus","(L.) Haw.","name_w_authors","Cactaceae","Epiphyllum phyllanthus","(L.) Haw.","species","name accepted","bfo-1512",,,"Epiphyllum phyllanthus (L.) Haw.","Epiphyllum","Cactaceae","low","Epiphyllum phyllanthus"
"speciesLink",,,"2017-09-11T17:06:45",,,"370",,"UnB","HBVIRTFLBRAS",,"O",,,,,"2170","Riedel, L",,,,,,,,,,,,,,,,,,,,,,"São Paulo",,,"prope Araracoara",,,,"0","0",,,,,,,,,,,,,,,,,"Eryngium junceum juncifolim",,,,,,,"Plantae",,,,,"Apiaceae",,,,"Eryngium",,,,"junceum","juncifolim",,,,,,,,,,,,,"Eryngium junceum juncifolim",,,,,,,"Brazil",,,,,,,"0","0","Urb.","Splink",,,,,,,,,,,"Southern America",,,,,,,,,,,,,,,,,,"HBVIRTFLBRAS","code not found","Riedel, L.","2170",,,,,"Riedel",,"brazil","sao paulo","prope araracoara","prope araracoara",,"locality","brazil_sao paulo_prope araracoara","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam",FALSE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid",1120514,"High","locality_exact","check_local.2state","Eryngium juncifolium","(Urb.) Mathias & Constance","not_Genus_epithet_format","Apiaceae","Eryngium juncifolium","(Urb.) Mathias & Constance","species","name misspelled|replaced synonym","bfo-26421","Eryngium juncifolium","(Urb.) Mathias & Constance","Eryngium juncifolium (Urb.) Mathias & Constance","Eryngium","Apiaceae","unknown","Eryngium juncifolium"
