"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","verbatimBasisOfRecord","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","recordID","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","tax.check","species.new"
"speciesLink",,,"2024-10-10T12:13:30",,,"165",,"UFPB","EAN",,"PRESERVED_SPECIMEN",,,,"29439","4563",,,,,,,,,,,,,"2015","10","25",,,,,,,,"São Paulo","Cajati","Cajati","Parque Estadual do Rio Turvo",,,,"-17","-39.577222",,,,,,,,,,,,"P. Fiaschi",,"2023-01-NA",,,"Oxalis pardoensis",,,,,,,"Plantae",,,,,"Oxalidaceae",,,,"Oxalis",,,,"pardoensis",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"17°00'00""S","39° 34' 38,2""W","(Lourteig) T.Costa & Fiaschi","Splink","PreservedSpecimen",,,,"01",,"2023",,,,,,,,,,,,,,,,,,,,,,,"EAN",,,"4563","2015","Fiaschi, P.","2023",,,,"brazil","sao paulo","cajati","parque estadual do rio turvo",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Oxalis pardoensis","(Lourteig) T.Costa & Fiaschi","possibly_ok","Oxalidaceae","Oxalis pardoensis","(Lourteig) T.Costa & Fiaschi","species","name accepted","bfo-630694",,,"Oxalis pardoensis (Lourteig) T.Costa & Fiaschi","Oxalis","Oxalidaceae",1075599,"TRUE","-17",-39.577222,"coord_original","seconds","ok_country",,0,"ok_dist","full_name_match","High","locality_exact","high","Oxalis pardoensis"
"speciesLink",,,"2021-12-09T11:15:30",,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN",,,,"454412","3024","Shirasuna, RT; Guaratini, MTG",,,,,,,,,,,,"2012","04","19",,,,,,,,"São Paulo","Barra do Turvo","Barra do Turvo","Parque Estadual do Rio Turvo",,,,"-24.936361","-48.295472",,,,,,,,,,,,,,,,,"Apoclada simplex",,,,,,,"Plantae",,,,,"Poaceae",,,,"Apoclada",,,,"simplex",,,,,,,,,,,,,,,,,,,,,"Brasil","678","678",,,,,"-24.936361","-48.295472","McClure & L.B.Sm.","Splink","PreservedSpecimen",,,,,,,,,,"SP040544",,,,,,,,,,,,,,,,,,,"SP",,"Shirasuna, R.T.","3024","2012",,,"Guaratini, M.T.G.","Shirasuna",,"brazil","sao paulo","barra do turvo","parque estadual do rio turvo",,"locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county","brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","check_local.2municip.","Apoclada simplex","McClure & L.B.Sm.","possibly_ok","Poaceae","Apoclada simplex","McClure & L.B.Sm.","species","name accepted","bfo-12986",,,"Apoclada simplex McClure & L.B.Sm.","Apoclada","Poaceae",1151308,"TRUE","-24.936361",-48.295472,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Apoclada simplex"
"speciesLink",,,"2022-09-02T10:29:03",,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN",,,,"420272","2853","Shirasuna, RT; et al.",,,,,,,,,,,,"2010","07","13",,,,,,,,"São Paulo","Barra do Turvo","Barra do Turvo","Parque Estadual do Rio Turvo, Rodovia Regis Bittencourt, km 535, trilha atrás do alojamento do Instituto Florestal, base do Cedro.",,,,"-24.968167","-48.414583",,,,,,,,,,,,"Shirasuna, RT",,"2022-08-NA",,,"Merostachys multiramea",,,,,,,"Plantae",,,,,"Poaceae",,,,"Merostachys",,,,"multiramea",,,,,,,,,,,,,,,,,,,,,"Brasil","660","660",,,,,"-24.968167","-48.414583","Hack.","Splink","PreservedSpecimen",,,,"08",,"2022",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Shirasuna, R.T.","2853","2010","Shirasuna, R.T.","2022",,"Shirasuna",,"brazil","sao paulo","barra do turvo","parque estadual do rio turvo, rodovia regis bittencourt","parque estadual do rio turvo","locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county","brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","check_local.2municip.","Merostachys multiramea","Hack.","possibly_ok","Poaceae","Merostachys multiramea","Hack.","species","name accepted","bfo-13339",,,"Merostachys multiramea Hack.","Merostachys","Poaceae",1204704,"TRUE","-24.968167",-48.414583,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Merostachys multiramea"
"speciesLink",,,"2025-05-30T15:58:42",,,"204",,"UEFS","HUEFS",,"PRESERVED_SPECIMEN",,,,"176408","2846","Shirasuna, R.T.",,,,,,,,,,,,"2010","07","13",,,,,,,,"São Paulo","Barra do Turvo","Barra do Turvo","Parque Estadual do Rio Turvo, Rodovia Regis Bittencourt, Km 535, trilha atrás do alojamento do Instituto Florestal, base do Cedro.",,,,"-24.968056","-48.401389",,,,,,,,,,,,"A.C.Mota",,"2013-10-NA",,,"Chusquea oligophylla",,,,,,,"Plantae","Angiospermae","Lilianae","Poales",,"Poaceae",,,,"Chusquea",,,,"oligophylla",,,,,,,,,,,,,,,,,,,,,"Brasil","660","660",,,,,"24Â°58'5''S","48Â°24'5''W","Rupr.","Splink","PreservedSpecimen",,,,"10",,"2013",,,,"HUEFS0176408",,,,,,,,,,,,,,,,,,,"HUEFS",,"Shirasuna, R.T.","2846","2010","Mota, A.C.","2013",,"Shirasuna",,"brazil","sao paulo","barra do turvo","parque estadual do rio turvo, rodovia regis bittencourt","parque estadual do rio turvo","locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county","brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","check_local.2municip.","Chusquea oligophylla","Rupr.","possibly_ok","Poaceae","Chusquea oligophylla","Rupr.","species","name accepted","bfo-13109",,,"Chusquea oligophylla Rupr.","Chusquea","Poaceae",1567152,"TRUE","-24.968056",-48.401389,"coord_original","seconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Chusquea oligophylla"
"speciesLink",,,"2021-12-09T11:20:26",,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN",,,,"423540","2847","Shirasuna, RT; et al.",,,,,,,,,,,,"2010","07","13",,,,,,,,"São Paulo","Barra do Turvo","Barra do Turvo","Parque Estadual do Rio Turvo, Rodovia Regis Bittencourt, Km 535, trilha atrás do alojamento do Instituto Florestal, base do Cedro",,,,"-24.968889","-48.414722",,,,,,,,,,,,"Gaglioti, AL",,"2010-09-29",,,"Urera nitida",,,,,,,"Plantae",,,,,"Urticaceae",,,,"Urera",,,,"nitida",,,,,,,,,,,,,,,,,,,,,"Brasil","660","660",,,,,"-24.968889","-48.414722","(Vell.) P.Brack","Splink","PreservedSpecimen","29",,,"09",,"2010",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Shirasuna, R.T.","2847","2010","Gaglioti, A.L.","2010",,"Shirasuna",,"brazil","sao paulo","barra do turvo","parque estadual do rio turvo, rodovia regis bittencourt","parque estadual do rio turvo","locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county","brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","check_local.2municip.","Urera nitida","(Vell.) P.Brack","possibly_ok","Urticaceae","Urera nitida","(Vell.) P.Brack","species","name accepted","bfo-15078",,,"Urera nitida (Vell.) P.Brack","Urera","Urticaceae",1211934,"TRUE","-24.968889",-48.414722,"coord_original","seconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Urera nitida"
"speciesLink",,,"2021-12-09T11:15:50",,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN",,,,"420266","2852","Shirasuna, RT; Abreu, L; Markowitsch, CJ; Paz, AM",,,,,,,,,,,,"2010","07","13",,,,,,,,"São Paulo","Barra do Turvo","Barra do Turvo","Parque Estadual do Rio Turvo, Rodovia Regis Bittencourt km 535, trilh atrás do alojamento do Instituto Florestal, base do Cedro, floresta ombrófila densa.",,,,"-24.968056","-48.414444",,,,,,,,,,,,"Shirasuna, RT",,"2010-NA-NA",,,"Chusquea meyeriana",,,,,,,"Plantae",,,,,"Poaceae",,,,"Chusquea",,,,"meyeriana",,,,,,,,,,,,,,,,,,,,,"Brasil","660","660",,,,,"-24.968056","-48.414444","Rupr. ex Döll","Splink","PreservedSpecimen",,,,,,"2010",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Shirasuna, R.T.","2852","2010","Shirasuna, R.T.","2010","Abreu, L.; Markowitsch, C.J.; Paz, A.M.","Shirasuna",,"brazil","sao paulo","barra do turvo","parque estadual do rio turvo, rodovia regis bittencourt km 535","parque estadual do rio turvo","locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county","brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","check_local.2municip.","Chusquea meyeriana","Rupr. ex Döll","possibly_ok","Poaceae","Chusquea meyeriana","Rupr. ex Döll","species","name accepted","bfo-13104",,,"Chusquea meyeriana Rupr. ex Döll","Chusquea","Poaceae",1252963,"TRUE","-24.968056",-48.414444,"coord_original","seconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Chusquea meyeriana"
"speciesLink",,,"2021-12-09T11:15:50",,,"1",,"IBt","SP",,,,,,"420269a","2855","Shirasuna, RT; et al.",,,,,,,,,,,,"2010","07","14",,,,,,,,"São Paulo","Barra do Turvo","Barra do Turvo","Parque Estadual do Rio Turvo, Próximo ao km 534 da Rodovia Régis Bittencourt",,,,"-24.919944","-48.258972",,,,,,,,,,,,"Shirasuna, RT",,"2010-07-NA",,,"Chusquea leptophylla",,,,,,,"Plantae",,,,,"Poaceae",,,,"Chusquea",,,,"leptophylla",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"-24.919944","-48.258972","Nees","Splink","Extra",,,,"07",,"2010",,,,"SP042473",,,,,,,,,,,,,,,,,,,"SP",,"Shirasuna, R.T.","2855","2010","Shirasuna, R.T.","2010",,"Shirasuna",,"brazil","sao paulo","barra do turvo","parque estadual do rio turvo, proximo ao km 534 da rodovia regis bittencourt","parque estadual do rio turvo","locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county","brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","check_local.2municip.","Chusquea leptophylla","Nees","possibly_ok","Poaceae","Chusquea leptophylla","Nees","species","name accepted","bfo-13103",,,"Chusquea leptophylla Nees","Chusquea","Poaceae",1171306,"TRUE","-24.919944",-48.258972,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Chusquea leptophylla"
"speciesLink",,,"2024-12-16T22:42:48",,,"220",,"UFMG","BHCB",,"PRESERVED_SPECIMEN",,,,"222329","2856","Shirasuna, RT; Abreu, L; Markowitsch, CJ; Paz, AM",,,,,,,,,,,,"2010","07","14",,,,,,,,"São Paulo","Barra do Turvo","Barra do Turvo","Parque Estadual do Rio Turvo, próximo ao Km 534 da Rodovia Régis Bittencourt.",,,,"-24.920278","-48.25925",,,,,,,,,,,,,,"2010-07-NA",,,"Aulonemia lanciflora",,,,,,,"Plantae","Monocotyledon",,,,"Poaceae",,,,"Aulonemia",,,,"lanciflora",,,,,,,,,,,,,,,,,,,,,"Brasil","674","674",,,,,"-24.920278","-48.25925","McClure & L.B.Sm.","Splink","PreservedSpecimen",,,,"07",,"2010",,,,"BHCB222329","Southern America",,,,,,,,,,,,,,,,,,"BHCB",,"Shirasuna, R.T.","2856","2010",,"2010","Abreu, L.; Markowitsch, C.J.; Paz, A.M.","Shirasuna",,"brazil","sao paulo","barra do turvo","parque estadual do rio turvo, proximo ao km 534 da rodovia regis bittencourt","parque estadual do rio turvo","locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county","brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","check_local.2municip.","Aulonemia lanciflora","McClure & L.B.Sm.","possibly_ok","Poaceae","Aulonemia lanciflora","McClure & L.B.Sm.","species","name accepted","bfo-124034",,,"Aulonemia lanciflora McClure & L.B.Sm.","Aulonemia","Poaceae",1129983,"TRUE","-24.920278",-48.25925,"coord_original","seconds","ok_county",,,"bad_dist","full_name_match","High","locality_exact","high","Aulonemia lanciflora"
"speciesLink",,,"2021-12-09T11:15:36",,,"1",,"IBt","SP",,"PRESERVED_SPECIMEN",,,,"420267","2850","Shirasuna, RT; Abreu, L; Markowitsch, CJ; Paz, AM",,,,,,,,,,,,"2010","07","13",,,,,,,,"São Paulo","Barra do Turvo","Barra do Turvo","Parque Estadual do Rio Turvo, Rodovia Régis Bittencourt, km 535, trilha atrás do alojamento do Instituto Florestal, base do Cedro",,,,"-24.968056","-48.401389",,,,,,,,,,,,"Shirasuna, RT",,"2010-NA-NA",,,"Aulonemia aristulata",,,,,,,"Plantae",,,,,"Poaceae",,,,"Aulonemia",,,,"aristulata",,,,,,,,,,,,,,,,,,,,,"Brasil","660","660",,,,,"-24.968056","-48.401389","(Döll) McClure","Splink","PreservedSpecimen",,,,,,"2010",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Shirasuna, R.T.","2850","2010","Shirasuna, R.T.","2010","Abreu, L.; Markowitsch, C.J.; Paz, A.M.","Shirasuna",,"brazil","sao paulo","barra do turvo","parque estadual do rio turvo, rodovia regis bittencourt","parque estadual do rio turvo","locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county","brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","check_local.2municip.","Aulonemia aristulata","(Döll) McClure","possibly_ok","Poaceae","Aulonemia aristulata","(Döll) McClure","species","name accepted","bfo-13024",,,"Aulonemia aristulata (Döll) McClure","Aulonemia","Poaceae",1248366,"TRUE","-24.968056",-48.401389,"coord_original","seconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","high","Aulonemia aristulata"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN",,,,"429777","1569","Canestraro, BK; Lozano, ED; Koga, ML",,,,,,,,,,,,"2019","7","31",,,,,,,,"São Paulo","Cajati","Cajati","Parque Estadual do Rio Turvo, Barra do Azeite, Rio do Azeite.",,,,"-24.73","-48.119999",,"24646",,,,,,,,,,"Della, AP",,"2022-9-16",,,"Doryopteris concolor",,,,,,,"Plantae",,,,,"Pteridaceae",,,,"Doryopteris",,,,"concolor",,,,,,,,,,,,,,,,,,,,,"Brazil",,,,,,,"-25.338472","-48.269664","(Langsd. & Fisch.) Kuhn & Decken","Splink","PreservedSpecimen","16",,,"9",,"2022",,,,"MBM429777",,,,,,,,,,,,,,,,,,,"MBM",,"Canestraro, B.K.","1569","2019",", A.","2022","Lozano, E.D.; Koga, M.L.","Canestraro",,"brazil","sao paulo","cajati","parque estadual do rio turvo",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Doryopteris concolor","(Langsd. & Fisch.) Kuhn & Decken","possibly_ok","Pteridaceae","Doryopteris concolor","(Langsd. & Fisch.) Kuhn & Decken","species","name accepted","bfo-91899",,,"Doryopteris concolor (Langsd. & Fisch.) Kuhn & Decken","Doryopteris","Pteridaceae",1490617,"TRUE","-24.73",-48.119999,"coord_original","miliseconds","ok_county",,0,"ok_dist","full_name_match","High","locality_exact","low","Doryopteris concolor"
