"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","recordID","confidenceLocality","selectionCategory","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"gbif","2.47019069714053e-314","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6568090",,,"92.242.080/0001-00",,,"PEL","PEL",,"PRESERVED_SPECIMEN",,,"6568090","PEL00004514",,"R.R. Rodrigues",,,,,"PRESENT",,,,,,"1993-05-28","1993","5","28","1993-05-28",,,,,,"BR","São Paulo",,"São Roque","Mata da Câmara",,,,,,,,,,,,,,,,,"F. França",,,,,"Aegiphila integrifolia (Jacq.) Moldenke",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",,"Lamiaceae",,,,"Aegiphila","Aegiphila",,,"integrifolia",,,"species",,"SYNONYM",,"f15facfb-b1da-4fdd-b4cb-94a850ee6b0b",,,FALSE,FALSE,"Aegiphila integrifolia","Aegiphila integrifolia (Jacq.) B.D.Jacks.","Aegiphila integrifolia (Jacq.) Moldenke","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/pel/pel/0/0/45/14/pel00004514.dzi","Brasil",,,,,,,,,"(Jacq.) Moldenke","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PEL",,"Rodrigues, R.R.",,"1993","Franca, F.",,,"Rodrigues",,"brazil","sao paulo","sao roque","mata da camara",,"locality","brazil_sao paulo_sao roque_mata camara","brazil_sao paulo_sao roque_pnm mata camara",-23.526126,-47.104079,"locality","brazil_sao paulo_sao roque_pnm mata camara","Brazil","São Paulo","São Roque","PNM da Mata da Câmara","treeco",TRUE,-23.526126,-47.104079,"coord_gazet","seconds",900893,"Low","coord_gazet","ok_same_resolution","Aegiphila integrifolia","(Jacq.) Moldenke","name_w_authors","Lamiaceae","Aegiphila integrifolia","(Jacq.) Moldenke","species","name accepted","bfo-23320",,,"Aegiphila integrifolia (Jacq.) Moldenke","Aegiphila","Lamiaceae","high","Aegiphila integrifolia"
"gbif","5.38870500786369e-315",,"2024-12-18 09:13:22",,,"https://specieslink.net/col/15",,"UNESP-RC","HRCB",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/15/23788","23788","309","Cardoso-Leite, E.",,,,,"PRESENT",,,,,,"1994-01-17","1994","1","17",,,,,,,"BR","São Paulo",,"São Roque","Mata da Câmara",,,,,,,,,,,,,,,,,"Lopes, J.C.",,"2009-02-12",,,"Annona emarginata (Schltdl.) H.Rainer",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Magnoliales",,"Annonaceae",,,,"Annona","Annona",,,"emarginata",,,"species",,"ACCEPTED",,"fdf55163-54d8-4bc7-862d-7e41068589e3",,,FALSE,FALSE,"Annona emarginata","Annona emarginata (Schltdl.) H.Rainer","Annona emarginata (Schltdl.) H.Rainer","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC",,"Brasil",,,,,"WGS84",,,,"(Schltdl.) H. Rainer","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HRCB",,"Cardoso-Leite, E.","309","1994","Lopes, J.C.","2009",,"Cardoso-Leite",,"brazil","sao paulo","sao roque","mata da camara",,"locality","brazil_sao paulo_sao roque_mata camara","brazil_sao paulo_sao roque_pnm mata camara",-23.526126,-47.104079,"locality","brazil_sao paulo_sao roque_pnm mata camara","Brazil","São Paulo","São Roque","PNM da Mata da Câmara","treeco",TRUE,-23.526126,-47.104079,"coord_gazet","seconds",151514,"Low","coord_gazet","ok_same_resolution","Annona emarginata","(Schltdl.) H.Rainer","name_w_authors","Annonaceae","Annona emarginata","(Schltdl.) H.Rainer","species","name accepted","bfo-110243",,,"Annona emarginata (Schltdl.) H.Rainer","Annona","Annonaceae","high","Annona emarginata"
"gbif","5.38056326056062e-315",,"2023-03-09 11:26:00",,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/2/80517","80517","242","Cardoso-Leite, E; Oliveira, A",,,,,"PRESENT",,,,,,"1994","1994",,,,,,,,,"BR","São Paulo",,"São Roque","Mata da Câmara.",,,,,,,,,,,,,,,,,"Lopes, JC",,,,,"Annona sylvatica A.St.-Hil.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Magnoliales",,"Annonaceae",,,,"Annona","Annona",,,"sylvatica",,,"species",,"ACCEPTED",,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,FALSE,FALSE,"Annona sylvatica","Annona sylvatica A.St.-Hil.","Annona sylvatica A.St.-Hil.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC","https://images.cria.org.br/viewer/UEC093942","Brazil",,,,,"WGS84",,,,"A.St.-Hil.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UEC",,"Cardoso-Leite, E.","242","1994","Lopes, J.C.",,"Oliveira, A.","Cardoso-Leite",,"brazil","sao paulo","sao roque","mata da camara",,"locality","brazil_sao paulo_sao roque_mata camara","brazil_sao paulo_sao roque_pnm mata camara",-23.526126,-47.104079,"locality","brazil_sao paulo_sao roque_pnm mata camara","Brazil","São Paulo","São Roque","PNM da Mata da Câmara","treeco",TRUE,-23.526126,-47.104079,"coord_gazet","seconds",75482,"Low","coord_gazet","ok_same_resolution","Annona sylvatica","A.St.-Hil.","name_w_authors","Annonaceae","Annona sylvatica","A.St.-Hil.","species","name accepted","bfo-110263",,,"Annona sylvatica A.St.-Hil.","Annona","Annonaceae","high","Annona sylvatica"
"gbif","1.21778753285795e-314",,"2024-12-05 15:04:50",,,"https://specieslink.net/col/48",,"UEL","FUEL",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/48/13412","13412","s.n.","Rodrigues, RR",,,,,"PRESENT",,,,,,"1993-05-28","1993","5","28",,,,,,,"BR","São Paulo",,"São Roque","Mata da Câmara",,,,,,,,,,,,,,,,,"Germano Filho, P",,"1998-01-01",,,"Bathysa australis (A.St.-Hil.) K.Schum.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Gentianales",,"Rubiaceae",,,,"Bathysa","Bathysa",,,"australis",,,"species",,"ACCEPTED",,"78dcee36-b0a2-4679-802d-bc0b5016518b",,,FALSE,FALSE,"Bathysa australis","Bathysa australis (A.St.-Hil.) K.Schum.","Bathysa australis (A.St.-Hil.) K.Schum.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil","0","0",,,"WGS84",,,,"(A.St.-Hil.) Benth. & Hook.f.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FUEL",,"Rodrigues, R.R.",,"1993","Germano Filho, P.","1998",,"Rodrigues",,"brazil","sao paulo","sao roque","mata da camara",,"locality","brazil_sao paulo_sao roque_mata camara","brazil_sao paulo_sao roque_pnm mata camara",-23.526126,-47.104079,"locality","brazil_sao paulo_sao roque_pnm mata camara","Brazil","São Paulo","São Roque","PNM da Mata da Câmara","treeco",TRUE,-23.526126,-47.104079,"coord_gazet","seconds",493338,"Low","coord_gazet","ok_same_resolution","Bathysa australis","(A.St.-Hil.) K.Schum.","name_w_authors","Rubiaceae","Bathysa australis","(A.St.-Hil.) K.Schum.","species","name accepted","bfo-13835",,,"Bathysa australis (A.St.-Hil.) K.Schum.","Bathysa","Rubiaceae","high","Bathysa australis"
"gbif","5.388704859644e-315",,"2024-12-18 09:15:54",,,"https://specieslink.net/col/15",,"UNESP-RC","HRCB",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/15/23727","23727","297","Cardoso Leite, E.",,,,,"PRESENT",,,,,,"1993-12-03","1993","12","3",,,,,,,"BR","São Paulo",,"São Roque","Mata da Câmara",,,,,,,,,,,,,,,,,"Cardoso Leite, E. & Rodrigues, R.R.",,,,,"Bauhinia forficata Link",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Fabales",,"Fabaceae",,,,"Bauhinia","Bauhinia",,,"forficata",,,"species",,"ACCEPTED",,"fdf55163-54d8-4bc7-862d-7e41068589e3",,,FALSE,FALSE,"Bauhinia forficata","Bauhinia forficata Link","Bauhinia forficata Link","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC",,"Brasil",,,,,"WGS84",,,,"Link","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HRCB",,"Leite, E.C.","297","1993","Leite, E.C.",,,"Leite","Rodrigues, R.R.","brazil","sao paulo","sao roque","mata da camara",,"locality","brazil_sao paulo_sao roque_mata camara","brazil_sao paulo_sao roque_pnm mata camara",-23.526126,-47.104079,"locality","brazil_sao paulo_sao roque_pnm mata camara","Brazil","São Paulo","São Roque","PNM da Mata da Câmara","treeco",TRUE,-23.526126,-47.104079,"coord_gazet","seconds",151485,"Low","coord_gazet","ok_same_resolution","Bauhinia forficata","Link","name_w_authors","Fabaceae","Bauhinia forficata","Link","species","name accepted","bfo-82666",,,"Bauhinia forficata Link","Bauhinia","Fabaceae","low","Bauhinia forficata"
"speciesLink",,,"2022-12-30T16:14:39",,,"220",,"UFMG","BHCB",,"PreservedSpecimen",,,,"49450","1533","Barreto, KD; Fernandes, GD; Vitti, FX",,,,,,,,,,,,"1993","10","29",,,,,,,,"São Paulo","São Roque","São Roque","Mata da Câmara",,,,"-23.527083","-47.112444",,,,,,,,,,,,,,"1993-10-NA",,,"Brunfelsia uniflora",,,,,,,"Plantae","Dicotyledon",,,,"Solanaceae",,,,"Brunfelsia",,,,"uniflora",,,,,,,,,,,,,,"Brunfelsia uniflora",,,,,,,"Brasil","0","0",,,,,"-23.527083","-47.112444","(Pohl) D.Don","Splink",,,,"10",,"1993",,,,"BHCB063704","Southern America",,,,,,,,,,,,,,,,,,"BHCB",,"Barreto, K.D.","1533","1993",,"1993","Fernandes, G.D.; Vitti, F.X.","Barreto",,"brazil","sao paulo","sao roque","mata da camara",,"locality","brazil_sao paulo_sao roque_mata camara","brazil_sao paulo_sao roque_pnm mata camara",-23.526126,-47.104079,"locality","brazil_sao paulo_sao roque_pnm mata camara","Brazil","São Paulo","São Roque","PNM da Mata da Câmara","treeco",TRUE,-23.527083,-47.112444,"coord_original","miliseconds",1130181,"Low","coord_original","ok_same_resolution","Brunfelsia uniflora","(Pohl) D.Don","possibly_ok","Solanaceae","Brunfelsia uniflora","(Pohl) D.Don","species","name accepted","bfo-14605",,,"Brunfelsia uniflora (Pohl) D.Don","Brunfelsia","Solanaceae","unknown","Brunfelsia uniflora"
"gbif","5.38056346806819e-315",,"2024-11-25 11:17:22",,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/2/80543","80543","206","Leite, C; Oliveira, A",,,,,"PRESENT",,,,,,"1993-10-01","1993","10","1",,,,,,,"BR","São Paulo",,"São Roque","Mata da Cãmara.&nf;23º 31' 26''S , 47º 06' 45''W.",,,,,,,,,,,,,,,,,,,,,,"Ceiba",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Malvales",,"Malvaceae",,,,"Ceiba","Ceiba",,,,,,"genus",,"ACCEPTED",,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,FALSE,FALSE,,"Ceiba Mill.","Ceiba Mill.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/UEC002439","Brazil",,,,,"WGS84",,,,"Mill.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UEC",,"Leite, C.","206","1993",,,"Oliveira, A.","Leite",,"brazil","sao paulo","sao roque","mata da camara",,"locality","brazil_sao paulo_sao roque_mata camara","brazil_sao paulo_sao roque_pnm mata camara",-23.526126,-47.104079,"locality","brazil_sao paulo_sao roque_pnm mata camara","Brazil","São Paulo","São Roque","PNM da Mata da Câmara","treeco",TRUE,-23.526126,-47.104079,"coord_gazet","seconds",75517,"Low","coord_gazet","ok_same_resolution","Ceiba","Mill.","name_w_authors","Malvaceae","Ceiba","Mill.","genus","name accepted","bfo-9032",,,"Ceiba Mill.","Ceiba","Malvaceae","unknown",
"gbif","5.37349000926719e-315",,"2022-12-30 16:14:39",,,"https://specieslink.net/col/220",,"UFMG","BHCB",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/220/49478","49478","s.n.","Cardoso Leite, E; Oliveira, A",,,,,"PRESENT",,,,,,"1993-10-02","1993","10","2",,,,,,,"BR","São Paulo",,"São Roque","Mata da Câmara",,,,,,,,,,,,,,,,,,,,,,"Cestrum intermedium Sendtn.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Solanales",,"Solanaceae",,,,"Cestrum","Cestrum",,,"intermedium",,,"species",,"ACCEPTED",,"d2470ef8-edfa-4ba7-821e-c3e1a537bdba",,,FALSE,FALSE,"Cestrum intermedium","Cestrum intermedium Sendtn.","Cestrum intermedium Sendtn.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC",,"Brasil","0","0",,,"WGS84",,,,"Sendtn.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BHCB",,"Leite, E.C.",,"1993",,,"Oliveira, A.","Leite",,"brazil","sao paulo","sao roque","mata da camara",,"locality","brazil_sao paulo_sao roque_mata camara","brazil_sao paulo_sao roque_pnm mata camara",-23.526126,-47.104079,"locality","brazil_sao paulo_sao roque_pnm mata camara","Brazil","São Paulo","São Roque","PNM da Mata da Câmara","treeco",TRUE,-23.526126,-47.104079,"coord_gazet","seconds",48851,"Low","coord_gazet","ok_same_resolution","Cestrum intermedium","Sendtn.","name_w_authors","Solanaceae","Cestrum intermedium","Sendtn.","species","name accepted","bfo-14644",,,"Cestrum intermedium Sendtn.","Cestrum","Solanaceae","unknown","Cestrum intermedium"
"gbif","1.2118770680264e-314",,"2021-12-09 11:05:05",,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/1/276639","276639","223","Leite, EC",,,,,"PRESENT",,,,,,"1993-10-02","1993","10","2",,,,,,,"BR","São Paulo",,"São Roque","Mata da Câmara.",,,,,,,,,,,,,,,,,"Cordeiro, I",,,,,"Croton celtidifolius Baill.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales",,"Euphorbiaceae",,,,"Croton","Croton",,,"celtidifolius",,,"species",,"ACCEPTED",,"17efa320-7312-4b55-bf0a-a4cfc4613169",,,FALSE,FALSE,"Croton celtidifolius","Croton celtidifolius Baill.","Croton celtidifolius Baill.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC",,"Brasil",,,,,"WGS84",,,,"Baill.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SP","code not found","Leite, E.C.","223","1993","Cordeiro, I.",,,"Leite",,"brazil","sao paulo","sao roque","mata da camara",,"locality","brazil_sao paulo_sao roque_mata camara","brazil_sao paulo_sao roque_pnm mata camara",-23.526126,-47.104079,"locality","brazil_sao paulo_sao roque_pnm mata camara","Brazil","São Paulo","São Roque","PNM da Mata da Câmara","treeco",TRUE,-23.526126,-47.104079,"coord_gazet","seconds",448159,"Low","coord_gazet","ok_same_resolution","Croton celtidifolius","Baill.","name_w_authors","Euphorbiaceae","Croton celtidifolius","Baill.","species","name accepted","bfo-29180",,,"Croton celtidifolius Baill.","Croton","Euphorbiaceae","high","Croton celtidifolius"
"gbif","5.41252474762064e-315",,"2025-01-01 00:01:03",,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/40/162347","162347","231","Barreto, KD; et al.",,,,,"PRESENT",,,,,,"1993-04-16","1993","4","16",,,,,,,"BR","São Paulo",,"São Roque","Mata da Camara.",,,,,,,,,,,,,,,,,"Rodrigues, RR",,,,,"Cupania vernalis Cambess.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Sapindales",,"Sapindaceae",,,,"Cupania","Cupania",,,"vernalis",,,"species",,"ACCEPTED",,"3b8e9d83-b2d4-4a97-973c-31d98b67b1e9",,,FALSE,FALSE,"Cupania vernalis","Cupania vernalis Cambess.","Cupania vernalis Cambess.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC","https://images.cria.org.br/viewer/MBM162347","Brazil",,,,,"WGS84",,,,"Cambess.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MBM",,"Barreto, K.D.","231","1993","Rodrigues, R.R.",,,"Barreto",,"brazil","sao paulo","sao roque","mata da camara",,"locality","brazil_sao paulo_sao roque_mata camara","brazil_sao paulo_sao roque_pnm mata camara",-23.526126,-47.104079,"locality","brazil_sao paulo_sao roque_pnm mata camara","Brazil","São Paulo","São Roque","PNM da Mata da Câmara","treeco",TRUE,-23.526126,-47.104079,"coord_gazet","seconds",176336,"Low","coord_gazet","ok_same_resolution","Cupania vernalis","Cambess.","name_w_authors","Sapindaceae","Cupania vernalis","Cambess.","species","name accepted","bfo-32717",,,"Cupania vernalis Cambess.","Cupania","Sapindaceae","low","Cupania vernalis"
