"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Aphelandra","chamissoniana","Nees","ACANTHACEAE Aphelandra chamissoniana Nees","159759","Splink","SP",,"201","Native","Bronze","Low",,"Ilha do Cardoso, alto do Morro Três Irmãos"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Aphelandra","liboniana","Linden ex Hook.f.","ACANTHACEAE Aphelandra liboniana Linden ex Hook.f.","244709","Splink","SP",,"829","Native","Ouro","Low",,"Parque Estadual da Ilha do Cardoso"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Aphelandra","neesiana","Wassh.","ACANTHACEAE Aphelandra neesiana Wassh.","HB000010885","Splink","HB",,"s/n","Native","Ouro","Low",,"Costa Sul do estado de São Paulo. Morro de São João, ponto mais alto da ilha."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","SPSF00023746","Splink","SPSF",,"350","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Serra da Juréia, trilha da figueira"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Aphelandra","prismatica","(Vell.) Hiern","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","SPSF00023747","Splink","SPSF",,"784","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Trilha para a Cachoeira do Salto"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Avicennia","schaueriana","Stapf & Leechm. ex Moldenke","ACANTHACEAE Avicennia schaueriana Stapf & Leechm. ex Moldenke","MG189029","GBIF","MG","Paciencia, M.B.","2777","Native","Ouro","Low",,"Iguape"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Brillantaisia","lamium","(Nees) Benth.","ACANTHACEAE Brillantaisia lamium (Nees) Benth.","249153508","GBIF","Observations","Barroso, M.",,"Naturalized","Bronze","Low",,"Ilha Iguape, Iguape, SP, BR"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Herpetacanthus",,"Nees","ACANTHACEAE Herpetacanthus Nees","SPSF00023868","Splink","SPSF",,"1087",,"Latão","Low",,"Estação Ecológica Juréia - Itatins."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Hygrophila","costata","Nees & T. Nees","ACANTHACEAE Hygrophila costata Nees & T. Nees","062420","GBIF","ESA","Gorenstein, M.R.","63","Native","Ouro","Low","https://images.cria.org.br/viewer/ESA062420",
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","384179","Splink","SP",,"3115","Native","Ouro","High",,"Parque Estadual da Ilha do Cardoso, estrada da captação"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Justicia","dusenii","(Lindau) Wassh. & L.B.Sm.","ACANTHACEAE Justicia dusenii (Lindau) Wassh. & L.B.Sm.","SPF00065348","Splink","SPF",,"16093","Native","Bronze","Low",,"Ilha do Cardoso"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Justicia","kleinii","Wassh. & L.B.Sm.","ACANTHACEAE Justicia kleinii Wassh. & L.B.Sm.","SPSF00023753","Splink","SPSF",,"61","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Trilha do Imperador"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Justicia","plumbaginifolia","Jacq.","ACANTHACEAE Justicia plumbaginifolia Jacq.","SPSF00023756","Splink","SPSF",,"824","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Trilha do Imperador, margem do rio Verde, restinga arbórea"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Justicia","pygmaea","Lindau","ACANTHACEAE Justicia pygmaea Lindau","268684","GBIF","SP","Anunciacao, E.A.","369","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Trilha para a Figueira Grande"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Justicia","scheidweileri","V.A.W.Graham","ACANTHACEAE Justicia scheidweileri V.A.W.Graham","347714","Splink","SP",,"755","Native","Bronze","High",,"Estação Ecológica Juréia-Itatins, Serra da Juréia, Caminho do Imperador"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Justicia","schenckiana","Lindau","ACANTHACEAE Justicia schenckiana Lindau","SPSF00023754","Splink","SPSF",,"812","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Trilha para o Pocinho, Mata a margem do rio"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Justicia","sellowiana","Profice","ACANTHACEAE Justicia sellowiana Profice","309071","GBIF","SP","Favero, O.A.","595","Native","Latão","High",,"Estação Ecológica Juréia-Itatins, caminho para a Cachoeira do Guilherme"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Justicia","tijucensis","V.A.W.Graham","ACANTHACEAE Justicia tijucensis V.A.W.Graham","SPSF00023826","Splink","SPSF",,"892","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Caminho do Imperador"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Justicia","yhuensis","Lindau","ACANTHACEAE Justicia yhuensis Lindau","28752","GBIF","UEC","Stubblebine, W.H.","13210","Native","Bronze","Low","https://images.cria.org.br/viewer/UEC022248","Est. Ecol. de Juréia, (SEMA). Mata da encosta."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Lepidagathis","kameyamana","Gnanasek. & Arisdason","ACANTHACEAE Lepidagathis kameyamana Gnanasek. & Arisdason","SPSF00023750","Splink","SPSF",,"624","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Proximidades do maciço da Juréia, trilha do alojamento em direção à foz do Rio Verde, mata de encosta"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","36355","GBIF","SPSF","Oriani, A.","704","Native","Ouro","Low",,"Distrito de Santa Maria., Parque Estadual de Jacupiranga. Núcleo do Cedro. Situação ecotonal entre Floresta Ombrófila Densa Baixo Montana e Floresta sobre Restinga muito degradada."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","251770","GBIF","SP","Mamede, M.C.H.","481","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Serra da Juréia, trilha em direção à foz do Rio Verde, próximo do alojamento"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Pseuderanthemum","riedelianum","(Nees) Radlk.","ACANTHACEAE Pseuderanthemum riedelianum (Nees) Radlk.","SPSF00023830","Splink","SPSF",,"809","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Trilha para o Pocinho, Mata à margem do rio"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","SPF00070077","Splink","SPF",,"2290","Native","Ouro","Low",,"Ilha do Cardoso"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Ruellia","elegans","Poir.","ACANTHACEAE Ruellia elegans Poir.","ESA093346","Splink","ESA",,"341","Native","Bronze","Low",,
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Ruellia","jussieuoides","Schltdl. & Cham.","ACANTHACEAE Ruellia jussieuoides Schltdl. & Cham.","36565","GBIF","SPSF","Meireles, J.E.","341","Native","Latão","Low",,"Parque Estadual de Jacupiranga - Núcleo Cedro"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Ruellia","solitaria","Vell.","ACANTHACEAE Ruellia solitaria Vell.","287812","GBIF","SP","Nicolau, S.A.","826","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Trilha do Pocinho"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Sanchezia","oblonga","Ruiz & Pav.","ACANTHACEAE Sanchezia oblonga Ruiz & Pav.","ESA108086","Splink","ESA",,"199","Native","Ouro","Low",,
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Staurogyne","mandioccana","(Nees) Kuntze","ACANTHACEAE Staurogyne mandioccana (Nees) Kuntze","30411","GBIF","UEC","Davis, P.H.","D60526","Native","Ouro","Low","https://images.cria.org.br/viewer/UEC097133","8Km to Iguape from junction with the São"
