"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Acanthaceae","Aphelandra","longiflora","(Lindl.) Profice","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","289297","Splink","SP",,"675","Native","Ouro","Ouro",,"Parque Ecológico APA do Carmo, trilha sob a linha de transmissão, partindo da Av. Aricanduva"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Acanthaceae","Eranthemum","pulchellum","Andrews","ACANTHACEAE Eranthemum pulchellum Andrews","CEN00125341","GBIF","CEN","Hashimoto, G.",,"Cultivated","Bronze","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/53/41/cen00125341.dzi","Parque do Carmo."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","75843","GBIF","UEC","Godoy, S.A.P.","552","Native","Latão","Ouro","https://images.cria.org.br/viewer/UEC022330","Parque Ecológico da APA do Carmo, Trilha sob a linha de transmissão (número 3)."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Altingiaceae","Liquidambar","styraciflua","L.","ALTINGIACEAE Liquidambar styraciflua L.","273279","GBIF","MBM","Hashimoto, G.","3309","Cultivated","Latão","Prata","https://images.cria.org.br/viewer/MBM273279","Parque do Carmo."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Amaranthaceae","Alternanthera","tenella","Colla","AMARANTHACEAE Alternanthera tenella Colla","96699","GBIF","SPF","Garcia, R.J.F.","493","Native","Ouro","Ouro","https://images.cria.org.br/viewer/SPF00096699","Parque do Carmo"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","SPF00061214","Splink","SPF",,"765","Native","Latão","Prata",,"Parque do Carmo"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","LUSC000844","Reflora","LUSC","Godoy, S.A.P.","312","Native","Ouro","Ouro",,"Parque Natural Municipal da Fazenda do Carmo. Trilha do campo de futebol."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Apocynaceae","Asclepias","curassavica","L.","APOCYNACEAE Asclepias curassavica L.","211132812","GBIF","Observations","Almeida, A.C.",,"Native","Bronze","Bronze",,"Gleba do Pêssego, São Paulo - SP, Brasil"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Apocynaceae","Ditassa","hispida","(Vell.) Fontella","APOCYNACEAE Ditassa hispida (Vell.) Fontella","HRCB026343","Splink","HRCB",,"615","Native","Bronze","Ouro",,"Itaquera, futuro Parque Ecológico da APA do Carmo"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Apocynaceae","Orthosia","guilleminiana","(Decne.) Liede & Meve","APOCYNACEAE Orthosia guilleminiana (Decne.) Liede & Meve","PMSP015132","Reflora","PMSP","Garcia, R.J.F.","3550","Native","Ouro","Ouro",,"Parque Natural Municipal da Fazenda do Carmo, topo de morro. Campo; Topo de morro."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Apocynaceae","Orthosia","urceolata","E.Fourn.","APOCYNACEAE Orthosia urceolata E.Fourn.","COR00109705","Splink","COR",,"650","Native","Bronze","Ouro",,"Parque Natural Municipal da Fazenda do Carmo, Trilha do Tabor, antes da implantação do parque [Pq. Ecol. APA do Carmo]."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Apocynaceae","Oxypetalum","appendiculatum","Mart.","APOCYNACEAE Oxypetalum appendiculatum Mart.","75830","GBIF","UEC","Godoy, S.A.P.","540","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC040451","Parque Ecológico APA do Carmo, Trilha 1 9em direção ao Tabor)"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Apocynaceae","Peplonia","axillaris","(Vell.) Fontella","APOCYNACEAE Peplonia axillaris (Vell.) Fontella","PMSP002162","GBIF","PMSP","Godoy, S.A.P.","568","Native","Bronze","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/0/21/62/pmsp00002162.dzi","Parque Ecológico APA do Carmo, Trilha do TABOR (número 4)"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Apocynaceae","Vailia","picta","(Vahl) Morillo","APOCYNACEAE Vailia picta (Vahl) Morillo","75829","GBIF","UEC","Godoy, S.A.P.","571","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC040804","Parque Ecológico da APA do Carmo, trilha do Tabor (número 4)"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Aquifoliaceae","Ilex","dumosa","Reissek","AQUIFOLIACEAE Ilex dumosa Reissek","2430936","GBIF","Bioversity","Romao, G.O.H.","75429","Native","Latão","Bronze",,
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Aquifoliaceae","Ilex","paraguariensis","A.St.-Hil.","AQUIFOLIACEAE Ilex paraguariensis A.St.-Hil.","2082","Splink","SINBIOTA",,,"Native","Latão","Bronze",,"Itaquera"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Araceae","Monstera","deliciosa","Liebm.","ARACEAE Monstera deliciosa Liebm.","211132940","GBIF","Observations","Almeida, A.C.",,"Cultivated","Bronze","Bronze",,"Gleba do Pêssego, São Paulo - SP, Brasil"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Araceae","Thaumatophyllum","bipinnatifidum","(Schott ex Endl.) Sakur., Calazans & Mayo","ARACEAE Thaumatophyllum bipinnatifidum (Schott ex Endl.) Sakur., Calazans & Mayo","210564415","GBIF","Observations","Almeida, A.C.",,"Native","Bronze","Bronze",,"Gleba do Pêssego, São Paulo - SP, Brasil"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Araliaceae","Dendropanax","cuneatus","(DC.) Decne. & Planch.","ARALIACEAE Dendropanax cuneatus (DC.) Decne. & Planch.","2279","Splink","MACK",,"57","Native","Prata","Prata",,"Parque do Carmo"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Arecaceae","Geonoma","schottiana","Mart.","ARECACEAE Geonoma schottiana Mart.","2228","Splink","SINBIOTA",,,"Native","Latão","Bronze",,"Itaquera"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Arecaceae","Syagrus","romanzoffiana","(Cham.) Glassman","ARECACEAE Syagrus romanzoffiana (Cham.) Glassman","126987028","GBIF","Observations","Naturalistas, O.",,"Native","Bronze","Bronze",,"Gleba do Pêssego, São Paulo - SP, Brasil"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Aristolochiaceae","Aristolochia","labiata","Willd.","ARISTOLOCHIACEAE Aristolochia labiata Willd.","49332","GBIF","HRCB","Garcia, R.J.F.","613","Native","Bronze","Ouro",,"Parque Natural Municipal da Fazenda do Carmo Capoeirinha"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Achyrocline","albicans","Griseb.","ASTERACEAE Achyrocline albicans Griseb.","PMSP013145","GBIF","PMSP","Garcia, R.J.F.","3540","Native","Ouro","Bronze","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/31/45/pmsp00013145.dzi","Parque Natural Fazenda do Carmo."
