"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Acanthaceae","Aphelandra",,"R.Br.","ACANTHACEAE Aphelandra R.Br.","SPSF00002150","Splink","SPSF","Pickel, D.B.",,,"Latão","Low","na mata","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Acanthaceae","Brillantaisia","lamium","(Nees) Benth.","ACANTHACEAE Brillantaisia lamium (Nees) Benth.","208199150","GBIF","Observations","Gouvea Junior, E.V.",,"Naturalized","Bronze","Low","Parque Ecológico do Tietê, SP","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Acanthaceae","Thunbergia","erecta","(Benth.) T.Anderson","ACANTHACEAE Thunbergia erecta (Benth.) T.Anderson","113614691","GBIF","Observations","Bernardes, L.",,"Naturalized","Bronze","Low","Vila Santo Henrique, São Paulo - SP, Brasil","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Acanthaceae","Thunbergia","grandiflora","Roxb.","ACANTHACEAE Thunbergia grandiflora Roxb.","248081395","GBIF","Observations","Natlov",,"Naturalized","Bronze","Low","Barueri, São Paulo, 06413, Brasilien","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Alismataceae","Sagittaria","montevidensis","Cham. & Schltdl.","ALISMATACEAE Sagittaria montevidensis Cham. & Schltdl.","34988124","GBIF","Observations","Ranirc",,"Native","Bronze","Low","Jardim Iracema, Barueri - SP, Brasil","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Amaranthaceae","Alternanthera","tenella","Colla","AMARANTHACEAE Alternanthera tenella Colla","UFRN00024909","GBIF","UFRN","Oliveira, M.V.M.","15","Native","Bronze","Low","Várze do Tietê.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Amaranthaceae","Amaranthus","blitum","L.","AMARANTHACEAE Amaranthus blitum L.","9244","GBIF","IPA","Pickel, B.","5087","Naturalized","Ouro","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Amaranthaceae","Amaranthus","viridis","L.","AMARANTHACEAE Amaranthus viridis L.","137","GBIF","BOTU","Tajiri, N.S.","1","Naturalized","Bronze","Low","2Km oeste da Rodovia Presidente Dutra, 700m de altitude.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Amaranthaceae","Chenopodium",,"L.","AMARANTHACEAE Chenopodium L.","5110","Splink","HUMC","Silva Junior, A.H.","314b",,"Latão","Low","Vila Industrial Parque Municipal Nagib Najar","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Amaranthaceae","Dysphania","ambrosioides","(L.) Mosyakin & Clemants","AMARANTHACEAE Dysphania ambrosioides (L.) Mosyakin & Clemants","1229","GBIF","BOTU","Tajiri, N.S.","17","Naturalized","Bronze","Low","À 2 km oeste da Rodovia Presidente Dutra","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Amaranthaceae","Pfaffia","glomerata","(Spreng.) Pedersen","AMARANTHACEAE Pfaffia glomerata (Spreng.) Pedersen","147097","GBIF","UB","Gehrt, A.","Herb.31737","Native","Ouro","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Amaryllidaceae","Allium","neapolitanum","Cirillo","AMARYLLIDACEAE Allium neapolitanum Cirillo","1993","GBIF","BOTU","Tajiri, N.S.","16","Unknown","Latão","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Amaryllidaceae","Hippeastrum","vittatum","(L'Hér.) Herb.","AMARYLLIDACEAE Hippeastrum vittatum (L'Hér.) Herb.","SPSF00002311","Splink","SPSF","Pickel, D.B.",,"Native","Latão","Low",,"Não"
