"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,"Acanthaceae","Pseudoceramium","brevizonatum","(Barros-Barreto, Jaramillo, G.Hommersand, Ferreira & Maggs, 2023) Barros-Barreto & Maggs, 2023","ACANTHACEAE Pseudoceramium brevizonatum (Barros-Barreto, Jaramillo, G.Hommersand, Ferreira & Maggs, 2023) Barros-Barreto & Maggs, 2023","429170","GBIF","SP-ALGAE","Rocha-Jorge, R.",,,"Bronze","Bronze",,"Ilha do Castilho"
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,"Asteraceae","Plagiochila","martiana","Nees","ASTERACEAE Plagiochila martiana Nees","4536","GBIF","HUSC","Mello, Z.R.","1441",,"Bronze","Ouro",,"Ilha Queimada Pequena."
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,"Cupressaceae","Cryptopleura","ramosa","(Hudson) L.Newton","CUPRESSACEAE Cryptopleura ramosa (Hudson) L.Newton","355920","GBIF","SP-ALGAE","Fujii, M.T.",,,"Bronze","Bronze",,"Ilha do Cardoso, Praia de Cambriú"
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,"Melastomataceae","Marchesinia","brachiata","(Sw.) Schiffn.","MELASTOMATACEAE Marchesinia brachiata (Sw.) Schiffn.","4546","GBIF","HUSC","Mello, Z.R.","1456",,"Bronze","Ouro",,"Ilha Queimada Pequena."
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,,"Aglaothamnion","cordatum","(Børgesen) Feldm.-Maz.","NA Aglaothamnion cordatum (Børgesen) Feldm.-Maz.","429044","GBIF","SP-ALGAE","Rocha-Jorge, R.",,,"Bronze","Bronze",,"Ilha da Queimada pequena"
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,,"Aglaothamnion","felipponei","(M.Howe) N.Aponte et al.","NA Aglaothamnion felipponei (M.Howe) N.Aponte et al.","355926","GBIF","SP-ALGAE","Fujii, M.T.",,,"Bronze","Bronze",,"Parque Estadual da Ilha do Cardoso, Praia de Cambriú"
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,,"Bostrychia","tenella","(J.V.Lamour.) J.Agardh","NA Bostrychia tenella (J.V.Lamour.) J.Agardh","50945","GBIF","PEUFR","Fontes, K.",,,"Bronze","Bronze",,
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,,"Botryocladia","bahamensis","D.L.Ballant. & Aponte","NA Botryocladia bahamensis D.L.Ballant. & Aponte","429128","GBIF","SP-ALGAE","Jorge, R.R.",,,"Bronze","Bronze",,"Ilha do Castilho"
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,,"Calymperes","erosum","Müll.Hal.","NA Calymperes erosum Müll.Hal.","4528","GBIF","HUSC","Mello, Z.R.","1432",,"Bronze","Ouro",,"Ilha Queimada Pequena."
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,,"Fissidens","elegans","Brid.","NA Fissidens elegans Brid.","4527","GBIF","HUSC","Mello, Z.R.","1431",,"Bronze","Ouro",,"Ilha Queimada Pequena."
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,,"Fissidens","intromarginatus","(Hampe) Mitt.","NA Fissidens intromarginatus (Hampe) Mitt.","4529","GBIF","HUSC","Mello, Z.R.","1433",,"Bronze","Ouro",,"Ilha Queimada Pequena."
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,,"Frullania","ericoides","(Nees) Mont.","NA Frullania ericoides (Nees) Mont.","4559","GBIF","HUSC","Mello, Z.R.","1469",,"Bronze","Ouro",,"Ilha do Castilho"
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",,,"Isopterygium","tenerum","(Sw.) Mitt.","NA Isopterygium tenerum (Sw.) Mitt.","4556","GBIF","HUSC","Mello, Z.R.","1466",,"Bronze","Ouro",,"Ilha do Castilho"
