"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Acanthaceae","Justicia","gendarussa","Burm.f.","ACANTHACEAE Justicia gendarussa Burm.f.","SPSF00034538","Splink","SPSF",,,"Cultivated","Bronze","High",,"Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","211973675","GBIF","Observations","Bernardes, L.",,"Native","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Acanthaceae","Ruellia","simplex","C.Wright","ACANTHACEAE Ruellia simplex C.Wright","211973528","GBIF","Observations","Bernardes, L.",,"Native","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Achariaceae","Carpotroche","brasiliensis","(Raddi) A Gray","ACHARIACEAE Carpotroche brasiliensis (Raddi) A Gray","SPSF00011778","Splink","SPSF",,,"Native","Latão","Medium",,"Arboreto de Vila Amalia."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Achariaceae","Lindackeria","pauciflora","Benth.","ACHARIACEAE Lindackeria pauciflora Benth.","SPSF00005742","Splink","SPSF",,,"Native","Latão","High",,"Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Alismataceae","Echinodorus","grandiflorus","(Cham. & Schltr.) Micheli","ALISMATACEAE Echinodorus grandiflorus (Cham. & Schltr.) Micheli","SPSF00034535","Splink","SPSF",,,"Native","Bronze","High",,"Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Amaranthaceae","Amaranthus","viridis","L.","AMARANTHACEAE Amaranthus viridis L.","SPSF00036775","Splink","SPSF",,,"Naturalized","Latão","High",,"Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Anacardiaceae","Schinus","molle","L.","ANACARDIACEAE Schinus molle L.","51204","GBIF","SPSF","Maruyama, A.","570","Native","Bronze","Low",,
"PARQUE ESTADUAL ALBERTO LÖFGREN","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.",,"GBIF",,,,"Native","Latão","Low",,
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Annonaceae","Annona","emarginata","(Schltdl.) H.Rainer","ANNONACEAE Annona emarginata (Schltdl.) H.Rainer","8899","GBIF","SP","Usteri, A.","s.n.","Native","Ouro","Medium","https://images.cria.org.br/viewer/SP023182","Mandaqui"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Annonaceae","Annona","sylvatica","A.St.-Hil.","ANNONACEAE Annona sylvatica A.St.-Hil.","SPSF00026137","Splink","SPSF",,,"Native","Ouro","High",,"Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Apocynaceae","Asclepias","curassavica","L.","APOCYNACEAE Asclepias curassavica L.","211973797","GBIF","Observations","Bernardes, L.",,"Native","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Apocynaceae","Aspidosperma","olivaceum","Müll.Arg.","APOCYNACEAE Aspidosperma olivaceum Müll.Arg.","327100","GBIF","SP","Koscinsky, M.","s.n.","Native","Ouro","Medium",,"Arboreto de Vila Amália"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Apocynaceae","Aspidosperma","pyricollum","Müll.Arg.","APOCYNACEAE Aspidosperma pyricollum Müll.Arg.","SPSF00011508","Splink","SPSF",,,"Native","Latão","Medium",,"Arboreto de Vila Amalia."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Apocynaceae","Aspidosperma","pyrifolium","Mart. & Zucc.","APOCYNACEAE Aspidosperma pyrifolium Mart. & Zucc.","MBM277951","Splink","MBM",,"1189","Native","Bronze","High",,"Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Apocynaceae","Aspidosperma","ramiflorum","Müll.Arg.","APOCYNACEAE Aspidosperma ramiflorum Müll.Arg.","RB00716385","GBIF","RB","Baitello, J.B.","1189","Native","Ouro","High","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/71/63/85/00716385.jpg","Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Apocynaceae","Oxypetalum","pachyglossum","Decne.","APOCYNACEAE Oxypetalum pachyglossum Decne.","15806","GBIF","SP","Usteri, A.","s.n.","Native","Bronze","Medium",,"Mandaqui."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Apocynaceae","Tabernaemontana","laeta","Mart.","APOCYNACEAE Tabernaemontana laeta Mart.","RB00046537","GBIF","RB","A. Cunha, S.N.M.",,"Native","Ouro","High","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/4/65/37/00046537.jpg","Parque Estadual Alberto Löfgren, área de visitação, parque do Palácio de Verão do Governador."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Aquifoliaceae","Ilex","dumosa","Reissek","AQUIFOLIACEAE Ilex dumosa Reissek","9005","GBIF","SP","Usteri, A.","s.n.","Native","Bronze","Medium",,"Mandaqui"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Aquifoliaceae","Ilex","pseudobuxus","Reissek","AQUIFOLIACEAE Ilex pseudobuxus Reissek","9000","GBIF","SP","Usteri, A.","s.n.","Native","Prata","Medium",,"Mandaqui"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Araceae","Rhaphidophora","decursiva","(Roxb.) Schott","ARACEAE Rhaphidophora decursiva (Roxb.) Schott","210549109","GBIF","Observations","Alithiamelo",,"Cultivated","Bronze","Low",,"São Paulo - SP, 02635, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Araceae","Syngonium","podophyllum","Schott","ARACEAE Syngonium podophyllum Schott","211974115","GBIF","Observations","Bernardes, L.",,"Naturalized","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Araceae","Thaumatophyllum","bipinnatifidum","(Schott ex Endl.) Sakur., Calazans & Mayo","ARACEAE Thaumatophyllum bipinnatifidum (Schott ex Endl.) Sakur., Calazans & Mayo","210541881","GBIF","Observations","Doutormosca",,"Native","Bronze","Low",,"Horto Florestal, São Paulo, SP, BR"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Araliaceae","Dendropanax","cuneatus","(DC.) Decne. & Planch.","ARALIACEAE Dendropanax cuneatus (DC.) Decne. & Planch.","SPSF00016596","Splink","SPSF",,,"Native","Ouro","High",,"Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Gymnosperms","Araucariaceae","Agathis","robusta","(C.Moore ex F.Muell.) F.M.Bailey","ARAUCARIACEAE Agathis robusta (C.Moore ex F.Muell.) F.M.Bailey","SPSF00042928","Splink","SPSF",,,"Cultivated","Bronze","Medium",,"Arboreto de Vila Amália."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Gymnosperms","Araucariaceae","Araucaria","angustifolia","(Bertol.) Kuntze","ARAUCARIACEAE Araucaria angustifolia (Bertol.) Kuntze","240867914","GBIF","Observations","Fischer, G.A.",,"Native","Bronze","Low",,"Vila Pedra Branca, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Gymnosperms","Araucariaceae","Araucaria","bidwillii","Hook.","ARAUCARIACEAE Araucaria bidwillii Hook.","53118","GBIF","SPSF","Leite, T.S.","2","Cultivated","Prata","Low",,"P.E. Alberto Lofgren"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Arecaceae","Cocos","nucifera","L.","ARECACEAE Cocos nucifera L.",,"GBIF",,,,"Naturalized","Latão","Low",,
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Arecaceae","Euterpe","edulis","Mart.","ARECACEAE Euterpe edulis Mart.","SPSF00038688","Splink","SPSF",,,"Native","Bronze","High",,"Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Arecaceae","Livistona","chinensis","(Jacq.) R.Br. ex Mart.","ARECACEAE Livistona chinensis (Jacq.) R.Br. ex Mart.","211973374","GBIF","Observations","Bernardes, L.",,"Cultivated","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Arecaceae","Syagrus","romanzoffiana","(Cham.) Glassman","ARECACEAE Syagrus romanzoffiana (Cham.) Glassman","211973954","GBIF","Observations","Bernardes, L.",,"Native","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asparagaceae","Asparagus","setaceus","(Kunth) Jessop","ASPARAGACEAE Asparagus setaceus (Kunth) Jessop","211974153","GBIF","Observations","Bernardes, L.",,"Cultivated","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asparagaceae","Furcraea","foetida","(L.) Haw.","ASPARAGACEAE Furcraea foetida (L.) Haw.","211973367","GBIF","Observations","Bernardes, L.",,"Naturalized","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Achillea","millefolium","L.","ASTERACEAE Achillea millefolium L.","SPSF00034906","Splink","SPSF",,,"Cultivated","Latão","High",,"Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Ageratum","conyzoides","L.","ASTERACEAE Ageratum conyzoides L.","211973341","GBIF","Observations","Bernardes, L.",,"Native","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Artemisia","verlotiorum","Lamotte","ASTERACEAE Artemisia verlotiorum Lamotte","262566","GBIF","MBM","Franco, G.A.D.C.","1102","Naturalized","Prata","High","https://images.cria.org.br/viewer/MBM262566","Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Aspilia",,"Thouars","ASTERACEAE Aspilia Thouars","161698","GBIF","UEC","Pastore, J.A.","377",,"Bronze","High","https://images.cria.org.br/viewer/UEC039005","Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Baccharis","incisa","Hook. & Arn.","ASTERACEAE Baccharis incisa Hook. & Arn.","16512","GBIF","SP","Usteri, A.","s.n.","Native","Bronze","Medium",,"Mandaqui."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Baccharis","regnellii","Sch.Bip. ex Baker","ASTERACEAE Baccharis regnellii Sch.Bip. ex Baker","6200","GBIF","SP","Brade, A.C.","s.n.","Native","Ouro","Medium",,"Mandaqui."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Bidens","pilosa","L.","ASTERACEAE Bidens pilosa L.","211973572","GBIF","Observations","Bernardes, L.",,"Naturalized","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Calyptocarpus","brasiliensis","(Nees & Mart.) B.Turner","ASTERACEAE Calyptocarpus brasiliensis (Nees & Mart.) B.Turner","211973856","GBIF","Observations","Bernardes, L.",,"Naturalized","Bronze","Low",,"Vila Santos, São Paulo - SP, Brasil"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Chaptalia","nutans","(L.) Pol.","ASTERACEAE Chaptalia nutans (L.) Pol.","SPSF00035209","Splink","SPSF",,,"Native","Latão","High",,"Parque Estadual Alberto Löfgren."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Conyza","canadensis","(L.) Cronquist","ASTERACEAE Conyza canadensis (L.) Cronquist","SPSF00002485","Splink","SPSF",,,"Naturalized","Latão","Medium",,"Arboreto de Vila Amalia."
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Elephantopus","mollis","Kunth","ASTERACEAE Elephantopus mollis Kunth","SPSF00035431","Splink","SPSF",,,"Native","Latão","High",,"Parque Estadual Alberto Löfgren."
