"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Acanthaceae","Aphelandra","prismatica","(Vell.) Hiern","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","51863","GBIF","HRCB","Zipparro, V.B.","2329","Native","Bronze","Ouro",,"Parque Estadual da Ilha Anchieta (PEIA) Trilha do Leste, parcela 5 da Fenologia"
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Acanthaceae","Avicennia","schaueriana","Stapf & Leechm. ex Moldenke","ACANTHACEAE Avicennia schaueriana Stapf & Leechm. ex Moldenke","295281","GBIF","SP","Leitao Filho, H.F.","34847","Native","Bronze","Prata",,"Ilha Anchieta"
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","MBM256495","Reflora","MBM","Robim, M.J.","901","Native","Ouro","Ouro",,"Parque Estadual da Ilha Anchieta"
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Acanthaceae","Staurogyne","sylvatica","Lindau ex Braz & R.Monteiro","ACANTHACEAE Staurogyne sylvatica Lindau ex Braz & R.Monteiro","123140","GBIF","ESA","Zipparro, V.B.","2489","Native","Prata","Ouro",,"Parque Estadual da Ilha Anchieta (PEIA)."
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Acanthaceae","Thunbergia","alata","Bojer ex Sims","ACANTHACEAE Thunbergia alata Bojer ex Sims","51866","GBIF","HRCB","Zipparro, V.B.","2429","Naturalized","Latão","Ouro",,"Parque Estadual da Ilha Anchieta (PEIA)"
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Alismataceae","Echinodorus","grandiflorus","(Cham. & Schltr.) Micheli","ALISMATACEAE Echinodorus grandiflorus (Cham. & Schltr.) Micheli","46578","GBIF","SPSF","Zipparro, V.B.","2335","Native","Bronze","Ouro",,"Parque Estadual da Ilha Anchieta (PEIA)"
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Alstroemeriaceae","Bomarea","edulis","(Tussac) Herb.","ALSTROEMERIACEAE Bomarea edulis (Tussac) Herb.","66813","GBIF","HUFU","Goldenberg, R.","32373","Native","Prata","Prata","https://images.cria.org.br/viewer/HUFU00027154","Ilha Anchieta, Trilha da Prainha."
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Amaranthaceae","Alternanthera","pungens","Kunth","AMARANTHACEAE Alternanthera pungens Kunth","CEN00127409","GBIF","CEN","Hashimoto, G.",,"Native","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/74/9/cen00127409.dzi","Ilha Anchieta"
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Amaryllidaceae","Crinum",,"L.","AMARYLLIDACEAE Crinum L.","110969","GBIF","UEC","Assis, M.C.","607",,"Latão","Prata","https://images.cria.org.br/viewer/UEC090436","Ilha Anchieta, Trilha para a praia das Palmas"
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Amaryllidaceae","Hippeastrum","reticulatum","(L'Hér.) Herb.","AMARYLLIDACEAE Hippeastrum reticulatum (L'Hér.) Herb.","194735640","GBIF","Observations","Cosmonautavirgilio",,"Native","Bronze","Bronze",,"Ilha Anchieta, Ubatuba, SP, BR"
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Anacardiaceae","Anacardium","occidentale","L.","ANACARDIACEAE Anacardium occidentale L.","138498","GBIF","SPF","Pirani, J.R.","4516","Native","Ouro","Ouro","https://images.cria.org.br/viewer/SPF00138498","Parque Estadual da Ilha Anchieta, Trilha da Restinga da Praia das Palmas."
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Anacardiaceae","Schinus","rhoifolia","Mart.","ANACARDIACEAE Schinus rhoifolia Mart.","8669","GBIF","UEC","Robim, M.J.","599","Native","Ouro","Prata","https://images.cria.org.br/viewer/UEC077546","Ilha Anchieta, Em mata de restinga."
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","36934215","GBIF","Observations","Sigal, G.",,"Native","Bronze","Bronze",,"São Paulo, BR"
"PARQUE ESTADUAL ILHA ANCHIETA","Ferns and Lycophytes","Anemiaceae","Anemia","ferruginea","Humb. & Bonpl. ex Kunth","ANEMIACEAE Anemia ferruginea Humb. & Bonpl. ex Kunth","SJRP00013365","GBIF","SJRP","Smidt, E.C.","173","Native","Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sjrp/sjrp/0/1/33/65/sjrp00013365.dzi","Parque Estadual da Ilha de Anchieta."
"PARQUE ESTADUAL ILHA ANCHIETA","Ferns and Lycophytes","Anemiaceae","Anemia","mandioccana","Raddi","ANEMIACEAE Anemia mandioccana Raddi","54074","GBIF","HUEFS","Athayde, F.P.F.","887","Native","Bronze","Ouro","https://images.cria.org.br/viewer/HUEFS0054074","Parque Estadual da Ilha Anchieta (PEIA)"
"PARQUE ESTADUAL ILHA ANCHIETA","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","79929","GBIF","UEC","Spina, A.P.","32228","Native","Bronze","Prata","https://images.cria.org.br/viewer/UEC052630","Ilha Anchieta, Trilha da Praia do Leste."
"PARQUE ESTADUAL ILHA ANCHIETA","Ferns and Lycophytes","Anemiaceae","Anemia","raddiana","Link","ANEMIACEAE Anemia raddiana Link","P00903836","GBIF","P","Prado, J.","1538","Native","Bronze","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mnhn/p/0/90/38/36/p00903836.dzi","Ilha Anchieta, trilha para o Saco Grande."
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Annonaceae","Anaxagorea","dolichocarpa","Sprague & Sandwith","ANNONACEAE Anaxagorea dolichocarpa Sprague & Sandwith","80641","GBIF","UEC","Santin, D.A.","32443","Native","Bronze","Prata","https://images.cria.org.br/viewer/UEC026906","Ilha Anchieta, Trilha do Guilherme."
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Annonaceae","Annona","glabra","L.","ANNONACEAE Annona glabra L.","90185","GBIF","UEC","Leitao Filho, H.F.","32606","Native","Ouro","Prata","https://images.cria.org.br/viewer/UEC066118","Ilha Anchieta., Trilha - restinga beira do rio. Mata de restinga."
"PARQUE ESTADUAL ILHA ANCHIETA","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.","90180","GBIF","UEC","Leitao Filho, H.F.","32610","Native","Latão","Prata","https://images.cria.org.br/viewer/UEC021501","Ilha Anchieta, Trilha - restinga beira do rio."
"PARQUE ESTADUAL ILHA ANCHIETA",,"Annonaceae","Monoon",,"Miq.","ANNONACEAE Monoon Miq.","54519","Splink","OBIS_BR",,,,"Latão","Prata",,"Ilha Anchieta"
