"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Acanthaceae","Aphelandra","longiflora","(Lindl.) Profice","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","SPSF00044166","Splink","SPSF",,"830","Native","Latão","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","285793","Splink","SP",,"637","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Ribeirão do Mico"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Acanthaceae","Justicia","dasyclados","(Mart. ex Nees) Lindau","ACANTHACEAE Justicia dasyclados (Mart. ex Nees) Lindau","SPSF00044186","Splink","SPSF",,"849","Native","Latão","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","MBM256496","Reflora","MBM","Santiago, C.M.","s.n.","Native","Ouro","Ouro",,"Parque Estadual de Jurupará"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Acanthaceae","Stenostephanus","lobeliiformis","Nees","ACANTHACEAE Stenostephanus lobeliiformis Nees","SPSF00019221","Splink","SPSF",,"606","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Annonaceae","Annona","coriacea","Mart.","ANNONACEAE Annona coriacea Mart.","225694","GBIF","SPF","Furlan, C.M.","30","Native","Bronze","Bronze",,"Cerrado de Emas, Rodovia SP201, próximo à Vila Santa Fé."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.",,"GBIF",,,,"Native","Latão","Bronze",,
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Annonaceae","Xylopia","brasiliensis","Spreng.","ANNONACEAE Xylopia brasiliensis Spreng.","73536","GBIF","UEC","Baitello, J.B.","791","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC099736","Parque Estadual de Jurupará, Fazenda Tucano, na mata"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Apocynaceae","Asclepias","curassavica","L.","APOCYNACEAE Asclepias curassavica L.","208328","GBIF","UEC","Alves, D.M.","11","Native","Bronze","Bronze","https://images.cria.org.br/viewer/UEC176690","São Paulo, Mairique, Estrada Mairinque-Ibiuna próximo a igreja."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Araceae","Anthurium","pentaphyllum","(Aubl.) G.Don","ARACEAE Anthurium pentaphyllum var. pentaphyllum (Aubl.) G.Don","285795","GBIF","SP","Pastore, J.A.","632","Native","Ouro","Ouro","https://images.cria.org.br/viewer/SP049318","Parque Estadual de Jurupará, Caminho para a Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Araceae","Anthurium","sellowianum","Kunth","ARACEAE Anthurium sellowianum Kunth","285796","GBIF","SP","Pastore, J.A.","628","Native","Ouro","Ouro","https://images.cria.org.br/viewer/SP049400","Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Araceae","Philodendron","eximium","Schott","ARACEAE Philodendron eximium Schott","215106672","GBIF","Observations","Gutomag",,"Native","Bronze","Ouro",,"Parque Estadual Do Jurupará, Ibiúna, SP, BR"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Arecaceae","Geonoma","elegans","Mart.","ARECACEAE Geonoma elegans Mart.","SPSF00019222","Splink","SPSF",,"607","Native","Ouro","Ouro",,"Parque Estadual de Jurupará."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Arecaceae","Syagrus","hoehnei","Burret","ARECACEAE Syagrus hoehnei Burret","288732","GBIF","SP","Baitello, J.B.","784","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Caminho para a Fazenda Tucano, interior da mata"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Austroeupatorium","inulaefolium","(Kunth) R.M.King & H.Rob.","ASTERACEAE Austroeupatorium inulaefolium (Kunth) R.M.King & H.Rob.","133280","GBIF","UEC","Esteves, R.L.","64","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC100311","Parque Estadual de Jurupará, cachoeira do frança."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Baccharis","anomala","DC.","ASTERACEAE Baccharis anomala DC.","SPSF00019248","Splink","SPSF",,"622","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Baccharis","dentata","(Vell.) G.M.Barroso","ASTERACEAE Baccharis dentata (Vell.) G.M.Barroso","SPSF00044200","Splink","SPSF",,"863","Native","Latão","Ouro",,"Parque Estadual de Jurupará."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Baccharis","intermixta","Gardner","ASTERACEAE Baccharis intermixta Gardner","285813","GBIF","SP","Pastore, J.A.","640","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Região da Água da Carapuça, na margem do caminho."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Baccharis","montana","DC.","ASTERACEAE Baccharis montana DC.","SPSF00044184","Splink","SPSF",,"847","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Base roda D´Água."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Baccharis","oreophila","Malme","ASTERACEAE Baccharis oreophila Malme","285824","GBIF","SP","Baitello, J.B.","781","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Caminho para a Fazenda Tucano, na orla da mata."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Cyrtocymura","scorpioides","(Lam.) H.Rob.","ASTERACEAE Cyrtocymura scorpioides (Lam.) H.Rob.","285822","Splink","SP",,"614","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Estrada do França, próximo a sede"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Heterocondylus","alatus","(Vell.) R.M.King & H.Rob.","ASTERACEAE Heterocondylus alatus (Vell.) R.M.King & H.Rob.","HRCB022425","Splink","HRCB",,"790","Native","Ouro","Ouro",,"Parque Estadual de Jurupará Caminho para a Fazenda Tucano"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Mikania","hirsutissima","DC.","ASTERACEAE Mikania hirsutissima DC.","SPSF00019231","Splink","SPSF",,"616","Native","Ouro","Ouro",,"Parque Estadual de Jurupará."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Mikania","sericea","Hook. & Arn.","ASTERACEAE Mikania sericea Hook. & Arn.","285811","Splink","SP",,"779","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Estrada da Fazenda Tucano"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Piptocarpha","leprosa","(Less.) Baker","ASTERACEAE Piptocarpha leprosa (Less.) Baker","285819","GBIF","SP","Pastore, J.A.","621","Native","Bronze","Ouro",,"Parque Estadual de Jurupará, Caminho para a Fazenda Tucano, na orla da mata"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Piptocarpha","macropoda","(DC.) Baker","ASTERACEAE Piptocarpha macropoda (DC.) Baker","22432","GBIF","HRCB","Aguiar, O.T.","583","Native","Ouro","Ouro",,"Ribeirão do Mico, próximo ao rio Juquiá Parque Estadual de Jurupará"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Piptocarpha","quadrangularis","(Vell.) Baker","ASTERACEAE Piptocarpha quadrangularis (Vell.) Baker","HRCB022453","Splink","HRCB",,"621","Native","Ouro","Ouro",,"Caminho para a Fazenda Tucano, na orla da mata. Parque Estadual de Jurupará"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Piptocarpha","reitziana","Cabrera","ASTERACEAE Piptocarpha reitziana Cabrera","SPSF00019287","Splink","SPSF",,"642","Native","Ouro","Ouro",,"Parque estadual de Jurupará, região do Mico, na margem do caminho."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Tilesia","baccata","(L.) Pruski","ASTERACEAE Tilesia baccata (L.) Pruski","225627","GBIF","SPF","Furlan, C.M.","42","Naturalized","Ouro","Bronze",,"Cerrado de Emas, Rodovia SP201, próximo à Vila Santa Fé."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Vernonanthura","divaricata","(Spreng.) H.Rob.","ASTERACEAE Vernonanthura divaricata (Spreng.) H.Rob.","SPSF00044162","Splink","SPSF",,"826","Native","Bronze","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Vernonanthura","petiolaris","(DC.) H.Rob.","ASTERACEAE Vernonanthura petiolaris (DC.) H.Rob.","SPSF00019307","Splink","SPSF",,"585","Native","Ouro","Ouro",,"Parque Estadual de Jurupará Ribeirão do Mico, na margem da estrada"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Asteraceae","Vernonanthura","polyanthes","(Sprengel) Vega & Dematteis","ASTERACEAE Vernonanthura polyanthes (Sprengel) Vega & Dematteis","74640","GBIF","UEC","Pastore, J.A.","620","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC136977","Parque Estadual de Jurupara, caminho para a Fazenda Tucano"
