"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","Angiosperms","Acanthaceae","Aphelandra","chamissoniana","Nees","ACANTHACEAE Aphelandra chamissoniana Nees","34194","GBIF","HUEFS","Franca, F.","2549","Native","Ouro","Bronze","https://images.cria.org.br/viewer/HUEFS0034194",
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","Angiosperms","Acanthaceae","Aphelandra","liboniana","Linden ex Hook.f.","ACANTHACEAE Aphelandra liboniana Linden ex Hook.f.","69871","GBIF","HRCB","Melo, P.H.A.","5869","Native","Bronze","Bronze","https://images.cria.org.br/viewer/HRCB069871",
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","541706","Splink","SP",,"4586","Native","Ouro","Ouro",,"PETAR - Parque Estadual Turístico do Alto Ribeira, Núcleo Ouro Grosso, gruta Ouro Grosso"
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA",,"Acanthaceae","Hyophila","involuta","(Hook.) A.Jaeger","ACANTHACEAE Hyophila involuta (Hook.) A.Jaeger","207551","GBIF","SP-BRYOPHYTA","Vital, D.M.","12590",,"Bronze","Bronze",,"Mun. Iporanga, Serra Paranapiacaba, Caverna Santana"
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","Angiosperms","Acanthaceae","Jacobinia","selloviana","(Nees) Hiern","ACANTHACEAE Jacobinia selloviana (Nees) Hiern","US 3671982","GBIF","US","Lobao, A.","!",,"Latão","Bronze","https://collections.nmnh.si.edu/media/?i=12812559","Iporanga. P. E. Petar, estrada Apiai-Iporanga, a 20km de Apiai. Km 166."
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","Angiosperms","Acanthaceae","Justicia","brasiliana","Roth","ACANTHACEAE Justicia brasiliana Roth","541705","Splink","SP",,"4579","Native","Ouro","Ouro",,"PETAR - Parque Estadual Turístico do Alto Ribeira, Núcleo Ouro Grosso, gruta Ouro Grosso"
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","69872","GBIF","HRCB","Melo, P.H.A.","5892","Native","Ouro","Bronze",,
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","109102","GBIF","SPF","Barreto, K.D.","1878","Native","Ouro","Bronze","https://images.cria.org.br/viewer/SPF00109102","PETAR. Núcleo Cablocos."
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","SPSF00035584","Splink","SPSF",,"455","Native","Ouro","Ouro",,"Parque Estadual Turístico do Alto Ribeira - Núcleo Caboclos."
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","373541","GBIF","SP","Barreto, K.D.","2606","Native","Ouro","Bronze","https://images.cria.org.br/viewer/SP030583","Bairro Serra (Santana)"
