"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Acanthaceae","Aphelandra","prismatica","(Vell.) Hiern","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","147629933","GBIF","Observations","Crispino, E.B.",,"Native","Ouro","Low","Santo André, SP, Brasil"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","426257","GBIF","SP","Neta, A.C.S.","57","Native","Bronze","Low","Paranapiacaba, Trilha da Pontinha"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","442457","GBIF","SP","Villagra, B.L.P.","256","Native","Bronze","High","Parque Natural Municipal Nascentes de Paranapiacaba, Olho d'Água"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","7108","GBIF","IRAI","Villagra, B.L.P.","332","Native","Prata","High","Parque Natural Municipal Nascentes de Paranapiacaba, estrada do Taquaruçu, trilha da água fria à jusante"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Annonaceae","Annona","dolabripetala","Raddi","ANNONACEAE Annona dolabripetala Raddi","514845","GBIF","SP","Lima, M.E.L.","1720","Native","Bronze","High","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Comunidade, local muito íngreme"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.","514846","GBIF","SP","Lima, M.E.L.","2010","Native","Bronze","High","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Comunidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Annonaceae","Guatteria","punctata","(Aubl.) R.A.Howard","ANNONACEAE Guatteria punctata (Aubl.) R.A.Howard","514847","GBIF","SP","Lima, M.E.L.","1709","Native","Bronze","High","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Comunidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Apocynaceae","Aspidosperma","olivaceum","Müll.Arg.","APOCYNACEAE Aspidosperma olivaceum Müll.Arg.","514849","GBIF","SP","Lima, M.E.L.","1880","Native","Bronze","High","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Comunidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Apocynaceae","Mandevilla","funiformis","(Vell.) K.Schum.","APOCYNACEAE Mandevilla funiformis (Vell.) K.Schum.","71726","GBIF","SPF","Hoehne, W.","s.n.","Native","Bronze","Medium","Reserva Biológica Alto da Serra de Paranapiacaba, Alto da Serra."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Apocynaceae","Orthosia","scoparia","(Nutt.) Liede & Meve","APOCYNACEAE Orthosia scoparia (Nutt.) Liede & Meve","83072","GBIF","SPF","Gehrt, A.","s.n.","Native","Ouro","Medium","Reserva Biológica Alto da Serra de Paranapiacaba, Alto da Serra."
