"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Acanthaceae","Clistax","brasiliensis","Mart.","ACANTHACEAE Clistax brasiliensis Mart.","SPF00101413","Splink","SPF","Tamashiro, J.Y.","1307","Native","Ouro","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Acanthaceae","Ruellia","angustiflora","(Nees) Lindau ex Rambo","ACANTHACEAE Ruellia angustiflora (Nees) Lindau ex Rambo","SPSF00044431","Splink","SPSF","Santos, R.L.R.","102","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Acanthaceae","Ruellia","simplex","C.Wright","ACANTHACEAE Ruellia simplex C.Wright","454267","Splink","SP","Santos, R.L.R.","102","Native","Latão","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Amaranthaceae","Hebanthe","erianthos","(Poir.) Pedersen","AMARANTHACEAE Hebanthe erianthos (Poir.) Pedersen","SPSF00037468","Splink","SPSF","Cielo Filho, R.","483","Native","Prata","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Anacardiaceae","Lithraea","molleoides","(Vell.) Engl.","ANACARDIACEAE Lithraea molleoides (Vell.) Engl.","SPSF00052303","Splink","SPSF","Toffoli, I.","64","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","SPSF00044430","Splink","SPSF","Santos, R.L.R.","140","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","SPSF00045376","Splink","SPSF","Polisel, R.T.","1052","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Annonaceae","Xylopia","brasiliensis","Spreng.","ANNONACEAE Xylopia brasiliensis Spreng.","SPSF00038150","Splink","SPSF","Guerin, N.","80","Native","Prata","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Apocynaceae","Aspidosperma",,"Mart. & Zucc.","APOCYNACEAE Aspidosperma Mart. & Zucc.","SPSF00044432","Splink","SPSF","Santos, R.L.R.","189",,"Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Apocynaceae","Condylocarpon","isthmicum","(Vell.) A.DC.","APOCYNACEAE Condylocarpon isthmicum (Vell.) A.DC.","SPSF00044433","Splink","SPSF","Santos, R.L.R.","139","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Apocynaceae","Tabernaemontana","laeta","Mart.","APOCYNACEAE Tabernaemontana laeta Mart.","SPSF00052114","Splink","SPSF","Toffoli, I.","27","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Aquifoliaceae","Ilex","brasiliensis","(Spreng.) Loes.","AQUIFOLIACEAE Ilex brasiliensis (Spreng.) Loes.","SPSF00038174","Splink","SPSF","Guerin, N.","121","Native","Prata","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Aquifoliaceae","Ilex","dumosa","Reissek","AQUIFOLIACEAE Ilex dumosa Reissek","SPSF00044429","Splink","SPSF","Santos, R.L.R.","143","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Aquifoliaceae","Ilex","integerrima","(Vell.) Reissek","AQUIFOLIACEAE Ilex integerrima (Vell.) Reissek","SPSF00052118","Splink","SPSF","Toffoli, I.","32","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Araliaceae","Dendropanax","cuneatus","(DC.) Decne. & Planch.","ARALIACEAE Dendropanax cuneatus (DC.) Decne. & Planch.","SPSF00052101","Splink","SPSF","Toffoli, I.","13","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Araliaceae","Dendropanax","monogynus","(Vell.) Seem.","ARALIACEAE Dendropanax monogynus (Vell.) Seem.","SPSF00044427","Splink","SPSF","Santos, R.L.R.","118","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Araliaceae","Didymopanax","vinosus","(Cham. & Schltdl.) Marchal","ARALIACEAE Didymopanax vinosus (Cham. & Schltdl.) Marchal","SPSF00037018","Splink","SPSF","Rossatto, D.R.","11","Native","Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Araliaceae","Hydrocotyle","callicephala","Cham & Schltdl.","ARALIACEAE Hydrocotyle callicephala Cham & Schltdl.","SPF00101135","GBIF","SPF","Tamashiro, J.Y.","1293","Native","Bronze","High","Estação Ecológica de Itaberá, Estrada brasileira.","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asparagaceae","Cordyline","spectabilis","Kunth & Bouché","ASPARAGACEAE Cordyline spectabilis Kunth & Bouché","SPSF00052189","Splink","SPSF","Santos, R.L.R.","79","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Baccharis","dracunculifolia","DC.","ASTERACEAE Baccharis dracunculifolia DC.","SPSF00037025","Splink","SPSF","Rossatto, D.R.","126","Native","Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Calea","parvifolia","(DC.) Baker","ASTERACEAE Calea parvifolia (DC.) Baker","SPSF00052115","Splink","SPSF","Toffoli, I.","29","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Cyrtocymura","scorpioides","(Lam.) H.Rob.","ASTERACEAE Cyrtocymura scorpioides (Lam.) H.Rob.","SPSF00036992","Splink","SPSF","Rossatto, D.R.","122","Native","Bronze","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Dasyphyllum","spinescens","(Less.) Cabrera","ASTERACEAE Dasyphyllum spinescens (Less.) Cabrera","SPSF00052431","Splink","SPSF","Polisel, R.T.","1069","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Eupatorium",,"L.","ASTERACEAE Eupatorium L.","37032","GBIF","SPSF","Rossatto, D.R.","132",,"Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Lepidaploa","salzmannii","(DC.) H.Rob.","ASTERACEAE Lepidaploa salzmannii (DC.) H.Rob.","SPSF00037034","Splink","SPSF","Rossatto, D.R.","153","Native","Bronze","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Lessingianthus","bardanoides","(Less.) H.Rob.","ASTERACEAE Lessingianthus bardanoides (Less.) H.Rob.","SPSF00037035","Splink","SPSF","Rossatto, D.R.","153A","Native","Bronze","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Mikania","cordifolia","(L.f.) Willd.","ASTERACEAE Mikania cordifolia (L.f.) Willd.","SPSF00037021","Splink","SPSF","Klein, A.L.","18","Native","Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Mikania","triangularis","Baker","ASTERACEAE Mikania triangularis Baker","SPSF00044435","Splink","SPSF","Santos, R.L.R.","66","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Moquiniastrum","barrosoae","(Cabrera) G. Sancho","ASTERACEAE Moquiniastrum barrosoae (Cabrera) G. Sancho","SPSF00037024","Splink","SPSF","Rossatto, D.R.","123","Native","Ouro","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Moquiniastrum","polymorphum","(Less.) G. Sancho","ASTERACEAE Moquiniastrum polymorphum (Less.) G. Sancho","SPSF00044436","Splink","SPSF","Santos, R.L.R.","109","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Piptocarpha","rotundifolia","(Less.) Baker","ASTERACEAE Piptocarpha rotundifolia (Less.) Baker","SPSF00036991","Splink","SPSF","Klein, A.L.","19","Native","Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Praxelis","diffusa","(Rich.) Pruski","ASTERACEAE Praxelis diffusa (Rich.) Pruski","SPSF00037031","Splink","SPSF","Rossatto, D.R.","131","Native","Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae","Vernonanthura","viscidula","(Less.) H.Rob.","ASTERACEAE Vernonanthura viscidula (Less.) H.Rob.","40305","GBIF","SPSF","Aguiar, O.T.","862","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Asteraceae|Rosaceae","Agrimonia",,"L.","ASTERACEAE|ROSACEAE Agrimonia L.","SPSF00037032","Splink","SPSF","Rossatto, D.R.","132",,"Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Bignoniaceae","Adenocalymma","paulistarum","Bureau & K.Schum.","BIGNONIACEAE Adenocalymma paulistarum Bureau & K.Schum.","SPSF00044411","Splink","SPSF","Santos, R.L.R.","152","Native","Ouro","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Bignoniaceae","Bignonia","sciuripabulum","(K.Schum.) L.G.Lohmann","BIGNONIACEAE Bignonia sciuripabulum (K.Schum.) L.G.Lohmann","HUEFS0179666","Splink","HUEFS","Santos, R.L.R.","153","Native","Ouro","High","Estação Ecológica de Itaberá, (SAD 71, Zona 25 K)","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Bignoniaceae","Fridericia","speciosa","Mart.","BIGNONIACEAE Fridericia speciosa Mart.","SPSF00037030","Splink","SPSF","Rossatto, D.R.","89","Native","Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Bignoniaceae","Fridericia","triplinervia","(Mart. ex DC.) L.G.Lohmann","BIGNONIACEAE Fridericia triplinervia (Mart. ex DC.) L.G.Lohmann","SPSF00044424","Splink","SPSF","Santos, R.L.R.","134","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Bignoniaceae","Jacaranda","micrantha","Cham.","BIGNONIACEAE Jacaranda micrantha Cham.","SPSF00044434","Splink","SPSF","Santos, R.L.R.","151","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Bignoniaceae","Lundia",,"DC.","BIGNONIACEAE Lundia DC.","HUEFS0179665","Splink","HUEFS","Santos, R.L.R.","134",,"Bronze","High","Estação Ecológica de Itaberá, (SAD 69, Zona 23 K)","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Ferns and Lycophytes","Blechnaceae","Blechnum",,"L.","BLECHNACEAE Blechnum L.","SPSF00052437","Splink","SPSF","Polisel, R.T.","1064",,"Latão","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Boraginaceae","Cynoglossum","amabile","Stapf & J.R.Drumm.","BORAGINACEAE Cynoglossum amabile Stapf & J.R.Drumm.","SPSF00052099","Splink","SPSF","Toffoli, I.","11","Cultivated","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Bromeliaceae","Billbergia","distachia","(Vell.) Mez","BROMELIACEAE Billbergia distachia (Vell.) Mez","SP051100","Splink","SP","Tamashiro, J.Y.","1303","Native","Ouro","Low","Reserva Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Bromeliaceae","Bromelia","antiacantha","Bertol.","BROMELIACEAE Bromelia antiacantha Bertol.","SPSF00052438","Splink","SPSF","Polisel, R.T.","1063","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Burseraceae","Protium","spruceanum","(Benth.) Engl.","BURSERACEAE Protium spruceanum (Benth.) Engl.","SPSF00038177","Splink","SPSF","Guerin, N.","124","Native","Prata","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Cactaceae","Lepismium","houlletianum","(Lem.) Barthlott","CACTACEAE Lepismium houlletianum (Lem.) Barthlott","SPSF00040330","Splink","SPSF","Almeida, R.S.","21","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Cactaceae","Pereskia","aculeata","Mill.","CACTACEAE Pereskia aculeata Mill.","SPSF00052218","Splink","SPSF","Santos, R.L.R.","164","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Cannabaceae","Celtis","iguanaea","(Jacq.) Sarg.","CANNABACEAE Celtis iguanaea (Jacq.) Sarg.","SPSF00052113","Splink","SPSF","Toffoli, I.","26","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Cardiopteridaceae","Citronella","paniculata","(Mart.) R.A.Howard","CARDIOPTERIDACEAE Citronella paniculata (Mart.) R.A.Howard","SPSF00053170","Splink","SPSF","Ivanauskas, N.M.","6837","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Caricaceae","Jacaratia","heptaphylla","(Vell.) A.DC.","CARICACEAE Jacaratia heptaphylla (Vell.) A.DC.","SPSF00053171","Splink","SPSF","Ivanauskas, N.M.","6838","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Celastraceae","Monteverdia","aquifolium","(Mart.) Biral","CELASTRACEAE Monteverdia aquifolium (Mart.) Biral","SPSF00052137","Splink","SPSF","Toffoli, I.","48","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Celastraceae","Monteverdia","evonymoides","(Reissek) Biral","CELASTRACEAE Monteverdia evonymoides (Reissek) Biral","SPSF00052117","Splink","SPSF","Toffoli, I.","31","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Celastraceae","Peritassa","campestris","(Cambess.) A.C. Sm.","CELASTRACEAE Peritassa campestris (Cambess.) A.C. Sm.","251349","Splink","SP","Godoi, J.V.","117","Native","Ouro","High","Estação Ecológica de Itaberá, Engenheiro Maia","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Clethraceae","Clethra","scabra","Pers.","CLETHRACEAE Clethra scabra Pers.","SPSF00053172","Splink","SPSF","Ivanauskas, N.M.","6839","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Combretaceae","Terminalia","triflora","(Griseb.) Lillo","COMBRETACEAE Terminalia triflora (Griseb.) Lillo","SPSF00052144","Splink","SPSF","Toffoli, I.","55","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Commelinaceae",,,"Mirb.","COMMELINACEAE Commelinaceae Mirb.","SPSF00052314","Splink","SPSF","Santos, R.L.R.","74",,"Latão","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Connaraceae","Connarus","suberosus","Planch.","CONNARACEAE Connarus suberosus Planch.","SPSF00037033","Splink","SPSF","Rossatto, D.R.","133","Native","Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Cyperaceae","Cyperus","virens","Michx.","CYPERACEAE Cyperus virens Michx.","SPSF00052156","Splink","SPSF","Ribeiro, T.M.","10","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Dilleniaceae","Davilla","rugosa","Poir.","DILLENIACEAE Davilla rugosa Poir.","SPSF00052166","Splink","SPSF","Ribeiro, T.M.","20","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Dilleniaceae","Doliocarpus","dentatus","(Aubl.) Standl.","DILLENIACEAE Doliocarpus dentatus (Aubl.) Standl.","SPSF00037000","Splink","SPSF","Rossatto, D.R.","129","Native","Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Elaeocarpaceae","Sloanea","hirsuta","(Schott) Planch. ex Benth.","ELAEOCARPACEAE Sloanea hirsuta (Schott) Planch. ex Benth.","HRCB020543","Splink","HRCB","Tamashiro, J.Y.","1302","Native","Bronze","Low","Reserva Ecológica de Iataberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Elaeocarpaceae","Sloanea","lasiocoma","K.Schum.","ELAEOCARPACEAE Sloanea lasiocoma K.Schum.","279663","Splink","SP","Tamashiro, J.Y.","1302","Native","Ouro","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Erythroxylaceae","Erythroxylum","buxus","Peyr.","ERYTHROXYLACEAE Erythroxylum buxus Peyr.","SPSF00037020","Splink","SPSF","Klein, A.L.","17","Native","Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Euphorbiaceae","Acalypha","gracilis","Spreng.","EUPHORBIACEAE Acalypha gracilis Spreng.","SPSF00052211","Splink","SPSF","Santos, R.L.R.","142","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Euphorbiaceae","Actinostemon","concepcionis","(Chodat & Hassl.) Hochr.","EUPHORBIACEAE Actinostemon concepcionis (Chodat & Hassl.) Hochr.","SPSF00052301","Splink","SPSF","Toffoli, I.","62","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Euphorbiaceae","Actinostemon","klotzschii","(Didr.) Pax","EUPHORBIACEAE Actinostemon klotzschii (Didr.) Pax","SPSF00040329","Splink","SPSF","Almeida, R.S.","20","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Euphorbiaceae","Alchornea","triplinervia","(Spreng.) Müll.Arg.","EUPHORBIACEAE Alchornea triplinervia (Spreng.) Müll.Arg.","SPSF00053173","Splink","SPSF","Ivanauskas, N.M.","6840","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Euphorbiaceae","Croton","glandulosus","L.","EUPHORBIACEAE Croton glandulosus L.","SPSF00037003","Splink","SPSF","Rossatto, D.R.","4","Native","Latão","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Euphorbiaceae","Gymnanthes","klotzschiana","Müll.Arg.","EUPHORBIACEAE Gymnanthes klotzschiana Müll.Arg.","SPSF00053174","Splink","SPSF","Ivanauskas, N.M.","6841","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Euphorbiaceae","Maprounea","guianensis","Aubl.","EUPHORBIACEAE Maprounea guianensis Aubl.","SPSF00038176","Splink","SPSF","Guerin, N.","123","Native","Prata","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Euphorbiaceae","Microstachys","daphnoides","(Mart.) F.Dietr.","EUPHORBIACEAE Microstachys daphnoides (Mart.) F.Dietr.","SPSF00037007","Splink","SPSF","Rossatto, D.R.","18","Native","Bronze","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Euphorbiaceae","Tetrorchidium","rubrivenium","Poepp.","EUPHORBIACEAE Tetrorchidium rubrivenium Poepp.","SPSF00053175","Splink","SPSF","Ivanauskas, N.M.","6842","Native","Prata","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Fabaceae","Bauhinia","forficata","Link","FABACEAE Bauhinia forficata subsp. forficata Link","38160","GBIF","SPSF","Guerin, N.","95","Native","Prata","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Fabaceae","Bauhinia","longifolia","(Bong.) Steud.","FABACEAE Bauhinia longifolia (Bong.) Steud.","SPSF00038160","Splink","SPSF","Guerin, N.","95","Native","Prata","High","Estação Ecológica","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Fabaceae","Calliandra","foliolosa","Benth.","FABACEAE Calliandra foliolosa Benth.","SPSF00052215","Splink","SPSF","Santos, R.L.R.","154","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Angiosperms","Fabaceae","Cassia","leptophylla","Vogel","FABACEAE Cassia leptophylla Vogel","SPSF00052131","Splink","SPSF","Toffoli, I.","42","Native","Bronze","High","Estação Ecológica de Itaberá","Não"
