"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","FUEL029897","Splink","FUEL","Vieira, A.O.S.","237",,"Latão","Low","Rod. Pedro Taques - Vila Caiçara, Vila Caiçara Pedro Taques","Não"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","65832","Splink","SP","Joly, A.B.","1100","Native","Ouro","Low","Vila Atlântica","Não"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae","Aphelandra","prismatica","(Vell.) Hiern","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","MBM317723","Splink","MBM","Pastore, J.A.","881","Native","Bronze","High","Parque Estadual Xixová-Japuí, Região da Ilha de Paranapuã.","Não"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae","Aphelandra","squarrosa","Nees","ACANTHACEAE Aphelandra squarrosa Nees","SP022277","Splink","SP","Loefgren, A.","CGG5972","Native","Latão","Low","Piassaguera. Mata virgem.","Não"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae","Avicennia","schaueriana","Stapf & Leechm. ex Moldenke","ACANTHACEAE Avicennia schaueriana Stapf & Leechm. ex Moldenke","FUEL021425","Splink","FUEL","Pastore, J.A.","1140","Native","Prata","High","Parque Estadual Xixová-Japuí, Praia de Paranapuã, próximo ao mar","Não"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae","Brillantaisia","lamium","(Nees) Benth.","ACANTHACEAE Brillantaisia lamium (Nees) Benth.","HUSC015814","Splink","HUSC","Vilaca, L.F.","16","Naturalized","Bronze","Low","No bairro Japuí na entrada principal da Unidade de Conservação, próximo aencosta do morro, Parque Estadual Xixova Japuí - núcleo Japuí, Solo - Gleissolos, Textura - Indiscriminada, Relevo - Plano","Não"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae","Pachystachys","lutea","Nees","ACANTHACEAE Pachystachys lutea Nees","192748886","GBIF","Observations","Cunha_sup",,"Native","Ouro","Low","Japui, São Vicente, SP, BR","Não"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae","Sanchezia","parvibracteata","Sprague & Hutch.","ACANTHACEAE Sanchezia parvibracteata Sprague & Hutch.","218203813","GBIF","Observations","Hanate, P.",,"Cultivated","Bronze","Low","Japuí, São Vicente - SP, Brasil","Não"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae","Thunbergia","alata","Bojer ex Sims","ACANTHACEAE Thunbergia alata Bojer ex Sims","123350841","GBIF","Observations","Dominguez, Y.",,"Naturalized","Bronze","Low","Japuí, São Vicente - SP, Brazil","Não"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae|Rubiaceae","Gonzalagunia",,"Ruiz & Pav.","ACANTHACEAE|RUBIACEAE Gonzalagunia Ruiz & Pav.","SP022292","Splink","SP","Loefgren, A.","CGG4206",,"Latão","Low","Posto do Rei","Não"
