"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"112","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Bignoniaceae","Fridericia","florida","(DC.) L.G.Lohmann","BIGNONIACEAE Fridericia florida (DC.) L.G.Lohmann","RB01508513",,"RB","Godoy, S.A.P.","1301","Native","Bronze","ARIE Cerrado Pé-de-Gigante, margem em direção à Via Anhanguera","Não"
"114","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Bignoniaceae","Fridericia","speciosa","Mart.","BIGNONIACEAE Fridericia speciosa Mart.","RB01508495",,"RB","Godoy, S.A.P.","882","Native","Bronze","ARIE Cerrado Pé-de-Gigante","Não"
"188","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Ochnaceae","Ouratea","spectabilis","(Mart.) Engl.","OCHNACEAE Ouratea spectabilis (Mart.) Engl.","RB01425290",,"RB","Godoy, S.A.P.","1041","Native","Bronze","ARIE Cerrado Pé-de-Gigante. Área demarcada","Não"
"254","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Sapindaceae","Serjania","reticulata","Cambess.","SAPINDACEAE Serjania reticulata Cambess.","RB01508504",,"RB","Weiser, V.L.","4","Native","Bronze","ARIE Cerrado Pé-de-Gigante","Não"
"260","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Smilacaceae","Smilax","cissoides","Mart. ex Griseb.","SMILACACEAE Smilax cissoides Mart. ex Griseb.","RB01508501",,"RB","Godoy, S.A.P.","1022","Native","Bronze","ARIE Cerrado Pé-de-Gigante","Não"
"267","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Bignoniaceae","Stizophyllum","perforatum","(Cham.) Miers","BIGNONIACEAE Stizophyllum perforatum (Cham.) Miers","RB01467187",,"RB","Godoy, S.A.P.","1275","Native","Bronze","ARIE Cerrado Pé-de-Gigante","Não"
"301","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Annonaceae","Xylopia","aromatica","(Lam.) Mart.","ANNONACEAE Xylopia aromatica (Lam.) Mart.","RB01425248",,"RB","Godoy, S.A.P.","844","Native","Bronze","ARIE Cerrado Pé-de-Gigante. Área demarcada","Não"
"1","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Bromeliaceae","Acanthostachys","strobilacea","(Schult. & Schult.f.) Klotzsch","BROMELIACEAE Acanthostachys strobilacea (Schult. & Schult.f.) Klotzsch","331266","GBIF",,,"1502","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"2","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Asteraceae","Achyrocline","satureioides","(Lam.) DC.","ASTERACEAE Achyrocline satureioides (Lam.) DC.","131520","GBIF",,,"828","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"3","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Melastomataceae","Acisanthera","alsinaefolia","(Mart. & Schrank ex DC.) Triana","MELASTOMATACEAE Acisanthera alsinaefolia (Mart. & Schrank ex DC.) Triana","328999","GBIF",,,"1533","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"4","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Bignoniaceae","Adenocalymma","peregrinum","(Miers) L.G.Lohmann","BIGNONIACEAE Adenocalymma peregrinum (Miers) L.G.Lohmann","PMSP005780","GBIF",,,"1132","Native","Latão","ARIE Cerrado Pé-de-Gigante, área demarcada.","Não"
"5","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Asteraceae","Aldama","arenaria","(Baker) E.E.Schill. & Panero","ASTERACEAE Aldama arenaria (Baker) E.E.Schill. & Panero","PMSP005784","GBIF",,,"1263","Native","Latão","ARIE Cerrado Pé-de-Gigante, margem em direção ao riacho.","Não"
"6","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Alstroemeriaceae","Alstroemeria","plantaginea","Mart. ex Schult. & Schult.f.","ALSTROEMERIACEAE Alstroemeria plantaginea Mart. ex Schult. & Schult.f.","331242","GBIF",,,"1095","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"7","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Alstroemeriaceae","Alstroemeria","pulchella","L.f.","ALSTROEMERIACEAE Alstroemeria pulchella L.f.","331241","GBIF",,,"1255",,"Latão","ARIE Cerrado Pé-de-Gigante","Não"
"8","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Rubiaceae","Amaioua","intermedia","Mart. ex Schult. & Schult.f.","RUBIACEAE Amaioua intermedia Mart. ex Schult. & Schult.f.","330740","GBIF",,,"985","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"9","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Bignoniaceae","Amphilophium","elongatum","(Vahl) L.G.Lohmann","BIGNONIACEAE Amphilophium elongatum (Vahl) L.G.Lohmann","PMSP005781","GBIF",,,"894","Native","Latão","ARIE Cerrado Pé-de-Gigante, margem de","Não"
"10","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Bignoniaceae","Amphilophium","mansoanum","(DC.) L.G.Lohmann","BIGNONIACEAE Amphilophium mansoanum (DC.) L.G.Lohmann","330736","GBIF",,,"950","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"11","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Anacardiaceae","Anacardium","humile","A.St.-Hil.","ANACARDIACEAE Anacardium humile A.St.-Hil.","331333","GBIF",,,"654","Native","Latão","ARIE Cerrado Pé-de-Gigante, 47°34-41' W e 21°36-44' S","Não"
"12","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Fabaceae","Anadenanthera","colubrina","(Vell.) Brenan","FABACEAE Anadenanthera colubrina (Vell.) Brenan","180649","GBIF",,,"3","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"13","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Fabaceae","Anadenanthera","peregrina","(L.) Speg.","FABACEAE Anadenanthera peregrina (L.) Speg.","PMSP005774","GBIF",,,"1040","Native","Latão","ARIE Cerrado Pé-de-Gigante. Àrea demarcada.","Não"
