"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","verbatimLatitude","verbatimLongitude","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","barcode","continentocean","phylum","preparationtype","order","minimumelevationinmeters","maximumelevationinmeters","class","infraspecificepithet","individualcount","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink","IAC","51613","Acanthostachys strobilacea","Plantae","Bromeliaceae","Acanthostachys","1986","11","13","Brasil","São Paulo","Angatuba","Estação Ecológica de Angatuba (IF)","IAC","PreservedSpecimen","-23.423889","-48.35056","64","strobilacea","R.B. Torres; N. Figueiredo & A.R. Oliveira (2)","-48.35056","-23.423889","2023-06-29T09:33:09","(Schult. & Schult.f.) Klotzsch","105",,"R. B. Torres","1988","06","13",,,,"Tracheophyta",,"Poales",,,"Magnoliopsida",,,"SPLINK","Angatuba","1988-06-13",,,,,,,,,,,,,,,,,,"IAC",,"Torres, R.B.","105","1986","Torres, R.B.","1988","Figueiredo, N.; Oliveira, A.R.","Torres",,"brazil","sao paulo","angatuba","estacao ecologica de angatuba",,"locality","brazil_sao paulo_angatuba_estacao ecologica angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba",-23.410524,-48.363259,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Acanthostachys strobilacea","(Schult. & Schult.f.) Klotzsch","possibly_ok","Bromeliaceae","Acanthostachys strobilacea","(Schult. & Schult.f.) Klotzsch","species","name accepted","bfo-5752",,,"Acanthostachys strobilacea (Schult. & Schult.f.) Klotzsch","Acanthostachys","Bromeliaceae","medium","Acanthostachys strobilacea"
"speciesLink","UEC","151160","Adenocalymma paulistarum","Plantae","Bignoniaceae","Adenocalymma","1987","08","21","Brazil","São Paulo","Angatuba","Estação Ecológica de Angatuba. Mata Secundária.","UNICAMP","S","-23.711556","-48.592417","2","paulistarum","Torres, RB; Figueiredo, N; Oliveira, AR","-48.592417","-23.711556","2025-04-07T10:50:48","Bureau & K.Schum.","263","<nO>Cipó, flores amarelas.</nO>","Fonseca, LHM","2014","06",,,"UEC065887",,"Magnoliopsida",,,,,,,,"SPLINK","Angatuba","2014-06-NA",,,,,,,,,,,,,,,,,,"UEC",,"Torres, R.B.","263","1987","Fonseca, L.H.M.","2014","Figueiredo, N.; Oliveira, A.R.","Torres",,"brazil","sao paulo","angatuba","estacao ecologica de angatuba, mata secundaria",,"locality","brazil_sao paulo_angatuba","brazil_sao paulo_angatuba",-23.43652785,-48.459291,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Adenocalymma paulistarum","Bureau & K.Schum.","possibly_ok","Bignoniaceae","Adenocalymma paulistarum","Bureau & K.Schum.","species","name accepted","bfo-112407",,,"Adenocalymma paulistarum Bureau & K.Schum.","Adenocalymma","Bignoniaceae","low","Adenocalymma paulistarum"
"speciesLink","PEUFR","53770","Aegiphila sellowiana","Plantae","Verbenaceae","Aegiphila","1987","06","09","Brasil","São Paulo","Angatuba","Estação Ecológica de Angatuba (IF)","UFRPE","PreservedSpecimen","23°25'26""S","48°21'02""W","159","sellowiana","R.B. Torres ; N. Figueiredo & A.R Oliveira","-48.350556","-23.423889","2023-05-12T14:34:23","Cham.","212","<nO>Altitude: 624m, Árvore, 7m de altura, frutos velhos secos</nO>","R.B Torres","1998",,,,"PEUFR053770",,,,,,,,,,"SPLINK","Angatuba","1998-NA-NA",,,,,,,,,,,,,,,,,,"PEUFR",,"Torres, R.B.","212","1987","Torres, R.B.","1998","Figueiredo, N.; Oliveira, A.R.","Torres",,"brazil","sao paulo","angatuba","estacao ecologica de angatuba",,"locality","brazil_sao paulo_angatuba_estacao ecologica angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba",-23.410524,-48.363259,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Aegiphila integrifolia","(Jacq.) Moldenke","possibly_ok","Lamiaceae","Aegiphila integrifolia","(Jacq.) Moldenke","species","replaced synonym","bfo-23320","Aegiphila integrifolia","(Jacq.) Moldenke","Aegiphila integrifolia (Jacq.) Moldenke","Aegiphila","Lamiaceae","medium","Aegiphila integrifolia"
"speciesLink","IAC","51350","Agonandra brasiliensis","Plantae","Opiliaceae","Agonandra","1987","10","09","Brasil","São Paulo","Angatuba","Estação Ecológica de Angatuba (IF)","IAC","PreservedSpecimen","-23.423889","-48.35056","64","brasiliensis","R.B. Torres; N. Figueiredo & A.R. Oliveira (2)","-48.35056","-23.423889","2023-06-29T09:34:20","Miers ex Benth. & Hook.f.","295",,"R. B. Torres","1988","06","09",,,,"Tracheophyta",,"Santalales",,,"Magnoliopsida",,,"SPLINK","Angatuba","1988-06-09",,,,,,,,,,,,,,,,,,"IAC",,"Torres, R.B.","295","1987","Torres, R.B.","1988","Figueiredo, N.; Oliveira, A.R.","Torres",,"brazil","sao paulo","angatuba","estacao ecologica de angatuba",,"locality","brazil_sao paulo_angatuba_estacao ecologica angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba",-23.410524,-48.363259,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Agonandra brasiliensis","Miers ex Benth. & Hook.f.","possibly_ok","Opiliaceae","Agonandra brasiliensis","Miers ex Benth. & Hook.f.","species","name accepted","bfo-19966",,,"Agonandra brasiliensis Miers ex Benth. & Hook.f.","Agonandra","Opiliaceae","medium","Agonandra brasiliensis"
"speciesLink","SP","447077","Alchornea triplinervia","Plantae","Euphorbiaceae","Alchornea","2012","12","18","Brasil","São Paulo","Angatuba","Estação Ecológica de Angatuba, Estrada de terra a oeste do Centro Administrativo da UC. Crescendo na beira da rodovia em vegetação de cerradão","IBt","PreservedSpecimen","-23.23852","-48.21009","1","triplinervia","Silva, OLM; Pastore, M; Lima, MEL","-48.21009","-23.23852","2021-12-09T11:04:53","(Spreng.) Müll.Arg.","44","<nO>Árvores com cerca de 5 m altura. Folhas verdes, discolores. Flores femininas verdes. Semente com arilo vermelho.</nO>","Silva, OLM","2012","12","18",,"SP0447077",,,,,"695","695",,,,"SPLINK","Angatuba","2012-12-18",,,,,,,,,,,,,,,,,,"SP",,"Silva, O.L.M.","44","2012","Silva, O.L.M.","2012","Pastore, M.; Lima, M.E.L.","Silva",,"brazil","sao paulo","angatuba","estacao ecologica de angatuba, estrada de terra a oeste do centro administrativo da uc, crescendo na beira da rodovia em vegetacao de cerradao",,"locality","brazil_sao paulo_angatuba","brazil_sao paulo_angatuba",-23.43652785,-48.459291,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Alchornea triplinervia","(Spreng.) Müll.Arg.","possibly_ok","Euphorbiaceae","Alchornea triplinervia","(Spreng.) Müll.Arg.","species","name accepted","bfo-17458",,,"Alchornea triplinervia (Spreng.) Müll.Arg.","Alchornea","Euphorbiaceae","high","Alchornea triplinervia"
"speciesLink","UEC","151272","Allophylus guaraniticus","Plantae","Sapindaceae","Allophylus","1987","09","09","Brazil","São Paulo","Angatuba","Estação Ecológica de Angatuba. Mata Secundária.","UNICAMP","S","-23.711583","-48.592694","2","guaraniticus","Torres, RB; Figueiredo, N; Oliveira, AR","-48.592694","-23.711583","2025-04-07T11:04:23","Radlk.","273","<nO>Árvore 8 m. Interior da mata perto da pedreira. Frutos jovens verdes, disco na base do ovário conspícuo.</nO>","Torres, RB","1988",,,,"UEC159751",,"Magnoliopsida",,,,,,,,"SPLINK","Angatuba","1988-NA-NA",,,,,,,,,,,,,,,,,,"UEC",,"Torres, R.B.","273","1987","Torres, R.B.","1988","Figueiredo, N.; Oliveira, A.R.","Torres",,"brazil","sao paulo","angatuba","estacao ecologica de angatuba, mata secundaria",,"locality","brazil_sao paulo_angatuba","brazil_sao paulo_angatuba",-23.43652785,-48.459291,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Allophylus divaricatus","Radlk.","possibly_ok","Sapindaceae","Allophylus divaricatus","Radlk.","species","name misspelled","bfo-24685",,,"Allophylus divaricatus Radlk.","Allophylus","Sapindaceae","medium","Allophylus divaricatus"
"speciesLink","IAC","51434","Allophylus guaraniticus","Plantae","Sapindaceae","Allophylus","1987","09","09","Brasil","São Paulo","Angatuba","Estação Ecológica de Angatuba (IF)","IAC","PreservedSpecimen","-23.423889","-48.35056","64","guaraniticus","R.B. Torres; N. Figueiredo & A.R. Oliveira (2)","-48.35056","-23.423889","2023-09-15T15:21:21","(A.St.-Hil.) Radlk.","273",,"R.B. Torres","1988","06","09",,,,"Tracheophyta",,"Sapindales",,,"Magnoliopsida",,,"SPLINK","Angatuba","1988-06-09",,,,,,,,,,,,,,,,,,"IAC",,"Torres, R.B.","273","1987","Torres, R.B.","1988","Figueiredo, N.; Oliveira, A.R.","Torres",,"brazil","sao paulo","angatuba","estacao ecologica de angatuba",,"locality","brazil_sao paulo_angatuba_estacao ecologica angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba",-23.410524,-48.363259,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Allophylus guaraniticus","(A. St.-Hil.) Radlk.","possibly_ok","Sapindaceae","Allophylus guaraniticus","(A. St.-Hil.) Radlk.","species","author misspelled","bfo-87723",,,"Allophylus guaraniticus (A. St.-Hil.) Radlk.","Allophylus","Sapindaceae","medium","Allophylus guaraniticus"
"speciesLink","IAC","51596","Aloysia virgata","Plantae","Verbenaceae","Aloysia","1987","06","08","Brasil","São Paulo","Angatuba","Estação Ecológica de Angatuba (IF)","IAC","PreservedSpecimen","-23.423889","-48.35056","64","virgata","N. Figueiredo","-48.35056","-23.423889","2023-06-29T09:29:58","(Ruiz & Pav.) Juss.","209",,"N. Figueiredo","1988","06","08",,,,"Tracheophyta",,"Lamiales",,,"Magnoliopsida",,,"SPLINK","Angatuba","1988-06-08",,,,,,,,,,,,,,,,,,"IAC",,"Figueiredo, N.","209","1987","Figueiredo, N.","1988",,"Figueiredo",,"brazil","sao paulo","angatuba","estacao ecologica de angatuba",,"locality","brazil_sao paulo_angatuba_estacao ecologica angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba",-23.410524,-48.363259,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Aloysia virgata","(Ruiz & Pav.) Juss.","possibly_ok","Verbenaceae","Aloysia virgata","(Ruiz & Pav.) Juss.","species","name accepted","bfo-15131",,,"Aloysia virgata (Ruiz & Pav.) Juss.","Aloysia","Verbenaceae","low","Aloysia virgata"
"speciesLink","IAC","51586","Anchietea pyrifolia","Plantae","Violaceae","Anchietea","1986","09","10","Brasil","São Paulo","Angatuba","Estação Ecológica de Angatuba (IF)","IAC","PreservedSpecimen","-23.423889","-48.35056","64","pyrifolia","R.B. Torres; N. Figueiredo & A.R. Oliveira (2)","-48.35056","-23.423889","2023-06-29T09:31:55","(Mart.) G.Don","22",,"R.B. Torres","1988","06","10",,,,"Tracheophyta",,"Malpighiales",,,"Magnoliopsida",,,"SPLINK","Angatuba","1988-06-10",,,,,,,,,,,,,,,,,,"IAC",,"Torres, R.B.","22","1986","Torres, R.B.","1988","Figueiredo, N.; Oliveira, A.R.","Torres",,"brazil","sao paulo","angatuba","estacao ecologica de angatuba",,"locality","brazil_sao paulo_angatuba_estacao ecologica angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba",-23.410524,-48.363259,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Anchietea pyrifolia","(Mart.) G.Don","possibly_ok","Violaceae","Anchietea pyrifolia","(Mart.) G.Don","species","name accepted","bfo-15223",,,"Anchietea pyrifolia (Mart.) G.Don","Anchietea","Violaceae","medium","Anchietea pyrifolia"
"speciesLink","UEC","149371","Andira anthelmia","Plantae","Fabaceae","Andira","1986","10","07","Brazil","São Paulo","Angatuba","Estação Ecológica de Angatuba. Mata Secundária.","UNICAMP","S","-23.710939","-48.58625","2","anthelmia","Torres, RB; Figueiredo, N; Oliveira, AR","-48.58625","-23.710939","2025-04-07T10:54:04","(Vell.) J.F.Macbr.","46","<nO>Árvore 6 m. Beira da mata. Árvore 6 m. Flores rosa pálido. ""Olho de cabra"".</nO>","Tamashiro, JY","1988","05",,,"UEC150780",,"Magnoliopsida",,,,,,,,"SPLINK","Angatuba","1988-05-NA",,,,,,,,,,,,,,,,,,"UEC",,"Torres, R.B.","46","1986","Tamashiro, J.Y.","1988","Figueiredo, N.; Oliveira, A.R.","Torres",,"brazil","sao paulo","angatuba","estacao ecologica de angatuba, mata secundaria",,"locality","brazil_sao paulo_angatuba","brazil_sao paulo_angatuba",-23.43652785,-48.459291,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Andira anthelmia","(Vell.) Benth.","possibly_ok","Fabaceae","Andira anthelmia","(Vell.) Benth.","species","author misspelled","bfo-29439",,,"Andira anthelmia (Vell.) Benth.","Andira","Fabaceae","high","Andira anthelmia"
