"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","Angiosperms","Euphorbiaceae","Acalypha","digynostachya","Baill.","EUPHORBIACEAE Acalypha digynostachya Baill.","SPSF00038958","SPLINK","SPSF","Aguiar, O.T.","779","Native","Ouro","Estação Ecológica de Paranapanema","Não"
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","Angiosperms","Melastomataceae","Acisanthera","alsinaefolia","(Mart. & Schrank ex DC.) Triana","MELASTOMATACEAE Acisanthera alsinaefolia (Mart. & Schrank ex DC.) Triana","SPSF00038266","SPLINK","SPSF","Pastore, J.A.","1463","Native","Ouro","Estação Ecológica de Paranapanema","Não"
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","Ferns and Lycophytes","Cyatheaceae","Alsophila","sternbergii","(Sternb.) D.S.Conant","CYATHEACEAE Alsophila sternbergii (Sternb.) D.S.Conant","SPSF00038644","SPLINK","SPSF","Baitello, J.B.","1887","Native","Ouro","Estação Ecológica de Paranapanema","Não"
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","Angiosperms","Fabaceae","Andira","vermifuga","(Mart.) Benth.","FABACEAE Andira vermifuga (Mart.) Benth.","SPSF00038763","SPLINK","SPSF","Baitello, J.B.","1929","Native","Ouro","Estação Ecológica de Paranapanema","Não"
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","Angiosperms","Annonaceae","Annona","emarginata","(Schltdl.) H.Rainer","ANNONACEAE Annona emarginata (Schltdl.) H.Rainer","SPSF00038798","SPLINK","SPSF","Pastore, J.A.","1506","Native","Ouro","Estação Ecológica de Paranapanema","Não"
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","SPSF00038091","SPLINK","SPSF","Baitello, J.B.","1824","Native","Ouro","Estação Ecológica de Paranapanema","Não"
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","Angiosperms","Asteraceae","Baccharis","calvescens","DC.","ASTERACEAE Baccharis calvescens DC.","SPSF00038076","SPLINK","SPSF","Baitello, J.B.","1815","Native","Ouro","Estação Ecológica de Paranapanema","Não"
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","Angiosperms","Asteraceae","Baccharis","crispa","Spreng.","ASTERACEAE Baccharis crispa Spreng.","SPSF00038593","SPLINK","SPSF","Lima, C.R.","24","Native","Ouro","Estação Ecológica de Paranapanema","Não"
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","Angiosperms","Malpighiaceae","Banisteriopsis","argyrophylla","(A.Juss.) B.Gates","MALPIGHIACEAE Banisteriopsis argyrophylla (A.Juss.) B.Gates","SPSF00038095","SPLINK","SPSF","Baitello, J.B.","1828","Native","Ouro","Estação Ecológica de Paranapanema","Não"
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","Angiosperms","Fabaceae","Betencourtia","scarlatina","(Mart. ex Benth.) L.P.Queiroz","FABACEAE Betencourtia scarlatina (Mart. ex Benth.) L.P.Queiroz","SPSF00038592","SPLINK","SPSF","Lima, C.R.","23","Native","Ouro","Estação Ecológica de Paranapanema","Não"
