"","data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","coordinatePrecision","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","occurrenceRemarks","continentocean","phylum","class","order","recordNumber","locality","verbatimLatitude","verbatimLongitude","minimumelevationinmeters","maximumelevationinmeters","previouscatalognumber","individualcount","fieldnumber","infraspecificepithet","relationshiptype","relatedcatalogitem","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Abolboda pulchella","user",,"RB","RB01223056","Abolboda pulchella Humb.","Plantae","Xyridaceae","Abolboda","2014","12","9","Brasil","São Paulo",,,"JBRJ","Preserved Specimen","G. Durigan",,,,,,"G.B. Assis; N.A.L. Pilon, G. Durigan","-49.2369444","-22.7916666",,"Humb.","Erva, 50 cm de altura, flores roxas.",,,,,"201","campo úmido. Estação Ecológica de Santa Bárbara","22º47´30´´","49º14´13´´W",,,,,,,,,,,"Águas de Santa Bárbara","2014-12",,,"BR",,,"2014-12-09",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","201","2014","Durigan, G.","2014","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1223056",,,,,,,,,,,,,,,,,,,,,,"RB 675109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pulchella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/30/56/01223056.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-12 15:09:54+00","Angiospermas","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Abolboda pulchella","Humb.","name_w_authors","Xyridaceae","Abolboda pulchella","Humb.","species","name accepted","bfo-21590",,,"Abolboda pulchella Humb.","Abolboda","Xyridaceae","medium","Abolboda pulchella"
"Acanthospermum australe","user",,"RB","RB01223047","Acanthospermum australe (Loefl.) Kuntze","Plantae","Asteraceae","Acanthospermum","2014","8","10","Brasil","São Paulo",,,"JBRJ","Preserved Specimen","G. Durigan",,,,,,"G.B. Assis; N.A.L. Pilon, G. Durigan","-49.2369444","-22.7916666",,"(Loefl.) Kuntze","Erva prostrada, 20 cm de comprimento, flores alvas a creme.",,,,,"192","campo cerrado. Estação Ecológica de Santa Bárbara","22º47´30´´","49º14´13´´W",,,,,,,,,,,"Águas de Santa Bárbara","2014-8-10",,,"BR",,,"2014-08-10",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","192","2014","Durigan, G.","2014","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1223047",,,,,,,,,,,,,,,,,,,,,,"RB 675100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"australe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/30/47/01223047.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-12 15:09:25+00","Angiospermas","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Acanthospermum australe","(Loefl.) Kuntze","name_w_authors","Asteraceae","Acanthospermum australe","(Loefl.) Kuntze","species","name accepted","bfo-103231",,,"Acanthospermum australe (Loefl.) Kuntze","Acanthospermum","Asteraceae","medium","Acanthospermum australe"
"Acilepidopsis echitifolia","speciesLink","UEC177004","UEC","210741","Acilepidopsis echitifolia","Plantae","Asteraceae","Acilepidopsis","2023","04","01","Brazil","São Paulo","Águas de Santa Bárbara",,"UNICAMP","S","Durigan, G","2023","04","01","2","echitifolia","Dalbeto, AC; Durigan, G","-49.42625","-23.312661","2025-04-07T10:48:01","(Mart. ex A.DC.) H.Rob.","<nO>Planta com densa pilosidade esbranquiçada. Flores brancas.; Campo úmido; campo úmido de Cerrado; Vereda; Brejo</nO>",,"Magnoliopsida",,,"139","Coletada na Estação Ecológica de Santa Bárbara, em campo úmido.","-23.312661","-49.42625","62","62",,,,,,,,"SPLINK","Águas de Santa Bárbara","2023-04-01",,,,,,,,,,,,,,,,,,"UEC",,"Dalbeto, A.C.","139","2023","Durigan, G.","2023","Durigan, G.","Dalbeto",,"brazil","sao paulo","aguas de santa barbara","coletada na estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Acilepidopsis echitifolia","(Mart. ex DC.) H.Rob.","possibly_ok","Asteraceae","Acilepidopsis echitifolia","(Mart. ex DC.) H.Rob.","species","author misspelled","bfo-26777",,,"Acilepidopsis echitifolia (Mart. ex DC.) H.Rob.","Acilepidopsis","Asteraceae","medium","Acilepidopsis echitifolia"
"Acisanthera alsinaefolia","speciesLink","SPSF00056751","SPSF","56751","Acisanthera alsinaefolia","Plantae","Melastomataceae","Acisanthera","2014","10","03","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2014","10","03","13","alsinaefolia","N.A.L.Pilon & G.Durigan","-49.2375","-22.816667","2024-08-06T09:15:26","(Mart. & Schrank ex DC.) Triana","<nO>COLETA: Erva prostrada; flores magenta.; GEOGRAFIA: Campo úmido.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Myrtales","95","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2014-10-03",,,,,,,,,,,,,,,,,,"SPSF",,"Pilon, N.A.L.","95","2014","Durigan, G.","2014","Durigan, G.","Pilon",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Acisanthera alsinaefolia","(Mart. & Schrank ex DC.) Triana","possibly_ok","Melastomataceae","Acisanthera alsinaefolia","(Mart. & Schrank ex DC.) Triana","species","name accepted","bfo-25779",,,"Acisanthera alsinaefolia (Mart. & Schrank ex DC.) Triana","Acisanthera","Melastomataceae","medium","Acisanthera alsinaefolia"
"Adiantum serratodentatum","speciesLink","SPSF00056565","SPSF","56565","Adiantum serratodentatum","Plantae","Pteridaceae","Adiantum","2016","01","08","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2022","10","27","13","serratodentatum","G.Durigan & N.Pilon","-49.2375","-22.816667","2024-08-06T09:17:25","Willd.","<nO>COLETA: Avenca rizomatosa.; GEOGRAFIA: Campo úmido.;</nO>","América do Sul","Pteridophyta","Polypodiopsida","Polypodiales","4134","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2022-10-27",,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4134","2016","Durigan, G.","2022","Pilon, N.","Durigan",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Adiantum serratodentatum","Willd.","possibly_ok","Pteridaceae","Adiantum serratodentatum","Willd.","species","name accepted","bfo-91855",,,"Adiantum serratodentatum Willd.","Adiantum","Pteridaceae","medium","Adiantum serratodentatum"
"Aegiphila verticillata","speciesLink","SPSF00042946","SPSF","42946","Aegiphila verticillata","Plantae","Lamiaceae","Aegiphila","2008","09","23","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","I.S. Marques","2023","07","31","13","verticillata","N.Guerin & G.Durigan & E.Furlan","-49.22","-22.813611","2024-08-06T09:14:19","Vell.","<nO>COLETA: Arvoreta 1,2m altura.; GEOGRAFIA: Cerrado típico com invasão de braquiária, gordura e Pinus esparsos.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Lamiales","155","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"SPLINK","Águas de Santa Bárbara","2023-07-31",,,,,,,,,,,,,,,,,,"SPSF",,"Guerin, N.","155","2008","Marques, I.S.","2023","Durigan, G.; Furlan, E.","Guerin",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Aegiphila verticillata","Vell.","possibly_ok","Lamiaceae","Aegiphila verticillata","Vell.","species","name accepted","bfo-8120",,,"Aegiphila verticillata Vell.","Aegiphila","Lamiaceae","low","Aegiphila verticillata"
"Agarista chlorantha","speciesLink","UEC177011","UEC","210734","Agarista chlorantha","Plantae","Ericaceae","Agarista","2023","04","02","Brazil","São Paulo","Águas de Santa Bárbara",,"UNICAMP","S","Durigan, G","2023","04","02","2","chlorantha","Dalbeto, AC; Durigan, G","-49.451508","-23.3179","2025-04-07T10:53:04","(Cham.) G.Don","<nO>Planta com 60 cm de altura; Campo úmido; campo úmido de Cerrado; Vereda; Brejo</nO>",,"Magnoliopsida",,,"144","Coletada na em campo úmido Fazenda Tabaroa, vizinha da Estação Ecológica de Santa Bárbara.","-23.3179","-49.451508","62","62",,,,,,,,"SPLINK","Águas de Santa Bárbara","2023-04-02",,,,,,,,,,,,,,,,,,"UEC",,"Dalbeto, A.C.","144","2023","Durigan, G.","2023","Durigan, G.","Dalbeto",,"brazil","sao paulo","aguas de santa barbara","coletada na em campo umido fazenda tabaroa, vizinha da estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Agarista chlorantha","(Cham.) G.Don","possibly_ok","Ericaceae","Agarista chlorantha","(Cham.) G.Don","species","name accepted","bfo-7455",,,"Agarista chlorantha (Cham.) G.Don","Agarista","Ericaceae","medium","Agarista chlorantha"
"Agenium leptocladum","speciesLink","UEC176998","UEC","210747","Agenium leptocladum","Plantae","Poaceae","Agenium","2023","04","03","Brazil","São Paulo","Águas de Santa Bárbara",,"UNICAMP","S","Durigan, G","2023","04","03","2","leptocladum","Dalbeto, AC; Durigan, G","-49.440031","-23.343297","2025-04-07T10:44:46","(Hack.) Clayton","<nO>Graminóide de poucas folhas, colmos delgados eretos, folhas alternas ao longo dos colmos; Campo úmido; campo úmido de Cerrado; Vereda; Brejo</nO>",,"Liliopsida",,,"164","Coletada na em campo úmido Fazenda Tabaroa, vizinha da Estação Ecológica de Santa Bárbara.","-23.343297","-49.440031","60","60",,,,,,,,"SPLINK","Águas de Santa Bárbara","2023-04-03",,,,,,,,,,,,,,,,,,"UEC",,"Dalbeto, A.C.","164","2023","Durigan, G.","2023","Durigan, G.","Dalbeto",,"brazil","sao paulo","aguas de santa barbara","coletada na em campo umido fazenda tabaroa, vizinha da estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Agenium leptocladum","(Hack.) Clayton","possibly_ok","Poaceae","Agenium leptocladum","(Hack.) Clayton","species","name accepted","bfo-32176",,,"Agenium leptocladum (Hack.) Clayton","Agenium","Poaceae","medium","Agenium leptocladum"
"Ageratum conyzoides","speciesLink","UEC177025","UEC","210728","Ageratum conyzoides","Plantae","Asteraceae","Ageratum","2023","02","06","Brazil","São Paulo","Águas de Santa Bárbara",,"UNICAMP","S","Durigan, G","2023","02","06","2","conyzoides","Dalbeto, AC; Durigan, G","-49.411006","-23.341397","2025-04-07T10:48:02","L.","<nO>Planta com 50 cm de altura, poucas folhas esparças no caule, flores lilases; Campo úmido; campo úmido de Cerrado; Vereda; Brejo</nO>",,"Magnoliopsida",,,"102","Coletada na Estação Ecológica de Santa Bárbara, em campo úmido, Área do Quadrado","-23.341397","-49.411006","62","62",,,,,,,,"SPLINK","Águas de Santa Bárbara","2023-02-06",,,,,,,,,,,,,,,,,,"UEC",,"Dalbeto, A.C.","102","2023","Durigan, G.","2023","Durigan, G.","Dalbeto",,"brazil","sao paulo","aguas de santa barbara","coletada na estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Ageratum conyzoides","L.","possibly_ok","Asteraceae","Ageratum conyzoides","L.","species","name accepted","bfo-15934",,,"Ageratum conyzoides L.","Ageratum","Asteraceae","medium","Ageratum conyzoides"
"Allophylus edulis","speciesLink","SPSF00043049","SPSF","43049","Allophylus edulis","Plantae","Sapindaceae","Allophylus","2008","09","24","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2008","09","24","13","edulis","N.Guerin & G.Durigan & E.Furlan","-49.236111","-22.838056","2024-08-06T09:16:56","(A.St.-Hil. et al.) Hieron. ex Niederl.","<nO>COLETA: Arvoreta de 3 m de altura; fruto amarelo.; GEOGRAFIA: Ecótono com Pinus;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Sapindales","254","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"SPLINK","Águas de Santa Bárbara","2008-09-24",,,,,,,,,,,,,,,,,,"SPSF",,"Guerin, N.","254","2008","Durigan, G.","2008","Durigan, G.; Furlan, E.","Guerin",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","possibly_ok","Sapindaceae","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","species","name accepted","bfo-20873",,,"Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.","Allophylus","Sapindaceae","medium","Allophylus edulis"
