"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Acanthaceae","Justicia","brasiliana","Roth","ACANTHACEAE Justicia brasiliana Roth","SPSF00057724","Splink","SPSF","Pilon, N.","232","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Amaranthaceae","Pfaffia","tuberosa","(Spreng.) Hicken","AMARANTHACEAE Pfaffia tuberosa (Spreng.) Hicken","UEC183008","Splink","UEC","Pilon, N.A.L.","293","Native","Bronze","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","BOTUW003040","Splink","BOTUw","Lima, A.C.","535","Native","Bronze","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Annonaceae","Annona","dioica","A.St.-Hil.","ANNONACEAE Annona dioica A.St.-Hil.","BOTUW003030","Splink","BOTUw","Lima, A.C.","506","Native","Bronze","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Annonaceae","Xylopia","aromatica","(Lam.) Mart.","ANNONACEAE Xylopia aromatica (Lam.) Mart.","BOTUW003020","Splink","BOTUw","Lima, A.C.","489","Native","Bronze","Floresta Estadual de Assis, Zona Primitiva de cerrado","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Apocynaceae","Tabernaemontana","catharinensis","A.DC.","APOCYNACEAE Tabernaemontana catharinensis A.DC.","BOTUW003035","Splink","BOTUw","Lima, A.C.","520","Native","Bronze","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Araliaceae","Didymopanax","vinosus","(Cham. & Schltdl.) Marchal","ARALIACEAE Didymopanax vinosus (Cham. & Schltdl.) Marchal","BOTUW003018","Splink","BOTUw","Lima, A.C.","487","Native","Bronze","Floresta Estadual de Assis, Zona Primitiva de cerrado","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Aspilia","clausseniana","Baker","ASTERACEAE Aspilia clausseniana Baker","UEC176983","Splink","UEC","Dalbeto, A.C.","51","Native","Prata","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","SPSF00057562","Splink","SPSF","Durigan, G.","4180",,"Latão","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Baccharis","vismioides","DC.","ASTERACEAE Baccharis vismioides DC.","SPSF00057713","Splink","SPSF","Pilon, N.","221","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Campovassouria","cruciata","(Vell.) R.M.King & H.Rob.","ASTERACEAE Campovassouria cruciata (Vell.) R.M.King & H.Rob.","UEC176968","Splink","UEC","Dalbeto, A.C.","67","Native","Prata","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Campuloclinium","megacephalum","(Mart. ex Baker) R.M.King & H.Rob.","ASTERACEAE Campuloclinium megacephalum (Mart. ex Baker) R.M.King & H.Rob.","SPSF00059432","Splink","SPSF","Dalbeto, A.C.","383","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Dasyphyllum","sprengelianum","(Gardner) Cabrera","ASTERACEAE Dasyphyllum sprengelianum (Gardner) Cabrera","SPSF00057729","Splink","SPSF","Pilon, N.","238","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Elephantopus","mollis","Kunth","ASTERACEAE Elephantopus mollis Kunth","SPSF00056599","Splink","SPSF","Durigan, G.","4176","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Lepidaploa","chamissonis","(Less.) H.Rob.","ASTERACEAE Lepidaploa chamissonis (Less.) H.Rob.","SPSF00056976","Splink","SPSF","Durigan, G.","4172B","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Lepidaploa","remotiflora","(Rich.) H.Rob.","ASTERACEAE Lepidaploa remotiflora (Rich.) H.Rob.","SPF00233875","Splink","SPF","Pilon, N.","101","Native","Ouro","Floresta Estadual de Assis, Arboreto","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Lessingianthus","glabratus","(Less.) H.Rob.","ASTERACEAE Lessingianthus glabratus (Less.) H.Rob.","SPSF00059431","Splink","SPSF","Dalbeto, A.C.","382","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Lessingianthus","niederleinii","(Hieron.) H.Rob.","ASTERACEAE Lessingianthus niederleinii (Hieron.) H.Rob.","SPSF00057711","Splink","SPSF","Pilon, N.","219","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Orthopappus","angustifolius","(Sw.) Gleason","ASTERACEAE Orthopappus angustifolius (Sw.) Gleason","SPSF00057593","Splink","SPSF","Durigan, G.","4217","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Stevia","riedelii","Sch.Bip. ex Baker","ASTERACEAE Stevia riedelii Sch.Bip. ex Baker","SPSF00057702","Splink","SPSF","Pilon, N.","209","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Tilesia","baccata","(L.) Pruski","ASTERACEAE Tilesia baccata (L.) Pruski","SPSF00056702","Splink","SPSF","Cava, M.G.B.","109","Naturalized","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Asteraceae","Trichogonia","attenuata","G.M.Barroso","ASTERACEAE Trichogonia attenuata G.M.Barroso","SPSF00056430","Splink","SPSF","Durigan, G.","3907","Native","Bronze","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Bignoniaceae","Anemopaegma","arvense","(Vell.) Stellfeld ex de Souza","BIGNONIACEAE Anemopaegma arvense (Vell.) Stellfeld ex de Souza","BOTUW003032","Splink","BOTUw","Lima, A.C.","514","Native","Bronze","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Bignoniaceae","Jacaranda","caroba","(Vell.) DC.","BIGNONIACEAE Jacaranda caroba (Vell.) DC.","BOTUW003024","Splink","BOTUw","Lima, A.C.","496","Native","Bronze","Floresta Estadual de Assis, Zona Primitiva de cerrado","Não"
