"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Annonaceae","Annona","sylvatica","A.St.-Hil.","ANNONACEAE Annona sylvatica A.St.-Hil.","RB00552676",,"RB","Silva, E.L.",,"Native","Ouro","Parque Estadual Alberto Löfgren, área administrativa, próximo à guarita da Divisão de Dasonomia.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Apocynaceae","Tabernaemontana","laeta","Mart.","APOCYNACEAE Tabernaemontana laeta Mart.","RB00046537",,"RB","A. Cunha, S.N.M.",,"Native","Ouro","Parque Estadual Alberto Löfgren, área de visitação, parque do Palácio de Verão do Governador.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Apocynaceae","Aspidosperma","ramiflorum","Müll.Arg.","APOCYNACEAE Aspidosperma ramiflorum Müll.Arg.","RB00046010",,"RB","Baitello, J.B.","1011","Native","Prata","Parque estadual Alberto Löfgren, área administrativa, ao lado da Creche.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Myrtaceae","Eugenia","involucrata","DC.","MYRTACEAE Eugenia involucrata DC.","RB00307328",,"RB","Delgado, L.F.",,"Native","Prata","Parque Estadual Alberto Löfgren, área administrativa da hospedaria.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Vitaceae","Cissus","verticillata","(L.) Nicolson & C.E.Jarvis","VITACEAE Cissus verticillata subsp. verticillata (L.) Nicolson & C.E.Jarvis","RB00452225",,"RB","Peres, F.S.","24","Native","Bronze","Parque Estadual Alberto Löfgren, área administrativa, em frente ao viveiro de mudas, jardim de residência.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Fabaceae","Sesbania","virgata","(Cav.) Poir.","FABACEAE Sesbania virgata (Cav.) Poir.","308","SPLINK","MACK","Peres, F.S.","6","Native","Bronze","Parque Estadual Alberto Löfgren, viveiro de mudas.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Artemisia","verlotiorum","Lamotte","ASTERACEAE Artemisia verlotiorum Lamotte","262566","GBIF",,,"1102","Naturalized","Latão","Parque Estadual Alberto Löfgren.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Apocynaceae","Aspidosperma","pyrifolium","Mart. & Zucc.","APOCYNACEAE Aspidosperma pyrifolium Mart. & Zucc.","277951","GBIF",,,"1189","Native","Latão","Parque Estadual Alberto Löfgren.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Asteraceae","Bidens","pilosa","L.","ASTERACEAE Bidens pilosa L.","262557","GBIF",,,"411","Naturalized","Latão","Parque Estadual Alberto Löfgren.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Bixaceae","Bixa","orellana","L.","BIXACEAE Bixa orellana L.","40188","GBIF",,,"s.n.","Native","Latão","Parque Estadual Alberto Löfgren, Área administrativa, próximo ao prédio da Bibliotéca.","Não"
