"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE ESTADUAL CAVERNA DO DIABO","Angiosperms","Acanthaceae","Justicia","kleinii","Wassh. & L.B.Sm.","ACANTHACEAE Justicia kleinii Wassh. & L.B.Sm.","SPSF00058369","Splink","SPSF","Shirasuna, R.T.","5222","Native","Bronze","Parque Estadual Caverna do Diabo","Não"
"PARQUE ESTADUAL CAVERNA DO DIABO","Angiosperms","Amaryllidaceae","Zephyranthes","blumenavia","(K.Koch & C.D.Bouché ex Carrière) Nic.García & Dutilh","AMARYLLIDACEAE Zephyranthes blumenavia (K.Koch & C.D.Bouché ex Carrière) Nic.García & Dutilh","SPSF00057426","Splink","SPSF","Shirasuna, R.T.","5205","Native","Bronze","Parque Estadual Caverna do Diabo","Não"
"PARQUE ESTADUAL CAVERNA DO DIABO","Angiosperms","Apocynaceae","Aspidosperma",,"Mart. & Zucc.","APOCYNACEAE Aspidosperma Mart. & Zucc.","SORO009021","Splink","SORO","Cardoso-Leite, E.",,,"Bronze","Parque Estadual Caverna do Diabo. Trilha do Bugio","Não"
"PARQUE ESTADUAL CAVERNA DO DIABO","Angiosperms","Apocynaceae","Rauvolfia","sellowii","Müll.Arg.","APOCYNACEAE Rauvolfia sellowii Müll.Arg.","SORO008944","Splink","SORO","Cardoso-Leite, E.","1183","Native","Bronze","Parque Estadual Caverna do Diabo","Não"
"PARQUE ESTADUAL CAVERNA DO DIABO","Angiosperms","Aquifoliaceae","Ilex","theezans","Mart. ex Reissek","AQUIFOLIACEAE Ilex theezans Mart. ex Reissek","SORO009100","Splink","SORO","Cardoso-Leite, E.","1140","Native","Bronze","Parque Estadual Caverna do Diabo. Trilha do Araçá.","Não"
"PARQUE ESTADUAL CAVERNA DO DIABO","Angiosperms","Araceae","Anthurium","harrisii","(Graham) G.Don","ARACEAE Anthurium harrisii (Graham) G.Don","PMSP007266","GBIF","PMSP","Souza, V.C.","9116","Native","Bronze","Parque Estadual Caverna do Diabo, trilha para o mirante, transição mata - campo de altitude.","Não"
"PARQUE ESTADUAL CAVERNA DO DIABO","Angiosperms","Araliaceae","Hydrocotyle","leucocephala","Cham. & Schltdl.","ARALIACEAE Hydrocotyle leucocephala Cham. & Schltdl.","FLOR0065721","Reflora","FLOR","Nery, E.K.","88","Native","Ouro","Parque Estadual Caverna do Diabo, trilha para o Mirante do Governador.","Não"
"PARQUE ESTADUAL CAVERNA DO DIABO","Angiosperms","Burseraceae","Protium","widgrenii","Engl.","BURSERACEAE Protium widgrenii Engl.","SORO009098","Splink","SORO","Cardoso-Leite, E.","708","Native","Latão","Parque Estadual Caverna do Diabo. Trilha do Araçá.","Não"
"PARQUE ESTADUAL CAVERNA DO DIABO","Angiosperms","Cardiopteridaceae","Citronella","paniculata","(Mart.) R.A.Howard","CARDIOPTERIDACEAE Citronella paniculata (Mart.) R.A.Howard","SORO009105","Splink","SORO","Cardoso-Leite, E.","4","Native","Bronze","Parque Estadual Caverna do Diabo. Trilha do Bugio","Não"
"PARQUE ESTADUAL CAVERNA DO DIABO","Angiosperms","Celastraceae",,,"R.Br.","CELASTRACEAE Celastraceae R.Br.","SORO009107","Splink","SORO","Cardoso-Leite, E.","750",,"Bronze","Parque Estadual Caverna do Diabo. Trilha do Araçá.","Não"
