"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,,"2025-03-21T08:58:49",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"237405","1226","Catharino, ELM",,,,,,,,,,,,"1988","09","06",,,,,,,,"São Paulo","Cananéia","Cananéia","Parque Estadual da Ilha do Cardoso, Encosta rochosa do Morro das Almas.",,,,"-25.01","-47.919998",,"37574",,,,,,,,,,"Hirai, RY; Prado, J",,"2024-NA-NA",,,"Abrodictyum rigidum",,,,,,,"Plantae",,,"Pteridophyta",,"Hymenophyllaceae",,,,"Abrodictyum",,,,"rigidum",,,,,,,,,,,,,,"Abrodictyum rigidum",,,,,,,"Brasil",,,,,,,"0","0","(Sw.) Ebihara & Dubuisson","Splink",,,,,,"2024",,,,"SP0237405",,,,,,,,,,,,,,,,,,,"SP",,"Catharino, E.L.M.","1226","1988","Hirai, R.Y.","2024",,"Catharino","Prado, J.","brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","ok_same_resolution","Abrodictyum rigidum","(Sw.) Ebihara & Dubuisson","possibly_ok","Hymenophyllaceae","Abrodictyum rigidum","(Sw.) Ebihara & Dubuisson","species","name accepted","bfo-91177",,,"Abrodictyum rigidum (Sw.) Ebihara & Dubuisson","Abrodictyum","Hymenophyllaceae","low","Abrodictyum rigidum"
"speciesLink",,,"2025-01-15T09:31:37",,,"8",,"ESALQ","ESA",,"PreservedSpecimen",,,,"083755","29033","Souza, V.C. ; Paula-Souza, J.",,,,,,,,,,,,"2003","02","25",,,,,,,,"São Paulo","Cananéia","Cananéia","Parque Estadual Ilha do Cardoso. Floresta de Restinga. Área do Projeto Parcelas Permanentes",,,,"-25.01","-47.919998",,"37574",,,,,,,,,,,,,,,"Acanthaceae",,,,,,,"Plantae","Magnoliophyta",,,,"Acanthaceae",,,,,,,,,,,,,,,,,,,,,,"Acanthaceae",,,,,,,"Brasil",,,,,,,,,,"Splink",,,,,,,,,,"ESA083755",,,,,,,,,,,,,,,,,,,"ESA",,"Souza, V.C.","29033","2003",,,"Paula-Souza, J.","Souza",,"brazil","sao paulo","cananeia","parque estadual ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","ok_same_resolution","Acanthaceae","Juss.","family_as_genus","Acanthaceae","Acanthaceae","Juss.","family","name accepted","bfo-33",,,"Acanthaceae Juss.",,"Acanthaceae","unknown",
"speciesLink",,,"2025-02-04T07:59:03",,,"15",,"UNESP-RC","HRCB",,"PreservedSpecimen",,,,"10689","577","Ribeiro, J.E.L.S.",,,,,,,,,,,,"1989","05","30",,,,,,,,"São Paulo","Cananéia","Cananéia","Parque Estadual da Ilha do Cardoso",,,,"-25.01","-47.919998",,"37574",,,,,,,,,,"Ribeiro, J.E.L.S.",,"1989-07-NA",,,"Acanthospermum australe",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Acanthospermum",,,,"australe",,,,,,,,,,,,,,"Acanthospermum australe",,,,,,,"Brasil",,,,,,,,,"(Loefl.) Kuntze","Splink",,,,"07",,"1989",,,,"HRCB010689",,,,,,,,,,,,,,,,,,,"HRCB",,"Ribeiro, J.E.L.S.","577","1989","Ribeiro, J.E.L.S.","1989",,"Ribeiro",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","ok_same_resolution","Acanthospermum australe","(Loefl.) Kuntze","possibly_ok","Asteraceae","Acanthospermum australe","(Loefl.) Kuntze","species","name accepted","bfo-103231",,,"Acanthospermum australe (Loefl.) Kuntze","Acanthospermum","Asteraceae","low","Acanthospermum australe"
"speciesLink",,,"2021-12-09T11:00:08",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"378313","250","Souza, FO; Martins, SE; Sugiyama, M",,,,,,,,,,,,"2005","06","03",,,,,,,,"São Paulo","Cananéia","Cananéia","Parque Estadual da Ilha do Cardoso, Praia do Marujá, trilha próxima à Pousada Ilha do Cardoso",,,,"-25.01","-47.919998",,"37574",,,,,,,,,,"Souza, FO",,,,,"Achyrocline satureioides",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Achyrocline",,,,"satureioides",,,,,,,,,,,,,,"Achyrocline satureioides",,,,,,,"Brasil",,,,,,,"0","0","DC.","Splink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SP",,"Souza, F.O.","250","2005","Souza, F.O.",,"Martins, S.E.; Sugiyama, M.","Souza",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","ok_same_resolution","Achyrocline satureioides","(Lam.) DC.","possibly_ok","Asteraceae","Achyrocline satureioides","(Lam.) DC.","species","author misspelled","bfo-108826",,,"Achyrocline satureioides (Lam.) DC.","Achyrocline","Asteraceae","low","Achyrocline satureioides"
"speciesLink",,,"2021-12-09T11:13:47",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"385242","285","Pansarin, ER",,,,,,,,,,,,"1998","08","30",,,,,,,,"São Paulo","Cananéia","Cananéia","Parque Estadual da Ilha do Cardoso, Floresceu em cultivo em VIII/1999",,,,"-25.01","-47.919998",,"37574",,,,,,,,,,,,,,,"Acianthera pectinata",,,,,,,"Plantae",,,,,"Orchidaceae",,,,"Acianthera",,,,"pectinata",,,,,,,,,,,,,,"Acianthera pectinata",,,,,,,"Brasil",,,,,,,"0","0","(Lindl.) Pridgeon & M.W.Chase","Splink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SP",,"Pansarin, E.R.","285","1998",,,,"Pansarin",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","ok_same_resolution","Acianthera pectinata","(Lindl.) Pridgeon & M.W.Chase","possibly_ok","Orchidaceae","Acianthera pectinata","(Lindl.) Pridgeon & M.W.Chase","species","name accepted","bfo-11043",,,"Acianthera pectinata (Lindl.) Pridgeon & M.W.Chase","Acianthera","Orchidaceae","high","Acianthera pectinata"
"gbif","5.38078349032225e-315",,"2023-03-09 11:24:46",,,"https://specieslink.net/col/2",,"UNICAMP","UEC",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/2/140254","140254","181","Breier, TB",,,,,"PRESENT",,,,,,"2002-06-20","2002","6","20",,,,,,,"BR","São Paulo",,"Cananéia","Parque Estadual Ilha do Cardoso",,,,,,,,,,,,,,,,,,,,,,"Pleurothallis saundersiana Rchb.f.",,,,,,,"Plantae","Tracheophyta","Liliopsida","Asparagales",,"Orchidaceae",,,,"Acianthera","Pleurothallis",,,"saundersiana",,,"species",,"SYNONYM",,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,FALSE,FALSE,"Acianthera saundersiana","Acianthera saundersiana (Rchb.f.) Pridgeon & M.W.Chase","Pleurothallis saundersiana Rchb.f.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC","https://images.cria.org.br/viewer/UEC001717","Brazil",,,,,"WGS84",,,,"Rchb.f.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UEC",,"Breier, T.B.","181","2002",,,,"Breier",,"brazil","sao paulo","cananeia","parque estadual ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","ok_same_resolution","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","name_w_authors","Orchidaceae","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","species","replaced synonym","bfo-11051","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","Acianthera saundersiana (Rchb.f.) Pridgeon & M.W.Chase","Acianthera","Orchidaceae","unknown","Acianthera saundersiana"
"speciesLink",,,"2025-04-07T10:44:41",,,"2",,"UNICAMP","UEC",,"S",,,,"139975","204","Breier, TB; Singer, RB",,,,,,,,,,,,"2002","06","20",,,,,,,,"São Paulo","Cananéia","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes. Na parcela permanente sobre árvore número 8472.",,,,"-25.01","-47.919998",,"37574",,,,,,,,,,"Breier, TB",,"2004-09-NA",,,"Pleurothallis serpentula",,,,,,,"Plantae","Liliopsida",,,,"Orchidaceae",,,,"Pleurothallis",,,,"serpentula",,,,,,,,,,,,,,"Pleurothallis serpentula",,,,,,,"Brazil",,,,,,,"0","0","Barb.Rodr.","Splink",,,,"09",,"2004",,,,"UEC001699",,,,,,,,,,,,,,,,,,,"UEC",,"Breier, T.B.","204","2002","Breier, T.B.","2004","Singer, R.B.","Breier",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","ok_same_resolution","Acianthera serpentula","(Barb.Rodr.) F.Barros","possibly_ok","Orchidaceae","Acianthera serpentula","(Barb.Rodr.) F.Barros","species","replaced synonym","bfo-11053","Acianthera serpentula","(Barb.Rodr.) F.Barros","Acianthera serpentula (Barb.Rodr.) F.Barros","Acianthera","Orchidaceae","low","Acianthera serpentula"
"speciesLink",,,"2024-08-06T09:13:23",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"6029","34","D.A. De Grande",,,,,,,,,,,,"1978","03","15",,,,,,,,"SP","Cananéia","Cananéia","Parque Estadual da Ilha do Cardoso",,,,"-25.01","-47.919998",,"37574",,,,,,,,,,,,,,,"Acicarpha spathulata",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Calycerales",,"Calyceraceae",,,,"Acicarpha",,,,"spathulata",,,,,,,,,,,,,,"Acicarpha spathulata",,,,,,,"Brasil",,,,,,,,,,"Splink",,,,,,,,,,"SPSF00006029","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Grande, D.A.","34","1978",,,,"Grande",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","ok_same_resolution","Acicarpha spathulata","R.Br.","possibly_ok","Calyceraceae","Acicarpha spathulata","R.Br.","species","name accepted","bfo-101527",,,"Acicarpha spathulata R.Br.","Acicarpha","Calyceraceae","unknown","Acicarpha spathulata"
"gbif","9.85078623592569e-315",,"2022-12-15 12:01:16",,,"https://specieslink.net/col/58",,"UNESP-IBILCE","SJRP-BRYOPHYTA",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/58/27562","27562","1303","D. F. Peralta",,,,,"PRESENT",,,,,,"2002-05-03","2002","5","3",,,,,,,"BR","São Paulo",,"Cananéia","Parque Estadual da Ilha do Cardoso (PEIC)",,,,,,,,,,,,,,,,,"D. F. Peralta",,"2010-11-01",,,"Acroporium longirostre",,,,,,,"Plantae","Bryophyta","Bryopsida","Hypnales",,"Sematophyllaceae",,,,"Acroporium","Acroporium",,,"longirostre",,,"species",,"ACCEPTED",,"20cfe5fa-8e4e-4f18-92df-7add93a55de7",,,FALSE,FALSE,"Acroporium longirostre","Acroporium longirostre (Brid.) W.R.Buck","Acroporium longirostre (Brid.) W.R.Buck","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,"(Brid.) W.R.Buck","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SJRP-BRYOPHYTA","code not found","Peralta, D.F.","1303","2002","Peralta, D.F.","2010",,"Peralta",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","ok_same_resolution","Acroporium longirostre","(Brid.) W.R.Buck","possibly_ok",,"Acroporium longirostre","(Brid.) W.R.Buck","species","not found",,,,"Acroporium longirostre (Brid.) W.R.Buck","Acroporium","Pteridaceae","low","Acroporium longirostre"
"speciesLink",,,"2025-04-07T11:06:46",,,"2",,"UNICAMP","UEC",,"S",,,,"137383","1023","Breier, TB; Singer, RB",,,,,,,,,,,,"2003","05","09",,,,,,,,"São Paulo","Cananéia","Cananéia","Parque Estadual da Ilha do Cardoso, Mangue Ipaneminha.",,,,"-25.01","-47.919998",,"37574",,,,,,,,,,,,,,,"Acrostichum",,,,,,,"Plantae","Pteridophyta",,,,"Pteridaceae",,,,"Acrostichum",,,,,,,,,,,,,,,,,,"Acrostichum",,,,,,,"Brazil",,,,,,,"0","0",,"Splink",,,,,,,,,,"UEC052960",,,,,,,,,,,,,,,,,,,"UEC",,"Breier, T.B.","1023","2003",,,"Singer, R.B.","Breier",,"brazil","sao paulo","cananeia","parque estadual da ilha do cardoso",,"locality","brazil_sao paulo_cananeia_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","ok_same_resolution","Acrostichum","L.","indet","Pteridaceae","Acrostichum","L.","genus","name accepted","bfo-91794",,,"Acrostichum L.","Acrostichum","Pteridaceae","unknown",
