"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","verbatimLatitude","verbatimLongitude","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","occurrenceRemarks","coordinatePrecision","recordNumber","barcode","continentocean","minimumelevationinmeters","maximumelevationinmeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","phylum","class","order","infraspecificepithet","preparationtype","individualcount","previouscatalognumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetName","eventDate","fieldNotes","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","occurrenceID","individualCount","establishmentMeans","georeferenceVerificationStatus","occurrenceStatus","preparations","associatedOccurrences","otherCatalogNumbers","previousIdentifications","fieldNumber","startDayOfYear","endDayOfYear","higherGeography","continent","typeStatus","taxonID","acceptedNameUsageID","higherClassification","genericName","specificEpithet","infraspecificEpithet","verbatimTaxonRank","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","species","verbatimScientificName","protocol","lastParsed","lastCrawled","repatriated","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","geodeticDatum","imageCollectionCode","duplicates","recordedByExtra","dateCollected","verbatimElevationMax","measurementUnit","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Acanthospermum australe","speciesLink","HRCB","52523","Acanthospermum australe","Plantae","Asteraceae","Acanthospermum","2010","05","20","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Trilha da borda do Parque paralela à estrada","UNESP-RC","PreservedSpecimen","Monge, M.","21º49'S","47º25'W","15","australe","Oliveira, A.P.C.","-47.416667","-21.816667","2025-02-04T07:59:03","<nO>Erva ca. 0,4m, folhas herbáceas, brácteas e frutos imaturos, verdes.Habitat: Borda de trilha em cerradão e mata semidecídua</nO>",,"66","HRCB052523",,"520","520","(Loefl.) Kuntze","2011","04",,,,,,,,,"SPLINK","Porto Ferreira","2011-04-NA",,,,,,,,,,,,,"HRCB",,"Oliveira, A.P.C.","66","2010","Monge, M.","2011",,"Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha da borda do parque paralela a estrada","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Acanthospermum australe","(Loefl.) Kuntze","possibly_ok","Asteraceae","Acanthospermum australe","(Loefl.) Kuntze","species","name accepted","bfo-103231",,,"Acanthospermum australe (Loefl.) Kuntze","Acanthospermum","Asteraceae","high","Acanthospermum australe"
"Acanthostachys strobilacea","user","RB","RB01018432","Acanthostachys strobilacea (Schult. & Schult.f.) Klotzsch","Plantae","Bromeliaceae","Acanthostachys","2013","9","21","Brasil","São Paulo",,"Parque Estadual de Porto Ferreira.","JBRJ","Preserved Specimen","G.M. Marcusso","21º51´15´´","47º26´24´´W",,,"G.M. Marcusso","-47.44","-21.8541667",,"Holoepífita",,"271",,,,,"(Schult. & Schult.f.) Klotzsch",,,,,,,,,,,,"Porto Ferreira",,,,"BR",,"2013-09-21","Floresta estacional semidecidual aluvial",,"sp.","Physical Object",,,,"RB",,"Marcusso, G.M.","271","2013","Marcusso, G.M.","n.d.",,"Marcusso",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,"HRCB",,,"urn:catalog:JBRJ:RB:1018432",,,,,,,"RB 633215",,,,,,,,,,,,"strobilacea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/1/84/32/01018432.jpg","545",,,,,,,,,"2017-10-14 12:11:26+00","Angiospermas","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","cncflora",TRUE,-21.8541667,-47.44,"coord_original","miliseconds","ok_same_resolution","Acanthostachys strobilacea","(Schult. & Schult.f.) Klotzsch","name_w_authors","Bromeliaceae","Acanthostachys strobilacea","(Schult. & Schult.f.) Klotzsch","species","name accepted","bfo-5752",,,"Acanthostachys strobilacea (Schult. & Schult.f.) Klotzsch","Acanthostachys","Bromeliaceae","low","Acanthostachys strobilacea"
"Actinostemon concepcionis","speciesLink","MBM","287163","Actinostemon concepsiones","Plantae","Euphorbiaceae","Actinostemon","1997","11","14","Brazil","São Paulo","Porto Ferreira","Parque Estadual.","MBM","PreservedSpecimen","Franco, GADC",,,"40","concepsiones","Dickfeldt, EP","-47.470001","-21.85","2025-05-01T00:00:56",,"13859","48","MBM287163",,,,"(Chodat & Hassl.) Hocr.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"MBM",,"Dickfeldt, E.P.","48","1997","Franco, G.A.D.C.","n.d.",,"Dickfeldt",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Actinostemon concepcionis","(Chodat & Hassl.) Hochr.","possibly_ok","Euphorbiaceae","Actinostemon concepcionis","(Chodat & Hassl.) Hochr.","species","name and author misspelled","bfo-29144",,,"Actinostemon concepcionis (Chodat & Hassl.) Hochr.","Actinostemon","Euphorbiaceae","medium","Actinostemon concepcionis"
"Actinostemon schomburgkii","speciesLink","HRCB","62085","Actinostemon schomburgkii","Plantae","Euphorbiaceae","Actinostemon","2012","10","04","Brasil","São Paulo","Porto Ferreira","Dique marginal do rio Mogi Guaçu Parque Estadual de Porto Ferreira","UNESP-RC","PreservedSpecimen","Konopczyk, R.M.G.","21º51'18,40""S","47º26'17.93""W","15","schomburgkii","Konopczyk, R.M.G.","-47.438314","-21.855","2025-02-04T08:01:32","<nO>Árvore; 5 m de altura; flores amarelas.</nO>",,"s.n.","HRCB062085",,"531","531","(Klotzsch) Hochr.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Konopczyk, R.M.G.","s.n.","2012","Konopczyk, R.M.G.","n.d.",,"Konopczyk",,"brazil","sao paulo","porto ferreira","dique marginal do rio mogi guacu parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.855,-47.438314,"coord_original","miliseconds","check_local.2municip.","Actinostemon schomburgkii","(Klotzsch) Hochr.","possibly_ok","Euphorbiaceae","Actinostemon schomburgkii","(Klotzsch) Hochr.","species","name accepted","bfo-35641",,,"Actinostemon schomburgkii (Klotzsch) Hochr.","Actinostemon","Euphorbiaceae","low","Actinostemon schomburgkii"
"Adenocalymma bracteatum","speciesLink","FUEL","53553","Adenocalymma bracteatum","Plantae","Bignoniaceae","Adenocalymma","2010","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, Trilha do Poção","UEL","PreservedSpecimen","Oliveira, APC","-21.816667","-47.416667","48","bracteatum","Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2025-04-10T12:45:47","<nO>Liana, folíolos cartáceos, brácteas e cálice verdes, corola amarela; Borda de trilha em cerradão e mata semidecídua</nO>",,"7730","FUEL029562",,"520","600","(Cham.) DC.","2010","07",,"Tracheophyta",,"Lamiales",,,,,"SPLINK","Porto Ferreira","2010-07-NA",,,,,,,,,,,,,"FUEL",,"Lombardi, J.A.","7730","2010","Oliveira, A.P.C.","2010","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Adenocalymma bracteatum","(Cham.) DC.","possibly_ok","Bignoniaceae","Adenocalymma bracteatum","(Cham.) DC.","species","name accepted","bfo-112322",,,"Adenocalymma bracteatum (Cham.) DC.","Adenocalymma","Bignoniaceae","low","Adenocalymma bracteatum"
"Adenocalymma marginatum","speciesLink","FUEL","53554","Adenocalymma marginatum","Plantae","Bignoniaceae","Adenocalymma","2010","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, Trilha do Poção","UEL","PreservedSpecimen","Udulutsch, RG","-21.816667","-47.416667","48","marginatum","Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2025-04-10T12:45:47","<nO>Liana, folíolos coriáceos, frutos imaturos verdes; Borda de trilha em cerradão e mata semidecídua</nO>",,"7784","FUEL029587",,"520","600","(Cham.) DC.","2010","09",,"Tracheophyta",,"Lamiales",,,,,"SPLINK","Porto Ferreira","2010-09-NA",,,,,,,,,,,,,"FUEL",,"Lombardi, J.A.","7784","2010","Udulutsch, R.G.","2010","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Adenocalymma marginatum","(Cham.) DC.","possibly_ok","Bignoniaceae","Adenocalymma marginatum","(Cham.) DC.","species","name accepted","bfo-112390",,,"Adenocalymma marginatum (Cham.) DC.","Adenocalymma","Bignoniaceae","high","Adenocalymma marginatum"
"Adenocalymma peregrinum","speciesLink","HUEFS","179649","Adenocalymma axillare","Plantae","Bignoniaceae","Adenocalymma","1997","11","14","Brasil","São Paulo","Porto Ferreira","Parque Estadual.","UEFS","PreservedSpecimen","M.M.Silva-Castro","21Â°29'0''S","47Â°25'0''W","204","axillare","Dickfeldt, E.P.","-47.416667","-21.483333","2025-04-30T13:59:55",,,"45","HUEFS0179649",,,,"(K.Schum.) L.G.Lohmann","2015","05",,"Angiospermae","Asteranae","Lamiales",,,,,"SPLINK","Porto Ferreira","2015-05-NA",,,,,,,,,,,,,"HUEFS",,"Dickfeldt, E.P.","45","1997","Silva-Castro, M.M.","2015",,"Dickfeldt",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.483333,-47.416667,"coord_original","minutes","ok_same_resolution","Adenocalymma peregrinum","(Miers) L.G.Lohmann","possibly_ok","Bignoniaceae","Adenocalymma peregrinum","(Miers) L.G.Lohmann","species","replaced synonym","bfo-112409","Adenocalymma peregrinum","(Miers) L.G.Lohmann","Adenocalymma peregrinum (Miers) L.G.Lohmann","Adenocalymma","Bignoniaceae","high","Adenocalymma peregrinum"
"Adiantopsis radiata","speciesLink","BHCB-SL","141921","Adiantopsis radiata","Plantae","Pteridaceae","Adiantopsis","2010","03","25","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira;, Trilha de uso extensivo dos Jequitibás.","UFMG","PreservedSpecimen","Salino, A","-21.816667","-47.416667","453","radiata","Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2022-12-26T10:33:04","<nO>Borda de trilha em mata semidecídua. Terrestre. Duplicatas 1. Florística vascular não-arbórea do Parque Estadual de Porto Ferreira.</nO>",,"7719",,"América","520","600","(L.) Fée","2010","07",,,,,,,,,"SPLINK","Porto Ferreira","2010-07-NA",,,,,,,,,,,,,"BHCB",,"Lombardi, J.A.","7719","2010","Salino, A.","2010","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Adiantopsis radiata","(L.) Fée","possibly_ok","Pteridaceae","Adiantopsis radiata","(L.) Fée","species","name accepted","bfo-91803",,,"Adiantopsis radiata (L.) Fée","Adiantopsis","Pteridaceae","low","Adiantopsis radiata"
"Adiantum platyphyllum","speciesLink","BHCB-SL","153384","Adiantum platyphyllum","Plantae","Pteridaceae","Adiantum","2010","07","13","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira;, Trilha das Árvores Gigantes, próxima a área de transição, atrás da figueira.","UFMG","PreservedSpecimen","Salino, A","-21.816667","-47.416667","453","platyphyllum","Oliveira, APC; Osaco, M","-47.416667","-21.816667","2022-12-26T10:33:10","<nO>Subosque em mata semidecidua. Terrestre.</nO>",,"98",,"América","520","600","Sw.","2011","10",,,,,,,,,"SPLINK","Porto Ferreira","2011-10-NA",,,,,,,,,,,,,"BHCB",,"Oliveira, A.P.C.","98","2010","Salino, A.","2011","Osaco, M.","Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Adiantum platyphyllum","Sw.","possibly_ok","Pteridaceae","Adiantum platyphyllum","Sw.","species","name accepted","bfo-91846",,,"Adiantum platyphyllum Sw.","Adiantum","Pteridaceae","low","Adiantum platyphyllum"
"Aechmea bromeliifolia","speciesLink","HRCB","53966","Aechmea bromeliifolia","Plantae","Bromeliaceae","Aechmea","2010","10","14","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Trilha da Pesquisa","UNESP-RC","PreservedSpecimen","Oliveira, A.P.C.","21º49'S","47º25'W","15","bromeliifolia","Oliveira, A.P.C.","-47.416667","-21.816667","2025-02-04T08:00:01","<nO>Erva terrestre suculenta, infrutescência imatura verdeHabitat: Subosque em cerradão</nO>",,"111","HRCB053966",,"520","520"," (Rudge) Baker","2011","02",,,,,,,,,"SPLINK","Porto Ferreira","2011-02-NA",,,,,,,,,,,,,"HRCB",,"Oliveira, A.P.C.","111","2010","Oliveira, A.P.C.","2011",,"Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha da pesquisa","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Aechmea bromeliifolia","(Rudge) Baker","possibly_ok","Bromeliaceae","Aechmea bromeliifolia","(Rudge) Baker","species","author misspelled","bfo-5771",,,"Aechmea bromeliifolia (Rudge) Baker","Aechmea","Bromeliaceae","low","Aechmea bromeliifolia"
