"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","phylum","class","order","individualcount","continentocean","preparationtype","typeStatus","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","previouscatalognumber","relationshiptype","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,"SPFW","6230","Acacia","Plantae","Leguminosae Mimosoideae","Acacia","2013","12","17","Brasil","São Paulo","Santa Rita do Passa Quatro","Parque Estadual de Vassununga","USP","PreservedSpecimen","da Silva, F.P 2017",,,,"21º43'25,8''S","47º35'45,8''W","20",,"Ceccantini, G.C.T. Becman, E.C.; Altobelli, N.A.; Coelho, F.; Sabatini, V.","-47.596056","-21.723833","2021-05-14T17:00:14",,"4073","601","601",,,,,,,,,,,,,,,,"SPLINK","Santa Rita do Passa Quatro",,,,,,,,,,,,,,,,,,,"SPFw","xylarium","Ceccantini, G.C.T.B.C.","4073","2013","Silva, F.P.","n.d.","Altobelli, N.A.; Coelho, F.; Sabatini, V.","Ceccantini",,"brazil","sao paulo","santa rita do passa quatro","parque estadual de vassununga",,"locality","brazil_sao paulo_santa rita passa quatro_parque estadual vassununga","brazil_sao paulo_santa rita passa quatro_pe vassununga",-21.639694,-47.613521,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ok_same_resolution","Acacia","Mill.","indet","Fabaceae","Acacia","Mill.","genus","name accepted","bfo-22766",,,"Acacia Mill.","Acacia","Fabaceae","low",
"speciesLink","UEC139413","UEC","4549","Acalypha macrostachya","Plantae","Euphorbiaceae","Acalypha","1978","10","27","Brazil","São Paulo","Santa Rita do Passa Quatro","Parque estadual de Vassununga, Mata Cape","UNICAMP","S","Webster, GL","1984","09",,"0","0","2","macrostachya","Martins, FR","-47.470001","-21.709999","2023-03-09T11:31:44","Jacq.","1007",,,,"24893","Magnoliopsida",,,,,,,,,,,,,"SPLINK","Santa Rita do Passa Quatro","1984-09-NA",,,,,,,,,,,,,,,,,,"UEC",,"Martins, F.R.","1007","1978","Webster, G.L.","1984",,"Martins",,"brazil","sao paulo","santa rita do passa quatro","parque estadual de vassununga, mata cape",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro",-21.68195672,-47.50780122,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"check_local.2municip.","Acalypha macrostachya","Jacq.","possibly_ok","Euphorbiaceae","Acalypha macrostachya","Jacq.","species","name accepted","bfo-22668",,,"Acalypha macrostachya Jacq.","Acalypha","Euphorbiaceae","high","Acalypha macrostachya"
"speciesLink","UEC128187","UEC","4522","Actinostemon oligandrus","Plantae","Euphorbiaceae","Actinostemon","1978","10","25","Brazil","São Paulo","Santa Rita do Passa Quatro","Parque estadual de Vassununga, Mata Cape","UNICAMP","S","Webster, GL","1984","09",,"0","0","2","oligandrus","Martins, FR","-47.470001","-21.709999","2023-03-09T11:31:46","(Müll.Arg.) Baill.","10004",,,,"24893","Magnoliopsida",,,,,,,,,,,,,"SPLINK","Santa Rita do Passa Quatro","1984-09-NA",,,,,,,,,,,,,,,,,,"UEC",,"Martins, F.R.","10004","1978","Webster, G.L.","1984",,"Martins",,"brazil","sao paulo","santa rita do passa quatro","parque estadual de vassununga, mata cape",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro",-21.68195672,-47.50780122,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"check_local.2municip.","Actinostemon concolor","(Spreng.) Müll.Arg.","possibly_ok","Euphorbiaceae","Actinostemon concolor","(Spreng.) Müll.Arg.","species","replaced synonym","bfo-17448","Actinostemon concolor","(Spreng.) Müll.Arg.","Actinostemon concolor (Spreng.) Müll.Arg.","Actinostemon","Euphorbiaceae","high","Actinostemon concolor"
"speciesLink","UEC153451","UEC","4740","Dactylostemon klotzschii","Plantae","Euphorbiaceae","Dactylostemon","1977","10","03","Brazil","São Paulo","Santa Rita do Passa Quatro","Parque Estadual de Vassununga.","UNICAMP","S","Martins, FR",,,,"0","0","2","klotzschii","Martins, FR","-47.470001","-21.709999","2024-11-25T11:20:24","Didr.","10070",,,,"24893","Magnoliopsida",,,,,,,,,,,,,"SPLINK","Santa Rita do Passa Quatro",,,,,,,,,,,,,,,,,,,"UEC",,"Martins, F.R.","10070","1977","Martins, F.R.","n.d.",,"Martins",,"brazil","sao paulo","santa rita do passa quatro","parque estadual de vassununga",,"locality","brazil_sao paulo_santa rita passa quatro_parque estadual vassununga","brazil_sao paulo_santa rita passa quatro_pe vassununga",-21.639694,-47.613521,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ok_same_resolution","Actinostemon klotzschii","(Didr.) Pax","possibly_ok","Euphorbiaceae","Actinostemon klotzschii","(Didr.) Pax","species","replaced synonym","bfo-25459","Actinostemon klotzschii","(Didr.) Pax","Actinostemon klotzschii (Didr.) Pax","Actinostemon","Euphorbiaceae","low","Actinostemon klotzschii"
"speciesLink","UEC139343","UEC","540","Adenocalymma bracteatum","Plantae","Bignoniaceae","Adenocalymma","1978","10","16","Brazil","São Paulo","Santa Rita do Passa Quatro","Parque estadual de Vassununga, Mata Cape","UNICAMP","S","Assis, MA; Semir, J","1997",,,"0","0","2","bracteatum","Martins, FR","-47.470001","-21.709999","2023-03-09T11:29:29","(Cham.) A.DC.","9981",,,,"24893","Magnoliopsida",,,,,,,,,,,,,"SPLINK","Santa Rita do Passa Quatro","1997-NA-NA",,,,,,,,,,,,,,,,,,"UEC",,"Martins, F.R.","9981","1978","Assis, M.A.","1997",,"Martins","Semir, J.","brazil","sao paulo","santa rita do passa quatro","parque estadual de vassununga, mata cape",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro",-21.68195672,-47.50780122,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"check_local.2municip.","Adenocalymma bracteatum","(Cham.) DC.","possibly_ok","Bignoniaceae","Adenocalymma bracteatum","(Cham.) DC.","species","author misspelled","bfo-112322",,,"Adenocalymma bracteatum (Cham.) DC.","Adenocalymma","Bignoniaceae","high","Adenocalymma bracteatum"
"speciesLink","HRCB041786","HRCB","41786","Adenocalymma marginatum","Plantae","Bignoniaceae","Adenocalymma","2003","01","19","Brasil","São Paulo","Santa Rita do Passa Quatro","Parque Estadual de Vassununga Gleba Maravilha","UNESP-RC","PreservedSpecimen","Assis, M.A.",,,,"21º41' S","47º34' W","15","marginatum","Tibiriçá, Y.J.A.","-47.566667","-21.683333","2025-02-04T07:59:35","(Cham.) DC.","60",,,,,,,,,,,,,,,,,,"SPLINK","Santa Rita do Passa Quatro",,,,,,,,,,,,,,,,,,,"HRCB",,"Tibirica, Y.J.A.","60","2003","Assis, M.A.","n.d.",,"Tibirica",,"brazil","sao paulo","santa rita do passa quatro","parque estadual de vassununga gleba maravilha",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro",-21.68195672,-47.50780122,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"check_local.2municip.","Adenocalymma marginatum","(Cham.) DC.","possibly_ok","Bignoniaceae","Adenocalymma marginatum","(Cham.) DC.","species","name accepted","bfo-112390",,,"Adenocalymma marginatum (Cham.) DC.","Adenocalymma","Bignoniaceae","high","Adenocalymma marginatum"
"gbif",,"PMSP","PMSP011185","Adenocalymma paulistarum Bureau ex K.Schum.","Plantae","Bignoniaceae","Adenocalymma",,,,"Brasil","São Paulo",,"Parque Estadual de Vassununga. Gleba Maravilha (borda da mata), floresta estacional semidecidual. Coor. S 21°41' a 21°44' W 47°34' a 47°39'.","PMSP","PRESERVED_SPECIMEN","M.A.Assis",,,,,,,"paulistarum","Y.J.A.Tibiriçá;Y.J.A. Tibiriçá,L.F.M. Coelho,L.F.M.Coelho",,,,"Bureau & K.Schum.",,,,,,"Tracheophyta","Magnoliopsida","Lamiales",,,,,,,,,,,"GBIF","Santa Rita do Passa Quatro",,"Adenocalymma paulistarum Bureau ex K.Schum.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4660807","BR",,,,,,,,,"ACCEPTED","SPECIES",,,"1899-12-30",,,,,,,,,,,,"brazil","sao paulo","santa rita do passa quatro","parque estadual de vassununga",,"locality","brazil_sao paulo_santa rita passa quatro_parque estadual vassununga","brazil_sao paulo_santa rita passa quatro_pe vassununga",-21.639694,-47.613521,"locality","2302344825",,,,"4660807",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adenocalymma",,,,,,"4012b76b-7f81-4bd9-b887-6fd3e6a5588c",,"StillImage;StillImage",FALSE,FALSE,"Adenocalymma paulistarum","Adenocalymma paulistarum Bureau & K.Schum.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/11/85/pmsp00011185_1.dzi|jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/11/85/pmsp00011185.dzi",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ok_same_resolution","Adenocalymma paulistarum","Bureau & K.Schum.","name_w_authors","Bignoniaceae","Adenocalymma paulistarum","Bureau & K.Schum.","species","author misspelled","bfo-112407",,,"Adenocalymma paulistarum Bureau & K.Schum.","Adenocalymma","Bignoniaceae","unknown","Adenocalymma paulistarum"
"speciesLink","SPF00180622","SPF","180622","Adenocalymma peregrinum","Plantae","Bignoniaceae","Adenocalymma","2000","10","25","Brasil","São Paulo","Santa Rita do Passa Quatro","Parque Estadual Vassununga, Gleba Cerrado Pé-de-gigante.","USP","PreservedSpecimen","Lohmann, LG","2006",,,"0","0","7","peregrinum","Mechi, MR","-47.470001","-21.709999","2023-12-20T15:56:07","(Miers) L.G.Lohmann","28",,,,"24893",,,,,,,,,,,,,,"SPLINK","Santa Rita do Passa Quatro","2006-NA-NA",,,,,,,,,,,,,,,,,,"SPF",,"Mechi, M.R.","28","2000","Lohmann, L.G.","2006",,"Mechi",,"brazil","sao paulo","santa rita do passa quatro","parque estadual vassununga",,"locality","brazil_sao paulo_santa rita passa quatro_parque estadual vassununga","brazil_sao paulo_santa rita passa quatro_pe vassununga",-21.639694,-47.613521,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ok_same_resolution","Adenocalymma peregrinum","(Miers) L.G.Lohmann","possibly_ok","Bignoniaceae","Adenocalymma peregrinum","(Miers) L.G.Lohmann","species","name accepted","bfo-112409",,,"Adenocalymma peregrinum (Miers) L.G.Lohmann","Adenocalymma","Bignoniaceae","high","Adenocalymma peregrinum"
"speciesLink","TEPB0008349","TEPB","8349","Agonandra brasiliensis","Plantae","Opiliaceae","Agonandra","1985","02","01","Brasil","São Paulo","Santa Rita de Passa Quatro","Parque Estadual de Vassununga.","UFPI","PreservedSpecimen","CASTRO, J. A.",,,,,,"156","brasiliensis","CASTRO, J.A.","0","0","2025-06-01T12:01:36","Miers ex Benth. & Hook.f.",,,,,,,,,,,,,,,,,,,"SPLINK","Santa Rita de Passa Quatro",,,,,,,,,,,,,,,,,,,"TEPB",,"Castro, J.A.","s.n.","1985","Castro, J.A.","n.d.",,"Castro",,"brazil","sao paulo","santa rita de passa quatro","parque estadual de vassununga",,"locality","brazil_sao paulo_santa rita passa quatro_parque estadual vassununga","brazil_sao paulo_santa rita passa quatro_pe vassununga",-21.639694,-47.613521,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"ok_same_resolution","Agonandra brasiliensis","Miers ex Benth. & Hook.f.","possibly_ok","Opiliaceae","Agonandra brasiliensis","Miers ex Benth. & Hook.f.","species","name accepted","bfo-19966",,,"Agonandra brasiliensis Miers ex Benth. & Hook.f.","Agonandra","Opiliaceae","low","Agonandra brasiliensis"
"speciesLink","UEC134689","UEC","4555","Alchornea glandulosa","Plantae","Euphorbiaceae","Alchornea","1979","04","30","Brazil","São Paulo","Santa Rita do Passa Quatro","Parque estadual de Vassununga, Mata Cape","UNICAMP","S",,"1993",,,"0","0","2","glandulosa","Martins, FR","-47.470001","-21.709999","2023-03-09T11:31:46","Poepp.","10068",,,,"24893","Magnoliopsida",,,,,,,,,,,,,"SPLINK","Santa Rita do Passa Quatro","1993-NA-NA",,,,,,,,,,,,,,,,,,"UEC",,"Martins, F.R.","10068","1979","s.n.","1993",,"Martins",,"brazil","sao paulo","santa rita do passa quatro","parque estadual de vassununga, mata cape",,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro",-21.68195672,-47.50780122,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_santa rita passa quatro","Brazil","São Paulo","Santa Rita do Passa Quatro",,"check_local.2municip.","Alchornea glandulosa","Poepp. & Endl.","possibly_ok","Euphorbiaceae","Alchornea glandulosa","Poepp. & Endl.","species","author misspelled","bfo-17456",,,"Alchornea glandulosa Poepp. & Endl.","Alchornea","Euphorbiaceae","unknown","Alchornea glandulosa"
