"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","phylum","class","order","individualcount","continentocean","preparationtype","typeStatus","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","previouscatalognumber","relationshiptype","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"gbif",,"SP","285793","Acanthaceae","Plantae","Acanthaceae",,"1995","8","11","Brasil","São Paulo",,"Parque Estadual de Jurupará","IPA/SP","PRESERVED_SPECIMEN",,,,,,,"https://specieslink.net/col/1",,"Pastore, JA",,,"2021-12-09 10:58:13",,"637",,,,,"Tracheophyta","Magnoliopsida","Lamiales",,,,,,,,,,,"GBIF","Miracatu",,"Acanthaceae",,"BR",,,"1995-08-11",,,,,,"ACCEPTED","FAMILY",,,,,,,,,,,,,,,"brazil","sao paulo","miracatu","parque estadual de jurupara",,"locality","brazil_sao paulo_miracatu","brazil_sao paulo_miracatu",-24.19476735,-47.39449137,"county","2814645369",,,,"https://specieslink.net/guid/1/285793",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17efa320-7312-4b55-bf0a-a4cfc4613169",,,FALSE,FALSE,,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_miracatu","Brazil","São Paulo","Miracatu",,"check_local.2municip.","Acanthaceae","Juss.","family_as_genus","Acanthaceae","Acanthaceae","Juss.","family","name accepted","bfo-33",,,"Acanthaceae Juss.",,"Acanthaceae","unknown",
"speciesLink","SPSF00044176","SPSF","44176","Aegiphila integrifolia","Plantae","Lamiaceae","Aegiphila","2008","12","10","Brasil","SP","Ibiúna","Parque Estadual de Jurupará","IF","PreservedSpecimen",,,,,,,"13","integrifolia","R.A.F.Lima & A.G.Aguirre","-47.220001","-23.65","2024-08-06T09:14:19","(Jacq.) B.D.Jacks.","839","800","950",,"43112","Magnoliophyta","Magnoliopsida","Lamiales",,"América do Sul",,,,,,,,,"SPLINK","Ibiúna",,,,,,,,,,,,,,,,,,,"SPSF",,"Lima, R.A.F.","839","2008","s.n.","n.d.","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"check_local.2municip.","Aegiphila integrifolia","(Jacq.) Moldenke","possibly_ok","Lamiaceae","Aegiphila integrifolia","(Jacq.) Moldenke","species","author misspelled","bfo-23320",,,"Aegiphila integrifolia (Jacq.) Moldenke","Aegiphila","Lamiaceae","unknown","Aegiphila integrifolia"
"speciesLink",,"SP","298844","Amphirrhox longifolia","Plantae","Violaceae","Amphirrhox","1995","10","11","Brasil","São Paulo","Ibiúna","Parque Estadual de Jurupará, estrada da Usina da Barra, às margens da represa","IBt","PreservedSpecimen","Souza, JP","2002",,,"0","0","1","longifolia","Aguiar, OT; Pastore, JA","-47.220001","-23.65","2023-01-19T17:28:37","(A.St.-Hil.) Spreng.","609",,,,"43112",,,,,,,,,,,,,,"SPLINK","Ibiúna","2002-NA-NA",,,,,,,,,,,,,,,,,,"SP",,"Aguiar, O.T.","609","1995","Souza, J.P.","2002","Pastore, J.A.","Aguiar",,"brazil","sao paulo","ibiuna","parque estadual de jurupara, estrada da usina da barra",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"check_local.2municip.","Amphirrhox longifolia","(A.St.-Hil.) Spreng.","possibly_ok","Violaceae","Amphirrhox longifolia","(A.St.-Hil.) Spreng.","species","name accepted","bfo-15220",,,"Amphirrhox longifolia (A.St.-Hil.) Spreng.","Amphirrhox","Violaceae","high","Amphirrhox longifolia"
"speciesLink","UEC150781","UEC","105686","Andira anthelmia","Plantae","Fabaceae","Andira","1995","09","29","Brazil","São Paulo","Ibiúna","Parque Estadual de Jurupará, estrada do","UNICAMP","S","Flores, AS",,,,"0","0","2","anthelmia","Santiago, CM","-47.220001","-23.65","2023-03-09T11:32:23","(Vell.) J.F.Macbr.","s.n.",,,,"43112","Magnoliopsida",,,,,,,,,,,,,"SPLINK","Ibiúna",,,,,,,,,,,,,,,,,,,"UEC",,"Santiago, C.M.","s.n.","1995","Flores, A.S.","n.d.",,"Santiago",,"brazil","sao paulo","ibiuna","parque estadual de jurupara, estrada do",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"check_local.2municip.","Andira anthelmia","(Vell.) Benth.","possibly_ok","Fabaceae","Andira anthelmia","(Vell.) Benth.","species","author misspelled","bfo-29439",,,"Andira anthelmia (Vell.) Benth.","Andira","Fabaceae","high","Andira anthelmia"
"speciesLink","SPSF00019253","SPSF","19253","Anthurium pentaphyllum","Plantae","Araceae","Anthurium","1995","07","28","Brasil","SP","Ibiúna","Parque Estadual de Jurupará, Fazenda Tucano","IF","PreservedSpecimen",,,,,,,"13","pentaphyllum","J.A.Pastore & J.B.Baitello","-47.220001","-23.65","2024-08-06T09:12:28",,"632",,,,"43112","Magnoliophyta","Liliopsida","Arales",,"América do Sul",,,,,,,,,"SPLINK","Ibiúna",,,,,,,,,,,,,,,,,,,"SPSF",,"Pastore, J.A.","632","1995","s.n.","n.d.","Baitello, J.B.","Pastore",,"brazil","sao paulo","ibiuna","parque estadual de jurupara, fazenda tucano",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"check_local.2municip.","Anthurium pentaphyllum","(Aubl.) G.Don","possibly_ok","Araceae","Anthurium pentaphyllum","(Aubl.) G.Don","species","name accepted","bfo-4965",,,"Anthurium pentaphyllum (Aubl.) G.Don","Anthurium","Araceae","unknown","Anthurium pentaphyllum"
"speciesLink","SP049318","SP","285795","Anthurium pentaphyllum pentaphyllum","Plantae","Araceae","Anthurium","1995","07","28","Brasil","São Paulo","Ibiúna","Parque Estadual de Jurupará, Caminho para a Fazenda Tucano.","IBt","PreservedSpecimen","Nadruz, M","2005","05","12","0","0","1","pentaphyllum","Pastore, JA; Baitello, JB","-47.220001","-23.65","2021-12-09T10:59:43","(Aubl.) G.Don","632",,,"pentaphyllum","43112",,,,,,,,,,,,,,"SPLINK","Ibiúna","2005-05-12",,,,,,,,,,,,,,,,,,"SP",,"Pastore, J.A.","632","1995","Nadruz, M.","2005","Baitello, J.B.","Pastore",,"brazil","sao paulo","ibiuna","parque estadual de jurupara, caminho para a fazenda tucano",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"check_local.2municip.","Anthurium pentaphyllum var. pentaphyllum","(Aubl.) G.Don","not_Genus_epithet_format","Araceae","Anthurium pentaphyllum var. pentaphyllum","(Aubl.) G.Don","variety","name misspelled","bfo-15626",,,"Anthurium pentaphyllum var. pentaphyllum (Aubl.) G.Don","Anthurium","Araceae","high","Anthurium pentaphyllum"
"speciesLink","SP049400","SP","285796","Anthurium sellowianum","Plantae","Araceae","Anthurium","1995","07","28","Brasil","São Paulo","Ibiúna","Parque Estadual de Jurupará, Fazenda Tucano.","IBt","PreservedSpecimen","Nadruz, M","2005","03","08","0","0","1","sellowianum","Pastore, JA; Baitello, JB","-47.220001","-23.65","2021-12-09T10:59:45","Kunth","628",,,,"43112",,,,,,,,,,,,,,"SPLINK","Ibiúna","2005-03-08",,,,,,,,,,,,,,,,,,"SP",,"Pastore, J.A.","628","1995","Nadruz, M.","2005","Baitello, J.B.","Pastore",,"brazil","sao paulo","ibiuna","parque estadual de jurupara, fazenda tucano",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"check_local.2municip.","Anthurium sellowianum","Kunth","possibly_ok","Araceae","Anthurium sellowianum","Kunth","species","name accepted","bfo-4972",,,"Anthurium sellowianum Kunth","Anthurium","Araceae","high","Anthurium sellowianum"
"speciesLink","SPSF00044166","SPSF","44166","Geissomeria longiflora","Plantae","Malvaceae","Geissomeria","2008","10","24","Brasil","SP","Ibiúna","Parque Estadual de Jurupará, Fazenda Tucano","IF","PreservedSpecimen",,,,,,,"13","longiflora","R.A.F.Lima & A.G.Aguirre","-47.220001","-23.65","2024-08-06T09:15:20","Lindl.","830","579","650",,"43112","Magnoliophyta","Magnoliopsida","Malvales",,"América do Sul",,,,,,,,,"SPLINK","Ibiúna",,,,,,,,,,,,,,,,,,,"SPSF",,"Lima, R.A.F.","830","2008","s.n.","n.d.","Aguirre, A.G.","Lima",,"brazil","sao paulo","ibiuna","parque estadual de jurupara, fazenda tucano",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"check_local.2municip.","Aphelandra longiflora","(Lindl.) Profice","possibly_ok","Acanthaceae","Aphelandra longiflora","(Lindl.) Profice","species","replaced synonym","bfo-4097","Aphelandra longiflora","(Lindl.) Profice","Aphelandra longiflora (Lindl.) Profice","Aphelandra","Acanthaceae","unknown","Aphelandra longiflora"
"speciesLink",,"SP","293122","Ardisia guianensis","Plantae","Primulaceae","Ardisia","1995","07","21","Brasil","São Paulo","Ibiúna","Parque Estadual de Jurupará, Fazenda Tucano","IBt","PreservedSpecimen","Bernacci, LC; Jung Mendaçolli, SL","2002","08","15","0","0","1","guianensis","Pastore, JA; Baitello, JB","-47.220001","-23.65","2024-05-03T08:54:08","(Aubl.) Mez","612",,,,"43112",,,,,,,,,,,,,,"SPLINK","Ibiúna","2002-08-15",,,,,,,,,,,,,,,,,,"SP",,"Pastore, J.A.","612","1995","Bernacci, L.C.","2002","Baitello, J.B.","Pastore","Mendacolli, S.L.J.","brazil","sao paulo","ibiuna","parque estadual de jurupara, fazenda tucano",,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_ibiuna","Brazil","São Paulo","Ibiúna",,"check_local.2municip.","Ardisia guianensis","(Aubl.) Mez","possibly_ok","Primulaceae","Ardisia guianensis","(Aubl.) Mez","species","name accepted","bfo-19797",,,"Ardisia guianensis (Aubl.) Mez","Ardisia","Primulaceae","high","Ardisia guianensis"
"speciesLink","SPSF00019486","SPSF","19486","Aureliana fasciculata","Plantae","Solanaceae","Aureliana","1995","09","06","Brasil","SP","Miracatu","Parque Estadual do Jurupará","IF","PreservedSpecimen","L.L.Giacomin","2009","08","24",,,"13","fasciculata","J.B.Baitello & O.T. Aguiar","-47.459999","-24.280001","2024-08-06T09:17:06","(Vell.) Sendtn.","803",,,,"43974","Magnoliophyta","Magnoliopsida","Solanales",,"América do Sul",,,,,,,,,"SPLINK","Miracatu","2009-08-24",,,,,,,,,,,,,,,,,,"SPSF",,"Baitello, J.B.","803","1995","Giacomin, L.L.","2009","Aguiar, O.T.","Baitello",,"brazil","sao paulo","miracatu","parque estadual do jurupara",,"locality","brazil_sao paulo_miracatu","brazil_sao paulo_miracatu",-24.19476735,-47.39449137,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_miracatu","Brazil","São Paulo","Miracatu",,"check_local.2municip.","Athenaea fasciculata","(Vell.) I.M.C. Rodrigues & Stehmann","possibly_ok","Solanaceae","Athenaea fasciculata","(Vell.) I.M.C. Rodrigues & Stehmann","species","replaced synonym","bfo-606397","Athenaea fasciculata","(Vell.) I.M.C. Rodrigues & Stehmann","Athenaea fasciculata (Vell.) I.M.C. Rodrigues & Stehmann","Athenaea","Solanaceae","high","Athenaea fasciculata"
