"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","phylum","class","order","individualcount","continentocean","preparationtype","typeStatus","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","previouscatalognumber","relationshiptype","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink","SPSF00018103","SPSF","18103","Achyrocline satureioides","Plantae","Asteraceae","Achyrocline","1994","09","09","Brasil","SP","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão","IF","PreservedSpecimen","M.J.Robim","1994","10","30",,,"13","satureioides","M.J.Robim","-45.59","-22.73","2024-08-06T09:13:02","(Lam.) DC.","826",,,,"21048","Magnoliophyta","Magnoliopsida","Asterales",,"América do Sul",,,,,,,,,"SPLINK","Campos do Jordão","1994-10-30",,,,,,,,,,,,,,,,,,"SPSF",,"Robim, M.J.","826","1994","Robim, M.J.","1994",,"Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"check_local.2municip.","Achyrocline satureioides","(Lam.) DC.","possibly_ok","Asteraceae","Achyrocline satureioides","(Lam.) DC.","species","name accepted","bfo-108826",,,"Achyrocline satureioides (Lam.) DC.","Achyrocline","Asteraceae","low","Achyrocline satureioides"
"speciesLink","SPSF00018097","SPSF","18097","Agarista hispidula","Plantae","Ericaceae","Agarista","1994","09","06","Brasil","SP","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão","IF","PreservedSpecimen","G.O.Romão","2006","03","30",,,"13","hispidula","M.J.Robim & R.Evangelista","-45.59","-22.73","2024-08-06T09:13:33","(DC.) Hooker ex Nied.","801",,,,"21048","Magnoliophyta","Magnoliopsida","Ericales",,"América do Sul",,,,,,,,,"SPLINK","Campos do Jordão","2006-03-30",,,,,,,,,,,,,,,,,,"SPSF",,"Robim, M.J.","801","1994","Romao, G.O.","2006","Evangelista, R.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"check_local.2municip.","Agarista hispidula","(DC.) J.D. Hook. ex Nied.","possibly_ok","Ericaceae","Agarista hispidula","(DC.) J.D. Hook. ex Nied.","species","author misspelled","bfo-7458",,,"Agarista hispidula (DC.) J.D. Hook. ex Nied.","Agarista","Ericaceae","high","Agarista hispidula"
"speciesLink","SPSF00047856","SPSF","47856","Agrostis montevidensis var. submutica","Plantae","Poaceae","Agrostis","2013","01","13","Brasil","SP","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão","IF","PreservedSpecimen","R.T.Shirasuna",,,,,,"13","montevidensis","T.E.Barreto","-45.95","-23.266667","2024-08-06T09:12:49","Spreng. ex Nees","174",,,"var. submutica",,"Magnoliophyta","Liliopsida","Poales",,"América do Sul",,,,,,,,,"SPLINK","Campos do Jordão",,,,,,,,,,,,,,,,,,,"SPSF",,"Barreto, T.E.","174","2013","Shirasuna, R.T.","n.d.",,"Barreto",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"check_local.2municip.","Agrostis montevidensis var. submutica","Döll","variety","Poaceae","Agrostis montevidensis var. submutica","Döll","variety","author misspelled","bfo-130259",,,"Agrostis montevidensis var. submutica Döll","Agrostis","Poaceae","high","Agrostis montevidensis"
"speciesLink","SPSF00047857","SPSF","47857","Axonopus siccus","Plantae","Poaceae","Axonopus","2013","01","13","Brasil","SP","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão","IF","PreservedSpecimen","R.T.Shirasuna",,,,,,"13","siccus","T.E.Barreto","-45.95","-23.266667","2024-08-06T09:12:49","(Nees) Kuhlm.","175",,,,,"Magnoliophyta","Liliopsida","Poales",,"América do Sul",,,,,,,,,"SPLINK","Campos do Jordão",,,,,,,,,,,,,,,,,,,"SPSF",,"Barreto, T.E.","175","2013","Shirasuna, R.T.","n.d.",,"Barreto",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"check_local.2municip.","Axonopus siccus","(Nees) Kuhlm.","possibly_ok","Poaceae","Axonopus siccus","(Nees) Kuhlm.","species","name accepted","bfo-13053",,,"Axonopus siccus (Nees) Kuhlm.","Axonopus","Poaceae","high","Axonopus siccus"
"speciesLink","SPSF00018108","SPSF","18108","Baccharis crispa","Plantae","Asteraceae","Baccharis","1994","09","06","Brasil","SP","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão","IF","PreservedSpecimen","G. Heiden",,,,,,"13","crispa","M.J.Robim & R.Evangelista","-45.59","-22.73","2024-08-06T09:13:06","Spreng.","800",,,,"21048","Magnoliophyta","Magnoliopsida","Asterales",,"América do Sul",,,,,,,,,"SPLINK","Campos do Jordão",,,,,,,,,,,,,,,,,,,"SPSF",,"Robim, M.J.","800","1994","Heiden, G.","n.d.","Evangelista, R.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"check_local.2municip.","Baccharis crispa","Spreng.","possibly_ok","Asteraceae","Baccharis crispa","Spreng.","species","name accepted","bfo-5172",,,"Baccharis crispa Spreng.","Baccharis","Asteraceae","high","Baccharis crispa"
"speciesLink","SPSF00018120","SPSF","18120","Baccharis curitybensis","Plantae","Asteraceae","Baccharis","1994","09","06","Brasil","SP","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão","IF","PreservedSpecimen","G.A.D.C. Franco","1994","11","23",,,"13","curitybensis","M.J.Robim & R.Evangelista","-45.59","-22.73","2024-08-06T09:13:06",,"797",,,,"21048","Magnoliophyta","Magnoliopsida","Asterales",,"América do Sul",,,,,,,,,"SPLINK","Campos do Jordão","1994-11-23",,,,,,,,,,,,,,,,,,"SPSF",,"Robim, M.J.","797","1994","Franco, G.A.D.C.","1994","Evangelista, R.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"check_local.2municip.","Baccharis curitybensis","Heering ex Malme","possibly_ok","Asteraceae","Baccharis curitybensis","Heering ex Malme","species","name accepted","bfo-5174",,,"Baccharis curitybensis Heering ex Malme","Baccharis","Asteraceae","medium","Baccharis curitybensis"
"speciesLink","SPSF00018110","SPSF","18110","Baccharis dentata","Plantae","Asteraceae","Baccharis","1994","09","09","Brasil","SP","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão","IF","PreservedSpecimen","G. Heiden",,,,,,"13","dentata","M.J.Robim","-45.59","-22.73","2024-08-06T09:13:06","(Vell.) G.M.Barroso","811",,,,"21048","Magnoliophyta","Magnoliopsida","Asterales",,"América do Sul",,,,,,,,,"SPLINK","Campos do Jordão",,,,,,,,,,,,,,,,,,,"SPSF",,"Robim, M.J.","811","1994","Heiden, G.","n.d.",,"Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"check_local.2municip.","Baccharis dentata","(Vell.) G.M.Barroso","possibly_ok","Asteraceae","Baccharis dentata","(Vell.) G.M.Barroso","species","name accepted","bfo-5176",,,"Baccharis dentata (Vell.) G.M.Barroso","Baccharis","Asteraceae","high","Baccharis dentata"
"speciesLink","SPSF00018121","SPSF","18121","Baccharis pseudomyriocephala","Plantae","Asteraceae","Baccharis","1994","09","06","Brasil","SP","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão","IF","PreservedSpecimen","G.Heiden","2011","06","16",,,"13","pseudomyriocephala","M.J.Robim & R.Evangelista","-45.59","-22.73","2024-08-06T09:13:07","Malag.","795",,,,"21048","Magnoliophyta","Magnoliopsida","Asterales",,"América do Sul",,,,,,,,,"SPLINK","Campos do Jordão","2011-06-16",,,,,,,,,,,,,,,,,,"SPSF",,"Robim, M.J.","795","1994","Heiden, G.","2011","Evangelista, R.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"check_local.2municip.","Baccharis pseudomyriocephala","Malag.","possibly_ok","Asteraceae","Baccharis pseudomyriocephala","Malag.","species","name accepted","bfo-5233",,,"Baccharis pseudomyriocephala Malag.","Baccharis","Asteraceae","high","Baccharis pseudomyriocephala"
"speciesLink","SPSF00018107","SPSF","18107","Chionolaena","Plantae","Asteraceae","Chionolaena","1994","09","09","Brasil","SP","Campos do Jordão","Parque Estadual Mananciais de Campos do Jordão","IF","PreservedSpecimen",,,,,,,"13",,"M.J.Robim & S.Aragaki","-45.59","-22.73","2024-08-06T09:13:08",,"810",,,,"21048","Magnoliophyta","Magnoliopsida","Asterales",,"América do Sul",,,,,,,,,"SPLINK","Campos do Jordão",,,,,,,,,,,,,,,,,,,"SPSF",,"Robim, M.J.","810","1994","s.n.","n.d.","Aragaki, S.","Robim",,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"check_local.2municip.","Chionolaena","DC.","indet","Asteraceae","Chionolaena","DC.","genus","name accepted","bfo-104234",,,"Chionolaena DC.","Chionolaena","Asteraceae","unknown",
"gbif",,"SPSF","47858","Dichanthelium sabulorum var. polycladum (Ekman) Zuloaga","Plantae","Poaceae","Dichanthelium","2013","1","13","Brasil","Sp",,"Parque Estadual Mananciais de Campos do Jordão","IF","PRESERVED_SPECIMEN","R.T.Shirasuna",,,,,,"https://specieslink.net/col/13","sabulorum","T.E.Barreto","-45.95","-23.266667","2024-08-06 09:12:50","(Lam.) Gould & C.A. Clark","176",,,"polycladum",,"Tracheophyta","Liliopsida","Poales",,,,,,,,,,,"GBIF","Campos do Jordão",,"Dichanthelium sabulorum (Lam.) Gould & C.A.Clark",,"BR",,,"2013-01-13",,,,,,"SYNONYM","VARIETY",,,,,,,,,,,,,,,"brazil","sao paulo","campos do jordao","parque estadual mananciais de campos do jordao",,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county","1086916042",,,,"https://specieslink.net/guid/13/47858",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dichanthelium",,,,,,"16ed67e5-fd70-4fd4-85c3-70ea2da627fe",,,TRUE,FALSE,"Dichanthelium sabulorum","Dichanthelium sabulorum var. polycladum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,"https://images.cria.org.br/viewer/SPSF00047858","WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_campos jordao","Brazil","São Paulo","Campos do Jordão",,"check_local.2municip.","Dichanthelium sabulorum var. polycladum","(Ekman) Zuloaga","variety|name_w_authors","Poaceae","Dichanthelium sabulorum var. polycladum","(Ekman) Zuloaga","variety","name accepted","bfo-123741",,,"Dichanthelium sabulorum var. polycladum (Ekman) Zuloaga","Dichanthelium","Poaceae","unknown","Dichanthelium sabulorum"
