"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Acianthera","limae","(Porto & Brade) Pridgeon & M.W.Chase","ORCHIDACEAE Acianthera limae (Porto & Brade) Pridgeon & M.W.Chase","BHCB195278","SPLINK","BHCB","Batista, J.A.N.","3505","Native","Ouro","Parque Nacional da Serra da Bocaina, Trilha do Ouro","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Pteridaceae","Adiantopsis","regularis","(Mett.) T.Moore","PTERIDACEAE Adiantopsis regularis (Mett.) T.Moore","UPCB00000232","REFLORA",,,"4290","Native","Ouro","Parque Nacional da Serra da Bocaina, Cachoeira São Izidro.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Pteridaceae","Adiantum","subcordatum","Sw.","PTERIDACEAE Adiantum subcordatum Sw.","UPCB00000242","REFLORA",,,"4349","Native","Ouro","Estrada do Parque Nacional da Serra da Bocaina para Campos Novos","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Bromeliaceae","Aechmea","nudicaulis","(L.) Griseb.","BROMELIACEAE Aechmea nudicaulis (L.) Griseb.","RB00158668",,"RB","Martinelli, G.","1102","Native","Ouro","Serra da Bocaina. Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Bromeliaceae","Aechmea","phanerophlebia","Baker","BROMELIACEAE Aechmea phanerophlebia Baker","RB00162655",,"RB","Brade, A.C.","20905","Native","Ouro","Serra da Bocaina. Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Thelypteridaceae","Amauropelta","amambayensis","(Christ) Salino & A.R.Sm.","THELYPTERIDACEAE Amauropelta amambayensis (Christ) Salino & A.R.Sm.","RB00673612",,"RB","Mynssen, C.","1263","Native","Ouro","Parque Nacional da Serra da Bocaina, estrada após rio que cruza a estrada pincipal.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Thelypteridaceae","Amauropelta","raddii","(Rosenst.) Salino & T.E.Almeida","THELYPTERIDACEAE Amauropelta raddii (Rosenst.) Salino & T.E.Almeida","RB00673610",,"RB","Mynssen, C.","1261","Native","Ouro","Parque Nacional da Serra da Bocaina, estrada após rio que cruza a estrada pincipal.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Anathallis","rubens","(Lindl.) Pridgeon & M.W.Chase","ORCHIDACEAE Anathallis rubens (Lindl.) Pridgeon & M.W.Chase","BHCB195301","SPLINK","BHCB","Batista, J.A.N.","3528","Native","Ouro","Parque Nacional da Serra da Bocaina, Triha para o Pico da Bacia","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Aspleniaceae","Asplenium","auritum","Sw.","ASPLENIACEAE Asplenium auritum Sw.","UPCB00001158","REFLORA",,,"3235","Native","Ouro","Parque Nacional da Serra da Bocaina.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Aspleniaceae","Asplenium","pseudonitidum","Raddi","ASPLENIACEAE Asplenium pseudonitidum Raddi","UPCB0002017","REFLORA",,,"4279","Native","Ouro","Parque Nacional da Serra da Bocaina, Cachoeira São Izidro.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Solanaceae","Athenaea","anonacea","Sendtn.","SOLANACEAE Athenaea anonacea Sendtn.","BHCB026428","SPLINK","BHCB","Agra, M.F.","7379","Native","Ouro","Parque Nacional da Serra da Bocaina, Main road through park from entrance at alojamento just turn off to Cachoeira das Posses.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Solanaceae","Athenaea","fasciculata","(Vell.) I.M.C. Rodrigues & Stehmann","SOLANACEAE Athenaea fasciculata (Vell.) I.M.C. Rodrigues & Stehmann","BHCB190213","SPLINK","BHCB","Stehmann, J.R.","6471","Native","Ouro","De São José do Barreiro para o Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Begoniaceae","Begonia","integerrima","Spreng.","BEGONIACEAE Begonia integerrima Spreng.","RB00053365",,"RB","Martinelli, G.","4677","Native","Ouro","Mun. Bananal, Parque Nacional da Serra da Bocaina, próx. ao Marco 22, margens de rio. Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Gesneriaceae","Besleria","longimucronata","Hoehne","GESNERIACEAE Besleria longimucronata Hoehne","290150","SPLINK","SP","Catharino, E.L.M.","1966","Native","Ouro","Parque Nacional da Serra da Bocaina, Caminho em direção á Cachoeira do Veado, rio dos Veados","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Bifrenaria","hadwenii","Lindl. & Paxton","ORCHIDACEAE Bifrenaria hadwenii Lindl. & Paxton","BHCB195297","SPLINK","BHCB","Batista, J.A.N.","3524","Native","Ouro","Parque Nacional da Serra da Bocaina, Triha para o Pico da Bacia","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Malpighiaceae","Byrsonima","myricifolia","Griseb.","MALPIGHIACEAE Byrsonima myricifolia Griseb.","SP015455","SPLINK","SP","Freitas, L.","544","Native","Ouro","Parque Nacional da Serra da Bocaina, Estrada para o Bairro dos Macacos","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Malvaceae","Callianthe","latipetala","(G.L.Esteves & Krapov.) Donnell","MALVACEAE Callianthe latipetala (G.L.Esteves & Krapov.) Donnell","RB00915270",,"RB","Bovini, M.G.","3999","Native","Ouro","Parque Nacional da Serra da Bocaina, estrada da trilha do ouro. 1470m.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Polypodiaceae","Campyloneurum","angustifolium","(Sw.) Fée","POLYPODIACEAE Campyloneurum angustifolium (Sw.) Fée","UPCB00006510","REFLORA",,,"4341","Native","Ouro","Estrada do Parque Nacional da Serra da Bocaina para Campos Novos.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Polypodiaceae","Campyloneurum","austrobrasilianum","(Alston) de la Sota","POLYPODIACEAE Campyloneurum austrobrasilianum (Alston) de la Sota","UPCB0006491","REFLORA",,,"4275","Native","Ouro","Parque Nacional da Serra da Bocaina, Cachoeira São Izidro.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Solanaceae","Capsicum","hunzikerianum","Barboza & Bianch.","SOLANACEAE Capsicum hunzikerianum Barboza & Bianch.","BHCB190214","SPLINK","BHCB","Stehmann, J.R.","6472","Native","Ouro","De São José do Barreiro para o Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Solanaceae","Capsicum","mirabile","Mart.","SOLANACEAE Capsicum mirabile Mart.","152773","SPLINK","BHCB","Agra, M.F.","7360","Native","Ouro","Parque Nacional da Serra da Bocaina, Arredores do parque. Estrada a partir da sede administrativa do parque em São João do Barreiro para o alojamento na entrada do parque","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Solanaceae","Capsicum","villosum","Sendtn.","SOLANACEAE Capsicum villosum Sendtn.","BHCB063452","SPLINK","BHCB","Agra, M.F.","7352","Native","Ouro","Outskirts of Parque Nacional Serra da Bocaina. Road from park administrative headquarters at São José do Barreiro to alojamento at entrance to park","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Cattleya","coccinea","Lindl.","ORCHIDACEAE Cattleya coccinea Lindl.","BHCB195300","SPLINK","BHCB","Batista, J.A.N.","3527","Native","Ouro","Parque Nacional da Serra da Bocaina, Triha para o Pico da Bacia","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Cucurbitaceae","Cayaponia","pilosa","(Vell.) Cogn.","CUCURBITACEAE Cayaponia pilosa (Vell.) Cogn.","RB00073295",,"RB","Martinelli, G.","1117","Native","Ouro","Parque Nacional da Serra da Bocaina. Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Solanaceae","Cestrum","bracteatum","Link & Otto","SOLANACEAE Cestrum bracteatum Link & Otto","RB00461669",,"RB","Carvalho, A.M.","19","Native","Ouro","Acampamento a 35 km da cidade. Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Solanaceae","Cestrum","strictum","Schott ex Sendtn.","SOLANACEAE Cestrum strictum Schott ex Sendtn.","ICN00033937","SPLINK","ICN","Agra, M.F.","7383","Native","Ouro","Parque Nacional Serra da Bocaina, estrada principal do parque na entrada do alojamento passando pela Fazenda das Posses","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Chaetogastra","herbacea","(DC.) P.J.F.Guim. & Michelang.","MELASTOMATACEAE Chaetogastra herbacea (DC.) P.J.F.Guim. & Michelang.","NY01164740","SPLINK","NY","Almeda, F.","9828","Native","Ouro","Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Chaetogastra","sebastianopolitana","(Raddi) P.J.F.Guim. & Michelang.","MELASTOMATACEAE Chaetogastra sebastianopolitana (Raddi) P.J.F.Guim. & Michelang.","CAS0409231","SPLINK","CAS","Almeda, F.","9828","Native","Ouro","Municipio São Jose do Barreiro. Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Poaceae","Chusquea","ibiramae","McClure & L.B.Sm.","POACEAE Chusquea ibiramae McClure & L.B.Sm.","MBM425609","SPLINK","MBM","Martinelli, G.","9839","Native","Ouro","Parque Nacional da Serra da Bocaina, Marco 22, margens Rio Bonito.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Cleistes","montana","Gardner","ORCHIDACEAE Cleistes montana Gardner","BHCB195274","SPLINK","BHCB","Batista, J.A.N.","3501","Native","Ouro","Parque Nacional da Serra da Bocaina, Estrada para o parque.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Clidemia",,"D.Don","MELASTOMATACEAE Clidemia D.Don","RB00673428",,"RB","Baumgratz, J.F.A.","1181",,"Ouro","na  margem  da  estrada,  na  direção  Pousada  Campos  da  Bocaina  para  S.  J.  Barreiro;.  no  barranco  na  margem  da  estrada,  vegetação  degrada. Parque Nacional da Serra da Bocaina; Lageado; Zona de amortecimento;","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Gesneriaceae","Codonanthe","cordifolia","Chautems","GESNERIACEAE Codonanthe cordifolia Chautems","RB00577467",,"RB","Martinelli, G.","7776","Native","Ouro","Parque Nacional da Serra da Bocaina, margens do rio Bonito.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Fabaceae","Collaea","speciosa","(Loisel.) DC.","FABACEAE Collaea speciosa (Loisel.) DC.","309773","SPLINK","SP","Rossi, L.","1538","Native","Ouro","Parque Nacional da Serra da Bocaina, Fazenda Floresta","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Combretaceae","Combretum","fruticosum","(Loefl.) Stuntz","COMBRETACEAE Combretum fruticosum (Loefl.) Stuntz","RB00654367",,"RB","Lima, H.C.","1215","Native","Ouro","Subida para o parque Nacional da Serra da Bocaina.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Commelinaceae","Commelina","obliqua","Vahl","COMMELINACEAE Commelina obliqua Vahl","HURB000020129","SPLINK","HURB","Simao-Bianchini, R.","1066","Native","Ouro","Base da ResErva do Parque nacional da Serra da Bocaina.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Fabaceae","Cratylia","spectabilis","Tul.","FABACEAE Cratylia spectabilis Tul.","HUEFS0027722","SPLINK","HUEFS","Lima, H.C.","1216","Native","Ouro","Subida para o Parque Nacional da Serra da Bocaina.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Euphorbiaceae","Croton","dichrous","Müll.Arg.","EUPHORBIACEAE Croton dichrous Müll.Arg.","SPF00099436","SPLINK","SPF","Rossi, L.","1547","Native","Ouro","Parque Nacional da Serra da Bocaina, Fazenda Floresta.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Euphorbiaceae","Croton","pallidulus","Baill.","EUPHORBIACEAE Croton pallidulus Baill.","SP0279731","SPLINK","SP","Rossi, L.","1547","Native","Ouro","Parque Nacional da Serra da Bocaina, Fazenda Floresta.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Euphorbiaceae","Croton","salutaris","Casar.","EUPHORBIACEAE Croton salutaris Casar.","SPF00099435","SPLINK","SPF","Rossi, L.","1577","Native","Ouro","Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Asteraceae","Dasyphyllum","spinescens","(Less.) Cabrera","ASTERACEAE Dasyphyllum spinescens (Less.) Cabrera","RB00856642",,"RB","Nadruz, M.","2847","Native","Ouro","Estrada trilha do ouro. Parque Nacional Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Gentianaceae","Deianira","nervosa","Cham. & Schltdl.","GENTIANACEAE Deianira nervosa Cham. & Schltdl.","334534","SPLINK","SP","Freitas, L.","349","Native","Ouro","Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Gleicheniaceae","Dicranopteris","nervosa","(Kaulf.) Maxon","GLEICHENIACEAE Dicranopteris nervosa (Kaulf.) Maxon","UPCB00005008","REFLORA",,,"4320","Native","Ouro","Estrada do Parque Nacional da Serra da Bocaina para Campos Novos.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Athyriaceae","Diplazium","ambiguum","Raddi","ATHYRIACEAE Diplazium ambiguum Raddi","UPCB0002901","REFLORA",,,"4315","Native","Ouro","Estrada para o Parque Nacional da Serra da Bocaina, Rod. SP 221.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Convolvulaceae","Distimake","macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","CONVOLVULACEAE Distimake macrocalyx (Ruiz & Pav.) A.R. Simões & Staples","312850","SPLINK","SP","Bianchini, R.S.","1070","Native","Ouro","base da reserva do Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Dryadella",,"Luer","ORCHIDACEAE Dryadella Luer","BHCB195281","SPLINK","BHCB","Batista, J.A.N.","3508",,"Ouro","Parque Nacional da Serra da Bocaina, Trilha do Ouro","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Bromeliaceae","Dyckia","tuberosa","(Vell.) Beer","BROMELIACEAE Dyckia tuberosa (Vell.) Beer","335719","SPLINK","SP","Freitas, L.","495","Native","Ouro","Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Cyperaceae","Eleocharis","maculosa","(Vahl) Roem. & Schult.","CYPERACEAE Eleocharis maculosa (Vahl) Roem. & Schult.","SPF00095896","SPLINK","SPF","Catharino, E.L.M.","1931","Native","Ouro","Parque Nacional da Serra da Bocaina, Posses.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Epidendrum","secundum","Jacq.","ORCHIDACEAE Epidendrum secundum Jacq.","BHCB198340","SPLINK","BHCB","Batista, J.A.N.","3501a","Native","Ouro","Parque Nacional da Serra da Bocaina, Estrada para o Parque.","Não"
