"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","phylum","class","order","individualcount","continentocean","preparationtype","typeStatus","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","previouscatalognumber","relationshiptype","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"gbif",,"Observations","158868925","Asclepias curassavica L.","Plantae","Apocynaceae","Asclepias","2023","5","1","BR","São Paulo",,"Parque Natural Municipal Bororé","iNaturalist","HUMAN_OBSERVATION","zedenil",,,,,,,"curassavica","zedenil","-46.655021","-23.807617","2023-05-01 21:28:52",,,,,,,"Tracheophyta","Magnoliopsida","Gentianales",,,,,,,,,,,"GBIF",,"2023-05-01 21:23:17","Asclepias curassavica L.",,"BR",,"iNaturalist research-grade observations","2023-05-01T09:17:24",,,,,,"ACCEPTED","SPECIES",,,"2023-05-01 09:17:24","Parque Natural Municipal Bororé",,,,,,,,,,,"brazil","sao paulo","parque natural municipal borore","parque natural municipal borore",,"locality","brazil_sao paulo_parque natural municipal borore","brazil_sao paulo",-22.2584562,-48.7420254,"state","4103385415",,,,"https://www.inaturalist.org/observations/158868925",,,,,"PRESENT",,,,,,,,,"203",,,,,,,"357386792",,,"75602",,,,,,,,,,,"Asclepias",,,,,,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Asclepias curassavica","Asclepias curassavica","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"EPSG:4326",,,,,,,,,,,,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"check_local.2state","Asclepias curassavica","L.","name_w_authors","Apocynaceae","Asclepias curassavica","L.","species","name accepted","bfo-4517",,,"Asclepias curassavica L.","Asclepias","Apocynaceae","unknown","Asclepias curassavica"
"gbif",,"Observations","158954765","Begonia maculata Raddi","Plantae","Begoniaceae","Begonia","2023","5","1","BR","São Paulo",,"Parque Natural Municipal Bororé","iNaturalist","HUMAN_OBSERVATION","zedenil",,,,,,,"maculata","zedenil","-46.655021","-23.807617","2024-12-04 20:47:55",,,,,,,"Tracheophyta","Magnoliopsida","Cucurbitales",,,,,,,,,,,"GBIF",,"2023-05-02 00:19:27","Begonia maculata Raddi",,"BR",,"iNaturalist research-grade observations","2023-05-01T13:32:18",,,,,,"ACCEPTED","SPECIES",,,"2023-05-01 13:32:18","Parque Natural Municipal Bororé",,,,,,,,,,,"brazil","sao paulo","parque natural municipal borore","parque natural municipal borore",,"locality","brazil_sao paulo_parque natural municipal borore","brazil_sao paulo",-22.2584562,-48.7420254,"state","4465576816",,,,"https://www.inaturalist.org/observations/158954765",,,,,"PRESENT",,,,,,,,,"203",,,,,,,"357502832",,,"284651",,,,,,,,,,,"Begonia",,,,,,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Begonia maculata","Begonia maculata","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"EPSG:4326",,,,,,,,,,,,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"check_local.2state","Begonia maculata","Raddi","name_w_authors","Begoniaceae","Begonia maculata","Raddi","species","name accepted","bfo-5663",,,"Begonia maculata Raddi","Begonia","Begoniaceae","unknown","Begonia maculata"
"speciesLink","HVC00005240","HVC","5240","Clusia criuva parviflora","Plantae","Clusiaceae","Clusia","2014","01","08","Brasil","São Paulo","São Paulo","Parque Natural Municipal Bororé, Trilha do Lago.","UFBA","PreservedSpecimen","E.H.P. Barretto","2014","1",,,,"621","criuva","R.J.F. Garcia; E.H.P. Barretto","-46.630001","-23.540001","2025-06-01T12:01:36","Vesque","3686",,,"parviflora","53584",,,,,,,,,,,,,,"SPLINK","São Paulo","2014-1-NA",,,,,,,,,,,,,,,,,,"HVC","not in IH","Garcia, R.J.F.","3686","2014","Barretto, E.H.P.","2014","Barretto, E.H.P.","Garcia",,"brazil","sao paulo","sao paulo","parque natural municipal borore",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Clusia criuva subsp. parviflora","Vesque","not_Genus_epithet_format","Clusiaceae","Clusia criuva subsp. parviflora","Vesque","subspecies","name misspelled","bfo-111661",,,"Clusia criuva subsp. parviflora Vesque","Clusia","Clusiaceae","medium","Clusia criuva"
"gbif",,"Observations","158919304","Cordyline fruticosa (L.) A.Chev.","Plantae","Asparagaceae","Cordyline","2023","5","1","BR","São Paulo",,"Parque Natural Municipal Bororé","iNaturalist","HUMAN_OBSERVATION","Ana Cristina Almeida",,,,,,,"fruticosa","Ana Cristina Almeida","-46.655321","-23.80693","2024-08-31 20:05:08",,,,,,,"Tracheophyta","Liliopsida","Asparagales",,,,,,,,,,,"GBIF",,"2023-05-01 23:01:40","Cordyline fruticosa (L.) A.Chev.",,"BR",,"iNaturalist research-grade observations","2023-05-01T13:21",,,,,,"ACCEPTED","SPECIES",,,"2023/05/01 13:21","Parque Natural Municipal Bororé",,,,,,,,,,,"brazil","sao paulo","parque natural municipal borore","parque natural municipal borore",,"locality","brazil_sao paulo_parque natural municipal borore","brazil_sao paulo",-22.2584562,-48.7420254,"state","4103091410",,,,"https://www.inaturalist.org/observations/158919304",,,,,"PRESENT",,,,,,,,,"203",,,,,,,"357453490",,,"123572",,,,,,,,,,,"Cordyline",,,,,,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage;StillImage",TRUE,FALSE,"Cordyline fruticosa","Cordyline fruticosa","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","LC",,"EPSG:4326",,,,,,,,,,,,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"check_local.2state","Cordyline fruticosa","(L.) A.Chev.","name_w_authors","Asparagaceae","Cordyline fruticosa","(L.) A.Chev.","species","name accepted","bfo-609357",,,"Cordyline fruticosa (L.) A.Chev.","Cordyline","Asparagaceae","unknown","Cordyline fruticosa"
"speciesLink",,"MACK","2496","Cryptomeria japonica","Plantae","Taxodiaceae","Cryptomeria","2012","04","26","Brasil","SP","São Paulo","Parque Natural Municipal Bororé","UPM","PreservedSpecimen","R. J. F. Garcia","2012","07","31",,,"427","japonica","S. Honda","-46.6300010681152","-23.5400009155273","2020-01-20T14:40:53","(Thunb. ex L.f.) D.Don","1040",,,,"53584",,,,,,,,,,,,,,"SPLINK","São Paulo","2012-07-31",,,,,,,,,,,,,,,,,,"MACK",,"Honda, S.","1040","2012","Garcia, R.J.F.","2012",,"Honda",,"brazil","sao paulo","sao paulo","parque natural municipal borore",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Cryptomeria japonica","(Thunb. ex L.f.) D.Don","possibly_ok","Cupressaceae","Cryptomeria japonica","(Thunb. ex L.f.) D.Don","species","name accepted","bfo-596703",,,"Cryptomeria japonica (Thunb. ex L.f.) D.Don","Cryptomeria","Cupressaceae","medium","Cryptomeria japonica"
"gbif",,"Observations","158920974","Cuphea hyssopifolia Kunth","Plantae","Lythraceae","Cuphea","2023","5","1","BR","São Paulo",,"Parque Natural Municipal Bororé","iNaturalist","HUMAN_OBSERVATION","Marlon Garlet Facco",,,,,,,"hyssopifolia","zedenil","-46.655021","-23.807617","2023-12-30 15:21:59",,,,,,,"Tracheophyta","Magnoliopsida","Myrtales",,,,,,,,,,,"GBIF",,"2023-05-04 12:31:06","Cuphea hyssopifolia Kunth",,"BR",,"iNaturalist research-grade observations","2023-05-01T11:28:12",,,,,,"ACCEPTED","SPECIES",,,"2023-05-01 11:28:12","Parque Natural Municipal Bororé",,,,,,,,,,,"brazil","sao paulo","parque natural municipal borore","parque natural municipal borore",,"locality","brazil_sao paulo_parque natural municipal borore","brazil_sao paulo",-22.2584562,-48.7420254,"state","4507792822",,,,"https://www.inaturalist.org/observations/158920974",,,,,"PRESENT",,,,,,,,,"203",,,,,,,"358904096",,,"161257",,,,,,,,,,,"Cuphea",,,,,,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Cuphea hyssopifolia","Cuphea hyssopifolia","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"EPSG:4326",,,,,,,,,,,,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"check_local.2state","Cuphea hyssopifolia","Kunth","name_w_authors","Lythraceae","Cuphea hyssopifolia","Kunth","species","name accepted","bfo-116271",,,"Cuphea hyssopifolia Kunth","Cuphea","Lythraceae","unknown","Cuphea hyssopifolia"
"gbif",,"Observations","158893276","Curculigo capitulata (Lour.) Kuntze","Plantae","Hypoxidaceae","Curculigo","2023","5","1","BR","São Paulo",,"Parque Natural Municipal Bororé","iNaturalist","HUMAN_OBSERVATION","zedenil",,,,,,,"capitulata","zedenil","-46.655021","-23.807617","2024-10-22 21:09:17",,,,,,,"Tracheophyta","Liliopsida","Asparagales",,,,,,,,,,,"GBIF",,"2024-10-22 21:09:16","Curculigo capitulata (Lour.) Kuntze",,"BR",,"iNaturalist research-grade observations","2023-05-01T10:17:27",,,,,,"ACCEPTED","SPECIES",,,"2023-05-01 10:17:27","Parque Natural Municipal Bororé",,,,,,,,,,,"brazil","sao paulo","parque natural municipal borore","parque natural municipal borore",,"locality","brazil_sao paulo_parque natural municipal borore","brazil_sao paulo",-22.2584562,-48.7420254,"state","4102937411",,,,"https://www.inaturalist.org/observations/158893276",,,,,"PRESENT",,,,,,,,,"203",,,,,,,"555513225",,,"1476503",,,,,,,,,,,"Curculigo",,,,,,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Curculigo capitulata","Curculigo capitulata","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"EPSG:4326",,,,,,,,,,,,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"check_local.2state","Curculigo capitulata","(Lour.) Kuntze","name_w_authors","Hypoxidaceae","Curculigo capitulata","(Lour.) Kuntze","species","name accepted","bfo-633060",,,"Curculigo capitulata (Lour.) Kuntze","Curculigo","Hypoxidaceae","unknown","Curculigo capitulata"
"speciesLink","HUFABC002359","HUFABC","002359","Endlicheria paniculata","Plantae","Lauraceae","Endlicheria","2019","10","01","Brasil","SP","São Paulo","Parque Natural Municipal Bororé","UFABC","PreservedSpecimen","Barretto, EHP","2019","11","30","0","0","634","paniculata","Amaral, GB","-46.630001","-23.540001","2024-07-05T09:52:14","(Spreng.) J.F.Macbr.","s.n.",,,,"53584",,,,,,,,,,,,,,"SPLINK","São Paulo","2019-11-30",,,,,,,,,,,,,,,,,,"HUFABC",,"Amaral, G.B.","s.n.","2019","Barretto, E.H.P.","2019",,"Amaral",,"brazil","sao paulo","sao paulo","parque natural municipal borore",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Endlicheria paniculata","(Spreng.) J.F.Macbr.","possibly_ok","Lauraceae","Endlicheria paniculata","(Spreng.) J.F.Macbr.","species","name accepted","bfo-8417",,,"Endlicheria paniculata (Spreng.) J.F.Macbr.","Endlicheria","Lauraceae","medium","Endlicheria paniculata"
"gbif",,"Observations","158948527","Hatiora salicornoides (Haw.) Britton & Rose","Plantae","Cactaceae","Hatiora","2023","5","1","BR","São Paulo",,"Parque Natural Municipal Bororé","iNaturalist","HUMAN_OBSERVATION","zedenil",,,,,,,"salicornoides","zedenil","-46.655021","-23.807617","2023-12-27 15:33:11",,,,,,,"Tracheophyta","Magnoliopsida","Caryophyllales",,,,,,,,,,,"GBIF",,"2023-05-02 00:06:07","Hatiora salicornoides (Haw.) Britton & Rose",,"BR",,"iNaturalist research-grade observations","2023-05-01T13:13:46",,,,,,"ACCEPTED","SPECIES",,,"2023-05-01 13:13:46","Parque Natural Municipal Bororé",,,,,,,,,,,"brazil","sao paulo","parque natural municipal borore","parque natural municipal borore",,"locality","brazil_sao paulo_parque natural municipal borore","brazil_sao paulo",-22.2584562,-48.7420254,"state","4102922414",,,,"https://www.inaturalist.org/observations/158948527",,,,,"PRESENT",,,,,,,,,"203",,,,,,,"357494484",,,"1453005",,,,,,,,,,,"Hatiora",,,,,,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage",TRUE,FALSE,"Hatiora salicornoides","Hatiora salicornoides","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","NE",,"EPSG:4326",,,,,,,,,,,,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"check_local.2state","Hatiora salicornioides","(Haw.) Britton & Rose","name_w_authors","Cactaceae","Hatiora salicornioides","(Haw.) Britton & Rose","species","replaced orth. variant","bfo-1547","Hatiora salicornioides","(Haw.) Britton & Rose","Hatiora salicornioides (Haw.) Britton & Rose","Hatiora","Cactaceae","unknown","Hatiora salicornioides"
"gbif",,"Observations","158968073","Hedychium coronarium J.Koenig","Plantae","Zingiberaceae","Hedychium","2023","5","1","BR","São Paulo",,"Parque Natural Municipal Bororé","iNaturalist","HUMAN_OBSERVATION","zedenil",,,,,,,"coronarium","zedenil","-46.655021","-23.807617","2023-05-03 17:45:49",,,,,,,"Tracheophyta","Liliopsida","Zingiberales",,,,,,,,,,,"GBIF",,"2023-05-02 00:49:21","Hedychium coronarium J.Koenig",,"BR",,"iNaturalist research-grade observations","2023-05-01T13:44:44",,,,,,"ACCEPTED","SPECIES",,,"2023-05-01 13:44:44","Parque Natural Municipal Bororé",,,,,,,,,,,"brazil","sao paulo","parque natural municipal borore","parque natural municipal borore",,"locality","brazil_sao paulo_parque natural municipal borore","brazil_sao paulo",-22.2584562,-48.7420254,"state","4103479427",,,,"https://www.inaturalist.org/observations/158968073",,,,,"PRESENT",,,,,,,,,"203",,,,,,,"357521780",,,"143955",,,,,,,,,,,"Hedychium",,,,,,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",,"StillImage;StillImage",TRUE,FALSE,"Hedychium coronarium","Hedychium coronarium","null",FALSE,"LATIN_AMERICA","NORTH_AMERICA","DD",,"EPSG:4326",,,,,,,,,,,,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"check_local.2state","Hedychium coronarium","J.Koenig","name_w_authors","Zingiberaceae","Hedychium coronarium","J.Koenig","species","name accepted","bfo-110705",,,"Hedychium coronarium J.Koenig","Hedychium","Zingiberaceae","unknown","Hedychium coronarium"
