"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","phylum","class","order","individualcount","continentocean","preparationtype","typeStatus","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","previouscatalognumber","relationshiptype","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink","JOI023910","JOI","20790","Adiantum subcordatum","Plantae","Pteridaceae","Adiantum","2018","10","3","Brasil","São Paulo","Tiradentes","Parque Natural Municipal Cabeceiras do Aricanduva, antes da implantação do parque, borda de mata.","UNIVILLE","PreservedSpecimen","E.H.P.Barretto","2019","1",,,,"342","subcordatum","R.J.F.Garcia; E.H.P.Barretto, E.J.Santos, G.B.Amaral, B.Máximo, A.V.Marchetti Jr, O.S.Lakis","0","0","2025-06-01T12:03:26","Sw.","4589",,,,,,,,,,,,,,,,,,"SPLINK","Tiradentes","2019-1-NA",,,,,,,,,,,,,,,,,,"JOI",,"Garcia, R.J.F.","4589","2018","Barretto, E.H.P.","2019","Barretto, E.H.P.; Santos, E.J.; Amaral, G.B.; Maximo, B.; Jr, A.V.M.; Lakis, O.S.","Garcia",,"brazil","sao paulo","tiradentes","parque natural municipal cabeceiras do aricanduva, antes da implantacao do parque",,"locality","brazil_sao paulo_tiradentes","brazil_sao paulo",-22.2584562,-48.7420254,"state",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"check_local.2state","Adiantum subcordatum","Sw.","possibly_ok","Pteridaceae","Adiantum subcordatum","Sw.","species","name accepted","bfo-91857",,,"Adiantum subcordatum Sw.","Adiantum","Pteridaceae","medium","Adiantum subcordatum"
"speciesLink","HUFABC002566","HUFABC","002566","Alternanthera brasiliana","Plantae","Amaranthaceae","Alternanthera","2018","07","11","Brasil","SP","São Paulo","Parque Natural Municipal Cabeceiras do Aricanduva, Antes da implantação do parque.","UFABC","PreservedSpecimen","Honda, S","2018","07","31","-23","-46","634","brasiliana","Garcia, RJF; Santos, EJ; Amaral, GB","-46","-23","2024-07-05T09:51:57","(L.) Kuntze","4372",,,,,,,,,,,,,,,,,,"SPLINK","São Paulo","2018-07-31",,,,,,,,,,,,,,,,,,"HUFABC",,"Garcia, R.J.F.","4372","2018","Honda, S.","2018","Santos, E.J.; Amaral, G.B.","Garcia",,"brazil","sao paulo","sao paulo","parque natural municipal cabeceiras do aricanduva, antes da implantacao do parque",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Alternanthera brasiliana","(L.) Kuntze","possibly_ok","Amaranthaceae","Alternanthera brasiliana","(L.) Kuntze","species","name accepted","bfo-4302",,,"Alternanthera brasiliana (L.) Kuntze","Alternanthera","Amaranthaceae","low","Alternanthera brasiliana"
"gbif",,"HUEFS","263720","Austrocritonia velutina (Gardner) R.M.King & H.Rob.","Plantae","Asteraceae","Austrocritonia","2018","8","29","Brasil","São Paulo",,"Parque Natural Municipal Cabeceiras do Aricanduva.","UEFS","PRESERVED_SPECIMEN","S.J.de Sordi",,,,,,"https://specieslink.net/col/204","velutina","Garcia, R.J.F.","-46.411111","-23.625833","2024-10-29 07:17:30","(Gardner) R.M.King & H.Rob.","4526",,,,,"Tracheophyta","Magnoliopsida","Asterales",,,,,,,,,,,"GBIF","São Paulo","2019-07-01","Austrocritonia velutina (Gardner) R.M.King & H.Rob.",,"BR",,,"2018-08-29",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao paulo","parque natural municipal cabeceiras do aricanduva",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","4928886873",,,,"https://specieslink.net/guid/204/263720",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Austrocritonia",,,,,,"2e684fd6-09e2-4661-910a-0a188b610c04",,,TRUE,FALSE,"Austrocritonia velutina","Austrocritonia velutina","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Austrocritonia velutina","(Gardner) R.M.King & H.Rob.","name_w_authors","Asteraceae","Austrocritonia velutina","(Gardner) R.M.King & H.Rob.","species","name accepted","bfo-26847",,,"Austrocritonia velutina (Gardner) R.M.King & H.Rob.","Austrocritonia","Asteraceae","unknown","Austrocritonia velutina"
"speciesLink","JOI023760","JOI","20679","Baccharis anomala","Plantae","Asteraceae","Baccharis","2018","8","29","Brasil","São Paulo","São Paulo","Parque Natural Municipal Cabeceiras do Aricanduva","UNIVILLE","PreservedSpecimen","S.J.De Sordi","2019","4","12",,,"342","anomala","R.J.F.Garcia; G.B.Amaral, W.Russo, O.S.Lakis","-46.630001","-23.540001","2025-06-01T12:03:26","DC.","4537",,,,"53584",,,,,,,,,,,,,,"SPLINK","São Paulo","2019-4-12",,,,,,,,,,,,,,,,,,"JOI",,"Garcia, R.J.F.","4537","2018","Sordi, S.J.","2019","Amaral, G.B.; Russo, W.; Lakis, O.S.","Garcia",,"brazil","sao paulo","sao paulo","parque natural municipal cabeceiras do aricanduva",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Baccharis anomala","DC.","possibly_ok","Asteraceae","Baccharis anomala","DC.","species","name accepted","bfo-5155",,,"Baccharis anomala DC.","Baccharis","Asteraceae","high","Baccharis anomala"
"gbif",,"HUEFS","264297","Campovassouria cruciata (Vell.) R.M.King & H.Rob.","Plantae","Asteraceae","Campovassouria","2022","1","26","Brasil","São Paulo",,"Parque Natural Municipal Cabeceiras do Aricanduva, N. Cid. Tiradentes. Antes da implantação do parque.","UEFS","PRESERVED_SPECIMEN","S.J.de Sordi",,,,,,"https://specieslink.net/col/204","cruciata","Garcia, R.J.F.",,,"2024-10-29 07:17:31","(Vell.) R.M.King & H.Rob.","4821",,,,,"Tracheophyta","Magnoliopsida","Asterales",,,,,,,,,,,"GBIF","São Paulo","2022-02-01","Campovassouria cruciata (Vell.) R.M.King & H.Rob.",,"BR",,,"2022-01-26",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao paulo","parque natural municipal cabeceiras do aricanduva, antes da implantacao do parque",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","4928879905",,,,"https://specieslink.net/guid/204/264297",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Campovassouria",,,,,,"2e684fd6-09e2-4661-910a-0a188b610c04",,,FALSE,FALSE,"Campovassouria cruciata","Campovassouria cruciata","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/HUEFS0264297","WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Campovassouria cruciata","(Vell.) R.M.King & H.Rob.","name_w_authors","Asteraceae","Campovassouria cruciata","(Vell.) R.M.King & H.Rob.","species","name accepted","bfo-26931",,,"Campovassouria cruciata (Vell.) R.M.King & H.Rob.","Campovassouria","Asteraceae","unknown","Campovassouria cruciata"
"speciesLink","MBM448004","MBM","448004","Cryptocarya saligna","Plantae","Lauraceae","Cryptocarya","2018","12","05","Brazil","São Paulo","São Paulo","Parque Natural Municipal Cabeceiras do Aricanduva","MBM","PreservedSpecimen","Barretto, E.H.P.","2018","12",,,,"40","saligna","Garcia, R.J.F.; Barretto, E.H.P.;Brunassi, G.R.;Amaral, G.B.;Marchetti Junior, A.V.","-46.630001","-23.540001","2025-06-01T00:01:00","Mez","4653",,,,"53584",,,,,,,,,,,,,,"SPLINK","São Paulo","2018-12-NA",,,,,,,,,,,,,,,,,,"MBM",,"Garcia, R.J.F.","4653","2018","Barretto, E.H.P.","2018","Barretto, E.H.P.; Brunassi, G.R.; Amaral, G.B.; Marchetti Junior, A.V.","Garcia",,"brazil","sao paulo","sao paulo","parque natural municipal cabeceiras do aricanduva",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Cryptocarya saligna","Mez","possibly_ok","Lauraceae","Cryptocarya saligna","Mez","species","name accepted","bfo-8410",,,"Cryptocarya saligna Mez","Cryptocarya","Lauraceae","medium","Cryptocarya saligna"
"speciesLink","HUFABC002581","HUFABC","002581","Leandra australis","Plantae","Melastomataceae","Leandra","2018","12","05","Brasil","SP","São Paulo","Parque Natural Municipal Cabeceiras do Aricanduva, Antes da implantação do parque. Borda de mata.","UFABC","PreservedSpecimen","Barreto, EHP","2018","12",,"0","0","634","australis","Garcia, RJF; Barretto, EHP; Amaral, GB; Marchetti, Jr AV; Brunassi, GR","-46.630001","-23.540001","2024-07-05T09:52:17","(Cham.) cogn.","4668",,,,"53584",,,,,,,,,,,,,,"SPLINK","São Paulo","2018-12-NA",,,,,,,,,,,,,,,,,,"HUFABC",,"Garcia, R.J.F.","4668","2018","Barreto, E.H.P.","2018","Barretto, E.H.P.; Amaral, G.B.; Marchetti, J.A.V.; Brunassi, G.R.","Garcia",,"brazil","sao paulo","sao paulo","parque natural municipal cabeceiras do aricanduva, antes da implantacao do parque",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Leandra australis","(Cham.) Cogn.","possibly_ok","Melastomataceae","Leandra australis","(Cham.) Cogn.","species","author misspelled","bfo-9507",,,"Leandra australis (Cham.) Cogn.","Leandra","Melastomataceae","low","Leandra australis"
"speciesLink","HUFABC002324","HUFABC","002324","Lepidaploa muricata","Plantae","Asteraceae","Lepidaploa","2018","07","11","Brasil","SP","São Paulo","Parque Natural Municipal Cabeceiras do Aricanduva., Campo. 908 metros acima do mar.","UFABC","PreservedSpecimen","De Sordi, SJ","2022","02","15","-24.039506","-46.668211","634","muricata","Garcia, RJF; Santos, EJ; et al.","-46.668211","-24.039506","2024-07-05T09:51:59","(DC.) H.Rob.","4377",,,,,,,,,,,,,,,,,,"SPLINK","São Paulo","2022-02-15",,,,,,,,,,,,,,,,,,"HUFABC",,"Garcia, R.J.F.","4377","2018","Sordi, S.J.","2022","Santos, E.J.","Garcia",,"brazil","sao paulo","sao paulo","parque natural municipal cabeceiras do aricanduva",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Lepidaploa muricata","(DC.) H.Rob.","possibly_ok","Asteraceae","Lepidaploa muricata","(DC.) H.Rob.","species","name accepted","bfo-27143",,,"Lepidaploa muricata (DC.) H.Rob.","Lepidaploa","Asteraceae","high","Lepidaploa muricata"
"gbif",,"HUEFS","264313","Lessingianthus brevipetiolatus (Sch.Bip. ex Baker) H.Rob.","Plantae","Asteraceae","Lessingianthus","2018","7","11","Brasil","São Paulo",,"Parque Natural Municipal Cabeceiras do Aricanduva.","UEFS","PRESERVED_SPECIMEN","S.J.de Sordi",,,,,,"https://specieslink.net/col/204","brevipetiolatus","Garcia, R.J.F.","-46.400556","-23.622222","2024-10-29 07:17:32","(Sch.Bip. ex Baker) H.Rob.","4381","908","908",,,"Tracheophyta","Magnoliopsida","Asterales",,,,,,,,,,,"GBIF","São Paulo","2020-07-01","Lessingianthus brevipetiolatus (Sch.Bip. ex Baker) H.Rob.",,"BR",,,"2018-07-11",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao paulo","parque natural municipal cabeceiras do aricanduva",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county","4928883466",,,,"https://specieslink.net/guid/204/264313",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lessingianthus",,,,,,"2e684fd6-09e2-4661-910a-0a188b610c04",,,TRUE,FALSE,"Lessingianthus brevipetiolatus","Lessingianthus brevipetiolatus","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/HUEFS0264313","WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Lessingianthus brevipetiolatus","(Sch.Bip. ex Baker) H.Rob.","name_w_authors","Asteraceae","Lessingianthus brevipetiolatus","(Sch.Bip. ex Baker) H.Rob.","species","name accepted","bfo-27168",,,"Lessingianthus brevipetiolatus (Sch.Bip. ex Baker) H.Rob.","Lessingianthus","Asteraceae","unknown","Lessingianthus brevipetiolatus"
"speciesLink","HUFABC002577","HUFABC","002577","Miconia cabucu","Plantae","Melastomataceae","Miconia","2018","12","05","Brasil","SP","São Paulo","Parque Natural Municipal Cabeceiras do Aricanduva, Antes da implantação do parque. Mata.","UFABC","PreservedSpecimen","Barreto, EHP","2018","12",,"0","0","634","cabucu","Garcia, RJF; Barretto, EHP; Amaral, GB; Marchetti, Jr AV; Brunassi, GR","-46.630001","-23.540001","2024-07-05T09:52:17","Hoehne","4671",,,,"53584",,,,,,,,,,,,,,"SPLINK","São Paulo","2018-12-NA",,,,,,,,,,,,,,,,,,"HUFABC",,"Garcia, R.J.F.","4671","2018","Barreto, E.H.P.","2018","Barretto, E.H.P.; Amaral, G.B.; Marchetti, J.A.V.; Brunassi, G.R.","Garcia",,"brazil","sao paulo","sao paulo","parque natural municipal cabeceiras do aricanduva, antes da implantacao do parque, mata",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Miconia formosa","Cogn.","possibly_ok","Melastomataceae","Miconia formosa","Cogn.","species","replaced synonym","bfo-9706","Miconia formosa","Cogn.","Miconia formosa Cogn.","Miconia","Melastomataceae","low","Miconia formosa"
