"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"2","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Ericaceae","Agarista","chlorantha","(Cham.) G.Don","ERICACEAE Agarista chlorantha (Cham.) G.Don","ESA124337","REFLORA",,,"609","Native","Ouro","Parque Natural Municipal da Cratera de Colônia. Trilha na divisa Leste. Campo Sujo.","Não"
"6","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Ferns and Lycophytes","Aspleniaceae","Asplenium","serra","Langsd. & Fisch.","ASPLENIACEAE Asplenium serra Langsd. & Fisch.","HSTM00007876","REFLORA",,,"577","Native","Ouro","Parque Natural Municipal da Cratera de Colônia. Campo úmido.","Não"
"7","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Asteraceae","Baccharis","oreophila","Malme","ASTERACEAE Baccharis oreophila Malme","ICN00052032","REFLORA",,,"90","Native","Ouro","Parque Natural Municipal da Cratera de Colônia","Não"
"24","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Ferns and Lycophytes","Blechnaceae","Lomariocycas","schomburgkii","(Klotzsch) Gasper & A.R. Sm.","BLECHNACEAE Lomariocycas schomburgkii (Klotzsch) Gasper & A.R. Sm.","UPCB0002735","REFLORA",,,"580","Native","Ouro","Parque Natural Municipal da Cratera de Colônia. Campo úmido.","Não"
"25","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Apocynaceae","Matelea","denticulata","(Vahl) Fontella & E.A.Schwarz","APOCYNACEAE Matelea denticulata (Vahl) Fontella & E.A.Schwarz","COR00109698","REFLORA",,,"624","Native","Ouro","Parque Natural Municipal da Cratera de Colônia, Trilha da divisa leste. Mata de 6 m de altura, Via com epífitas, Mata turfeira.","Não"
"26","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Melastomataceae","Miconia","racemifera","(DC.) Triana","MELASTOMATACEAE Miconia racemifera (DC.) Triana","HUEFS196907","REFLORA",,,"42","Native","Ouro","Parque Natural Municipal da Cratera de Colônia Mata de Turfeira.","Não"
"1","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Lamiaceae","Aegiphila","integrifolia","(Jacq.) Moldenke","LAMIACEAE Aegiphila integrifolia (Jacq.) Moldenke","12252","GBIF",,,"39","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"3","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Euphorbiaceae","Alchornea","triplinervia","(Spreng.) Müll.Arg.","EUPHORBIACEAE Alchornea triplinervia (Spreng.) Müll.Arg.","12223","GBIF",,,"129","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"4","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Apocynaceae","Allamanda","schottii","Pohl","APOCYNACEAE Allamanda schottii Pohl","12259","GBIF",,,"145","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"5","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Alstroemeriaceae","Alstroemeria","isabelleana","Herb.","ALSTROEMERIACEAE Alstroemeria isabelleana Herb.","197942","GBIF",,,"610","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Trilha na divisa Leste.","Não"
"8","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Myrtaceae","Blepharocalyx","salicifolius","(Kunth) O.Berg","MYRTACEAE Blepharocalyx salicifolius (Kunth) O.Berg","12254","GBIF",,,"120","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"9","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Melastomataceae","Chaetogastra","herbacea","(DC.) P.J.F.Guim. & Michelang.","MELASTOMATACEAE Chaetogastra herbacea (DC.) P.J.F.Guim. & Michelang.","12215","GBIF",,,"143","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Na estrada de Vargem Grande, borda do parque","Não"
"10","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Clethraceae","Clethra","scabra","Pers.","CLETHRACEAE Clethra scabra Pers.","12241","GBIF",,,"79","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
