"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,,"2024-08-28T17:10:46",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"8461","1025","Martins, S.E.; Aragaki, S.; Peralta, D.F.",,,,,,,,,,,,"2007","04","23",,,,,,,,"São Paulo","Apiai","Apiai","Parque Natural Municipal Morro do Ouro.",,,,"-24.517222","-48.835278",,,,,,,,,,,,"Gomes, S.S.J.",,"2007-05-NA",,,"Begonia capanemae",,,,,,,"Plantae","Angiosperma",,,,"Begoniaceae",,,,"Begonia",,,,"capanemae",,,,,,,,,,,,,,"Begonia capanemae",,,,,,,"Brasil",,,,,,,"-24.517222","-48.835278","Brade.","Splink",,,,"05",,"2007",,,,"HUSC008461",,,,,,,,,,,,,,,,,,,"HUSC",,"Martins, S.E.","1025","2007","Gomes, S.S.J.","2007","Aragaki, S.; Peralta, D.F.","Martins",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge","check_local.2municip.","Begonia capanemae","Brade","possibly_ok","Begoniaceae","Begonia capanemae","Brade","species","author misspelled","bfo-5587",,,"Begonia capanemae Brade","Begonia","Begoniaceae","low","Begonia capanemae"
"speciesLink",,,"2024-08-28T17:10:46",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"8462","1026","Martins, S.E.; Aragaki, S.; Peralta, D.F.",,,,,,,,,,,,"2007","04","23",,,,,,,,"São Paulo","Apiai","Apiai","Parque Natural Municipal Morro do Ouro.",,,,"-24.517222","-48.835278",,,,,,,,,,,,"Gomes, S.S.J.",,"2007-05-NA",,,"Begonia fruticosa",,,,,,,"Plantae","Angiosperma",,,,"Begoniaceae",,,,"Begonia",,,,"fruticosa",,,,,,,,,,,,,,"Begonia fruticosa",,,,,,,"Brasil",,,,,,,"-24.517222","-48.835278","(Klostzch) A.D.C.","Splink",,,,"05",,"2007",,,,"HUSC008462",,,,,,,,,,,,,,,,,,,"HUSC",,"Martins, S.E.","1026","2007","Gomes, S.S.J.","2007","Aragaki, S.; Peralta, D.F.","Martins",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge","check_local.2municip.","Begonia fruticosa","(Klotzsch) A.DC.","possibly_ok","Begoniaceae","Begonia fruticosa","(Klotzsch) A.DC.","species","author misspelled","bfo-5619",,,"Begonia fruticosa (Klotzsch) A.DC.","Begonia","Begoniaceae","low","Begonia fruticosa"
"speciesLink",,,"2021-12-09T11:02:32",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"412468","1015","Martins, SE; et al.",,,,,,,,,,,,"2007","04","23",,,,,,,,"São Paulo","Apiaí","Apiaí","Parque Natural Municipal Morro do Ouro",,,,"-24.517222","-48.835278",,,,,,,,,,,,"Martins, SE",,"2007-04-NA",,,"Billbergia amoena",,,,,,,"Plantae",,,,,"Bromeliaceae",,,,"Billbergia",,,,"amoena",,,,,,,,,,,,,,"Billbergia amoena",,,,,,,"Brasil","900","900",,,,,"-24.517222","-48.835278","(Lodd.) Lindl.","Splink",,,,"04",,"2007",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Martins, S.E.","1015","2007","Martins, S.E.","2007",,"Martins",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge","check_local.2municip.","Billbergia amoena","(Lodd.) Lindl.","possibly_ok","Bromeliaceae","Billbergia amoena","(Lodd.) Lindl.","species","name accepted","bfo-5922",,,"Billbergia amoena (Lodd.) Lindl.","Billbergia","Bromeliaceae","low","Billbergia amoena"
"speciesLink",,,"2023-03-29T16:54:46",,,"259",,"UFRGS","ICN",,"S",,,,"200542","1270","Alves-Silva, G",,,,,,,,,,,,"2018","02","06",,,,,,,,"SP","Apiaí","Apiaí","Parque Natural Municipal Morro do Ouro",,,,"-24.521667","-48.834444",,,,,,,,,,,"Epitype","Alves-Silva, G",,"2019-05-14",,,"Fomitiporia apiahyna",,,,,,,"Plantae","Fungi",,,,"Hymenochaetaceae",,,,"Fomitiporia",,,,"apiahyna",,,,,,,,,,,,,,"Fomitiporia apiahyna",,,,,,,"Brasil","840","840",,,,,"-24.521667","-48.834444","(Speg.) Robledo, Decock & Rajchenb.","Splink","14",,,"05",,"2019",,,,"ICN00044542","América do Sul",,,,,,,,,,,,,,,,,,"ICN",,"Alves-Silva, G.","1270","2018","Alves-Silva, G.","2019",,"Alves-Silva",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge","check_local.2municip.","Fomitiporia apiahyna","(Speg.) Robledo, Decock & Rajchenb.","possibly_ok",,"Fomitiporia apiahyna","(Speg.) Robledo, Decock & Rajchenb.","species","not found",,,,"Fomitiporia apiahyna (Speg.) Robledo, Decock & Rajchenb.","Fomitiporia","Burseraceae","high","Fomitiporia apiahyna"
"speciesLink",,,"2023-03-29T16:54:46",,,"259",,"UFRGS","ICN",,"S",,,,"200568","1276","Alves-Silva, G",,,,,,,,,,,,"2018","02","06",,,,,,,,"SP","Apiaí","Apiaí","Parque Natural Municipal Morro do Ouro",,,,"-24.521111","-48.837222",,,,,,,,,,,,"Alves-Silva, G",,"2019-05-14",,,"Fomitiporia subtilissima",,,,,,,"Plantae","Fungi",,,,"Hymenochaetaceae",,,,"Fomitiporia",,,,"subtilissima",,,,,,,,,,,,,,"Fomitiporia subtilissima",,,,,,,"Brasil","919","919",,,,,"-24.521111","-48.837222","Alves-Silva, Reck & Drechsler-Santos","Splink","14",,,"05",,"2019",,,,,"América do Sul",,,,,,,,,,,,,,,,,,"ICN",,"Alves-Silva, G.","1276","2018","Alves-Silva, G.","2019",,"Alves-Silva",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge","check_local.2municip.","Fomitiporia subtilissima","Alves-Silva, Reck & Drechsler-Santos","possibly_ok",,"Fomitiporia subtilissima","Alves-Silva, Reck & Drechsler-Santos","species","not found",,,,"Fomitiporia subtilissima Alves-Silva, Reck & Drechsler-Santos","Fomitiporia","Burseraceae","low","Fomitiporia subtilissima"
"gbif","7.83192228395386e-315",,"2021-04-26 11:26:03",,,"https://specieslink.net/col/155",,"UFPE","UFP",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/155/81654","81654","4382","Peralta, DF; Martins, SE; Aragaki, S",,,,,"PRESENT",,,,,,"2007-04-23","2007","4","23",,,,,,,"BR","São Paulo",,"Apiaí","Parque Natural Municipal Morro do Ouro, trilha que acompanha o rio menino",,,,"-24.517222","-48.835278",,,,,,,,,,,,,,,,,"Leucobryum",,,,,,,"Plantae","Bryophyta","Bryopsida","Dicranales",,"Leucobryaceae",,,,"Leucobryum","Leucobryum",,,,,,"genus",,"ACCEPTED",,"1e0f3d99-eb02-4806-b6a4-e903568129ec",,,TRUE,FALSE,,"Leucobryum Hampe","Leucobryum Hampe","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,"Brasil","700","700",,,"WGS84",,,,"Hampe","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UFP",,"Peralta, D.F.","4382","2007",,,"Martins, S.E.; Aragaki, S.","Peralta",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge","check_local.2municip.","Leucobryum hampe",,"name_w_wrong_case",,"Leucobryum hampe",,"species","not found",,,,"Leucobryum hampe","Leucobryum","Polypodiaceae","unknown","Leucobryum hampe"
"speciesLink",,,"2024-08-28T17:11:07",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"10061","1088","Aragaki, S.; Martins, S.E.; Peralta, D.F.",,,,,,,,,,,,"2007","04","23",,,,,,,,"São Paulo","Apiaí","Apiaí","Parque Natural Municipal Morro do Ouro.",,,,"-24.517222","-48.835278",,,,,,,,,,,,,,,,,"Mollinedia",,,,,,,"Plantae","Angiosperma",,,,"Monimiaceae",,,,"Mollinedia",,,,,,,,,,,,,,,,,,"Mollinedia",,,,,,,"Brasil","900","900",,,,,"-24.517222","-48.835278",,"Splink",,,,,,,,,,"HUSC010061",,,,,,,,,,,,,,,,,,,"HUSC",,"Aragaki, S.","1088","2007",,,"Martins, S.E.; Peralta, D.F.","Aragaki",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge","check_local.2municip.","Mollinedia","Ruiz & Pav.","indet","Monimiaceae","Mollinedia","Ruiz & Pav.","genus","name accepted","bfo-10070",,,"Mollinedia Ruiz & Pav.","Mollinedia","Monimiaceae","unknown",
"speciesLink",,,"2024-08-28T17:11:00",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"8699","1009","Martins, S.E.; Aragaki, S.; Peralta, D.F.",,,,,,,,,,,,"2007","04","23",,,,,,,,"São Paulo","Apiaí","Apiaí","Parque Natural Municipal Morro do Ouro.",,,,"-24.5","-48.84",,"37738",,,,,,,,,,"Martins, S.E.",,"2007-04-NA",,,"Nematanthus tessmannii",,,,,,,"Plantae","Angiosperma",,,,"Gesneriaceae",,,,"Nematanthus",,,,"tessmannii",,,,,,,,,,,,,,"Nematanthus tessmannii",,,,,,,"Brasil",,,,,,,"0","0","(Hoehne) Chautems","Splink",,,,"04",,"2007",,,,"HUSC008699",,,,,,,,,,,,,,,,,,,"HUSC",,"Martins, S.E.","1009","2007","Martins, S.E.","2007","Aragaki, S.; Peralta, D.F.","Martins",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge","check_local.2municip.","Nematanthus tessmannii","(Hoehne) Chautems","possibly_ok","Gesneriaceae","Nematanthus tessmannii","(Hoehne) Chautems","species","name accepted","bfo-7867",,,"Nematanthus tessmannii (Hoehne) Chautems","Nematanthus","Gesneriaceae","low","Nematanthus tessmannii"
"speciesLink",,,"2021-12-09T11:02:38",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"412470","1017","Martins, SE; et al.",,,,,,,,,,,,"2007","04","23",,,,,,,,"São Paulo","Apiaí","Apiaí","Parque Natural Municipal Morro do Ouro",,,,"-24.517222","-48.835278",,,,,,,,,,,,"Moreira, BA",,"2007-04-NA",,,"Nidularium amazonicum",,,,,,,"Plantae",,,,,"Bromeliaceae",,,,"Nidularium",,,,"amazonicum",,,,,,,,,,,,,,"Nidularium amazonicum",,,,,,,"Brasil","900","900",,,,,"-24.517222","-48.835278","(Baker) Lindm.","Splink",,,,"04",,"2007",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Martins, S.E.","1017","2007","Moreira, B.A.","2007",,"Martins",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge","check_local.2municip.","Nidularium amazonicum","(Baker) Linden & É.Morren ex Lindm.","possibly_ok","Bromeliaceae","Nidularium amazonicum","(Baker) Linden & É.Morren ex Lindm.","species","author misspelled","bfo-6233",,,"Nidularium amazonicum (Baker) Linden & É.Morren ex Lindm.","Nidularium","Bromeliaceae","high","Nidularium amazonicum"
"speciesLink",,,"2024-08-28T17:11:15",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"10196","1086","Aragaki, S.; Martins, S.E.; Peralta, D.F.",,,,,,,,,,,,"2007","04","23",,,,,,,,"São Paulo","Apiai","Apiai","Parque Natural Municipal Morro do Ouro.",,,,"-24.517222","-48.835278",,,,,,,,,,,,,,,,,"Phytolaccaceae",,,,,,,"Plantae","Angiosperma",,,,"Phytolaccaceae",,,,,,,,,,,,,,,,,,,,,,"Phytolaccaceae",,,,,,,"Brasil","900","900",,,,,"-24.517222","-48.835278",,"Splink",,,,,,,,,,"HUSC010196",,,,,,,,,,,,,,,,,,,"HUSC",,"Aragaki, S.","1086","2007",,,"Martins, S.E.; Peralta, D.F.","Aragaki",,"brazil","sao paulo","apiai","parque natural municipal morro do ouro",,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county","brazil_sao paulo_apiai","Brazil","São Paulo","Apiaí",,"ibge","check_local.2municip.","Phytolaccaceae","R.Br.","family_as_genus","Phytolaccaceae","Phytolaccaceae","R.Br.","family","name accepted","bfo-187",,,"Phytolaccaceae R.Br.",,"Phytolaccaceae","unknown",
