"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"406174","47","Ferreira, PC; Ariati, V; Marinero, F",,,,,,,,,,,,"2015","7","18",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras.",,,,"-24.73","-48.119999",,"24646",,,,,,,,,,"Ferreira, PC",,"2016-2-1",,,"Andira fraxinifolia",,,,,,,"Plantae",,,,,"Fabaceae",,,,"Andira",,,,"fraxinifolia",,,,,,,,,,,,,,"Andira fraxinifolia",,,,,,,"Brazil","337",,,,,,"-24.846944","-48.243889",,"Splink","1",,,"2",,"2016",,,,"MBM406174",,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","47","2015","Ferreira, P.C.","2016","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Andira fraxinifolia","Benth.","possibly_ok","Fabaceae","Andira fraxinifolia","Benth.","species","name accepted","bfo-29442",,,"Andira fraxinifolia Benth.","Andira","Fabaceae","low","Andira fraxinifolia"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"406172","45","Ferreira, PC; Ariati, V; Marinero, F",,,,,,,,,,,,"2015","7","18",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras.",,,,"-24.73","-48.119999",,"24646",,,,,,,,,,"Ferreira, PC",,"2016-2-1",,,"Canna indica",,,,,,,"Plantae",,,,,"Cannaceae",,,,"Canna",,,,"indica",,,,,,,,,,,,,,"Canna indica",,,,,,,"Brazil","337",,,,,,"-24.846944","-48.243889","L.","Splink","1",,,"2",,"2016",,,,"MBM406172",,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","45","2015","Ferreira, P.C.","2016","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Canna indica","L.","possibly_ok","Cannaceae","Canna indica","L.","species","name accepted","bfo-110628",,,"Canna indica L.","Canna","Cannaceae","low","Canna indica"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"406168","41","Ferreira, PC; Ariati, V; Marinero, F",,,,,,,,,,,,"2015","7","16",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras.",,,,"-24.73","-48.119999",,"24646",,,,,,,,,,"Engels, ME",,"2019-4-12",,,"Cranichis candida",,,,,,,"Plantae",,,,,"Orchidaceae",,,,"Cranichis",,,,"candida",,,,,,,,,,,,,,"Cranichis candida",,,,,,,"Brazil","337",,,,,,"-24.846944","-48.243889","(Barb.Rodr.) Cogn.","Splink","12",,,"4",,"2019",,,,"MBM406168",,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","41","2015","Engels, M.E.","2019","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Cranichis candida","(Barb.Rodr.) Cogn.","possibly_ok","Orchidaceae","Cranichis candida","(Barb.Rodr.) Cogn.","species","name accepted","bfo-11406",,,"Cranichis candida (Barb.Rodr.) Cogn.","Cranichis","Orchidaceae","low","Cranichis candida"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"406167","40","Ferreira, PC; Ariati, V; Marinero, F",,,,,,,,,,,,"2015","7","16",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras.",,,,"-24.73","-48.119999",,"24646",,,,,,,,,,"Engels, ME",,"2019-4-11",,,"Eulophia alta",,,,,,,"Plantae",,,,,"Orchidaceae",,,,"Eulophia",,,,"alta",,,,,,,,,,,,,,"Eulophia alta",,,,,,,"Brazil","337",,,,,,"-24.846944","-48.243889","(L.) Fawc. & Rendle","Splink","11",,,"4",,"2019",,,,"MBM406167",,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","40","2015","Engels, M.E.","2019","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Eulophia alta","(L.) Fawc. & Rendle","possibly_ok","Orchidaceae","Eulophia alta","(L.) Fawc. & Rendle","species","name accepted","bfo-11589",,,"Eulophia alta (L.) Fawc. & Rendle","Eulophia","Orchidaceae","low","Eulophia alta"
"speciesLink",,,"2023-05-12T15:15:12",,,"232",,"UTFPR","HCF",,"PreservedSpecimen",,,,"21404","39","P.C. Ferreira",,,,,,,,,,,,"2015","07","16",,,,,,,,"SP","Cajati","Cajati","RDS Lavras",,,,"-24.846944","-48.243889",,,,,,,,,,,,"P.C. Ferreira",,"2016-02-01",,,"Heterocondylus alatus",,,,,,,"Plantae",,,,,"Asteraceae",,,,"Heterocondylus",,,,"alatus",,,,,,,,,,,,,,"Heterocondylus alatus",,,,,,,"Brasil","337","337",,,,,"24°50'49"" S","48°14'38"" W","(Vell.) R.M. King & H. Robinson","Splink","01",,,"02",,"2016",,,,"HCF000021816",,,,,,,,,,,,,,,,,,,"HCF",,"Ferreira, P.C.","39","2015","Ferreira, P.C.","2016",,"Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Heterocondylus alatus","(Vell.) R.M.King & H.Rob.","possibly_ok","Asteraceae","Heterocondylus alatus","(Vell.) R.M.King & H.Rob.","species","author misspelled","bfo-16137",,,"Heterocondylus alatus (Vell.) R.M.King & H.Rob.","Heterocondylus","Asteraceae","low","Heterocondylus alatus"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"406163","36","Ferreira, PC; Ariati, V; Marinero, F",,,,,,,,,,,,"2015","7","13",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras.",,,,"-24.73","-48.119999",,"24646",,,,,,,,,,"Ferreira, PC",,"2016-2-1",,,"Heteropterys nitida",,,,,,,"Plantae",,,,,"Malpighiaceae",,,,"Heteropterys",,,,"nitida",,,,,,,,,,,,,,"Heteropterys nitida",,,,,,,"Brazil","337",,,,,,"-24.846944","-48.243889","(Lam.) DC.","Splink","1",,,"2",,"2016",,,,"MBM406163",,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","36","2015","Ferreira, P.C.","2016","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Heteropterys nitida","(Lam.) DC.","possibly_ok","Malpighiaceae","Heteropterys nitida","(Lam.) DC.","species","name accepted","bfo-8894",,,"Heteropterys nitida (Lam.) DC.","Heteropterys","Malpighiaceae","low","Heteropterys nitida"
"speciesLink",,,"2025-06-01T12:02:06",,,"587",,"UNILA","EVB",,"PreservedSpecimen",,,,"6251","49","Ferreira, P.C.; Ariati, V.; Marinero, F.",,,,,,,,,,,,"2015","07","19",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras.",,,,"-24.8469444","-48.2438889",,,,,,,,,,,,"Silva, F.A",,"2022-NA-NA",,,"Mendoncia glabra",,,,,,,"Plantae",,,,,"Acanthaceae",,,,"Mendoncia",,,,"glabra",,,,,,,,,,,,,,"Mendoncia glabra",,,,,,,"Brasil",,,,,,,"24º50'49''S","48º14'38''W","Poepp. & Endl.","Splink",,,,,,"2022",,,,"EVB006251",,,,,,,,,,,,,,,,,,,"EVB",,"Ferreira, P.C.","49","2015","Silva, F.A.","2022","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Mendoncia glabra","Poepp. & Endl.","possibly_ok","Acanthaceae","Mendoncia glabra","Poepp. & Endl.","species","name accepted","bfo-15357",,,"Mendoncia glabra Poepp. & Endl.","Mendoncia","Acanthaceae","low","Mendoncia glabra"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"406164","37","Ferreira, P.C.; Ariati, V.; Marinero, F.",,,,,,,,,,,,"2015","7","13",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras",,,,"-24.8469444","-48.2438889",,,,,,,,,,,,"Engels, M.E.",,"2024-2-5",,,"Microchilus caraguatatubensis",,,,,,,"Plantae",,,,,"Orchidaceae",,,,"Microchilus",,,,"caraguatatubensis",,,,,,,,,,,,,,"Microchilus caraguatatubensis",,,,,,,"Brazil","337",,,,,,"24º50'49''S","48º14'38''W","(M.R.Miranda, Engels & E.C.Smidt) E.C.Smidt & M.W.Chase","Splink","5",,,"2",,"2024",,,,"MBM406164",,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","37","2015","Engels, M.E.","2024","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Microchilus caraguatatubensis","(M.R.Miranda, Engels & E.C.Smidt) E.C.Smidt & M.W.Chase","possibly_ok",,"Microchilus caraguatatubensis","(M.R.Miranda, Engels & E.C.Smidt) E.C.Smidt & M.W.Chase","species","not found",,,,"Microchilus caraguatatubensis (M.R.Miranda, Engels & E.C.Smidt) E.C.Smidt & M.W.Chase","Microchilus","Orchidaceae","low","Microchilus caraguatatubensis"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"406177","50","Ferreira, PC; Ariati, V; Marinero, F",,,,,,,,,,,,"2015","7","19",,,,,,,,"São Paulo","Cajati","Cajati","RDS Lavras.",,,,"-24.73","-48.119999",,"24646",,,,,,,,,,"Fiaschi, P",,"2019-10-14",,,"Oxalis debilis",,,,,,,"Plantae",,,,,"Oxalidaceae",,,,"Oxalis",,,,"debilis",,,,,,,,,,,,,,"Oxalis debilis",,,,,,,"Brazil","337",,,,,,"-24.846944","-48.243889","Kunth","Splink","14",,,"10",,"2019",,,,"MBM406177",,,,,,,,,,,,,,,,,,,"MBM",,"Ferreira, P.C.","50","2015","Fiaschi, P.","2019","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Oxalis debilis","Kunth","possibly_ok","Oxalidaceae","Oxalis debilis","Kunth","species","name accepted","bfo-12459",,,"Oxalis debilis Kunth","Oxalis","Oxalidaceae","high","Oxalis debilis"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"402250","1201","Ariati, V; Ferreira, PCC; Marinero, F",,,,,,,,,,,,"2015","7",,,,,,,,,"São Paulo","Cajati","Cajati","Reserva de Desenvolvimento Sustentável Lavras.",,,,"-24.73","-48.119999",,"24646",,,,,,,,,,"Engels, ME",,"2019-4-12",,,"Sauroglossum elatum",,,,,,,"Plantae",,,,,"Orchidaceae",,,,"Sauroglossum",,,,"elatum",,,,,,,,,,,,,,"Sauroglossum elatum",,,,,,,"Brazil",,,,,,,,,"Lindl.","Splink","12",,,"4",,"2019",,,,"MBM402250",,,,,,,,,,,,,,,,,,,"MBM",,"Ariati, V.","1201","2015","Engels, M.E.","2019","Ferreira, P.C.C.; Marinero, F.","Ariati",,"brazil","sao paulo","cajati","reserva de desenvolvimento sustentavel lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","check_local.2municip.","Sauroglossum elatum","Lindl.","possibly_ok","Orchidaceae","Sauroglossum elatum","Lindl.","species","name accepted","bfo-69656",,,"Sauroglossum elatum Lindl.","Sauroglossum","Orchidaceae","low","Sauroglossum elatum"
