"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"RDS LAVRAS","Angiosperms","Oxalidaceae","Oxalis","debilis","Kunth","OXALIDACEAE Oxalis debilis Kunth","MBM406177","Splink","MBM","Ferreira, P.C.","50","Native","Ouro","RDS Lavras.","Não"
"RDS LAVRAS","Angiosperms","Fabaceae","Andira","fraxinifolia","Benth.","FABACEAE Andira fraxinifolia Benth.","MBM406174","Splink","MBM","Ferreira, P.C.","47","Native","Bronze","RDS Lavras.","Não"
"RDS LAVRAS","Angiosperms","Cannaceae","Canna","indica","L.","CANNACEAE Canna indica L.","MBM406172","Splink","MBM","Ferreira, P.C.","45","Native","Bronze","RDS Lavras.","Não"
"RDS LAVRAS","Angiosperms","Orchidaceae","Cranichis","candida","(Barb.Rodr.) Cogn.","ORCHIDACEAE Cranichis candida (Barb.Rodr.) Cogn.","MBM406168","Splink","MBM","Ferreira, P.C.","41","Native","Bronze","RDS Lavras.","Não"
"RDS LAVRAS","Angiosperms","Orchidaceae","Eulophia","alta","(L.) Fawc. & Rendle","ORCHIDACEAE Eulophia alta (L.) Fawc. & Rendle","MBM406167","Splink","MBM","Ferreira, P.C.","40","Naturalized","Bronze","RDS Lavras.","Não"
"RDS LAVRAS","Angiosperms","Asteraceae","Heterocondylus","alatus","(Vell.) R.M.King & H.Rob.","ASTERACEAE Heterocondylus alatus (Vell.) R.M.King & H.Rob.","HCF000021816","Splink","HCF","Ferreira, P.C.","39","Native","Bronze","RDS Lavras","Não"
"RDS LAVRAS","Angiosperms","Malpighiaceae","Heteropterys","nitida","(Lam.) DC.","MALPIGHIACEAE Heteropterys nitida (Lam.) DC.","MBM406163","Splink","MBM","Ferreira, P.C.","36","Native","Bronze","RDS Lavras.","Não"
"RDS LAVRAS","Angiosperms","Acanthaceae","Mendoncia","glabra","Poepp. & Endl.","ACANTHACEAE Mendoncia glabra Poepp. & Endl.","EVB006251","Splink","EVB","Ferreira, P.C.","49","Native","Bronze","RDS Lavras.","Não"
"RDS LAVRAS","Angiosperms","Orchidaceae","Microchilus","caraguatatubensis","(M.R.Miranda, Engels & E.C.Smidt) E.C.Smidt & M.W.Chase","ORCHIDACEAE Microchilus caraguatatubensis (M.R.Miranda, Engels & E.C.Smidt) E.C.Smidt & M.W.Chase","MBM406164","Splink","MBM","Ferreira, P.C.","37",,"Bronze","RDS Lavras","Não"
"RDS LAVRAS","Angiosperms","Orchidaceae","Sauroglossum","elatum","Lindl.","ORCHIDACEAE Sauroglossum elatum Lindl.","MBM402250","Splink","MBM","Ariati, V.","1201","Native","Bronze","Reserva de Desenvolvimento Sustentável Lavras.","Não"
"RDS LAVRAS","Angiosperms","Solanaceae","Solanum",,"L.","SOLANACEAE Solanum L.","MBM406171","Splink","MBM","Ferreira, P.C.","44",,"Bronze","RDS Lavras.","Não"
"RDS LAVRAS","Angiosperms","Marantaceae","Stromanthe","tonckat","(Aubl.) Eichler","MARANTACEAE Stromanthe tonckat (Aubl.) Eichler","HUCP00027860","Splink","HUCP","Ferreira, P.C.","42","Native","Bronze","RDS Lavras","Não"
"RDS LAVRAS","Angiosperms","Gentianaceae","Voyria","aphylla","(Jacq.) Pers.","GENTIANACEAE Voyria aphylla (Jacq.) Pers.","MBM406175","Splink","MBM","Ferreira, P.C.","48","Native","Bronze","RDS Lavras.","Não"
