"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","phylum","class","order","individualcount","continentocean","preparationtype","typeStatus","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","previouscatalognumber","relationshiptype","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink","UEC055070","UEC","145708","Acanthocladus brasiliensis","Plantae","Polygalaceae","Acanthocladus","2001","08","18","Brazil","São Paulo","Jaguariúna","RPPN Estância Jatobá","UNICAMP","S","Farah, FT",,,,"-22.667417","-47.037222","2","brasiliensis","Farah, FT","-47.037222","-22.667417","2024-11-25T11:32:45","(A.St.-Hil.) Klotzsch ex Hassk.","2369","585","585",,,"Magnoliopsida",,,,,,,,,,,,,"SPLINK","Jaguariúna",,,,,,,,,,,,,,,,,,,"UEC",,"Farah, F.T.","2369","2001","Farah, F.T.","n.d.",,"Farah",,"brazil","sao paulo","jaguariuna","rppn estancia jatoba",,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_jaguariuna","Brazil","São Paulo","Jaguariúna",,"check_local.2municip.","Acanthocladus brasiliensis","(A.St.-Hil. & Moq.) Klotzsch ex Hassk.","possibly_ok","Polygalaceae","Acanthocladus brasiliensis","(A.St.-Hil. & Moq.) Klotzsch ex Hassk.","species","author misspelled","bfo-103170",,,"Acanthocladus brasiliensis (A.St.-Hil. & Moq.) Klotzsch ex Hassk.","Acanthocladus","Polygalaceae","low","Acanthocladus brasiliensis"
"speciesLink","UEC070665","UEC","145677","Canna","Plantae","Cannaceae","Canna","2001","08","18","Brazil","São Paulo","Jaguariúna","RPPN Estância Jatobá","UNICAMP","S","Coffani-Nunes, JV","2012","06","13","-22.667417","-47.037222","2",,"Farah, FT","-47.037222","-22.667417","2024-11-25T11:10:36",,"2392",,,,,"Liliopsida",,,,,,,,,,,,,"SPLINK","Jaguariúna","2012-06-13",,,,,,,,,,,,,,,,,,"UEC",,"Farah, F.T.","2392","2001","Coffani-Nunes, J.V.","2012",,"Farah",,"brazil","sao paulo","jaguariuna","rppn estancia jatoba",,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_jaguariuna","Brazil","São Paulo","Jaguariúna",,"check_local.2municip.","Canna","L.","indet","Cannaceae","Canna","L.","genus","name accepted","bfo-110626",,,"Canna L.","Canna","Cannaceae","low",
"gbif",,"UEC","145710","Chamaecrista nictitans (L.) Moench","Plantae","Fabaceae","Chamaecrista","2002","3","9","Brazil","São Paulo",,"RPPN Estância Jatobá","UNICAMP","PRESERVED_SPECIMEN","Escobar, NAG",,,,,,"https://specieslink.net/col/2","nictitans","Farah, FT","-47.037222","-22.667417","2024-11-25 11:22:13","(L.) Moench","2389","585","585",,,"Tracheophyta","Magnoliopsida","Fabales",,,,,,,,,,,"GBIF","Jaguariúna","2015-07-01","Chamaecrista nictitans (L.) Moench",,"BR",,,"2002-03-09",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","jaguariuna","rppn estancia jatoba",,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county","1089087019",,,,"https://specieslink.net/guid/2/145710",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chamaecrista",,,,,,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,TRUE,FALSE,"Chamaecrista nictitans","Chamaecrista nictitans","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC",,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_jaguariuna","Brazil","São Paulo","Jaguariúna",,"check_local.2municip.","Chamaecrista nictitans","(L.) Moench","name_w_authors","Fabaceae","Chamaecrista nictitans","(L.) Moench","species","name accepted","bfo-22877",,,"Chamaecrista nictitans (L.) Moench","Chamaecrista","Fabaceae","unknown","Chamaecrista nictitans"
"speciesLink","UEC070668","UEC","145706","Chromolaena laevigata","Plantae","Asteraceae","Chromolaena","2001","08","18","Brazil","São Paulo","Jaguariúna","RPPN Estância Jatobá, Floresta Estacional Semidecidual, borda, 585 m.s.m.","UNICAMP","S","Lopes, ITFV","2016","10","18","-22.667417","-47.037222","2","laevigata","Farah, FT","-47.037222","-22.667417","2024-11-25T11:14:56","(Lam.) R.M.King & H.Rob.","2373",,,,,"Magnoliopsida",,,,,,,,,,,,,"SPLINK","Jaguariúna","2016-10-18",,,,,,,,,,,,,,,,,,"UEC",,"Farah, F.T.","2373","2001","Lopes, I.T.F.V.","2016",,"Farah",,"brazil","sao paulo","jaguariuna","rppn estancia jatoba",,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_jaguariuna","Brazil","São Paulo","Jaguariúna",,"check_local.2municip.","Chromolaena laevigata","(Lam.) R.M.King & H.Rob.","possibly_ok","Asteraceae","Chromolaena laevigata","(Lam.) R.M.King & H.Rob.","species","name accepted","bfo-16058",,,"Chromolaena laevigata (Lam.) R.M.King & H.Rob.","Chromolaena","Asteraceae","low","Chromolaena laevigata"
"speciesLink","UEC060397","UEC","145671","Cybianthus densicomus","Plantae","Primulaceae","Cybianthus","2001","07","20","Brazil","São Paulo","Jaguariúna","RPPN Estância Jatobá, Floresta ciliar.","UNICAMP","S","Farah, FT",,,,"-22.667417","-47.037222","2","densicomus","Farah, FT","-47.037222","-22.667417","2024-11-25T11:33:04","Mart.","2371","585","585",,,"Magnoliopsida",,,,,,,,,,,,,"SPLINK","Jaguariúna",,,,,,,,,,,,,,,,,,,"UEC",,"Farah, F.T.","2371","2001","Farah, F.T.","n.d.",,"Farah",,"brazil","sao paulo","jaguariuna","rppn estancia jatoba",,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_jaguariuna","Brazil","São Paulo","Jaguariúna",,"check_local.2municip.","Cybianthus densicomus","Mart.","possibly_ok","Primulaceae","Cybianthus densicomus","Mart.","species","name accepted","bfo-31456",,,"Cybianthus densicomus Mart.","Cybianthus","Primulaceae","low","Cybianthus densicomus"
"gbif",,"UEC","145675","Cyperaceae","Plantae","Cyperaceae",,"2001","8","18","Brazil","São Paulo",,"RPPN Estância Jatobá, Campo úmido, 585 m.s.m.","UNICAMP","PRESERVED_SPECIMEN","Farah, FT",,,,,,"https://specieslink.net/col/2",,"Farah, FT","-47.037222","-22.667417","2024-11-25 11:11:04","Vahl","2382",,,,,"Tracheophyta","Liliopsida","Poales",,,,,,,,,,,"GBIF","Jaguariúna",,"Cyperaceae",,"BR",,,"2001-08-18",,,,,,"ACCEPTED","FAMILY",,,,,,,,,,,,,,,"brazil","sao paulo","jaguariuna","rppn estancia jatoba",,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county","1089087016",,,,"https://specieslink.net/guid/2/145675",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,TRUE,FALSE,,"Rynchospora","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/UEC070667","WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_jaguariuna","Brazil","São Paulo","Jaguariúna",,"check_local.2municip.","Cyperaceae","Juss.","family_as_genus","Cyperaceae","Cyperaceae","Juss.","family","name accepted","bfo-100",,,"Cyperaceae Juss.",,"Cyperaceae","unknown",
"speciesLink","UEC055065","UEC","145707","Dendropanax cuneatus","Plantae","Araliaceae","Dendropanax","2001","08","18","Brazil","São Paulo","Jaguariúna","RPPN Estância Jatobá","UNICAMP","S","Farah, FT",,,,"-22.667417","-47.037222","2","cuneatus","Farah, FT","-47.037222","-22.667417","2024-11-25T11:13:33","(A.DC.) Decne. & Planch.","2391","585","585",,,"Magnoliopsida",,,,,,,,,,,,,"SPLINK","Jaguariúna",,,,,,,,,,,,,,,,,,,"UEC",,"Farah, F.T.","2391","2001","Farah, F.T.","n.d.",,"Farah",,"brazil","sao paulo","jaguariuna","rppn estancia jatoba",,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_jaguariuna","Brazil","São Paulo","Jaguariúna",,"check_local.2municip.","Dendropanax cuneatus","(DC.) Decne. & Planch.","possibly_ok","Araliaceae","Dendropanax cuneatus","(DC.) Decne. & Planch.","species","author misspelled","bfo-5105",,,"Dendropanax cuneatus (DC.) Decne. & Planch.","Dendropanax","Araliaceae","low","Dendropanax cuneatus"
"gbif",,"UEC","145674","Eriochrysis cayennensis P.Beauv.","Plantae","Poaceae","Eriochrysis","2001","8","18","Brazil","São Paulo",,"RPPN Estância Jatobá, Campo úmido.","UNICAMP","PRESERVED_SPECIMEN","Neves, BT",,,,,,"https://specieslink.net/col/2","cayennensis","Farah, FT","-47.037222","-22.667417","2024-11-25 11:11:48","P.Beauv.","2381",,,,,"Tracheophyta","Liliopsida","Poales",,,,,,,,,,,"GBIF","Jaguariúna","2012-09-01","Eriochrysis cayennensis P.Beauv.",,"BR",,,"2001-08-18",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","jaguariuna","rppn estancia jatoba",,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county","1089086995",,,,"https://specieslink.net/guid/2/145674",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eriochrysis",,,,,,"7741a517-ab3d-4b85-ae58-56322e44c8ce",,,TRUE,FALSE,"Eriochrysis cayennensis","Eriochrysis cayennensis","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/UEC070663","WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_jaguariuna","Brazil","São Paulo","Jaguariúna",,"check_local.2municip.","Eriochrysis cayennensis","P.Beauv.","name_w_authors","Poaceae","Eriochrysis cayennensis","P.Beauv.","species","name accepted","bfo-13234",,,"Eriochrysis cayennensis P.Beauv.","Eriochrysis","Poaceae","unknown","Eriochrysis cayennensis"
"speciesLink","SORO003727","SORO","3727","Eugenia hiemalis","Plantae","Myrtaceae","Eugenia","2001","08","19","Brasil","São Paulo","Jaguariúna","RPPN Estância Jatobá, Floresra ciliar, 585 msm","UFSCar","PreservedSpecimen",,,,,"22°39.627'S","47°02.140'W","391","hiemalis","Farah, F.T.","-47.035667","-22.66045","2025-05-05T15:48:11","Cambess.","2380",,,,,,,,,,,,,,,,,,"SPLINK","Jaguariúna",,,,,,,,,,,,,,,,,,,"SORO",,"Farah, F.T.","2380","2001","s.n.","n.d.",,"Farah",,"brazil","sao paulo","jaguariuna","rppn estancia jatoba",,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_jaguariuna","Brazil","São Paulo","Jaguariúna",,"check_local.2municip.","Eugenia hiemalis","Cambess.","possibly_ok","Myrtaceae","Eugenia hiemalis","Cambess.","species","name accepted","bfo-10414",,,"Eugenia hiemalis Cambess.","Eugenia","Myrtaceae","unknown","Eugenia hiemalis"
"speciesLink","UEC070669","UEC","145676","Eupatorium","Plantae","Asteraceae","Eupatorium","2001","08","18","Brazil","São Paulo","Jaguariúna","RPPN Estância Jatobá, Floresta Estacional Semidecidual, borda","UNICAMP","S","Farah, FT",,,,"-22.667417","-47.037222","2",,"Farah, FT","-47.037222","-22.667417","2024-11-25T11:15:19","L.","2375",,,,,"Magnoliopsida",,,,,,,,,,,,,"SPLINK","Jaguariúna",,,,,,,,,,,,,,,,,,,"UEC",,"Farah, F.T.","2375","2001","Farah, F.T.","n.d.",,"Farah",,"brazil","sao paulo","jaguariuna","rppn estancia jatoba",,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_jaguariuna","Brazil","São Paulo","Jaguariúna",,"check_local.2municip.","Eupatorium","L.","indet","Asteraceae","Eupatorium","L.","genus","name accepted","bfo-22208",,,"Eupatorium L.","Eupatorium","Asteraceae","low",
