"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA","Angiosperms","Apocynaceae","Oxypetalum","glaziovii","(E.Fourn.) Fontella & Marquete","APOCYNACEAE Oxypetalum glaziovii (E.Fourn.) Fontella & Marquete","UEC053071","Splink","UEC",,"9748","Native","Latão","Crista da montanha vizinha à Pedra da Mi","Não"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA","Angiosperms","Asteraceae","Baccharis","curitybensis","Heering ex Malme","ASTERACEAE Baccharis curitybensis Heering ex Malme","BHCB025355","Splink","BHCB","Shepherd, G.J.","9740","Native","Latão","Serra Fina, Encosta próxima a Pedra da Mina.","Não"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA","Angiosperms","Ericaceae","Gaylussacia","densa","Cham.","ERICACEAE Gaylussacia densa Cham.","UEC057120","Splink","UEC","Shepherd, G.J.","97-28","Native","Ouro","Encosta próxima à Pedra da Mina.","Não"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA","Angiosperms","Ericaceae","Gaylussacia","densa","Cham.","ERICACEAE Gaylussacia densa var. densa Cham.","100441","GBIF","UEC","Shepherd, G.J.","97-28","Native","Ouro","Encosta próxima à Pedra da Mina.","Não"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA","Angiosperms","Lamiaceae","Hesperozygis","myrtoides","(A.St.-Hil. ex Benth.) Epling","LAMIACEAE Hesperozygis myrtoides (A.St.-Hil. ex Benth.) Epling","SPF00120765","Splink","SPF","Shepherd, G.J.","9777","Native","Prata","Crista da montanha vizinha à Pedra da Mina. Entre 22º25'53'' e 22º26'08''S e 44º50'03'' e 44º50'05''W.","Não"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA","Angiosperms","Melastomataceae","Chaetostoma","glaziovii","Cogn.","MELASTOMATACEAE Chaetostoma glaziovii Cogn.","SPF00122917","Splink","SPF","Goldenberg, R.","418","Native","Bronze","Coordenadas entre 22º25'53'' e 22º26'08''S, 44º50'03'' e 44º50'05''W.","Não"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA","Angiosperms","Melastomataceae","Pleroma","hospitum","(Schrank et Mart. ex DC.) Triana","MELASTOMATACEAE Pleroma hospitum (Schrank et Mart. ex DC.) Triana","40258","GBIF","UPCB","Goldenberg, R.","416","Native","Ouro","Encosta próx. à Pedra da Mina, entre 22°24´30' e 22°25´53'S e entre 44°50´47' e 44°50´03'W.","Não"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA","Angiosperms","Orchidaceae","Habenaria","rolfeana","Schltr.","ORCHIDACEAE Habenaria rolfeana Schltr.","100520","GBIF","UEC","Shepherd, G.J.","97/62","Native","Ouro","Crista da montanha vizinha à Pedra da Mina","Não"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA","Angiosperms","Polygalaceae","Senega","glaziovii","(Chodat) J.F.B.Pastore","POLYGALACEAE Senega glaziovii (Chodat) J.F.B.Pastore","116206","GBIF","UEC","Shepherd, G.J.","9744","Native","Bronze","Encosta próxima à Pedra da Mina. Campo de altitude, dominado por Chusquea sp, em terreno pedregoso.","Não"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA","Angiosperms","Symplocaceae","Symplocos","itatiaiae","Wawra","SYMPLOCACEAE Symplocos itatiaiae Wawra","UEC044000","Splink","UEC",,"9745","Native","Latão","Crista da montanha vizinha à Pedra da Mi","Não"
